,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.893547,0.722418,0.893547,0.722418,5,5,0,1,1.4556,l,2017-07-15 15:30:00,0,0,1,0,0.1711289999999999,152,21,187,17,0,1,0,0,0.1711289999999999,0.893547,0.722418,0.893547,0.722418,0,1,1.4556,0,1,0,0,0.1711289999999999,0.893547,0.722418,0.893547,0.722418,0,1,1.4556,FC Ufa,0.3618,0.3702,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.365131,1.34268,0.365131,1.34268,2,10,0,2,0.5622,l,2017-07-22 18:00:00,0,0,1,0,-0.977549,309,18,122,20,0,2,0,0,-0.8064200000000001,1.258678,2.065098,1.258678,2.065098,0,3,2.0178000000000003,0,2,0,0,-0.8064200000000001,1.258678,2.065098,1.258678,2.065098,0,3,2.0178000000000003,FC Krasnodar,0.0977,0.2691,0.6332,a,1.32449,0.617985,1.32449,0.617985,5,2,2,1,1.9775,w,2017-07-16 15:30:00,1,0,0,3,0.7065049999999999,147,25,309,28,1,0,0,3,0.7065049999999999,1.32449,0.617985,1.32449,0.617985,2,1,1.9775,1,0,0,3,0.7065049999999999,1.32449,0.617985,1.32449,0.617985,2,1,1.9775,Rubin Kazan,0.5663,0.2786,0.1551
2,h,0.466301,1.29915,0.466301,1.29915,4,7,0,1,0.6157999999999999,l,2017-07-30 18:00:00,0,0,1,0,-0.832849,251,29,166,28,0,3,0,0,-1.639269,1.724979,3.364248,1.724979,3.364248,0,4,2.6336000000000004,0,3,0,0,-1.639269,1.724979,3.364248,1.724979,3.364248,0,4,2.6336000000000004,Zenit St. Petersburg,0.1128,0.2774,0.6098,h,1.21907,0.582228,1.21907,0.582228,4,6,2,1,2.0174,w,2017-07-22 15:30:00,1,0,0,3,0.6368420000000001,116,23,340,19,2,0,0,6,1.3385540000000002,2.60822,1.269666,2.60822,1.269666,4,1,4.0302,2,0,0,6,1.3385540000000002,2.60822,1.269666,2.60822,1.269666,4,1,4.0302,Rubin Kazan,0.5752,0.2918,0.133
3,a,1.42324,1.2689,1.42324,0.514624,11,4,2,1,1.4628,w,2017-08-06 13:00:00,1,0,0,3,0.908616,175,13,106,16,1,3,0,3,-0.730653,3.148219,4.633148,3.148219,3.878872,2,5,4.096400000000001,1,3,0,3,-0.730653,3.148219,4.633148,3.148219,3.878872,2,5,4.096400000000001,Arsenal Tula,0.3803,0.3219,0.2978,a,0.816105,1.70019,0.816105,0.945918,4,4,1,2,0.6061000000000001,l,2017-07-29 15:30:00,0,0,1,0,-0.129813,189,11,159,24,1,2,0,3,1.597045,3.579175,2.736402,3.579175,1.98213,2,3,4.873999999999999,1,2,0,3,1.597045,3.579175,2.736402,3.579175,1.98213,2,3,4.873999999999999,Rubin Kazan,0.1155,0.2596,0.6249
4,h,0.426888,2.92209,0.426888,2.92209,2,14,1,2,0.0960999999999999,l,2017-08-09 18:00:00,0,0,1,0,-2.495202,160,13,178,30,1,4,0,3,-3.225855,3.575107,7.555238,3.575107,6.800962,3,7,4.192500000000001,1,4,0,3,-3.225855,3.575107,7.555238,3.575107,6.800962,3,7,4.192500000000001,CSKA Moscow,0.0143,0.0532,0.9325,h,1.01213,1.30047,1.01213,1.30047,21,4,1,2,1.0777,l,2017-08-06 15:30:00,0,0,1,0,-0.28834,114,24,249,13,2,2,0,6,1.3472179999999996,7.06636,4.210592,5.55781,4.210592,7,6,6.908799999999999,2,2,0,6,1.3472179999999996,7.06636,4.210592,5.55781,4.210592,7,6,6.908799999999999,Rubin Kazan,0.2602,0.2971,0.4427
5,a,0.763116,0.627448,0.763116,0.627448,3,10,2,0,1.4886,w,2017-08-13 15:30:00,1,0,0,3,0.135668,282,20,138,26,2,4,0,6,-3.090187,4.338223,8.182686,4.338223,7.42841,5,7,5.681100000000001,2,3,0,6,-3.261316,3.4446760000000003,7.460268,3.4446760000000003,6.705992,5,6,4.2255,Lokomotiv Moscow,0.3674,0.3864,0.2462,a,0.669892,1.16512,0.669892,0.410845,8,8,1,1,0.7813,d,2017-08-09 18:00:00,0,1,0,1,0.259047,233,19,256,14,4,0,1,13,4.002511,7.651526999999999,4.403290999999999,7.651526999999999,3.649016,7,2,8.9224,4,0,1,13,4.002511,7.651526999999999,4.403290999999999,7.651526999999999,3.649016,7,2,8.9224,Rubin Kazan,0.1469,0.3406,0.5125
6,h,0.783145,0.135992,0.783145,0.135992,4,3,0,0,1.979,d,2017-08-18 17:30:00,0,1,0,1,0.647153,147,20,237,20,2,4,1,7,-2.4430340000000004,5.121368,8.318678,5.121368,7.564402,5,7,7.660100000000001,2,2,1,7,-1.6366140000000002,3.8626900000000006,6.25358,3.8626900000000006,5.499304,5,4,5.6423,SKA-Khabarovsk,0.5168,0.4286,0.0546,h,0.265854,0.817477,0.265854,0.817477,2,6,1,1,0.7252000000000001,d,2017-08-13 09:00:00,0,1,0,1,-0.551623,232,15,178,28,1,4,1,4,-6.821610000000001,2.536607,10.112487,2.536607,9.358217,3,7,3.1139,1,3,1,4,-6.119898,1.849169,8.723336999999999,1.849169,7.969067,3,5,2.4034,Rubin Kazan,0.1107,0.3931,0.4962
7,a,0.705549,0.21177,0.705549,0.21177,7,1,0,1,1.8924,l,2017-08-26 15:30:00,0,0,1,0,0.4937789999999999,174,9,152,20,2,5,1,7,-1.9492550000000004,5.826917,8.530448,5.826917,7.776172000000001,5,8,9.5525,2,2,1,7,-0.3099859999999997,4.1019380000000005,5.1662,4.1019380000000005,4.411923999999999,5,4,6.918900000000001,Rubin Kazan,0.492,0.4164,0.0916,h,0.672563,0.0831628,0.672563,0.0831628,11,3,6,0,1.8903,w,2017-08-19 18:00:00,1,0,0,3,0.5894002,223,24,282,14,3,2,2,11,-0.0432178,6.856033,5.390703800000001,5.347486000000001,5.390703800000001,14,8,10.8443,3,0,2,11,1.3001292000000002,5.65582,2.8471438,4.147273,2.8471438,12,4,9.4096,Anzhi Makhachkala,0.4652,0.4947,0.0401
8,h,0.906305,0.708093,0.906305,0.708093,7,3,2,2,1.4866,d,2017-09-09 12:00:00,0,1,0,1,0.198212,145,14,176,10,2,5,2,8,-1.7510430000000003,6.733222,9.238541,6.733222,8.484265,7,10,11.0391,1,2,2,5,-1.02039,3.585003,4.605393,3.585003,4.605393,5,5,6.9427,Anzhi Makhachkala,0.3784,0.3514,0.2702,h,0.898598,0.946892,0.898598,0.946892,2,3,1,0,1.2866000000000002,w,2017-08-25 18:00:00,1,0,0,3,-0.0482939999999999,280,28,133,22,2,6,0,6,-1.4723951999999998,6.8382968,9.81922,6.8382968,8.310692,4,16,8.3335,1,4,0,3,-0.6378351999999998,3.9580718,5.350155000000001,3.9580718,4.595907,2,12,5.1704,FC Ufa,0.3168,0.3362,0.347
9,h,0.903318,0.968586,0.903318,0.968586,8,5,2,2,1.2947,d,2017-09-17 11:00:00,0,1,0,1,-0.0652679999999999,240,21,119,14,2,5,3,9,-1.816311,7.636539999999999,10.207127,7.636539999999999,9.452851,9,12,12.3338,1,1,3,6,1.409544,4.061433,2.651889,4.061433,2.651889,6,5,8.1413,Spartak Moscow,0.3219,0.329,0.3491,h,1.03379,0.403312,1.03379,0.403312,2,4,1,0,1.9461,w,2017-09-09 17:00:00,1,0,0,3,0.630478,191,14,231,28,3,3,3,12,2.966332,13.79012,9.315238,12.28157,9.315238,12,13,15.2623,2,2,1,7,3.149894,7.00325,3.853356,7.00325,3.853356,7,6,8.8674,Rubin Kazan,0.5367,0.336,0.1273
