,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.0551835,1.0408,0.0551835,1.0408,1,6,1,0,0.3574,w,2018-07-28 16:30:00,1,0,0,3,-0.9856165,335,16,111,19,1,0,0,3,-0.9856165,0.0551835,1.0408,0.0551835,1.0408,1,0,0.3574,1,0,0,3,-0.9856165,0.0551835,1.0408,0.0551835,1.0408,1,0,0.3574,Ural,0.0166,0.3076,0.6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.0666186,1.10699,0.0666186,1.10699,0,3,0,3,0.3385,l,2018-08-06 17:30:00,0,0,1,0,-1.0403714,245,23,305,17,1,1,0,3,-2.0259879,0.1218021,2.14779,0.1218021,2.14779,1,3,0.6959,1,1,0,3,-2.0259879,0.1218021,2.14779,0.1218021,2.14779,1,3,0.6959,FC Ufa,0.0179,0.2848,0.6973,h,1.95799,1.04565,1.20372,1.04565,7,7,0,0,2.0887,d,2018-07-30 18:00:00,0,1,0,1,0.1580699999999999,228,28,247,13,0,0,1,1,0.1580699999999999,1.95799,1.04565,1.20372,1.04565,0,0,2.0887,0,0,1,1,0.1580699999999999,1.95799,1.04565,1.20372,1.04565,0,0,2.0887,Lokomotiv Moscow,0.617,0.2377,0.1453
2,a,0.0220797,1.77821,0.0220797,1.77821,0,19,0,1,0.1437999999999999,l,2018-08-11 19:00:00,0,0,1,0,-1.7561303,287,11,64,22,1,2,0,3,-3.7821182,0.1438818,3.926,0.1438818,3.926,1,4,0.8396999999999999,1,2,0,3,-3.7821182,0.1438818,3.926,0.1438818,3.926,1,4,0.8396999999999999,Spartak Moscow,0.0027,0.1357,0.8616,a,1.47596,0.533667,1.47596,0.533667,7,0,0,0,2.1399,d,2018-08-04 19:00:00,0,1,0,1,0.942293,248,24,201,13,1,0,1,4,1.5330399999999995,2.26207,0.7290300000000001,2.26207,0.7290300000000001,1,0,4.0243,1,0,1,4,1.5330399999999995,2.26207,0.7290300000000001,2.26207,0.7290300000000001,1,0,4.0243,Lokomotiv Moscow,0.6261,0.2616,0.1123
3,h,0.886545,1.22131,0.132269,0.46703,1,8,1,3,0.9584,l,2018-08-17 19:30:00,0,0,1,0,-0.334761,286,9,170,23,1,3,0,3,-4.1168792,1.0304268,5.147309999999999,0.2761508,4.39303,2,7,1.7981,1,3,0,3,-4.1168792,1.0304268,5.147309999999999,0.2761508,4.39303,2,7,1.7981,FC Orenburg,0.1778,0.425,0.3972,h,0.183598,0.681723,0.183598,0.681723,1,5,1,0,0.7241,w,2018-08-12 14:00:00,1,0,0,3,-0.4981249999999999,262,22,134,10,2,1,0,6,-0.2475079999999998,1.745901,2.879673,1.745901,1.993409,4,1,2.69,2,1,0,6,-0.2475079999999998,1.745901,2.879673,1.745901,1.993409,4,1,2.69,Lokomotiv Moscow,0.0838,0.4727,0.4435
4,a,0.86284,0.71144,0.108565,0.71144,2,5,1,2,1.5485,l,2018-08-26 19:00:00,0,0,1,0,-0.6028749999999999,249,14,169,14,1,4,0,3,-4.7197542,1.8932668,5.858749999999999,0.3847158,5.104469999999999,3,9,3.3466,1,4,0,3,-4.7197542,1.8932668,5.858749999999999,0.3847158,5.104469999999999,3,9,3.3466,Lokomotiv Moscow,0.3846,0.3947,0.2207,a,1.23643,0.478626,1.23643,0.478626,3,2,1,0,2.2401,w,2018-08-19 16:30:00,1,0,0,3,0.7578039999999999,249,15,240,19,1,1,2,5,0.1555660000000001,3.49747,4.096174,3.49747,3.3419039999999995,1,1,5.3154,1,1,2,5,0.1555660000000001,3.49747,4.096174,3.49747,3.3419039999999995,1,1,5.3154,Krylya Sovetov Samara,0.6582,0.2655,0.0763
5,a,0.482191,0.979388,0.482191,0.979388,3,18,0,1,0.866,l,2018-09-01 11:00:00,0,0,1,0,-0.497197,263,12,187,13,1,5,0,3,-5.2169512,2.3754578,6.838137999999999,0.8669068,6.083857999999999,3,10,4.2126,0,5,0,0,-4.231334700000001,2.3202743,5.797338,0.8117232999999999,5.043058,2,10,3.8552,Krylya Sovetov Samara,0.172,0.35,0.478,a,0.389572,2.67243,0.389572,2.67243,3,4,0,1,0.0709,l,2018-08-27 17:30:00,0,0,1,0,-2.282858,264,25,230,21,1,3,1,4,-4.934369,2.9787179999999998,7.026823,2.092454,7.026823,1,5,3.6783,1,3,1,4,-4.934369,2.9787179999999998,7.026823,2.092454,7.026823,1,5,3.6783,FC Yenisey Krasnoyarsk,0.0082,0.0463,0.9455
6,h,0.50198,1.82009,0.50198,1.82009,5,16,0,4,0.4638,l,2018-09-16 13:30:00,0,0,1,0,-1.31811,350,14,177,18,1,6,0,3,-6.5350612,2.8774378,8.658228,1.3688867999999998,7.903948,3,14,4.6764,0,5,0,0,-4.5090733,2.7556357,6.510438000000001,1.2470846999999998,5.756158,2,11,3.9805,FC Krasnodar,0.0873,0.2019,0.7108,h,1.30048,1.57872,1.30048,0.824443,6,5,2,1,1.0871,w,2018-09-01 16:00:00,1,0,0,3,0.476037,142,23,251,16,3,2,1,10,-0.0582210000000005,6.929489,7.741987,6.929489,6.98771,7,6,7.395799999999999,3,1,1,10,0.7629149999999995,6.154204999999999,6.145567,6.154204999999999,5.39129,6,4,6.709099999999999,Lokomotiv Moscow,0.2696,0.2783,0.4521
7,a,0.23284,2.57615,0.23284,1.82188,2,14,1,0,0.0855,w,2018-09-22 11:00:00,1,0,0,3,-1.58904,248,14,190,16,2,6,0,6,-8.1241012,3.1102778,11.234378,1.6017267999999998,9.725828,4,14,4.7619,1,4,0,3,-4.341983,2.966396,7.308378,1.4578449999999998,5.799828,3,10,3.9222,Dinamo Moscow,0.0103,0.0546,0.9351,a,1.56513,1.84517,1.56513,1.84517,8,5,1,1,1.1358,d,2018-09-14 16:30:00,0,1,0,1,-0.28004,224,18,186,26,2,1,4,10,0.7111879999999998,6.323084,6.366166,6.323084,5.611896,9,5,9.8516,2,1,2,8,0.5538689999999998,5.174742999999999,5.375144,5.174742999999999,4.620874000000001,8,4,7.1536,Lokomotiv Moscow,0.2918,0.2604,0.4478
8,h,0.935851,1.11558,0.181575,1.11558,2,9,2,1,1.1887,w,2018-09-30 11:00:00,1,0,0,3,-0.934005,254,18,208,19,3,6,0,9,-9.0581062,4.0461288,12.349958,1.7833017999999998,10.841408,6,15,5.9506,2,3,0,6,-4.941227,3.015702,7.202648,1.507151,6.448378,4,8,4.1525,Zenit St. Petersburg,0.2773,0.3568,0.3659,h,2.79425,0.580973,2.79425,0.580973,8,6,5,3,2.7522,w,2018-09-23 13:30:00,1,0,0,3,2.213277,168,27,273,24,7,0,1,22,9.459708,13.461645,4.001937,13.461645,4.001937,17,5,18.2952,4,0,1,13,6.405001,9.541315,3.136314,9.541315,3.136314,13,5,11.3378,Lokomotiv Moscow,0.8897,0.0831,0.0272
9,a,0.522147,0.935584,0.522147,0.935584,2,5,0,0,0.9479,d,2018-10-07 11:00:00,0,1,0,1,-0.4134369999999999,211,22,176,21,3,6,1,10,-9.4715432,4.5682758,13.285542,2.3054488,11.776992,6,15,6.898499999999999,2,2,1,7,-4.7517890000000005,2.675009,7.426792000000001,1.920733,6.672522000000001,3,6,3.5519,FK Akhmat,0.1912,0.3743,0.4345,a,0.244911,1.64623,0.244911,1.64623,5,11,0,2,0.3043,l,2018-09-29 16:00:00,0,0,1,0,-1.401319,243,8,189,21,3,4,2,11,0.0328394,7.8806384,7.093520999999999,7.1263604,7.093520999999999,9,12,12.8356,2,2,1,7,-0.519074,4.102175,3.866971,3.347897,3.866971,6,7,7.1412,Lokomotiv Moscow,0.0397,0.1852,0.7751
