,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.530811,0.419816,0.530811,0.419816,5,3,0,0,1.3957,d,2018-07-29 16:30:00,0,1,0,1,0.110995,125,26,294,24,0,0,1,1,0.110995,0.530811,0.419816,0.530811,0.419816,0,0,1.3957,0,0,1,1,0.110995,0.530811,0.419816,0.530811,0.419816,0,0,1.3957,Dinamo Moscow,0.3076,0.4729,0.2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.136088,1.57608,0.136088,1.57608,2,2,0,1,0.194,l,2018-08-04 16:30:00,0,0,1,0,-1.439992,265,16,143,32,0,1,1,1,-1.328997,0.666899,1.995896,0.666899,1.995896,0,1,1.5897,0,1,1,1,-1.328997,0.666899,1.995896,0.666899,1.995896,0,1,1.5897,Zenit St. Petersburg,0.0159,0.1463,0.8378,a,1.21626,0.2504,1.21626,0.2504,10,1,2,0,2.2631,w,2018-07-29 14:00:00,1,0,0,3,0.96586,184,15,307,13,1,0,0,3,0.96586,1.21626,0.2504,1.21626,0.2504,2,0,2.2631,1,0,0,3,0.96586,1.21626,0.2504,1.21626,0.2504,2,0,2.2631,FC Yenisey Krasnoyarsk,0.6638,0.2717,0.0645
2,h,1.03474,0.739078,1.03474,0.739078,3,4,3,1,1.5817,w,2018-08-12 16:30:00,1,0,0,3,0.295662,174,11,147,18,1,1,1,4,-1.033335,1.701639,2.734974,1.701639,2.734974,3,2,3.1714,1,1,1,4,-1.033335,1.701639,2.734974,1.701639,2.734974,3,2,3.1714,FK Akhmat,0.4133,0.3418,0.2449,h,1.87773,0.761499,1.87773,0.761499,5,5,1,0,2.2776,w,2018-08-05 21:30:00,1,0,0,3,1.116231,176,15,205,11,1,1,0,3,0.1656954,1.9059854,1.74029,1.9059854,1.74029,1,1,2.6522,1,1,0,3,0.1656954,1.9059854,1.74029,1.9059854,1.74029,1,1,2.6522,FC Yenisey Krasnoyarsk,0.6876,0.2148,0.0976
3,a,0.226771,1.98044,0.226771,1.98044,2,9,0,3,0.213,l,2018-08-18 16:30:00,0,0,1,0,-1.753669,159,36,171,29,1,2,1,4,-2.787004,1.92841,4.715414,1.92841,4.715414,3,5,3.3844000000000003,1,2,1,4,-2.787004,1.92841,4.715414,1.92841,4.715414,3,5,3.3844000000000003,CSKA Moscow,0.0258,0.1356,0.8386,a,1.06383,0.843862,0.309557,0.843862,4,5,1,1,1.5886,d,2018-08-11 16:30:00,0,1,0,1,-0.534305,194,13,158,16,0,1,2,2,0.866471,3.284631,1.663887,2.530358,1.663887,1,2,5.517099999999999,0,1,2,2,0.866471,3.284631,1.663887,2.530358,1.663887,1,2,5.517099999999999,FC Yenisey Krasnoyarsk,0.41,0.3586,0.2314
4,h,0.304714,1.42864,0.304714,0.674363,2,4,0,1,0.3303,l,2018-08-24 19:30:00,0,0,1,0,-0.369649,130,12,212,16,1,3,1,4,-3.156653,2.233124,6.144054,2.233124,5.3897770000000005,3,6,3.7147,1,3,1,4,-3.156653,2.233124,6.144054,2.233124,5.3897770000000005,3,6,3.7147,FC Rostov,0.0453,0.1944,0.7603,h,2.07961,0.600401,2.07961,0.600401,6,8,4,0,2.5822,w,2018-08-19 21:30:00,1,0,0,3,1.4792090000000002,308,23,144,12,3,1,0,9,2.0813116000000003,3.875655,1.7943434,3.875655,1.7943434,6,1,6.991,3,1,0,9,2.0813116000000003,3.875655,1.7943434,3.875655,1.7943434,6,1,6.991,FC Yenisey Krasnoyarsk,0.8139,0.1405,0.0456
5,a,0.354815,0.219556,0.354815,0.219556,1,1,0,0,1.3725,d,2018-09-02 11:00:00,0,1,0,1,0.135259,196,14,196,28,1,3,2,5,-3.021394,2.587939,6.36361,2.587939,5.609333,3,6,5.0872,1,3,1,4,-3.132389,2.057128,5.943794,2.057128,5.189517,3,6,3.6915,FC Yenisey Krasnoyarsk,0.2556,0.6057,0.1387,h,2.67243,0.389572,2.67243,0.389572,4,3,1,0,2.8828,w,2018-08-27 17:30:00,1,0,0,3,2.282858,230,21,264,25,1,3,1,4,-0.7441370000000003,5.128591999999999,6.627002,5.128591999999999,5.8727290000000005,2,8,5.1857,1,3,1,4,-0.7441370000000003,5.128591999999999,6.627002,5.128591999999999,5.8727290000000005,2,8,5.1857,Krylya Sovetov Samara,0.9455,0.0463,0.0082
6,h,2.42762,0.429981,2.42762,0.429981,6,4,4,0,2.8195,w,2018-09-15 16:00:00,1,0,0,3,1.997639,160,22,235,20,2,3,2,8,-1.0237549999999995,5.015559,6.793590999999999,5.015559,6.039314,7,6,7.9067,2,2,1,7,0.3052420000000002,4.348660000000001,4.797694999999999,4.348660000000001,4.043418,7,5,6.317,Krylya Sovetov Samara,0.9165,0.07,0.0135,h,0.979388,0.482191,0.979388,0.482191,18,3,1,0,1.7839999999999998,w,2018-09-01 11:00:00,1,0,0,3,0.497197,187,13,263,12,2,3,1,7,-4.437172,3.958106,7.509014,3.071842,7.509014,2,5,5.4623,2,3,0,6,-3.400046,3.599772,6.113554000000001,2.713508,6.113554000000001,2,5,4.9528,Anzhi Makhachkala,0.478,0.35,0.172
7,h,2.18691,1.54017,2.18691,0.785897,3,10,2,2,1.8585,d,2018-09-22 13:30:00,0,1,0,1,1.4010130000000005,228,15,206,30,2,3,3,9,0.3772580000000005,7.202469,8.333760999999999,7.202469,6.825211,9,8,9.7652,1,2,2,5,1.4105930000000009,5.5008300000000006,5.598787,5.5008300000000006,4.090237,6,6,6.5938,Rubin Kazan,0.5401,0.2382,0.2217,h,1.16286,0.406202,1.16286,0.406202,3,5,1,0,2.089,w,2018-09-15 11:00:00,1,0,0,3,0.756658,262,20,198,6,2,1,4,10,-0.115361,5.670241000000001,6.53988,5.670241000000001,5.785602,7,6,8.587,1,1,3,6,-0.6681830000000002,3.61361,5.036071,3.61361,4.281793,4,4,5.5099,FC Yenisey Krasnoyarsk,0.5979,0.2953,0.1068
8,a,1.59227,2.07423,1.59227,2.07423,6,5,1,2,1.0312,l,2018-09-29 08:30:00,0,0,1,0,-0.4819599999999999,185,19,206,32,2,4,3,9,-0.1047019999999994,8.794739,10.407991,8.794739,8.899441,10,10,10.7964,1,2,2,5,2.6823020000000004,6.866329,5.692577,6.866329,4.184027,7,5,7.412,Ural,0.2619,0.2455,0.4926,a,0.382784,1.34967,0.382784,1.34967,0,7,2,1,0.4892,w,2018-09-22 08:30:00,1,0,0,3,-0.966886,268,29,111,15,2,4,2,8,-3.868436500000001,7.255041,10.3692005,6.500764,10.3692005,8,15,8.921299999999999,2,2,1,7,-4.959517,3.978452,8.183691999999999,3.224175,8.183691999999999,6,11,3.8128,FC Yenisey Krasnoyarsk,0.0762,0.2606,0.6632
9,h,1.75895,0.21336,1.75895,0.21336,7,2,1,1,2.5568,d,2018-10-05 16:30:00,0,1,0,1,1.54559,170,26,303,16,2,4,4,10,1.4408880000000006,10.553689,10.621351,10.553689,9.112801,11,11,13.3532,1,1,3,6,4.5975410000000005,8.320565,4.477297,8.320565,3.723024,8,5,9.6385,FC Ufa,0.793,0.1778,0.0292,h,1.45755,0.210637,1.45755,0.210637,10,2,2,1,2.4507,w,2018-09-29 13:30:00,1,0,0,3,1.246913,236,18,286,18,2,5,2,8,-1.8309026,6.841188999999998,7.9178216,6.086919,7.9178216,6,12,11.2055,1,3,1,4,-2.219904,2.927626,5.147530000000001,2.927626,5.147530000000001,3,8,4.8911,FC Yenisey Krasnoyarsk,0.746,0.2127,0.0413
