,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.2504,1.21626,0.2504,1.21626,1,10,0,2,0.4652,l,2018-07-29 14:00:00,0,0,1,0,-0.96586,307,13,184,15,0,1,0,0,-0.96586,0.2504,1.21626,0.2504,1.21626,0,2,0.4652,0,1,0,0,-0.96586,0.2504,1.21626,0.2504,1.21626,0,2,0.4652,Zenit St. Petersburg,0.0645,0.2717,0.6638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.761499,1.87773,0.761499,1.87773,5,5,0,1,0.5076,l,2018-08-05 21:30:00,0,0,1,0,-1.116231,205,11,176,15,0,2,0,0,-2.082091,1.011899,3.09399,1.011899,3.09399,0,3,0.9728,0,2,0,0,-2.082091,1.011899,3.09399,1.011899,3.09399,0,3,0.9728,FK Akhmat,0.0976,0.2148,0.6876,a,0.0282554,0.978791,0.0282554,0.978791,3,3,0,1,0.3746,l,2018-07-28 21:30:00,0,0,1,0,-0.9505356,343,10,199,26,0,1,0,0,-0.9505356,0.0282554,0.978791,0.0282554,0.978791,0,1,0.3746,0,1,0,0,-0.9505356,0.0282554,0.978791,0.0282554,0.978791,0,1,0.3746,FC Rostov,0.0087,0.3485,0.6428
2,h,0.843862,1.06383,0.843862,0.309557,5,4,1,1,1.0528,d,2018-08-11 16:30:00,0,1,0,1,0.534305,158,16,194,13,0,2,1,1,-1.547786,1.855761,4.15782,1.855761,3.403547,1,4,2.0256,0,2,1,1,-1.547786,1.855761,4.15782,1.855761,3.403547,1,4,2.0256,CSKA Moscow,0.2314,0.3586,0.41,h,0.825341,0.461691,0.825341,0.461691,13,3,0,1,1.6891999999999998,l,2018-08-05 19:00:00,0,0,1,0,0.36365,157,25,252,24,0,1,1,1,1.400776,2.220801,0.820025,2.220801,0.820025,0,1,3.9285,0,1,1,1,1.400776,2.220801,0.820025,2.220801,0.820025,0,1,3.9285,FC Rostov,0.4311,0.3959,0.173
3,a,0.600401,2.07961,0.600401,2.07961,8,6,0,4,0.2773,l,2018-08-19 21:30:00,0,0,1,0,-1.4792090000000002,144,12,308,23,0,3,1,1,-3.0269950000000003,2.456162,6.23743,2.456162,5.483157,1,8,2.3029,0,3,1,1,-3.0269950000000003,2.456162,6.23743,2.456162,5.483157,1,8,2.3029,FC Rostov,0.0456,0.1405,0.8139,h,0.355563,0.340346,0.355563,0.340346,7,0,0,1,1.217,l,2018-08-11 21:30:00,0,0,1,0,0.015217,209,26,310,12,2,1,0,6,0.6021026,1.796045,1.1939424,1.796045,1.1939424,2,1,4.408799999999999,2,1,0,6,0.6021026,1.796045,1.1939424,1.796045,1.1939424,2,1,4.408799999999999,Krylya Sovetov Samara,0.2219,0.5513,0.2268
4,h,2.67243,0.389572,2.67243,0.389572,4,3,1,0,2.8828,w,2018-08-27 17:30:00,1,0,0,3,2.282858,230,21,264,25,1,3,1,4,-0.7441370000000003,5.128591999999999,6.627002,5.128591999999999,5.8727290000000005,2,8,5.1857,1,3,1,4,-0.7441370000000003,5.128591999999999,6.627002,5.128591999999999,5.8727290000000005,2,8,5.1857,Krylya Sovetov Samara,0.9455,0.0463,0.0082,h,0.478626,1.23643,0.478626,1.23643,2,3,0,1,0.4944,l,2018-08-19 16:30:00,0,0,1,0,-0.7578039999999999,240,19,249,15,1,2,1,4,-2.651511,2.5891459999999995,4.354393,1.702882,4.354393,1,4,3.6074,1,2,1,4,-2.651511,2.5891459999999995,4.354393,1.702882,4.354393,1,4,3.6074,Lokomotiv Moscow,0.0763,0.2655,0.6582
5,h,0.219556,0.354815,0.219556,0.354815,1,1,0,0,1.0218,d,2018-09-02 11:00:00,0,1,0,1,-0.135259,196,28,196,14,1,3,2,5,-0.8793960000000003,5.348147999999999,6.981817,5.348147999999999,6.227544000000001,2,8,6.2075,1,2,2,5,0.0864639999999999,5.097748,5.765557,5.097748,5.011284000000001,2,6,5.742299999999999,Arsenal Tula,0.1387,0.6057,0.2556,h,0.304714,1.42864,0.304714,0.674363,2,4,0,1,0.3303,l,2018-08-24 19:30:00,0,0,1,0,-0.369649,130,12,212,16,1,3,1,4,-3.156653,2.233124,6.144054,2.233124,5.3897770000000005,3,6,3.7147,1,3,1,4,-3.156653,2.233124,6.144054,2.233124,5.3897770000000005,3,6,3.7147,FC Rostov,0.0453,0.1944,0.7603
6,a,0.406202,1.16286,0.406202,1.16286,5,3,0,1,0.6157,l,2018-09-15 11:00:00,0,0,1,0,-0.756658,198,6,262,20,1,4,2,5,-1.6360540000000003,5.75435,8.144677,5.75435,7.390404000000001,2,9,6.8232,1,2,2,5,0.4460369999999998,4.742451,5.050687,4.742451,4.296414,2,6,5.8504,Rubin Kazan,0.1068,0.2953,0.5979,a,0.230705,1.61902,0.230705,0.864742,3,1,1,1,0.1916,d,2018-08-31 19:30:00,0,1,0,1,-0.634037,194,10,282,16,1,1,4,7,-0.8720190000000001,4.5073810000000005,6.133678,4.5073810000000005,5.3794,6,6,6.498,0,1,4,4,-1.6931550000000002,2.910961,5.358394,2.910961,4.604115999999999,4,5,4.4331000000000005,FC Rostov,0.02,0.1316,0.8484
7,h,1.34967,0.382784,1.34967,0.382784,7,0,1,2,2.2502,l,2018-09-22 08:30:00,0,0,1,0,0.966886,111,15,268,29,1,5,2,5,-0.6691680000000004,7.104019999999999,8.527460999999999,7.104019999999999,7.773188000000001,3,11,9.0734,1,3,1,4,0.8786179999999997,5.248259,4.369641,5.248259,4.369641,2,7,7.0478000000000005,Ural,0.6632,0.2606,0.0762,h,0.340441,0.510062,0.340441,0.510062,3,5,1,1,1.0694,d,2018-09-17 14:30:00,0,1,0,1,-0.169621,136,18,277,17,1,4,2,5,-2.901550500000001,6.872257,9.0195305,6.11798,9.0195305,6,14,8.432099999999998,1,2,2,5,-4.163632000000001,4.580977,7.990332,3.8267,7.990332,5,11,4.5033,FC Rostov,0.1898,0.5,0.3102
8,a,0.210637,1.45755,0.210637,1.45755,2,10,1,2,0.3366,l,2018-09-29 13:30:00,0,0,1,0,-1.246913,286,18,236,18,1,6,2,5,-1.9160810000000004,7.314656999999999,9.985010999999998,7.314656999999999,9.230738,4,13,9.41,1,3,1,4,1.110914,4.858495,3.747581,4.858495,3.747581,3,5,7.1071,FC Ufa,0.0413,0.2127,0.746,a,0.232151,0.422243,0.232151,0.422243,3,4,0,0,1.0116999999999998,d,2018-09-22 16:00:00,0,1,0,1,-0.1900919999999999,270,13,158,19,1,5,2,5,-3.0778156,5.383638999999999,7.7071846,4.629369,7.7071846,4,11,8.7548,0,4,1,1,-4.280213,1.615653,5.895866,1.615653,5.895866,1,10,2.9737,FC Rostov,0.146,0.5737,0.2803
9,h,1.61194,1.71339,0.857668,0.959116,2,5,2,3,1.2605,l,2018-10-07 08:30:00,0,0,1,0,-0.1014479999999999,188,21,114,8,1,7,2,5,-2.017529000000001,8.926597,11.698401,8.172324999999999,10.189854,6,16,10.6705,0,4,1,1,-1.273392,3.798005,5.071399,3.043733,4.317125,4,8,5.4848,Spartak Moscow,0.315,0.3155,0.3695,h,0.557661,1.20486,0.557661,1.20486,2,3,0,1,0.5609,l,2018-09-30 16:00:00,0,0,1,0,-0.6471990000000001,151,21,303,24,4,2,3,15,2.5521673,9.223585,6.6714257,8.469315,5.9171477,7,5,13.5737,1,2,2,5,-0.0010739999999999,4.843833999999999,4.844916,4.089564,4.090638,4,5,6.1643,FC Rostov,0.0816,0.3161,0.6023
