,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.358334,1.39546,0.358334,1.39546,3,10,0,0,0.5095,d,2018-07-31 19:00:00,0,1,0,1,-1.037126,246,23,250,24,0,0,1,1,-1.037126,0.358334,1.39546,0.358334,1.39546,0,0,0.5095,0,0,1,1,-1.037126,0.358334,1.39546,0.358334,1.39546,0,0,0.5095,CSKA Moscow,0.0861,0.2512,0.6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.41184,1.36694,0.525576,1.36694,5,2,0,3,1.3718,l,2018-08-05 16:30:00,0,0,1,0,-0.841364,78,13,252,17,0,1,1,1,-1.87849,1.770174,2.7624,0.88391,2.7624,0,3,1.8813,0,1,1,1,-1.87849,1.770174,2.7624,0.88391,2.7624,0,3,1.8813,FC Orenburg,0.3405,0.3503,0.3092,a,0.195363,0.78611,0.195363,0.78611,2,6,0,1,0.688,l,2018-07-28 19:00:00,0,0,1,0,-0.5907469999999999,301,13,150,18,0,1,0,0,-0.5907469999999999,0.195363,0.78611,0.195363,0.78611,0,1,0.688,0,1,0,0,-0.5907469999999999,0.195363,0.78611,0.195363,0.78611,0,1,0.688,Spartak Moscow,0.0868,0.4276,0.4856
2,a,0.340346,0.355563,0.340346,0.355563,0,7,1,0,1.2317,w,2018-08-11 21:30:00,1,0,0,3,-0.015217,310,12,209,26,1,1,1,4,-1.893707,2.11052,3.117963,1.224256,3.117963,1,3,3.113,1,1,1,4,-1.893707,2.11052,3.117963,1.224256,3.117963,1,3,3.113,FC Rostov,0.2268,0.5513,0.2219,a,0.461691,0.825341,0.461691,0.825341,3,13,1,0,0.9148999999999998,w,2018-08-05 19:00:00,1,0,0,3,-0.36365,252,24,157,25,2,0,0,6,0.5868856,1.440482,0.8535964,1.440482,0.8535964,2,0,3.1918,2,0,0,6,0.5868856,1.440482,0.8535964,1.440482,0.8535964,2,0,3.1918,CSKA Moscow,0.173,0.3959,0.4311
3,h,0.478626,1.23643,0.478626,1.23643,2,3,0,1,0.4944,l,2018-08-19 16:30:00,0,0,1,0,-0.7578039999999999,240,19,249,15,1,2,1,4,-2.651511,2.5891459999999995,4.354393,1.702882,4.354393,1,4,3.6074,1,2,1,4,-2.651511,2.5891459999999995,4.354393,1.702882,4.354393,1,4,3.6074,Lokomotiv Moscow,0.0763,0.2655,0.6582,a,0.681723,0.183598,0.681723,0.183598,5,1,0,1,1.8032,l,2018-08-12 14:00:00,0,0,1,0,0.4981249999999999,134,10,262,22,0,1,2,2,-0.6022379999999998,2.26104,3.617548,2.26104,2.863278,0,1,3.0753,0,1,2,2,-0.6022379999999998,2.26104,3.617548,2.26104,2.863278,0,1,3.0753,FC Orenburg,0.4435,0.4727,0.0838
4,a,0.389572,2.67243,0.389572,2.67243,3,4,0,1,0.0709,l,2018-08-27 17:30:00,0,0,1,0,-2.282858,264,25,230,21,1,3,1,4,-4.934369,2.9787179999999998,7.026823,2.092454,7.026823,1,5,3.6783,1,3,1,4,-4.934369,2.9787179999999998,7.026823,2.092454,7.026823,1,5,3.6783,FC Yenisey Krasnoyarsk,0.0082,0.0463,0.9455,a,0.600401,2.07961,0.600401,2.07961,8,6,0,4,0.2773,l,2018-08-19 21:30:00,0,0,1,0,-1.4792090000000002,144,12,308,23,0,3,1,1,-3.0269950000000003,2.456162,6.23743,2.456162,5.483157,1,8,2.3029,0,3,1,1,-3.0269950000000003,2.456162,6.23743,2.456162,5.483157,1,8,2.3029,FC Rostov,0.0456,0.1405,0.8139
5,h,0.979388,0.482191,0.979388,0.482191,18,3,1,0,1.7839999999999998,w,2018-09-01 11:00:00,1,0,0,3,0.497197,187,13,263,12,2,3,1,7,-4.437172,3.958106,7.509014,3.071842,7.509014,2,5,5.4623,2,3,0,6,-3.400046,3.599772,6.113554000000001,2.713508,6.113554000000001,2,5,4.9528,Anzhi Makhachkala,0.478,0.35,0.172,a,0.86284,0.71144,0.108565,0.71144,2,5,1,2,1.5485,l,2018-08-26 19:00:00,0,0,1,0,-0.6028749999999999,249,14,169,14,1,4,0,3,-4.7197542,1.8932668,5.858749999999999,0.3847158,5.104469999999999,3,9,3.3466,1,4,0,3,-4.7197542,1.8932668,5.858749999999999,0.3847158,5.104469999999999,3,9,3.3466,Lokomotiv Moscow,0.3846,0.3947,0.2207
6,a,0.429981,2.42762,0.429981,2.42762,4,6,0,4,0.1105,l,2018-09-15 16:00:00,0,0,1,0,-1.997639,235,20,160,22,2,4,1,7,-6.434811000000001,4.388087,9.936634000000002,3.5018230000000004,9.936634000000002,2,9,5.5728,2,3,0,6,-4.5563210000000005,2.617913,7.174234,2.617913,7.174234,2,6,3.6915,Arsenal Tula,0.0135,0.07,0.9165,a,0.354815,0.219556,0.354815,0.219556,1,1,0,0,1.3725,d,2018-09-02 11:00:00,0,1,0,1,0.135259,196,14,196,28,1,3,2,5,-3.021394,2.587939,6.36361,2.587939,5.609333,3,6,5.0872,1,3,1,4,-3.132389,2.057128,5.943794,2.057128,5.189517,3,6,3.6915,FC Yenisey Krasnoyarsk,0.2556,0.6057,0.1387
7,h,0.408,0.675708,0.408,0.675708,2,15,0,3,1.0005,l,2018-09-24 15:30:00,0,0,1,0,-0.267708,346,10,122,20,2,5,1,7,-6.702519000000001,4.796087,10.612342000000002,3.909823,10.612342000000002,2,12,6.5733,1,4,0,3,-4.8088120000000005,2.6855670000000003,7.494379,2.6855670000000003,7.494379,1,9,3.4603,FC Krasnodar,0.1888,0.4341,0.3771,a,1.82009,0.50198,1.82009,0.50198,16,5,4,0,2.3343000000000003,w,2018-09-16 13:30:00,1,0,0,3,1.31811,177,18,350,14,4,2,1,13,1.2598889999999994,8.749579,8.243967,8.749579,7.489689999999999,11,6,9.7301,3,1,1,10,2.3574899999999994,7.00028,5.397067,7.00028,4.64279,8,3,7.948500000000001,Anzhi Makhachkala,0.7108,0.2019,0.0873
8,a,0.855457,2.6809,0.855457,2.6809,2,5,1,2,0.1501,l,2018-10-01 16:30:00,0,0,1,0,-1.825443,388,21,325,24,2,6,1,7,-8.527962,5.651544,13.293242,4.765280000000001,13.293242,3,14,6.7234,1,4,0,3,-5.876451,3.062398,8.938849,3.062398,8.938849,2,10,3.116,Rubin Kazan,0.0122,0.1135,0.8743,a,1.54017,2.18691,0.785897,2.18691,10,3,2,2,0.9033,d,2018-09-22 13:30:00,0,1,0,1,-1.4010130000000005,206,30,228,15,2,1,5,11,-1.5163740000000003,7.210411000000001,8.726790000000001,6.456138000000001,7.972512,9,8,9.4903,1,0,4,7,-1.420341,4.674645,6.094991,3.920372,5.340713,6,5,5.7448,Arsenal Tula,0.2217,0.2382,0.5401
9,h,0.784774,0.68679,0.784774,0.68679,2,9,1,0,1.446,w,2018-10-06 11:00:00,1,0,0,3,0.0979839999999999,254,15,127,18,3,6,1,10,-8.429978,6.436318,13.980032,5.550054,13.980032,4,14,8.1694,2,3,0,6,-3.4956090000000004,3.4576,6.953208999999999,3.4576,6.953208999999999,3,9,4.491099999999999,Dinamo Moscow,0.3549,0.3813,0.2638,a,0.379643,0.950003,0.379643,0.950003,6,5,0,3,0.737,l,2018-09-30 13:30:00,0,0,1,0,-0.57036,272,18,196,19,2,3,4,10,1.7298679999999995,9.278877,7.549009,8.524607,6.794739,9,9,13.4485,1,3,1,4,0.588152,6.015253,5.427101,5.260983,4.672831,4,7,7.1394,FC Krasnodar,0.1278,0.3536,0.5186
