,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.78611,0.195363,0.78611,0.195363,6,2,1,0,1.8844,w,2018-07-28 19:00:00,1,0,0,3,0.5907469999999999,150,18,301,13,1,0,0,3,0.5907469999999999,0.78611,0.195363,0.78611,0.195363,1,0,1.8844,1,0,0,3,0.5907469999999999,0.78611,0.195363,0.78611,0.195363,1,0,1.8844,FC Orenburg,0.4856,0.4276,0.0868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.47596,0.533667,1.47596,0.533667,7,0,0,0,2.1399,d,2018-08-04 19:00:00,0,1,0,1,0.942293,248,24,201,13,1,0,1,4,1.5330399999999995,2.26207,0.7290300000000001,2.26207,0.7290300000000001,1,0,4.0243,1,0,1,4,1.5330399999999995,2.26207,0.7290300000000001,2.26207,0.7290300000000001,1,0,4.0243,Lokomotiv Moscow,0.6261,0.2616,0.1123,a,1.04565,1.95799,1.04565,1.20372,7,7,0,0,0.6736000000000001,d,2018-07-30 18:00:00,0,1,0,1,-0.1580699999999999,247,13,228,28,0,0,1,1,-0.1580699999999999,1.04565,1.95799,1.04565,1.20372,0,0,0.6736000000000001,0,0,1,1,-0.1580699999999999,1.04565,1.95799,1.04565,1.20372,0,0,0.6736000000000001,FC Ufa,0.1453,0.2377,0.617
2,h,1.77821,0.0220797,1.77821,0.0220797,19,0,1,0,2.7205,w,2018-08-11 19:00:00,1,0,0,3,1.7561303,64,22,287,11,2,0,1,7,3.2891703,4.04028,0.7511097000000001,4.04028,0.7511097000000001,2,0,6.7448,2,0,1,7,3.2891703,4.04028,0.7511097000000001,4.04028,0.7511097000000001,2,0,6.7448,Anzhi Makhachkala,0.8616,0.1357,0.0027,a,0.0666186,1.10699,0.0666186,1.10699,0,3,0,3,0.3385,l,2018-08-06 17:30:00,0,0,1,0,-1.0403714,245,23,305,17,1,1,0,3,-2.0259879,0.1218021,2.14779,0.1218021,2.14779,1,3,0.6959,1,1,0,3,-2.0259879,0.1218021,2.14779,0.1218021,2.14779,1,3,0.6959,FC Ufa,0.0179,0.2848,0.6973
3,a,0.339471,1.0754,0.339471,1.0754,4,6,1,0,0.6646000000000001,w,2018-08-18 19:00:00,1,0,0,3,-0.7359289999999998,195,22,133,20,3,0,1,10,2.5532413,4.379751,1.8265097,4.379751,1.8265097,3,0,7.4094,3,0,1,10,2.5532413,4.379751,1.8265097,4.379751,1.8265097,3,0,7.4094,FC Krasnodar,0.1114,0.3304,0.5582,a,0.69905,0.703006,0.69905,0.703006,11,4,1,0,1.31,w,2018-08-13 17:30:00,1,0,0,3,-0.003956,157,15,299,11,2,1,0,6,-1.101557,2.448349,3.549906,2.448349,3.549906,4,3,3.0916,2,1,0,6,-1.101557,2.448349,3.549906,2.448349,3.549906,4,3,3.0916,FC Ufa,0.3119,0.3743,0.3138
4,h,2.22604,0.36489,1.47177,0.36489,4,4,2,1,2.698,w,2018-08-25 19:00:00,1,0,0,3,1.10688,189,26,157,24,4,0,1,13,3.6601213,6.605791,2.1913997,5.851521,2.1913997,5,1,10.1074,4,0,1,13,3.6601213,6.605791,2.1913997,5.851521,2.1913997,5,1,10.1074,Dinamo Moscow,0.8628,0.1096,0.0276,h,0.958973,0.145577,0.958973,0.145577,10,0,3,0,2.1026,w,2018-08-20 19:30:00,1,0,0,3,0.813396,171,16,218,13,1,0,3,6,1.141716,3.263624,2.121908,3.263624,2.121908,5,2,6.309100000000001,1,0,3,6,1.141716,3.263624,2.121908,3.263624,2.121908,5,2,6.309100000000001,FC Ufa,0.5795,0.3641,0.0564
5,a,0.512206,0.845865,0.512206,0.845865,2,8,0,0,0.985,d,2018-09-02 16:00:00,0,1,0,1,-0.3336589999999999,193,30,145,23,4,0,2,14,3.3264623,7.117997,3.0372647,6.363727,3.0372647,5,1,11.0924,3,0,2,11,2.7357153000000003,6.331887,2.8419017,5.577617,2.8419017,4,1,9.208,Zenit St. Petersburg,0.2025,0.3775,0.42,a,2.05277,0.500344,2.05277,0.500344,7,4,2,0,2.564,w,2018-08-26 16:30:00,1,0,0,3,1.552426,192,12,275,26,5,0,0,15,6.351963,8.74907,2.397107,8.74907,2.397107,10,1,12.0467,5,0,0,15,6.351963,8.74907,2.397107,8.74907,2.397107,10,1,12.0467,FC Ufa,0.8045,0.1505,0.045
6,h,0.750654,1.60606,0.750654,0.851782,11,4,1,2,0.5825,l,2018-09-16 16:00:00,0,0,1,0,-0.101128,138,30,266,12,4,1,2,14,3.2253343,7.868651,4.6433247,7.114381,3.8890467,6,3,11.6749,3,1,1,10,1.6922943000000004,5.606581,3.9142947,4.852311,3.1600167,5,3,7.650600000000001,FK Akhmat,0.1167,0.2324,0.6509,h,1.11595,0.271311,1.11595,0.271311,6,1,2,1,2.1553,w,2018-09-02 18:30:00,1,0,0,3,0.8446389999999999,164,26,232,15,2,3,1,7,1.3080854,5.6284034,4.320317999999999,5.6284034,4.320317999999999,6,8,9.0929,2,2,1,7,2.258621,5.600148,3.341527,5.600148,3.341527,6,7,8.7183,FC Ufa,0.6159,0.3076,0.0765
7,a,0.797273,0.823241,0.797273,0.823241,4,11,1,1,1.3379,d,2018-09-23 16:00:00,0,1,0,1,-0.0259679999999999,172,11,183,27,4,1,3,15,3.1993663000000003,8.665924,5.4665657,7.911653999999999,4.7122877,7,4,13.0128,2,1,2,8,-0.0898039999999996,4.625643999999999,4.7154560000000005,3.871374,3.961178,5,4,6.268,CSKA Moscow,0.3264,0.3587,0.3149,a,1.34593,0.46627,1.34593,0.46627,5,8,3,0,2.1274,w,2018-09-15 13:30:00,1,0,0,3,0.8796600000000001,260,7,242,30,3,1,3,12,5.1265160000000005,10.17446,5.047948,9.420187,4.293671,12,3,13.4433,3,0,2,11,3.72574,7.953659,4.227923,7.199386,3.473646,12,2,9.5148,FC Ufa,0.6203,0.2665,0.1132
8,h,0.557661,1.20486,0.557661,1.20486,2,3,0,1,0.5609,l,2018-09-30 16:00:00,0,0,1,0,-0.6471990000000001,151,21,303,24,4,2,3,15,2.5521673,9.223585,6.6714257,8.469315,5.9171477,7,5,13.5737,1,2,2,5,-0.0010739999999999,4.843833999999999,4.844916,4.089564,4.090638,4,5,6.1643,FC Rostov,0.0816,0.3161,0.6023,h,0.422243,0.232151,0.422243,0.232151,4,3,0,0,1.4146,d,2018-09-22 16:00:00,0,1,0,1,0.1900919999999999,158,19,270,13,4,1,3,15,3.4447106000000005,7.85562,2.9023544,6.347064999999999,2.9023544,9,3,14.9883,2,0,3,9,2.842608,6.059575000000001,1.7084119999999998,4.55102,1.7084119999999998,7,2,10.5795,FC Ufa,0.2803,0.5737,0.146
9,a,1.71339,1.61194,0.959116,0.857668,5,2,3,2,1.424,w,2018-10-07 08:30:00,1,0,0,3,0.1014479999999999,114,8,188,21,5,2,3,18,2.6536153,10.936975,8.283365700000001,9.428431,6.7748157,10,7,14.997699999999998,1,2,2,5,-1.006506,4.331184,6.091966,3.57691,4.583416,5,6,4.8903,FC Yenisey Krasnoyarsk,0.3695,0.3155,0.315,a,0.210637,1.45755,0.210637,1.45755,2,10,1,2,0.3366,l,2018-09-29 13:30:00,0,0,1,0,-1.246913,286,18,236,18,1,6,2,5,-1.9160810000000004,7.314656999999999,9.985010999999998,7.314656999999999,9.230738,4,13,9.41,1,3,1,4,1.110914,4.858495,3.747581,4.858495,3.747581,3,5,7.1071,FC Ufa,0.0413,0.2127,0.746
