,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.704867,0.768719,0.704867,0.768719,6,12,1,2,1.2669,l,2019-07-13 18:30:00,0,0,1,0,-0.063852,230,15,202,22,0,1,0,0,-0.063852,0.704867,0.768719,0.704867,0.768719,1,2,1.2669,0,1,0,0,-0.063852,0.704867,0.768719,0.704867,0.768719,1,2,1.2669,FC Rostov,0.2979,0.3732,0.3289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.784283,1.51248,0.784283,1.51248,2,10,1,2,0.8027,l,2019-07-20 16:00:00,0,0,1,0,-0.7281970000000001,296,16,169,22,0,2,0,0,-0.7920490000000001,1.48915,2.281199,1.48915,2.281199,2,4,2.0696,0,2,0,0,-0.7920490000000001,1.48915,2.281199,1.48915,2.281199,2,4,2.0696,CSKA Moscow,0.1749,0.278,0.5471,a,0.949188,1.20929,0.949188,0.455012,11,5,0,2,1.0405,l,2019-07-14 13:30:00,0,0,1,0,0.494176,135,23,258,14,0,1,0,0,0.494176,0.949188,1.20929,0.949188,0.455012,0,2,1.0405,0,1,0,0,0.494176,0.949188,1.20929,0.949188,0.455012,0,2,1.0405,Krylya Sovetov Samara,0.2446,0.3067,0.4487
2,h,1.95859,2.05033,1.95859,1.29605,7,12,0,2,1.2948,l,2019-07-28 11:00:00,0,0,1,0,0.6625400000000001,301,23,168,11,0,3,0,0,-0.1295089999999999,3.44774,4.331529,3.44774,3.577249,2,6,3.3644,0,3,0,0,-0.1295089999999999,3.44774,4.331529,3.44774,3.577249,2,6,3.3644,Zenit St. Petersburg,0.3444,0.2616,0.394,a,3.49532,0.451965,2.74105,0.451965,11,7,2,0,2.9094,w,2019-07-21 18:30:00,1,0,0,3,2.289085,223,14,310,17,2,0,0,6,3.341518,4.86407,0.768282,4.1098,0.768282,4,1,5.216900000000001,2,0,0,6,3.341518,4.86407,0.768282,4.1098,0.768282,4,1,5.216900000000001,PFC Sochi,0.9589,0.0327,0.0084
3,a,0.372463,0.53833,0.372463,0.53833,4,4,1,2,1.0835,l,2019-08-05 18:00:00,0,0,1,0,-0.165867,263,30,223,32,0,4,0,0,-0.2953759999999999,3.820203,4.869859,3.820203,4.115579,3,8,4.4479,0,4,0,0,-0.2953759999999999,3.820203,4.869859,3.820203,4.115579,3,8,4.4479,FK Akhmat,0.2007,0.4814,0.3179,a,0.79744,1.45067,0.79744,1.45067,1,3,0,1,0.8233999999999999,l,2019-07-29 17:00:00,0,0,1,0,-0.6532299999999999,301,24,214,25,1,2,0,3,-1.3009999999999995,4.38464,4.931369999999999,3.63037,4.931369999999999,1,4,3.683,1,2,0,3,-1.3009999999999995,4.38464,4.931369999999999,3.63037,4.931369999999999,1,4,3.683,Rubin Kazan,0.1833,0.2735,0.5432
4,h,1.96059,1.03687,1.96059,1.03687,3,3,2,2,2.0514,d,2019-08-10 12:00:00,0,1,0,1,0.92372,185,19,280,21,0,4,1,1,0.6283440000000001,5.780793,5.906729,5.780793,5.152449000000001,5,10,6.4993,0,4,1,1,0.6283440000000001,5.780793,5.906729,5.780793,5.152449000000001,5,10,6.4993,FC Tambov,0.6095,0.2229,0.1676,h,0.594033,1.0036,0.594033,1.0036,9,5,0,1,0.8861000000000001,l,2019-08-04 14:30:00,0,0,1,0,-0.409567,205,25,205,23,1,3,0,3,-0.9690550000000002,3.4175530000000003,4.386608000000001,3.4175530000000003,4.386608000000001,4,5,4.448,1,3,0,3,-0.9690550000000002,3.4175530000000003,4.386608000000001,3.4175530000000003,4.386608000000001,4,5,4.448,Arsenal Tula,0.1857,0.329,0.4853
5,h,0.956093,1.15442,0.956093,0.40015,9,6,1,1,1.1037,d,2019-08-16 16:00:00,0,1,0,1,0.555943,228,19,142,19,0,4,2,2,1.184287,6.736886,7.061149,6.736886,5.552599000000001,6,11,7.603,0,3,2,2,1.248139,6.032019,6.29243,6.032019,4.78388,5,9,6.3361,PFC Sochi,0.2539,0.342,0.4041,a,0.709087,0.663134,0.709087,0.663134,2,9,0,0,1.41,d,2019-08-11 17:00:00,0,1,0,1,0.045953,303,17,129,21,0,3,2,2,-3.044551,4.349577,8.148397999999998,4.349577,7.394127999999999,0,6,5.6053,0,3,2,2,-3.044551,4.349577,8.148397999999998,4.349577,7.394127999999999,0,6,5.6053,CSKA Moscow,0.3388,0.3936,0.2676
6,a,1.19685,0.488713,1.19685,0.488713,9,3,1,2,2.0299,l,2019-08-25 19:30:00,0,0,1,0,0.708137,195,15,190,15,0,5,2,2,1.892424,7.933736,7.549862,7.933736,6.0413120000000005,7,13,9.6329,0,3,2,2,2.684473000000001,6.444585999999999,5.268662999999999,6.444585999999999,3.760113,5,9,7.5633,Arsenal Tula,0.5787,0.2938,0.1275,a,0.970755,0.981768,0.970755,0.981768,5,8,0,1,1.3246,l,2019-08-18 12:00:00,0,0,1,0,-0.0110129999999999,231,20,155,26,3,2,1,10,1.320645,6.899635,5.57899,6.899635,5.57899,8,7,9.32,3,2,0,9,0.7882359999999999,5.393795000000001,4.605559,5.393795000000001,4.605559,7,6,7.4806,Rubin Kazan,0.3328,0.3262,0.341
7,a,1.82723,1.21165,1.07296,1.21165,3,10,2,1,1.9212,w,2019-08-31 09:30:00,1,0,0,3,-0.1386899999999999,224,18,156,23,1,5,2,5,1.753734,9.760966,8.761512,9.006696,7.252962,9,14,11.5541,1,2,2,5,1.883243,6.313226,4.429983,5.558956,3.675713,7,8,8.1897,FC Ufa,0.5479,0.2775,0.1746,h,1.0643,1.54003,1.0643,1.54003,3,14,1,0,0.9971,w,2019-08-24 14:30:00,1,0,0,3,-0.47573,242,19,109,19,3,3,1,10,-2.201799,6.604416,8.051944,5.850145,8.051944,9,8,8.091,3,1,1,10,-1.245788,3.824246,5.070034,3.824246,5.070034,5,2,5.453799999999999,Zenit St. Petersburg,0.2425,0.2696,0.4879
8,h,3.47435,1.07242,2.72007,1.07242,6,5,2,1,2.7014,w,2019-09-15 11:00:00,1,0,0,3,1.6476500000000005,324,19,124,14,2,5,2,8,3.401384,13.235316,9.833932,11.726766,8.325382,11,15,14.2555,2,1,2,8,3.69676,9.415113,4.964073,7.906563,4.209803,8,7,9.8076,Rubin Kazan,0.8706,0.0896,0.0398,h,1.17139,3.20643,1.17139,3.20643,9,6,0,3,0.3124,l,2019-08-31 12:00:00,0,0,1,0,-2.0350400000000004,186,23,268,24,3,4,1,10,-5.4218090000000005,8.502906,14.678985,8.502906,13.924715,5,8,6.980899999999999,1,4,0,3,-4.304509,4.640196,8.944704999999999,4.640196,8.944704999999999,2,7,3.9895,PFC Sochi,0.0653,0.1165,0.8182
9,h,1.96201,2.89128,1.96201,2.137,8,6,2,3,0.7936,l,2019-09-22 08:30:00,0,0,1,0,-0.1749899999999999,194,15,174,13,2,6,2,8,3.226394,15.197326,12.725212,13.688776,10.462382,13,18,15.0491,2,2,1,7,2.59805,9.416533,6.818483,7.907983000000001,5.309932999999999,8,8,8.5498,Lokomotiv Moscow,0.1979,0.1999,0.6022,a,1.50506,0.696383,1.50506,0.696383,5,6,1,0,2.0337,w,2019-09-14 16:00:00,1,0,0,3,0.8086770000000001,232,20,211,21,5,2,2,17,8.518184,18.600661,9.328210000000002,17.092121,8.573936999999999,14,8,17.578400000000002,3,1,1,10,5.417050000000001,11.286467000000002,5.115147,10.532197,5.115147,9,4,10.1795,PFC Sochi,0.5931,0.2544,0.1525
10,a,0.695329,1.73011,0.695329,1.73011,1,9,2,1,0.6048,w,2019-09-29 13:30:00,1,0,0,3,-1.0347810000000002,235,18,127,20,3,6,2,11,2.191613,15.892654999999998,14.455322,14.384104999999998,12.192492,15,19,15.6539,3,2,0,9,1.0073260000000004,9.155768999999998,7.394172999999999,7.647219,6.639892999999999,9,8,8.050899999999999,Spartak Moscow,0.1251,0.2295,0.6454,a,2.44372,0.920475,2.44372,0.920475,10,7,0,1,2.471,l,2019-09-20 14:30:00,0,0,1,0,1.5232449999999995,126,13,344,17,4,4,2,14,-0.7818019999999999,12.809819999999998,12.837352,12.05555,12.837352,11,11,13.2914,2,3,0,6,3.045186,7.909772,4.864586,7.909772,4.864586,5,6,8.9771,FC Ufa,0.7744,0.1478,0.0778
