,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.80674,0.892691,1.80674,0.892691,3,2,0,1,2.1401,l,2019-07-13 16:00:00,0,0,1,0,0.914049,321,38,170,21,0,1,0,0,0.914049,1.80674,0.892691,1.80674,0.892691,0,1,2.1401,0,1,0,0,0.914049,1.80674,0.892691,1.80674,0.892691,0,1,2.1401,Spartak Moscow,0.6345,0.2366,0.1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.451965,3.49532,0.451965,2.74105,7,11,0,2,0.0579,l,2019-07-21 18:30:00,0,0,1,0,-2.289085,310,17,223,14,0,2,0,0,-1.375036,2.258705,4.388011,2.258705,3.633741,0,3,2.198,0,2,0,0,-1.375036,2.258705,4.388011,2.258705,3.633741,0,3,2.198,Zenit St. Petersburg,0.0084,0.0327,0.9589,h,1.36875,0.316317,1.36875,0.316317,8,6,2,1,2.3075,w,2019-07-14 16:00:00,1,0,0,3,1.052433,222,26,370,29,1,0,0,3,1.052433,1.36875,0.316317,1.36875,0.316317,2,1,2.3075,1,0,0,3,1.052433,1.36875,0.316317,1.36875,0.316317,2,1,2.3075,FC Tambov,0.6885,0.242,0.0695
2,a,0.636108,2.78278,0.636108,2.78278,4,8,0,3,0.2042,l,2019-07-27 16:00:00,0,0,1,0,-2.146672,320,22,138,17,0,3,0,0,-3.521708,2.894813,7.170791,2.894813,6.416521,0,6,2.4022,0,3,0,0,-3.521708,2.894813,7.170791,2.894813,6.416521,0,6,2.4022,FC Krasnodar,0.0365,0.0947,0.8688,a,1.7705,1.12735,1.7705,1.12735,14,4,3,2,1.858,w,2019-07-20 11:00:00,1,0,0,3,0.6431499999999999,71,25,316,16,1,1,0,3,0.2692699999999999,2.80612,3.2911200000000003,2.80612,2.5368500000000003,3,3,2.4333,1,1,0,3,0.2692699999999999,2.80612,3.2911200000000003,2.80612,2.5368500000000003,3,3,2.4333,FC Ufa,0.5377,0.2449,0.2174
3,h,0.745677,0.314473,0.745677,0.314473,5,6,0,0,1.7931,d,2019-08-04 19:30:00,0,1,0,1,0.431204,227,18,301,17,0,3,1,1,-3.090504,3.64049,7.485263999999999,3.64049,6.730993999999999,0,6,4.1953,0,3,1,1,-3.090504,3.64049,7.485263999999999,3.64049,6.730993999999999,0,6,4.1953,FC Ufa,0.4613,0.4092,0.1295,h,0.93685,0.947916,0.93685,0.947916,4,12,2,1,1.3056,w,2019-07-27 11:00:00,1,0,0,3,-0.011066,329,18,161,19,1,2,0,3,-0.967077,3.71702,3.929826,2.962749,3.929826,6,7,3.9428,1,2,0,3,-0.967077,3.71702,3.929826,2.962749,3.929826,6,7,3.9428,Krylya Sovetov Samara,0.3227,0.3375,0.3398
4,a,0.709087,0.663134,0.709087,0.663134,2,9,0,0,1.41,d,2019-08-11 17:00:00,0,1,0,1,0.045953,303,17,129,21,0,3,2,2,-3.044551,4.349577,8.148397999999998,4.349577,7.394127999999999,0,6,5.6053,0,3,2,2,-3.044551,4.349577,8.148397999999998,4.349577,7.394127999999999,0,6,5.6053,CSKA Moscow,0.3388,0.3936,0.2676,a,1.2226,1.03403,1.2226,1.03403,6,7,1,0,1.527,w,2019-08-04 17:00:00,1,0,0,3,0.1885699999999999,165,33,181,13,3,1,0,9,1.216046,4.905938,3.689897,4.151665,2.935619,4,3,6.409400000000001,3,1,0,9,1.216046,4.905938,3.689897,4.151665,2.935619,4,3,6.409400000000001,Rubin Kazan,0.4087,0.3009,0.2904
5,a,1.15442,0.956093,0.40015,0.956093,6,9,1,1,1.5543,d,2019-08-16 16:00:00,0,1,0,1,-0.555943,142,19,228,19,0,3,3,3,-3.600494,5.503997,9.104490999999998,4.749727,8.350221,1,7,7.159599999999999,0,2,3,3,-4.514543,3.697257000000001,8.2118,2.9429870000000005,7.45753,1,6,5.019500000000001,FC Orenburg,0.4041,0.342,0.2539,h,1.96059,1.03687,1.96059,1.03687,3,3,2,2,2.0514,d,2019-08-10 12:00:00,0,1,0,1,0.92372,185,19,280,21,0,4,1,1,0.6283440000000001,5.780793,5.906729,5.780793,5.152449000000001,5,10,6.4993,0,4,1,1,0.6283440000000001,5.780793,5.906729,5.780793,5.152449000000001,5,10,6.4993,FC Tambov,0.6095,0.2229,0.1676
6,a,1.20384,2.44765,1.20384,1.69338,6,7,1,3,0.4619,l,2019-08-26 16:00:00,0,0,1,0,-0.4895400000000001,278,20,253,13,0,4,3,3,-4.090034,6.707837,11.552140999999995,5.953567,10.043601,2,10,7.621499999999999,0,2,3,3,-2.714998,4.4491320000000005,7.16413,3.694862,6.40986,2,7,5.4235,Ural,0.0869,0.2012,0.7119,h,0.887251,1.95456,0.887251,1.95456,6,7,1,3,0.5799,l,2019-08-17 12:00:00,0,0,1,0,-1.067309,203,13,223,11,2,3,1,7,-4.950726,7.757973,13.462970000000002,7.757973,12.708699,9,13,5.413100000000001,1,3,1,4,-5.263586999999999,6.546563,11.81015,6.546563,11.81015,6,11,4.4278,Krylya Sovetov Samara,0.1237,0.2088,0.6675
7,a,3.20643,1.17139,3.20643,1.17139,6,9,3,0,2.5711,w,2019-08-31 12:00:00,1,0,0,3,2.0350400000000004,268,24,186,23,1,4,3,6,-2.054994,9.914267,12.723530999999998,9.159997,11.214991,5,10,10.1926,1,1,3,6,1.4667140000000003,7.019454,5.552739999999999,6.265184,4.79847,5,4,7.7904,Rubin Kazan,0.8182,0.1165,0.0653,a,0.47922,1.47599,0.47922,1.47599,2,10,1,2,0.5957,l,2019-08-25 17:00:00,0,0,1,0,-0.99677,202,13,205,20,3,3,1,10,-3.386769,7.331515999999999,11.472555,7.331515999999999,10.718285,5,5,6.668499999999999,2,3,0,6,-1.6162390000000002,4.919476,6.535715,4.919476,6.535715,3,4,5.5802,FC Rostov,0.1094,0.2675,0.6231
8,h,0.696383,1.50506,0.696383,1.50506,6,5,0,1,0.7119,l,2019-09-14 16:00:00,0,0,1,0,-0.8086770000000001,211,21,232,20,1,5,3,6,-2.863671,10.61065,14.228590999999998,9.85638,12.720051,5,11,10.9045,1,2,2,5,0.2268330000000002,6.97016,6.743327,6.21589,5.989057,5,5,6.709199999999999,Lokomotiv Moscow,0.1525,0.2544,0.5931,h,2.17999,1.88066,2.17999,1.88066,10,7,1,2,1.6123999999999998,l,2019-08-31 14:30:00,0,0,1,0,0.2993300000000001,128,24,169,32,4,2,2,14,7.709507,17.095601000000002,8.631827000000001,15.587061,7.877553999999999,13,8,15.5447,3,1,1,10,6.619063000000001,12.843167,5.469834,12.088897,5.469834,10,5,10.8085,FC Rostov,0.4586,0.2366,0.3048
9,a,1.18294,0.727353,1.18294,0.727353,4,6,3,2,1.7955,w,2019-09-22 11:00:00,1,0,0,3,0.4555870000000001,263,19,159,30,2,5,3,9,-2.408084,11.79359,14.955944,11.039320000000002,13.447404,8,13,12.7,2,2,1,7,0.6364670000000004,7.444013000000001,6.807546,6.689743000000001,6.053276,8,7,7.0947,Dinamo Moscow,0.496,0.3075,0.1965,h,2.34021,0.658613,2.34021,0.658613,11,6,0,0,2.526,d,2019-09-16 17:00:00,0,1,0,1,1.681597,105,24,344,11,2,3,4,10,3.01953,12.51298,10.247720000000005,12.51298,9.49345,6,6,14.174499999999998,1,2,2,5,0.9649889999999998,6.480833,6.270114,6.480833,5.515844,3,4,7.2971,FC Ufa,0.7927,0.1479,0.0594
