,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.17237,2.41852,1.17237,1.66425,6,9,1,1,0.5286,d,2019-07-15 17:00:00,0,1,0,1,-0.4918800000000001,290,22,304,37,0,0,1,1,-0.4918800000000001,1.17237,2.41852,1.17237,1.66425,1,1,0.5286,0,0,1,1,-0.4918800000000001,1.17237,2.41852,1.17237,1.66425,1,1,0.5286,Lokomotiv Moscow,0.1148,0.1842,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.23967,2.51832,1.23967,2.51832,1,9,1,0,0.5597,w,2019-07-21 16:00:00,1,0,0,3,-1.27865,223,11,219,33,1,0,1,4,-1.7705300000000002,2.41204,4.93684,2.41204,4.18257,2,1,1.0882999999999998,1,0,1,4,-1.7705300000000002,2.41204,4.93684,2.41204,4.18257,2,1,1.0882999999999998,Dinamo Moscow,0.1233,0.1898,0.6869,a,0.973431,1.50584,0.973431,1.50584,5,4,1,1,0.8893,d,2019-07-12 17:00:00,0,1,0,1,-0.532409,208,20,170,19,0,0,1,1,-0.532409,0.973431,1.50584,0.973431,1.50584,1,1,0.8893,0,0,1,1,-0.532409,0.973431,1.50584,0.973431,1.50584,1,1,0.8893,Arsenal Tula,0.206,0.2713,0.5227
2,h,1.45067,0.79744,1.45067,0.79744,3,1,1,0,1.9031,w,2019-07-29 17:00:00,1,0,0,3,0.6532299999999999,214,25,301,24,2,0,1,7,-1.1173000000000002,3.86271,5.73428,3.86271,4.98001,3,1,2.9914,2,0,1,7,-1.1173000000000002,3.86271,5.73428,3.86271,4.98001,3,1,2.9914,FK Akhmat,0.5432,0.2735,0.1833,a,1.42343,2.44508,1.42343,2.44508,3,5,0,3,0.6388,l,2019-07-21 11:00:00,0,0,1,0,-1.02165,193,23,288,27,1,1,0,3,-0.64777,3.5872,3.4807,2.83293,3.4807,1,3,2.8596000000000004,1,1,0,3,-0.64777,3.5872,3.4807,2.83293,3.4807,1,3,2.8596000000000004,Ural,0.1425,0.2113,0.6462
3,h,1.03403,1.2226,1.03403,1.2226,7,6,0,1,1.1721,l,2019-08-04 17:00:00,0,0,1,0,-0.1885699999999999,181,13,165,33,2,1,1,7,-1.30587,4.896739999999999,6.95688,4.896739999999999,6.20261,3,2,4.163499999999999,2,1,1,7,-1.30587,4.896739999999999,6.95688,4.896739999999999,6.20261,3,2,4.163499999999999,CSKA Moscow,0.2904,0.3009,0.4087,h,1.22167,0.662294,0.467397,0.662294,4,6,1,0,1.9226,w,2019-07-28 16:00:00,1,0,0,3,-0.194897,228,37,169,20,2,1,0,6,1.027476,3.683338,2.655867,2.929065,1.901589,3,3,4.8824000000000005,2,1,0,6,1.027476,3.683338,2.655867,2.929065,1.901589,3,3,4.8824000000000005,Lokomotiv Moscow,0.537,0.3116,0.1514
4,a,0.973788,2.06893,0.973788,2.06893,1,8,0,1,0.5600999999999999,l,2019-08-10 17:00:00,0,0,1,0,-1.095142,182,24,231,24,2,2,1,7,-2.401012,5.870527999999999,9.02581,5.870527999999999,8.27154,3,3,4.723599999999999,2,2,1,7,-2.401012,5.870527999999999,9.02581,5.870527999999999,8.27154,3,3,4.723599999999999,FC Krasnodar,0.1147,0.216,0.6693,a,0.180588,1.68841,0.180588,1.68841,1,7,1,1,0.2455,d,2019-08-03 19:30:00,0,1,0,1,-1.507822,222,24,212,24,2,1,1,7,0.9081199999999994,5.769488,5.615638000000001,5.769488,4.861368000000001,7,4,5.379899999999999,2,1,1,7,0.9081199999999994,5.769488,5.615638000000001,5.769488,4.861368000000001,7,4,5.379899999999999,Zenit St. Petersburg,0.0269,0.1648,0.8083
5,h,0.981768,0.970755,0.981768,0.970755,8,5,1,0,1.3492000000000002,w,2019-08-18 12:00:00,1,0,0,3,0.0110129999999999,155,26,231,20,3,2,1,10,-2.3899990000000004,6.852295999999999,9.996565,6.852295999999999,9.242295,4,3,6.072799999999999,3,2,0,9,-1.898119,5.679926,7.578044999999999,5.679926,7.578044999999999,3,2,5.5442,Arsenal Tula,0.341,0.3262,0.3328,h,1.0268,0.608228,1.0268,0.608228,4,9,1,0,1.7218999999999998,w,2019-08-11 12:00:00,1,0,0,3,0.4185719999999999,159,23,216,26,3,1,1,10,1.331658,5.92888,4.597222,5.92888,4.597222,8,6,7.9954,3,1,1,10,1.331658,5.92888,4.597222,5.92888,4.597222,8,6,7.9954,FC Ufa,0.4628,0.3335,0.2037
6,a,0.47922,1.47599,0.47922,1.47599,2,10,1,2,0.5957,l,2019-08-25 17:00:00,0,0,1,0,-0.99677,202,13,205,20,3,3,1,10,-3.386769,7.331515999999999,11.472555,7.331515999999999,10.718285,5,5,6.668499999999999,2,3,0,6,-1.6162390000000002,4.919476,6.535715,4.919476,6.535715,3,4,5.5802,FC Rostov,0.1094,0.2675,0.6231,a,0.809611,0.900395,0.809611,0.900395,5,3,0,2,1.2438,l,2019-08-18 14:30:00,0,0,1,0,-0.0907839999999999,119,19,193,21,3,1,2,11,2.915235,8.76883,6.607864999999999,8.76883,5.853594999999999,10,9,9.7777,2,1,2,8,2.851383,8.000111,5.902997999999999,8.000111,5.148727999999999,8,8,8.4178,FC Ufa,0.2988,0.3474,0.3538
7,h,1.17139,3.20643,1.17139,3.20643,9,6,0,3,0.3124,l,2019-08-31 12:00:00,0,0,1,0,-2.0350400000000004,186,23,268,24,3,4,1,10,-5.4218090000000005,8.502906,14.678985,8.502906,13.924715,5,8,6.980899999999999,1,4,0,3,-4.304509,4.640196,8.944704999999999,4.640196,8.944704999999999,2,7,3.9895,PFC Sochi,0.0653,0.1165,0.8182,a,1.20384,2.44765,1.20384,1.69338,6,7,1,3,0.4619,l,2019-08-26 16:00:00,0,0,1,0,-0.4895400000000001,278,20,253,13,0,4,3,3,-4.090034,6.707837,11.552140999999995,5.953567,10.043601,2,10,7.621499999999999,0,2,3,3,-2.714998,4.4491320000000005,7.16413,3.694862,6.40986,2,7,5.4235,Ural,0.0869,0.2012,0.7119
8,a,1.07242,3.47435,1.07242,2.72007,5,6,1,2,0.209,l,2019-09-15 11:00:00,0,0,1,0,-1.6476500000000005,124,14,324,19,3,5,1,10,-7.069459000000001,9.575326,18.153335,9.575326,16.644785,6,10,7.189899999999999,1,4,0,3,-5.763589000000001,4.678586,11.196455,4.678586,10.442175,3,8,3.0264,FC Orenburg,0.0398,0.0896,0.8706,a,1.82723,1.21165,1.07296,1.21165,3,10,2,1,1.9212,w,2019-08-31 09:30:00,1,0,0,3,-0.1386899999999999,224,18,156,23,1,5,2,5,1.753734,9.760966,8.761512,9.006696,7.252962,9,14,11.5541,1,2,2,5,1.883243,6.313226,4.429983,5.558956,3.675713,7,8,8.1897,FC Ufa,0.5479,0.2775,0.1746
9,a,0.2166,3.67424,0.2166,3.67424,4,15,0,5,0.0123,l,2019-09-21 16:00:00,0,0,1,0,-3.45764,286,9,239,18,3,6,1,10,-10.527099000000002,9.791925999999998,21.827575000000003,9.791925999999998,20.319025,6,15,7.202199999999999,1,4,0,3,-8.126087,3.921398,12.801765,3.921398,12.047485000000002,3,12,2.4786,Zenit St. Petersburg,0.0008,0.0099,0.9893,h,3.47259,0.760863,1.96404,0.760863,12,4,3,1,2.8455,w,2019-09-13 17:00:00,1,0,0,3,1.2031770000000002,196,32,312,8,6,1,2,20,9.554526,19.231556,6.659930000000001,16.214456,6.659930000000001,13,4,20.356900000000003,3,1,1,10,5.367726,10.628746,3.75247,9.120196,3.75247,6,2,11.1067,Arsenal Tula,0.9307,0.0534,0.0159
