,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.21141,1.65282,1.21141,0.898549,2,6,3,2,0.9853,w,2019-07-13 13:30:00,1,0,0,3,0.312861,192,20,199,15,1,0,0,3,0.312861,1.21141,1.65282,1.21141,0.898549,3,2,0.9853,1,0,0,3,0.312861,1.21141,1.65282,1.21141,0.898549,3,2,0.9853,FC Ufa,0.2369,0.2746,0.4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.44508,1.42343,2.44508,1.42343,5,3,3,0,2.1499,w,2019-07-21 11:00:00,1,0,0,3,1.02165,288,27,193,23,2,0,0,6,1.334511,3.65649,3.07625,3.65649,2.321979,6,2,3.1352,2,0,0,6,1.334511,3.65649,3.07625,3.65649,2.321979,6,2,3.1352,FK Akhmat,0.6462,0.2113,0.1425,h,2.16377,1.03562,1.4095,1.03562,5,12,1,0,2.2208,w,2019-07-14 18:30:00,1,0,0,3,0.37388,264,26,157,29,1,0,0,3,0.37388,2.16377,1.03562,1.4095,1.03562,1,0,2.2208,1,0,0,3,0.37388,2.16377,1.03562,1.4095,1.03562,1,0,2.2208,FC Krasnodar,0.6723,0.2039,0.1238
2,a,0.651191,1.69636,0.651191,1.69636,4,10,0,2,0.5815,l,2019-07-26 17:00:00,0,0,1,0,-1.045169,180,19,264,31,2,1,0,6,0.289342,4.307681,4.77261,4.307681,4.018339,6,4,3.7167,2,1,0,6,0.289342,4.307681,4.77261,4.307681,4.018339,6,4,3.7167,Dinamo Moscow,0.1168,0.2311,0.6521,h,2.51832,1.23967,2.51832,1.23967,9,1,0,1,2.2505,l,2019-07-21 16:00:00,0,0,1,0,1.27865,219,33,223,11,0,1,1,1,0.746241,3.4917510000000003,2.7455100000000003,3.4917510000000003,2.7455100000000003,1,2,3.1398,0,1,1,1,0.746241,3.4917510000000003,2.7455100000000003,3.4917510000000003,2.7455100000000003,1,2,3.1398,Rubin Kazan,0.6869,0.1898,0.1233
3,h,1.6608,2.14413,1.6608,2.14413,4,17,2,2,1.0762,d,2019-08-03 12:00:00,0,1,0,1,-0.48333,216,18,146,18,2,1,1,7,-0.193988,5.968481,6.916740000000001,5.968481,6.162469,8,6,4.7929,2,1,1,7,-0.193988,5.968481,6.916740000000001,5.968481,6.162469,8,6,4.7929,FC Rostov,0.2834,0.226,0.4906,a,1.26099,1.1473,1.26099,1.1473,9,3,3,2,1.4607,w,2019-07-28 13:30:00,1,0,0,3,0.11369,152,22,154,14,2,0,1,7,1.7184720000000002,4.600079,3.635877,4.600079,2.881607,7,5,4.750500000000001,2,0,1,7,1.7184720000000002,4.600079,3.635877,4.600079,2.881607,7,5,4.750500000000001,Arsenal Tula,0.3933,0.2808,0.3259
4,a,0.902241,4.59167,0.902241,4.59167,4,11,0,4,0.0403,l,2019-08-11 14:30:00,0,0,1,0,-3.689429,178,20,201,32,2,2,1,7,-3.883417,6.870722,11.50841,6.870722,10.754139,8,10,4.833200000000001,2,2,1,7,-3.883417,6.870722,11.50841,6.870722,10.754139,8,10,4.833200000000001,Lokomotiv Moscow,0.0055,0.0238,0.9707,a,3.06176,1.05107,3.06176,1.05107,5,1,2,1,2.6627,w,2019-08-03 14:30:00,1,0,0,3,2.0106900000000003,192,28,211,22,2,1,1,7,3.1011340000000005,7.314194,4.213063,6.5599240000000005,3.45879,5,4,7.3989,2,1,1,7,3.1011340000000005,7.314194,4.213063,6.5599240000000005,3.45879,5,4,7.3989,Krylya Sovetov Samara,0.8516,0.1079,0.0405
5,h,0.887251,1.95456,0.887251,1.95456,6,7,1,3,0.5799,l,2019-08-17 12:00:00,0,0,1,0,-1.067309,203,13,223,11,2,3,1,7,-4.950726,7.757973,13.462970000000002,7.757973,12.708699,9,13,5.413100000000001,1,3,1,4,-5.263586999999999,6.546563,11.81015,6.546563,11.81015,6,11,4.4278,Krylya Sovetov Samara,0.1237,0.2088,0.6675,a,0.410793,1.21501,0.410793,1.21501,6,12,0,1,0.6243000000000001,l,2019-08-12 18:00:00,0,0,1,0,-0.804217,177,13,169,17,1,4,0,3,-3.382817,4.779609,7.408147999999999,4.025331,7.408147999999999,6,8,5.160499999999999,1,4,0,3,-3.382817,4.779609,7.408147999999999,4.025331,7.408147999999999,6,8,5.160499999999999,FC Rostov,0.1114,0.2901,0.5985
6,h,2.44765,1.20384,1.69338,1.20384,7,6,3,1,2.3369,w,2019-08-26 16:00:00,1,0,0,3,0.4895400000000001,253,13,278,20,3,3,1,10,-4.461186,10.205623,14.666810000000002,9.451353,13.912539,12,14,7.750000000000001,1,3,1,4,-5.795697,6.549132999999999,11.59056,5.794863,11.59056,6,12,4.614800000000001,PFC Sochi,0.7119,0.2012,0.0869,a,1.15442,0.956093,0.40015,0.956093,6,9,1,1,1.5543,d,2019-08-16 16:00:00,0,1,0,1,-0.555943,142,19,228,19,0,3,3,3,-3.600494,5.503997,9.104490999999998,4.749727,8.350221,1,7,7.159599999999999,0,2,3,3,-4.514543,3.697257000000001,8.2118,2.9429870000000005,7.45753,1,6,5.019500000000001,FC Orenburg,0.4041,0.342,0.2539
7,h,0.798248,1.32806,0.798248,1.32806,3,12,2,4,0.9335,l,2019-09-01 12:00:00,0,0,1,0,-0.5298120000000001,270,14,152,22,3,4,1,10,-4.990997999999999,11.003870999999998,15.994870000000002,10.249600999999998,15.240599,14,18,8.6835,1,3,1,4,-5.280339999999999,6.6961900000000005,11.22226,5.9419200000000005,11.22226,8,14,4.966800000000001,FC Krasnodar,0.2137,0.2924,0.4939,h,1.15089,0.661157,1.15089,0.661157,10,2,1,1,1.7691,d,2019-08-24 17:00:00,0,1,0,1,0.489733,122,21,212,20,4,1,2,14,3.283859,10.183028,7.653439,10.183028,6.8991690000000006,11,5,11.4374,3,0,2,11,3.014589,7.376908,4.362318999999999,7.376908,4.362318999999999,8,2,9.004100000000001,Lokomotiv Moscow,0.4863,0.3102,0.2035
8,a,0.652485,0.839131,0.652485,0.839131,0,15,2,1,1.1338,w,2019-09-14 13:30:00,1,0,0,3,-0.1866459999999999,286,21,154,23,4,4,1,13,-5.177643999999999,11.656356,16.834001,10.902086,16.079729999999998,16,19,9.8173,2,3,0,6,-4.983655999999999,5.687875,9.917261,4.933605,9.917261,8,13,5.0244,Spartak Moscow,0.2584,0.3586,0.383,h,0.639681,0.901396,0.639681,0.901396,6,6,0,1,1.0615,l,2019-09-01 17:00:00,0,0,1,0,-0.2617149999999999,172,25,224,22,4,2,2,14,-2.491693,9.526969,11.264392,8.772699,11.264392,10,8,9.3128,3,1,1,10,0.8598980000000005,6.007930000000001,5.148032,6.007930000000001,5.148032,7,4,7.1821,Zenit St. Petersburg,0.2358,0.3541,0.4101
9,a,1.21788,1.18479,0.463607,1.18479,1,6,1,1,1.3892000000000002,d,2019-09-22 13:30:00,0,1,0,1,-0.721183,167,25,177,8,4,4,2,14,-5.898826999999999,12.874236,18.018791,11.365692999999998,17.264519999999997,17,20,11.206500000000002,2,2,1,7,-2.01541,6.003514,6.510381000000001,4.494971,6.510381000000001,9,10,6.3733,Arsenal Tula,0.3552,0.3236,0.3212,a,0.760863,3.47259,0.760863,1.96404,4,12,1,3,0.1011,l,2019-09-13 17:00:00,0,0,1,0,-1.2031770000000002,312,8,196,32,4,4,1,13,-2.064368,8.766892,12.33981,8.766892,10.83126,12,13,10.531,2,3,0,6,-2.977454,3.864812,8.350816,3.864812,6.842266,5,7,4.257499999999999,Zenit St. Petersburg,0.0159,0.0534,0.9307
