,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.86852,0.961505,1.86852,0.961505,10,4,2,0,2.0827,w,2020-08-10 14:00:00,1,0,0,3,0.907015,375,30,248,13,1,0,0,3,0.907015,1.86852,0.961505,1.86852,0.961505,2,0,2.0827,1,0,0,3,0.907015,1.86852,0.961505,1.86852,0.961505,2,0,2.0827,Ural,0.6162,0.2341,0.1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.48952,0.131569,1.48952,0.131569,8,3,0,0,2.5651,d,2020-08-15 12:30:00,0,1,0,1,1.357951,232,21,221,15,1,0,1,4,2.264966,3.35804,1.093074,3.35804,1.093074,2,0,4.6478,1,0,1,4,2.264966,3.35804,1.093074,3.35804,1.093074,2,0,4.6478,FC Rotor Volgograd,0.7929,0.1864,0.0207,h,0.291351,1.98716,0.291351,1.98716,2,7,0,2,0.1851999999999999,l,2020-08-11 15:00:00,0,0,1,0,-1.695809,306,15,199,26,0,1,0,0,-1.695809,0.291351,1.98716,0.291351,1.98716,0,2,0.1851999999999999,0,1,0,0,-1.695809,0.291351,1.98716,0.291351,1.98716,0,2,0.1851999999999999,Zenit St. Petersburg,0.0237,0.1141,0.8622
2,h,1.14852,0.415137,0.394241,0.415137,5,7,2,0,2.1765,w,2020-08-19 16:00:00,1,0,0,3,-0.0208959999999999,252,19,93,19,2,0,1,7,2.24407,4.50656,1.5082110000000002,3.752281,1.5082110000000002,4,0,6.8243,2,0,1,7,2.24407,4.50656,1.5082110000000002,3.752281,1.5082110000000002,4,0,6.8243,FC Rostov,0.6314,0.2823,0.0863,h,0.604044,1.68169,0.604044,0.756036,6,9,0,2,0.4293,l,2020-08-15 17:00:00,0,0,1,0,-0.151992,239,20,170,28,1,1,0,3,0.3219079999999999,1.377436,1.981182,1.377436,1.055528,1,2,2.2813,1,1,0,3,0.3219079999999999,1.377436,1.981182,1.377436,1.055528,1,2,2.2813,Zenit St. Petersburg,0.0734,0.2091,0.7175
3,a,0.799801,1.61554,0.799801,0.861264,3,4,0,2,0.6231,l,2020-08-22 14:30:00,0,0,1,0,-0.061463,175,26,195,15,2,1,1,7,2.182607,5.306361000000001,3.1237510000000004,4.552082,2.3694750000000004,4,2,7.4474,2,1,1,7,2.182607,5.306361000000001,3.1237510000000004,4.552082,2.3694750000000004,4,2,7.4474,Arsenal Tula,0.1177,0.27,0.6123,a,0.663454,1.94598,0.663454,1.94598,2,9,0,2,0.3883999999999999,l,2020-08-18 17:00:00,0,0,1,0,-1.282526,340,30,126,21,0,2,1,1,-0.852654,2.171742,3.778668,2.171742,3.0243960000000003,2,5,2.8158,0,2,1,1,-0.852654,2.171742,3.778668,2.171742,3.0243960000000003,2,5,2.8158,FC Krasnodar,0.0654,0.1922,0.7424
4,h,0.153465,0.737699,0.153465,0.737699,1,10,1,0,0.678,w,2020-08-26 17:45:00,1,0,0,3,-0.584234,225,13,130,12,3,1,1,10,1.598373,5.4598260000000005,3.861450000000001,4.705547,3.1071740000000005,5,2,8.1254,3,1,1,10,1.598373,5.4598260000000005,3.861450000000001,4.705547,3.1071740000000005,5,2,8.1254,Zenit St. Petersburg,0.0742,0.4554,0.4704,h,3.73475,0.298788,3.73475,0.298788,13,2,4,1,2.9559,w,2020-08-22 15:00:00,1,0,0,3,3.435962,181,21,265,9,4,0,0,12,5.787232,8.58426,1.871374,7.658606000000001,1.871374,10,2,9.7975,4,0,0,12,5.787232,8.58426,1.871374,7.658606000000001,1.871374,10,2,9.7975,FC Tambov,0.9791,0.0186,0.0023
5,a,0.577392,0.563216,0.577392,0.563216,5,6,1,1,1.2802,d,2020-08-30 11:00:00,0,1,0,1,0.0141759999999999,162,14,295,18,3,1,2,11,1.612549,6.037218,4.424666,5.282939,3.6703900000000007,6,3,9.405600000000002,2,1,2,8,0.7055339999999998,4.168698,3.463161,3.4144190000000005,2.708885,4,3,7.3229,FC Ufa,0.2852,0.4246,0.2902,a,0.388805,3.45253,0.388805,3.45253,2,7,0,3,0.0339,l,2020-08-26 15:30:00,0,0,1,0,-3.063725,258,11,235,17,1,3,1,4,-7.725625999999999,2.8750590000000003,10.600693,2.120787,9.846413,4,10,2.8672000000000004,1,3,1,4,-7.725625999999999,2.8750590000000003,10.600693,2.120787,9.846413,4,10,2.8672000000000004,Rubin Kazan,0.0041,0.0216,0.9743
6,h,0.60034,1.58897,0.60034,0.834698,2,3,0,1,0.5294,l,2020-09-13 13:30:00,0,0,1,0,-0.234358,224,28,151,22,3,2,2,11,1.378191,6.637558,6.013636,5.883279,4.505088000000001,6,4,9.935000000000002,2,2,1,7,-0.8867750000000001,3.2795180000000004,4.920562,2.525239,3.412014,4,4,5.2872,Rubin Kazan,0.0973,0.2375,0.6652,h,2.10179,0.730955,2.10179,0.730955,11,2,2,2,2.3929000000000005,d,2020-08-30 15:00:00,0,1,0,1,1.3708349999999998,194,17,285,18,2,2,2,8,5.291775,12.316503999999998,6.270445999999999,10.807944,5.516169,10,9,12.0156,2,1,2,8,4.932535,10.785023999999998,5.098205999999999,9.276464,4.343929,10,7,10.3396,FC Tambov,0.7375,0.1804,0.0821
7,h,1.13933,0.851315,1.13933,0.851315,10,5,1,0,1.5696,w,2020-09-21 16:00:00,1,0,0,3,0.2880149999999999,137,25,276,24,4,2,2,14,1.666206,7.776888,6.864951,7.022609,5.356403,7,4,11.504600000000002,2,2,1,7,-0.5778640000000003,3.270328,5.35674,3.270328,3.848192,3,4,4.680299999999999,FK Akhmat,0.4201,0.3093,0.2706,h,1.4402,0.276374,1.4402,0.276374,6,6,0,1,2.3819,l,2020-09-12 16:00:00,0,0,1,0,1.1638259999999998,116,17,263,14,3,3,1,10,0.4845249999999997,9.014943,9.284695,7.506383,7.021857999999999,8,10,9.1034,3,2,0,9,2.339379,8.218922,5.87954,6.710361999999999,4.370983,8,8,8.1227,PFC Sochi,0.7189,0.2252,0.0559
8,a,1.70269,1.58689,1.70269,1.58689,12,8,0,1,1.4169,l,2020-09-28 16:00:00,0,0,1,0,0.1158000000000001,131,18,280,23,4,3,2,14,1.782006,9.479578,8.451841,8.725299,6.943293000000001,7,5,12.921500000000002,2,2,1,7,-0.4006010000000001,4.173216999999999,5.32809,4.173216999999999,4.573818,3,3,5.4741,Khimki,0.3806,0.2751,0.3443,a,0.980698,5.32246,0.226424,4.41647,2,25,2,7,0.0161,l,2020-09-18 17:00:00,0,0,1,0,-4.190046000000001,273,13,129,18,0,5,3,3,-5.661152,7.650685,14.972113,6.142134,11.803286,7,18,7.1218,0,3,2,2,-4.538652000000001,5.148782000000001,10.593433,3.640231,8.178882999999999,6,14,4.5177,FC Krasnodar,0.0018,0.0107,0.9875
9,h,1.4769,1.11258,1.4769,1.11258,1,13,2,0,1.6671,w,2020-10-04 17:00:00,1,0,0,3,0.3643200000000002,326,34,165,23,5,3,2,17,2.146326,10.956478,9.564421,10.202199,8.055873,9,5,14.5886,2,2,1,7,0.5479530000000001,5.496652000000001,5.702971,5.496652000000001,4.948699,4,3,6.4632000000000005,FC Krasnodar,0.463,0.2781,0.2589,a,1.38558,1.02561,1.38558,0.271335,17,1,1,1,1.5866,d,2020-09-26 17:00:00,0,1,0,1,1.114245,102,22,368,22,4,2,3,15,9.436921000000002,16.057723000000003,7.223361000000001,15.151733,5.714811999999999,18,7,17.336299999999998,2,0,3,9,6.298960000000001,9.165113000000002,3.468712,8.259122999999999,1.960163,13,5,9.3862,PFC Sochi,0.4236,0.3158,0.2606
