,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.291351,1.98716,0.291351,1.98716,2,7,0,2,0.1851999999999999,l,2020-08-11 15:00:00,0,0,1,0,-1.695809,306,15,199,26,0,1,0,0,-1.695809,0.291351,1.98716,0.291351,1.98716,0,2,0.1851999999999999,0,1,0,0,-1.695809,0.291351,1.98716,0.291351,1.98716,0,2,0.1851999999999999,Zenit St. Petersburg,0.0237,0.1141,0.8622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.131569,1.48952,0.131569,1.48952,3,8,0,0,0.2485,d,2020-08-15 12:30:00,0,1,0,1,-1.357951,221,15,232,21,0,1,1,1,-3.05376,0.42292,3.47668,0.42292,3.47668,0,2,0.4337,0,1,1,1,-3.05376,0.42292,3.47668,0.42292,3.47668,0,2,0.4337,Dinamo Moscow,0.0207,0.1864,0.7929,a,1.86852,0.961505,1.86852,0.961505,10,4,2,0,2.0827,w,2020-08-10 14:00:00,1,0,0,3,0.907015,375,30,248,13,1,0,0,3,0.907015,1.86852,0.961505,1.86852,0.961505,2,0,2.0827,1,0,0,3,0.907015,1.86852,0.961505,1.86852,0.961505,2,0,2.0827,Ural,0.6162,0.2341,0.1497
2,a,0.579386,3.19592,0.579386,2.44164,1,11,1,3,0.0983999999999999,l,2020-08-19 15:00:00,0,0,1,0,-1.862254,273,18,213,31,0,2,1,1,-4.9160140000000006,1.002306,6.6726,1.002306,5.91832,1,5,0.5321,0,2,1,1,-4.9160140000000006,1.002306,6.6726,1.002306,5.91832,1,5,0.5321,FK Akhmat,0.0136,0.0576,0.9288,a,0.350143,2.59424,0.350143,1.83996,4,9,0,2,0.1017,l,2020-08-14 17:00:00,0,0,1,0,-1.489817,329,25,96,26,0,1,1,1,-1.854854,0.796021,3.405155,0.796021,2.650875,0,2,0.9807,0,1,1,1,-1.854854,0.796021,3.405155,0.796021,2.650875,0,2,0.9807,Spartak Moscow,0.0143,0.0588,0.9269
3,h,0.646719,1.54438,0.646719,1.54438,4,8,1,2,0.6376999999999999,l,2020-08-22 17:00:00,0,0,1,0,-0.897661,256,25,213,14,0,3,1,1,-5.813675000000001,1.649025,8.21698,1.649025,7.4627,2,7,1.1698,0,3,1,1,-5.813675000000001,1.649025,8.21698,1.649025,7.4627,2,7,1.1698,PFC Sochi,0.1271,0.2564,0.6165,h,1.68663,2.1733,1.68663,1.41902,4,3,3,2,1.0500000000000005,w,2020-08-18 15:00:00,1,0,0,3,0.2676100000000001,253,16,152,18,1,0,2,5,-0.725716,4.89836,4.8698,3.389804,4.11552,6,5,4.1403,1,0,2,5,-0.725716,4.89836,4.8698,3.389804,4.11552,6,5,4.1403,Rubin Kazan,0.2664,0.2508,0.4828
4,h,0.946118,2.81689,0.946118,2.06261,1,15,0,1,0.2504,l,2020-08-26 15:30:00,0,0,1,0,-1.1164919999999998,306,18,85,25,0,4,1,1,-6.930167000000001,2.595143,11.03387,2.595143,9.52531,2,8,1.4202,0,4,1,1,-6.930167000000001,2.595143,11.03387,2.595143,9.52531,2,8,1.4202,Spartak Moscow,0.0445,0.1169,0.8386,h,1.56274,0.712562,1.56274,0.712562,10,4,2,1,2.051,w,2020-08-23 16:00:00,1,0,0,3,0.850178,165,25,204,23,2,0,2,8,5.007185999999999,8.47031,3.4631200000000004,6.96175,1.954564,7,4,8.6358,2,0,2,8,5.007185999999999,8.47031,3.4631200000000004,6.96175,1.954564,7,4,8.6358,Lokomotiv Moscow,0.6,0.251,0.149
5,a,0.558833,1.32437,0.558833,1.32437,2,5,1,1,0.6993,d,2020-08-29 17:00:00,0,1,0,1,-0.765537,245,19,133,17,0,4,2,2,-7.695704000000001,3.153976,12.35824,3.153976,10.84968,3,9,2.1195,0,3,2,2,-5.999895,2.862625,10.37108,2.862625,8.86252,3,7,1.9343,Khimki,0.1346,0.2955,0.5699,a,0.292204,1.38733,0.292204,1.38733,1,8,1,1,0.4580999999999999,d,2020-08-25 17:30:00,0,1,0,1,-1.095126,224,20,108,15,0,3,2,2,-2.260093,4.272037,7.28641,3.51776,5.777853,3,7,4.3636,0,3,2,2,-2.260093,4.272037,7.28641,3.51776,5.777853,3,7,4.3636,Arsenal Tula,0.0648,0.2637,0.6715
6,h,0.0,0.0,0.0,0.0,0,0,0,3,1.32,l,2020-09-13 16:00:00,0,0,1,0,0.0,0,0,0,0,0,5,2,2,-7.695704000000001,3.153976,12.35824,3.153976,10.84968,3,12,3.4395,0,4,1,1,-4.6419440000000005,2.731056,8.88156,2.731056,7.372999999999999,3,10,3.0058,FC Krasnodar,0.33,0.33,0.33,h,1.5528,0.62749,1.5528,0.62749,21,6,1,1,2.1206,d,2020-08-30 17:00:00,0,1,0,1,0.92531,115,17,259,23,2,2,2,8,4.13263,9.349683,5.217053,9.349683,5.217053,7,4,11.456499999999998,1,2,2,5,2.307205,7.202192999999999,4.894988000000001,7.202192999999999,4.894988000000001,4,4,8.7143,FC Rostov,0.6259,0.2429,0.1312
7,a,0.0,0.0,0.0,0.0,0,0,0,3,1.32,l,2020-09-19 16:00:00,0,0,1,0,0.0,0,0,0,0,0,6,2,2,-7.695704000000001,3.153976,12.35824,3.153976,10.84968,3,15,4.7595,0,4,1,1,-2.77969,2.15167,5.68564,2.15167,4.93136,2,10,4.2274,FC Rostov,0.33,0.33,0.33,h,0.933342,0.344369,0.933342,0.344369,10,2,0,0,1.9718,d,2020-09-14 17:30:00,0,1,0,1,0.588973,186,23,217,17,3,2,2,11,1.5346220000000002,5.543488,5.688799,5.543488,4.008866,4,5,9.505999999999998,2,1,2,8,1.212714,4.166052,3.707617,4.166052,2.953338,3,3,7.224699999999999,Lokomotiv Moscow,0.5408,0.3494,0.1098
8,h,0.759643,3.13122,0.759643,2.37694,4,15,1,3,0.1624999999999999,l,2020-09-27 16:00:00,0,0,1,0,-1.6172969999999998,298,13,88,18,0,7,2,2,-9.313001,3.913619,15.48946,3.913619,13.22662,4,18,4.922,0,4,1,1,-3.4993259999999995,2.264594,7.27248,2.264594,5.76392,2,11,3.7522000000000006,Rubin Kazan,0.0254,0.0863,0.8883,h,1.68725,0.307787,1.68725,0.307787,15,4,0,2,2.4492,l,2020-09-20 13:30:00,0,0,1,0,1.379463,191,26,221,38,3,3,2,11,6.905595999999999,15.592724,7.178572999999999,13.329892,6.424296,11,11,16.6979,3,1,1,10,6.091389,9.748114,2.902453,8.993841999999999,2.902453,8,5,11.3985,Spartak Moscow,0.7511,0.1959,0.053
9,a,0.231532,0.919618,0.231532,0.919618,4,2,0,0,0.6419999999999999,d,2020-10-03 11:00:00,0,1,0,1,-0.6880860000000001,218,13,190,22,0,7,3,3,-10.001087,4.145151,16.409078,4.145151,14.146238,4,18,5.564,0,3,2,2,-3.07092,1.550008,5.375208,1.550008,4.620928,2,10,4.143800000000001,FC Ufa,0.0876,0.3792,0.5332,a,0.461226,2.82175,0.461226,2.06748,5,16,0,6,0.1279,l,2020-09-26 13:30:00,0,0,1,0,-1.6062540000000003,355,11,221,7,1,6,2,5,-12.00078,4.616523,17.371581,3.862251,15.863031,5,20,5.2431,0,4,1,1,-7.338879,2.130269,10.223418,2.130269,9.469148,1,13,2.4098,Zenit St. Petersburg,0.0168,0.0775,0.9057
