,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.299492,0.773392,0.299492,0.773392,3,3,0,1,0.751,l,2020-08-08 15:30:00,0,0,1,0,-0.4739,249,17,201,20,0,1,0,0,-0.4739,0.299492,0.773392,0.299492,0.773392,0,1,0.751,0,1,0,0,-0.4739,0.299492,0.773392,0.299492,0.773392,0,1,0.751,FC Rostov,0.118,0.397,0.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.906852,1.15259,0.906852,1.15259,4,8,1,2,1.1052,l,2020-08-15 15:00:00,0,0,1,0,-0.245738,286,10,293,24,0,2,0,0,-0.719638,1.206344,1.925982,1.206344,1.925982,1,3,1.8562,0,2,0,0,-0.719638,1.206344,1.925982,1.206344,1.925982,1,3,1.8562,CSKA Moscow,0.2636,0.3144,0.422,a,1.96692,0.598929,1.96692,0.598929,21,6,2,0,2.418,w,2020-08-08 13:00:00,1,0,0,3,1.367991,286,25,276,13,1,0,0,3,1.367991,1.96692,0.598929,1.96692,0.598929,2,0,2.418,1,0,0,3,1.367991,1.96692,0.598929,1.96692,0.598929,2,0,2.418,Khimki,0.7473,0.1761,0.0766
2,h,1.32944,0.667604,0.575163,0.667604,0,5,1,0,2.0435,w,2020-08-18 16:00:00,1,0,0,3,-0.092441,228,16,148,18,1,2,0,3,-0.812079,2.535784,2.593586,1.781507,2.593586,2,3,3.8997,1,2,0,3,-0.812079,2.535784,2.593586,1.781507,2.593586,2,3,3.8997,Khimki,0.5904,0.2723,0.1373,a,1.23537,1.08232,1.23537,1.08232,5,5,1,1,1.5140000000000002,d,2020-08-14 16:00:00,0,1,0,1,0.1530500000000001,198,18,193,16,0,1,1,1,-1.2149409999999998,1.834299,3.04924,1.834299,3.04924,1,3,1.9199,0,1,1,1,-1.2149409999999998,1.834299,3.04924,1.834299,3.04924,1,3,1.9199,PFC Sochi,0.4055,0.2975,0.297
3,a,0.298788,3.73475,0.298788,3.73475,2,13,1,4,0.0255,l,2020-08-22 15:00:00,0,0,1,0,-3.435962,265,9,181,21,1,3,0,3,-4.248041,2.834572,6.328336,2.080295,6.328336,3,7,3.9252,1,3,0,3,-4.248041,2.834572,6.328336,2.080295,6.328336,3,7,3.9252,Zenit St. Petersburg,0.0023,0.0186,0.9791,h,1.18066,0.677191,1.18066,0.677191,22,7,2,1,1.7793,w,2020-08-19 17:00:00,1,0,0,3,0.503469,174,14,300,19,3,0,0,9,2.35127,4.84951,1.572586,3.923856,1.572586,6,1,6.8416,3,0,0,9,2.35127,4.84951,1.572586,3.923856,1.572586,6,1,6.8416,CSKA Moscow,0.4883,0.3144,0.1973
4,h,0.702082,2.16814,0.702082,2.16814,2,5,0,1,0.3112,l,2020-08-25 15:30:00,0,0,1,0,-1.4660580000000003,268,11,240,17,1,4,0,3,-5.714099,3.536654,8.496476000000001,2.782377,8.496476000000001,3,8,4.2364,1,4,0,3,-5.714099,3.536654,8.496476000000001,2.782377,8.496476000000001,3,8,4.2364,PFC Sochi,0.053,0.1522,0.7948,a,1.54438,0.646719,1.54438,0.646719,8,4,2,1,2.1059,w,2020-08-22 17:00:00,1,0,0,3,0.897661,213,14,256,25,2,0,2,8,0.171945,6.442740000000001,5.516519,4.934184,4.762239,8,6,6.2462,2,0,2,8,0.171945,6.442740000000001,5.516519,4.934184,4.762239,8,6,6.2462,FC Rotor Volgograd,0.6165,0.2564,0.1271
5,a,0.730955,2.10179,0.730955,2.10179,2,11,2,2,0.4267,d,2020-08-30 15:00:00,0,1,0,1,-1.3708349999999998,285,18,194,17,1,4,1,4,-7.084934,4.267609,10.598266,3.513332,10.598266,5,10,4.6631,1,3,1,4,-6.611034,3.968117,9.824874,3.2138400000000003,9.824874,5,9,3.9121,Rubin Kazan,0.0821,0.1804,0.7375,h,3.45253,0.388805,3.45253,0.388805,7,2,3,0,2.9445,w,2020-08-26 15:30:00,1,0,0,3,3.063725,235,17,258,11,2,2,1,7,3.92094,10.214714,5.539490999999999,8.706154,4.785214,8,7,9.6227,2,2,1,7,3.92094,10.214714,5.539490999999999,8.706154,4.785214,8,7,9.6227,FC Ufa,0.9743,0.0216,0.0041
6,h,0.847346,0.344299,0.847346,0.344299,4,7,2,0,1.8311,w,2020-09-12 10:45:00,1,0,0,3,0.503047,234,14,257,19,2,4,1,7,-6.581887,5.114955,10.942565,4.360678,10.942565,7,10,6.4942,2,2,1,7,-5.862249,3.908611,9.016583,3.1543339999999995,9.016583,6,7,4.638,FC Ufa,0.4823,0.3842,0.1335,h,0.563216,0.577392,0.563216,0.577392,6,5,1,1,1.2952,d,2020-08-30 11:00:00,0,1,0,1,-0.0141759999999999,295,18,162,14,1,3,2,5,-7.739801999999999,3.4382750000000004,11.178085,2.684003,10.423805,5,11,4.1624,1,2,2,5,-5.914376999999999,3.11621,9.030595,2.3619380000000003,8.276315,5,8,4.0044,Dinamo Moscow,0.2902,0.4246,0.2852
7,a,0.183486,1.20872,0.183486,1.20872,4,5,0,1,0.3899,l,2020-09-20 16:00:00,0,0,1,0,-1.025234,245,19,217,26,2,5,1,7,-7.607121,5.298441,12.151285,4.544164,12.151285,7,11,6.8841,1,3,1,4,-6.795042,2.762657,9.557699,2.762657,9.557699,5,8,2.9844,Lokomotiv Moscow,0.0439,0.2582,0.6979,a,0.344369,0.933342,0.344369,0.933342,2,10,0,0,0.6788,d,2020-09-14 17:30:00,0,1,0,1,-0.588973,217,17,186,23,2,2,3,9,0.0469690000000003,8.709721,7.908471999999999,7.955441,7.908471999999999,7,6,9.3414,0,2,3,3,0.3266990000000002,6.006831,4.925852,5.252551,4.925852,4,6,6.926200000000001,FC Rostov,0.1098,0.3494,0.5408
8,h,0.508339,0.647471,0.508339,0.647471,6,2,0,2,1.1424,l,2020-09-26 11:00:00,0,0,1,0,-0.139132,247,20,117,18,2,6,1,7,-7.746253,5.806780000000001,12.798756,5.052503000000001,12.798756,7,13,8.0265,1,3,1,4,-3.498212,2.972208,6.470420000000002,2.972208,6.470420000000002,4,6,4.1013,Spartak Moscow,0.24,0.4224,0.3376,a,0.307787,1.68725,0.307787,1.68725,4,15,2,0,0.3549,w,2020-09-20 13:30:00,1,0,0,3,-1.379463,221,38,191,26,5,1,2,17,5.305429999999999,13.380551999999998,7.401438,11.117712,5.812282,13,8,14.8126,4,1,0,12,1.148422,6.472982,4.65088,5.718702,4.57028,8,5,8.2278,Rubin Kazan,0.053,0.1959,0.7511
9,h,2.1935,0.349452,1.43923,0.349452,8,3,1,1,2.7068,d,2020-10-03 13:30:00,0,1,0,1,1.089778,136,19,236,22,2,6,2,8,-6.656475,8.00028,13.148208,6.491733000000001,13.148208,8,14,10.7333,1,2,2,5,-0.942376,4.463626,4.651732,3.709356000000001,4.651732,5,6,6.4969,Arsenal Tula,0.8672,0.1052,0.0276,h,0.788594,1.78099,0.788594,1.78099,4,1,2,3,0.5595,l,2020-09-27 11:00:00,0,0,1,0,-0.992396,96,24,164,15,2,5,2,8,-3.841992,7.598872999999999,12.195133000000002,6.844597,10.686589,12,16,9.3404,1,3,1,4,-3.050801,3.811591,7.616664,3.811591,6.862392000000001,8,11,4.4177,FC Rostov,0.1118,0.2241,0.6641
10,a,1.28805,1.45195,1.28805,0.655503,2,5,2,0,1.1711,w,2020-10-18 11:00:00,1,0,0,3,0.632547,287,20,131,20,3,6,2,11,-6.023928000000001,9.28833,14.600158,7.779783000000001,13.803710999999998,10,14,11.9044,2,2,1,7,1.061006,5.020721,4.001892,4.266451,3.205445,5,4,7.2413,FC Rotor Volgograd,0.277,0.3401,0.3829,a,0.231532,0.919618,0.231532,0.919618,4,2,0,0,0.6419999999999999,d,2020-10-03 11:00:00,0,1,0,1,-0.6880860000000001,218,13,190,22,0,7,3,3,-10.001087,4.145151,16.409078,4.145151,14.146238,4,18,5.564,0,3,2,2,-3.07092,1.550008,5.375208,1.550008,4.620928,2,10,4.143800000000001,FC Ufa,0.0876,0.3792,0.5332
11,a,0.168364,0.643363,0.168364,0.643363,0,5,0,0,0.7211,d,2020-10-25 11:00:00,0,1,0,1,-0.474999,331,15,164,25,3,6,3,12,-6.498927000000001,9.456694,15.243521,7.948147000000001,14.447074,10,14,12.6255,1,2,2,5,0.0829599999999998,4.3417390000000005,4.300956,3.587469,3.504509,3,4,6.1313,Ural,0.0799,0.4814,0.4387,a,0.514849,0.615914,0.514849,0.615914,8,7,0,1,1.1862,l,2020-10-18 11:00:00,0,0,1,0,-0.1010649999999999,190,21,246,30,2,5,4,10,-6.868475000000001,8.423003,16.070261,6.914446,13.782921,7,12,9.6929,1,3,1,4,-2.646141,3.4186490000000003,6.84357,2.664369,5.31051,4,7,4.568200000000001,Arsenal Tula,0.2521,0.4299,0.318
