,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.445878,0.810915,0.445878,0.810915,4,6,0,0,0.879,d,2020-08-09 16:00:00,0,1,0,1,-0.365037,242,26,170,22,0,0,1,1,-0.365037,0.445878,0.810915,0.445878,0.810915,0,0,0.879,0,0,1,1,-0.365037,0.445878,0.810915,0.445878,0.810915,0,0,0.879,Arsenal Tula,0.1632,0.3894,0.4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.350143,2.59424,0.350143,1.83996,4,9,0,2,0.1017,l,2020-08-14 17:00:00,0,0,1,0,-1.489817,329,25,96,26,0,1,1,1,-1.854854,0.796021,3.405155,0.796021,2.650875,0,2,0.9807,0,1,1,1,-1.854854,0.796021,3.405155,0.796021,2.650875,0,2,0.9807,Spartak Moscow,0.0143,0.0588,0.9269,h,1.46113,2.12941,1.46113,0.620854,9,4,2,2,0.8608,d,2020-08-09 17:00:00,0,1,0,1,0.840276,200,8,296,13,0,0,1,1,0.840276,1.46113,2.12941,1.46113,0.620854,2,2,0.8608,0,0,1,1,0.840276,1.46113,2.12941,1.46113,0.620854,2,2,0.8608,PFC Sochi,0.2078,0.2374,0.5548
2,h,3.19592,0.579386,2.44164,0.579386,11,1,3,1,2.844,w,2020-08-19 15:00:00,1,0,0,3,1.862254,213,31,273,18,1,1,1,4,0.0074,3.991941,3.984541,3.237661,3.230261,3,3,3.8247,1,1,1,4,0.0074,3.991941,3.984541,3.237661,3.230261,3,3,3.8247,FC Rotor Volgograd,0.9288,0.0576,0.0136,a,0.131569,1.48952,0.131569,1.48952,3,8,0,0,0.2485,d,2020-08-15 12:30:00,0,1,0,1,-1.357951,221,15,232,21,0,1,1,1,-3.05376,0.42292,3.47668,0.42292,3.47668,0,2,0.4337,0,1,1,1,-3.05376,0.42292,3.47668,0.42292,3.47668,0,2,0.4337,Dinamo Moscow,0.0207,0.1864,0.7929
3,a,1.5204,1.47793,0.76612,0.723653,8,8,2,1,1.3839,w,2020-08-22 13:00:00,1,0,0,3,0.042467,128,31,210,18,2,1,1,7,0.0498670000000001,5.512341,5.462471,4.003781,3.953914,5,4,5.2086,2,1,1,7,0.0498670000000001,5.512341,5.462471,4.003781,3.953914,5,4,5.2086,Khimki,0.3564,0.3147,0.3289,a,0.667604,1.32944,0.667604,0.575163,5,0,0,1,0.6842,l,2020-08-18 16:00:00,0,0,1,0,0.092441,148,18,228,16,0,2,1,1,-1.1224999999999998,2.501903,4.37868,2.501903,3.624403,1,4,2.6041000000000003,0,2,1,1,-1.1224999999999998,2.501903,4.37868,2.501903,3.624403,1,4,2.6041000000000003,FC Tambov,0.1373,0.2723,0.5904
4,a,1.2382,1.92877,1.2382,1.17449,9,11,3,2,0.8382000000000001,w,2020-08-26 15:30:00,1,0,0,3,0.0637099999999999,228,25,130,22,3,1,1,10,0.113577,6.750541,7.391241,5.241981,5.128404,8,6,6.046799999999999,3,1,1,10,0.113577,6.750541,7.391241,5.241981,5.128404,8,6,6.046799999999999,Lokomotiv Moscow,0.1949,0.2535,0.5516,a,0.712562,1.56274,0.712562,1.56274,4,10,1,2,0.698,l,2020-08-23 16:00:00,0,0,1,0,-0.850178,204,23,165,25,2,1,1,7,1.0043290000000002,6.132382,5.128053,6.132382,5.128053,5,3,5.842499999999999,2,1,1,7,1.0043290000000002,6.132382,5.128053,6.132382,5.128053,5,3,5.842499999999999,Spartak Moscow,0.149,0.251,0.6
5,h,0.824202,1.61708,0.824202,1.61708,6,5,0,3,0.6747,l,2020-08-30 15:00:00,0,0,1,0,-0.7928780000000001,139,15,203,22,3,2,1,10,-0.679301,7.574743,9.008321,6.066183,6.745483999999999,8,9,6.721499999999999,3,2,0,9,-0.314264,7.128865,8.197406,5.620305,5.934569,8,9,5.842499999999999,CSKA Moscow,0.1452,0.2391,0.6157,a,0.834914,0.904273,0.834914,0.904273,8,14,1,1,1.2658,d,2020-08-26 17:30:00,0,1,0,1,-0.0693589999999999,198,23,174,17,2,2,1,7,0.997893,5.506181000000001,4.508288,5.506181000000001,4.508288,7,6,7.457800000000001,2,2,1,7,0.997893,5.506181000000001,4.508288,5.506181000000001,4.508288,7,6,7.457800000000001,FC Krasnodar,0.3058,0.3484,0.3458
6,h,1.4402,0.276374,1.4402,0.276374,6,6,0,1,2.3819,l,2020-09-12 16:00:00,0,0,1,0,1.1638259999999998,116,17,263,14,3,3,1,10,0.4845249999999997,9.014943,9.284695,7.506383,7.021857999999999,8,10,9.1034,3,2,0,9,2.339379,8.218922,5.87954,6.710361999999999,4.370983,8,8,8.1227,PFC Sochi,0.7189,0.2252,0.0559,h,0.414428,0.648872,0.414428,0.648872,5,5,0,0,1.0346,d,2020-08-30 17:00:00,0,1,0,1,-0.2344439999999999,266,23,225,16,3,0,3,12,1.4035590000000004,9.025308000000004,6.867473,7.516752,6.113193,9,6,9.8174,3,0,2,11,2.2438350000000007,6.895898000000001,5.406343,6.895898000000001,4.652063,7,4,7.9156,Ural,0.1984,0.4394,0.3622
7,a,0.851315,1.13933,0.851315,1.13933,5,10,0,1,1.1211000000000002,l,2020-09-21 16:00:00,0,0,1,0,-0.2880149999999999,276,24,137,25,3,4,1,10,0.1965099999999998,9.866257999999998,10.424025,8.357698,8.161188,8,11,10.2245,2,3,0,6,0.1891099999999997,5.874317,6.439484,5.120037,4.9309270000000005,5,8,6.399800000000001,Dinamo Moscow,0.2706,0.3093,0.4201,h,0.60034,1.58897,0.60034,0.834698,2,3,0,1,0.5294,l,2020-09-13 13:30:00,0,0,1,0,-0.234358,224,28,151,22,3,2,2,11,1.378191,6.637558,6.013636,5.883279,4.505088000000001,6,4,9.935000000000002,2,2,1,7,-0.8867750000000001,3.2795180000000004,4.920562,2.525239,3.412014,4,4,5.2872,Rubin Kazan,0.0973,0.2375,0.6652
8,h,2.69477,0.19454,1.16171,0.19454,8,2,2,0,2.9179,w,2020-09-27 13:30:00,1,0,0,3,0.96717,239,44,218,17,4,4,1,13,1.1636799999999998,12.561028,10.618565,9.519408,8.355728,10,11,13.1424,2,3,0,6,1.113813,7.048687,5.156094,5.515627,4.401814,5,7,7.9338,Ural,0.9607,0.0358,0.0035,h,0.598191,1.48651,0.598191,1.48651,8,5,1,1,0.6397999999999999,d,2020-09-19 13:30:00,0,1,0,1,-0.888319,258,24,280,19,2,2,4,10,-5.1341030000000005,7.406955,11.786780999999998,5.898398,11.032501,7,7,7.7755,2,1,2,8,-1.370274,4.445507,5.061501,3.691227,5.061501,5,3,6.090700000000001,Zenit St. Petersburg,0.1223,0.2729,0.6048
9,a,0.978238,0.951912,0.223963,0.951912,11,8,1,1,1.3662,d,2020-10-04 13:30:00,0,1,0,1,-0.727949,170,25,123,16,4,4,2,14,0.4357309999999998,13.539265999999998,11.570477,9.743370999999998,9.30764,11,12,14.508599999999998,1,3,1,4,0.322154,6.788725,4.179236,4.501390000000001,4.179236,3,6,8.461799999999998,Rubin Kazan,0.3282,0.3816,0.2902,a,3.13122,0.759643,2.37694,0.759643,15,4,3,1,2.7512,w,2020-09-27 16:00:00,1,0,0,3,1.6172969999999998,88,18,298,13,4,3,2,14,8.522893,18.723944,7.938215999999999,15.706832,7.183939,14,12,19.4491,3,1,1,10,7.665677999999999,11.961759999999998,2.78753,10.453208,2.78753,9,5,12.7709,FC Rotor Volgograd,0.8883,0.0863,0.0254
