,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.598929,1.96692,0.598929,1.96692,6,21,0,2,0.4059,l,2020-08-08 13:00:00,0,0,1,0,-1.367991,276,13,286,25,0,1,0,0,-1.367991,0.598929,1.96692,0.598929,1.96692,0,2,0.4059,0,1,0,0,-1.367991,0.598929,1.96692,0.598929,1.96692,0,2,0.4059,CSKA Moscow,0.0766,0.1761,0.7473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.23537,1.08232,1.23537,1.08232,5,5,1,1,1.5140000000000002,d,2020-08-14 16:00:00,0,1,0,1,0.1530500000000001,198,18,193,16,0,1,1,1,-1.2149409999999998,1.834299,3.04924,1.834299,3.04924,1,3,1.9199,0,1,1,1,-1.2149409999999998,1.834299,3.04924,1.834299,3.04924,1,3,1.9199,PFC Sochi,0.4055,0.2975,0.297,a,2.12941,1.46113,0.620854,1.46113,4,9,2,2,1.9018,d,2020-08-09 17:00:00,0,1,0,1,-0.840276,296,13,200,8,0,0,1,1,-0.840276,2.12941,1.46113,0.620854,1.46113,2,2,1.9018,0,0,1,1,-0.840276,2.12941,1.46113,0.620854,1.46113,2,2,1.9018,Spartak Moscow,0.5548,0.2374,0.2078
2,a,0.667604,1.32944,0.667604,0.575163,5,0,0,1,0.6842,l,2020-08-18 16:00:00,0,0,1,0,0.092441,148,18,228,16,0,2,1,1,-1.1224999999999998,2.501903,4.37868,2.501903,3.624403,1,4,2.6041000000000003,0,2,1,1,-1.1224999999999998,2.501903,4.37868,2.501903,3.624403,1,4,2.6041000000000003,FC Tambov,0.1373,0.2723,0.5904,a,0.906852,1.15259,0.906852,1.15259,4,8,1,2,1.1052,l,2020-08-15 15:00:00,0,0,1,0,-0.245738,286,10,293,24,0,2,0,0,-0.719638,1.206344,1.925982,1.206344,1.925982,1,3,1.8562,0,2,0,0,-0.719638,1.206344,1.925982,1.206344,1.925982,1,3,1.8562,CSKA Moscow,0.2636,0.3144,0.422
3,h,1.47793,1.5204,0.723653,0.76612,8,8,1,2,1.3014,l,2020-08-22 13:00:00,0,0,1,0,-0.042467,210,18,128,31,0,3,1,1,-1.164967,3.979833,5.89908,3.225556,4.390523,2,6,3.9055,0,3,1,1,-1.164967,3.979833,5.89908,3.225556,4.390523,2,6,3.9055,FK Akhmat,0.3289,0.3147,0.3564,h,3.19592,0.579386,2.44164,0.579386,11,1,3,1,2.844,w,2020-08-19 15:00:00,1,0,0,3,1.862254,213,31,273,18,1,1,1,4,0.0074,3.991941,3.984541,3.237661,3.230261,3,3,3.8247,1,1,1,4,0.0074,3.991941,3.984541,3.237661,3.230261,3,3,3.8247,FC Rotor Volgograd,0.9288,0.0576,0.0136
4,a,0.292204,1.38733,0.292204,1.38733,1,8,1,1,0.4580999999999999,d,2020-08-25 17:30:00,0,1,0,1,-1.095126,224,20,108,15,0,3,2,2,-2.260093,4.272037,7.28641,3.51776,5.777853,3,7,4.3636,0,3,2,2,-2.260093,4.272037,7.28641,3.51776,5.777853,3,7,4.3636,Arsenal Tula,0.0648,0.2637,0.6715,h,1.61554,0.799801,0.861264,0.799801,4,3,2,0,2.1069,w,2020-08-22 14:30:00,1,0,0,3,0.061463,195,15,175,26,1,2,1,4,-0.791191,3.787282,4.578469,3.0330060000000003,3.824197,4,5,4.9227,1,2,1,4,-0.791191,3.787282,4.578469,3.0330060000000003,3.824197,4,5,4.9227,Dinamo Moscow,0.6123,0.27,0.1177
5,h,1.32437,0.558833,1.32437,0.558833,5,2,1,1,2.0052,d,2020-08-29 17:00:00,0,1,0,1,0.765537,133,17,245,19,0,3,3,3,-1.4945559999999998,5.596407,7.845243,4.84213,6.336686,4,8,6.3688,0,2,3,3,-0.1265649999999999,4.997478,5.878323,4.243201,4.369766,4,6,5.9629,FC Rotor Volgograd,0.5699,0.2955,0.1346,h,0.946118,2.81689,0.946118,2.06261,1,15,0,1,0.2504,l,2020-08-26 15:30:00,0,0,1,0,-1.1164919999999998,306,18,85,25,0,4,1,1,-6.930167000000001,2.595143,11.03387,2.595143,9.52531,2,8,1.4202,0,4,1,1,-6.930167000000001,2.595143,11.03387,2.595143,9.52531,2,8,1.4202,Spartak Moscow,0.0445,0.1169,0.8386
6,a,1.07358,1.80441,1.07358,1.05013,7,5,1,3,0.7369,l,2020-09-12 13:30:00,0,0,1,0,0.0234499999999999,258,18,125,14,0,4,3,3,-1.4711059999999998,6.669987,9.649653,5.91571,7.386816,5,11,7.105700000000001,0,3,2,2,-0.2561650000000001,4.835688,6.600413,4.081411,4.337576,4,8,5.1858,Ural,0.1616,0.2521,0.5863,a,0.648872,0.414428,0.648872,0.414428,5,5,0,0,1.526,d,2020-08-30 17:00:00,0,1,0,1,0.2344439999999999,225,16,266,23,1,2,3,6,-4.222334,5.004354,9.226691,4.250077,8.472411000000001,3,5,5.1247,1,1,3,6,-3.315319,4.042849,7.358171,3.288572,6.603891,3,3,4.4415,PFC Sochi,0.3622,0.4394,0.1984
7,a,0.980698,5.32246,0.226424,4.41647,2,25,2,7,0.0161,l,2020-09-18 17:00:00,0,0,1,0,-4.190046000000001,273,13,129,18,0,5,3,3,-5.661152,7.650685,14.972113,6.142134,11.803286,7,18,7.1218,0,3,2,2,-4.538652000000001,5.148782000000001,10.593433,3.640231,8.178882999999999,6,14,4.5177,FC Krasnodar,0.0018,0.0107,0.9875,a,0.0,0.0,0.0,0.0,0,0,3,0,1.32,w,2020-09-13 16:00:00,1,0,0,3,0.0,0,0,0,0,3,2,2,11,4.13263,9.349683,5.217053,9.349683,5.217053,10,4,12.7765,2,1,2,8,2.386715,5.751053000000001,3.364338,5.751053000000001,3.364338,7,3,8.6957,FC Rotor Volgograd,0.33,0.33,0.33
8,h,1.58689,1.70269,1.58689,1.70269,8,12,1,0,1.3079999999999998,w,2020-09-28 16:00:00,1,0,0,3,-0.1158000000000001,280,23,131,18,1,5,3,6,-5.7769520000000005,9.237575,16.674803,7.729023999999999,13.505976,8,18,8.4298,1,2,2,5,-4.611985000000001,5.257742,10.775723,4.503468,9.115453,6,12,4.524299999999999,Dinamo Moscow,0.3443,0.2751,0.3806,h,1.13933,0.851315,1.13933,0.851315,10,5,1,0,1.5696,w,2020-09-21 16:00:00,1,0,0,3,0.2880149999999999,137,25,276,24,4,2,2,14,1.666206,7.776888,6.864951,7.022609,5.356403,7,4,11.504600000000002,2,2,1,7,-0.5778640000000003,3.270328,5.35674,3.270328,3.848192,3,4,4.680299999999999,FK Akhmat,0.4201,0.3093,0.2706
9,a,1.24997,1.90177,1.24997,1.90177,5,10,1,2,0.8711,l,2020-10-04 11:00:00,0,0,1,0,-0.6517999999999999,225,26,193,21,1,6,3,6,-6.428752,10.487545,18.576573,8.978993999999998,15.407746,9,20,9.3009,1,3,1,4,-4.168659000000001,6.215508,11.290163,5.461234,9.629893,6,13,4.9373,Lokomotiv Moscow,0.2045,0.2576,0.5379,a,2.00638,1.3795,2.00638,1.3795,12,11,1,0,1.8585,w,2020-09-27 16:00:00,1,0,0,3,0.6268800000000001,254,24,205,15,4,2,3,15,1.6990830000000006,11.924821,9.471457999999998,11.170541,9.471457999999998,9,6,13.5518,2,1,2,8,0.6947540000000002,5.792439,4.343405,5.038159,4.343405,4,3,7.7093,CSKA Moscow,0.5364,0.2493,0.2143
