,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.852461,1.08028,0.852461,1.08028,6,6,1,1,1.1467,d,2014-08-31 19:45:00,0,1,0,1,-0.2278189999999998,191,37,314,24,0,0,1,1,-0.2278189999999998,0.852461,1.08028,0.852461,1.08028,1,1,1.1467,0,0,1,1,-0.2278189999999998,0.852461,1.08028,0.852461,1.08028,1,1,1.1467,Sassuolo,0.2724,0.3295,0.3981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,3.00775,0.616984,2.24645,0.616984,18,3,1,2,2.8086,l,2014-09-14 14:00:00,0,0,1,0,1.629466,140,25,288,24,0,1,1,1,1.401647,3.860211,1.697264,3.098911,1.697264,2,3,3.9553,0,1,1,1,1.401647,3.860211,1.697264,3.098911,1.697264,2,3,3.9553,Atalanta,0.9131,0.0693,0.0176,h,0.880993,0.727137,0.880993,0.727137,8,6,0,0,1.4682,d,2014-08-31 17:00:00,0,1,0,1,0.153856,208,25,248,21,0,0,1,1,0.153856,0.880993,0.727137,0.880993,0.727137,0,0,1.4682,0,0,1,1,0.153856,0.880993,0.727137,0.880993,0.727137,0,0,1.4682,Verona,0.3666,0.3684,0.265
2,a,0.493968,1.52229,0.493968,1.52229,4,6,0,2,0.4502,l,2014-09-21 14:00:00,0,0,1,0,-1.028322,451,21,269,23,0,2,1,1,0.3733250000000001,4.354179,3.219554,3.592879,3.219554,2,5,4.4055,0,2,1,1,0.3733250000000001,4.354179,3.219554,3.592879,3.219554,2,5,4.4055,Roma,0.0765,0.2207,0.7028,a,1.37321,0.593046,1.37321,0.593046,7,7,1,0,2.1663,w,2014-09-13 17:00:00,1,0,0,3,0.7801640000000001,254,29,382,32,2,0,0,6,2.642688,3.61335,0.970662,3.61335,0.970662,3,0,4.8506,2,0,0,6,2.642688,3.61335,0.970662,3.61335,0.970662,3,0,4.8506,Empoli,0.6391,0.249,0.1119
3,h,0.775745,1.296,0.775745,1.296,8,5,1,2,0.8976999999999999,l,2014-09-24 19:45:00,0,0,1,0,-0.520255,268,35,248,15,0,3,1,1,-0.1469299999999999,5.129924,4.515554,4.368624,4.515554,3,7,5.3032,0,3,1,1,-0.1469299999999999,5.129924,4.515554,4.368624,4.515554,3,7,5.3032,Torino,0.2017,0.2926,0.5057,h,2.62344,1.22043,1.72694,1.22043,11,2,0,1,2.4071,l,2014-09-21 19:45:00,0,0,1,0,0.50651,272,18,236,18,0,2,1,1,-0.5004849999999998,4.1126830000000005,2.955365,2.45488,2.955365,0,3,4.7888,0,2,1,1,-0.5004849999999998,4.1126830000000005,2.955365,2.45488,2.955365,0,3,4.7888,Verona,0.7452,0.1715,0.0833
4,a,3.32315,1.30307,2.56185,1.30307,11,9,4,1,2.575,w,2014-09-28 14:00:00,1,0,0,3,1.2587800000000002,233,22,278,28,1,3,1,4,1.1118500000000004,8.453074,5.818624,6.930474,5.818624,7,8,7.8782,1,3,1,4,1.1118500000000004,8.453074,5.818624,6.930474,5.818624,7,8,7.8782,Inter,0.821,0.112,0.067,h,1.81087,0.421513,1.04957,0.421513,4,4,2,0,2.5046,w,2014-09-24 19:45:00,1,0,0,3,0.6280569999999999,267,22,217,23,2,0,2,8,4.978028999999999,7.567454,2.589428,6.806154,1.828125,10,1,8.1406,2,0,2,8,4.978028999999999,7.567454,2.589428,6.806154,1.828125,10,1,8.1406,Atalanta,0.7765,0.1751,0.0484
5,a,2.01475,0.962968,2.01475,0.962968,8,3,0,1,2.1609000000000003,l,2014-10-04 17:00:00,0,0,1,0,1.0517819999999998,240,31,171,24,1,4,1,4,2.163632,10.467824,6.781592,8.945224,6.781592,7,9,10.0391,1,4,0,3,2.391451,9.615363,5.701312,8.092763,5.701312,6,8,8.8924,Verona,0.649,0.2139,0.1371,a,0.353371,2.69285,0.353371,2.69285,2,11,0,2,0.1339,l,2014-09-27 17:00:00,0,0,1,0,-2.339479,345,14,134,29,2,1,2,8,-2.834125,6.231457999999999,9.200793,5.470168,8.304293000000001,5,5,5.2106,2,1,2,8,-2.834125,6.231457999999999,9.200793,5.470168,8.304293000000001,5,5,5.2106,Roma,0.0197,0.0748,0.9055
6,h,1.51712,2.72172,0.755825,2.72172,3,3,2,2,0.466,d,2014-10-19 14:00:00,0,1,0,1,-1.965895,186,27,229,18,1,4,2,5,0.1977370000000002,11.984944,9.503312,9.701049,9.503312,9,11,10.5051,1,3,1,4,-1.2039099999999998,8.124733,7.806048,6.602138,7.806048,7,8,6.5498,Sampdoria,0.0937,0.1849,0.7214,h,1.31389,0.586952,1.31389,0.586952,4,12,1,0,1.9776,w,2014-10-05 14:00:00,1,0,0,3,0.726938,293,25,203,25,4,0,2,14,2.198296,5.228648,3.0303520000000006,5.228648,3.0303520000000006,7,2,9.5829,4,0,1,13,2.317775,4.425184,2.107409,4.425184,2.107409,6,1,8.380199999999999,Atalanta,0.5638,0.2862,0.15
7,a,1.4998,0.456529,0.738504,0.456529,7,6,4,0,2.3192,w,2014-10-25 14:00:00,1,0,0,3,0.281975,336,29,273,22,2,4,2,8,0.4797120000000003,13.484744,9.959841,10.439553,9.959841,13,11,12.8243,2,2,1,7,0.1063869999999999,9.130565,6.740287,6.846673999999999,6.740287,11,6,8.418800000000001,Empoli,0.6979,0.2255,0.0766,a,1.57434,0.637598,1.57434,0.637598,6,2,1,1,2.2633,d,2014-10-20 19:45:00,0,1,0,1,0.936742,205,23,266,32,1,2,4,7,2.8994210000000007,11.135656,7.474934999999999,10.374356,7.474934999999999,9,9,12.334700000000002,1,0,4,7,4.676875000000001,9.85336,4.415184999999999,9.09206,4.415184999999999,9,6,11.1657,Genoa,0.6769,0.2326,0.0905
8,h,1.92852,0.499723,1.92852,0.499723,12,8,1,1,2.4428,d,2014-10-29 19:45:00,0,1,0,1,1.428797,298,25,230,25,2,4,3,9,1.9085090000000005,15.413264000000002,10.459564,12.368073,10.459564,14,12,15.2671,2,1,2,8,2.055439,10.28334,5.94401,7.999448999999999,5.94401,11,5,9.9639,AC Milan,0.7537,0.1817,0.0646,h,0.857287,0.359683,0.857287,0.359683,4,5,1,1,1.8144,d,2014-10-26 19:45:00,0,1,0,1,0.497604,280,24,261,32,4,1,3,15,0.8925670000000002,12.167232,10.513365,10.644632,9.752065000000002,17,11,11.778100000000002,2,0,3,9,0.4926400000000003,6.0965750000000005,5.603935,6.0965750000000005,5.603935,9,5,7.323,Fiorentina,0.4772,0.3828,0.14
9,a,1.37643,2.21147,1.37643,2.21147,5,7,2,4,0.7204,l,2014-11-03 20:00:00,0,0,1,0,-0.8350399999999998,217,27,247,50,2,5,3,9,1.073469000000001,16.789694,12.671034,13.744503000000002,12.671034,16,16,15.9875,1,2,2,5,-0.0383809999999997,8.33662,6.852410000000001,6.814029,6.852410000000001,9,8,8.109300000000001,Lazio,0.1648,0.226,0.6092,a,0.888443,1.74791,0.888443,0.98661,4,1,1,1,0.6073999999999999,d,2014-10-30 19:45:00,0,1,0,1,-0.098167,225,30,269,24,5,3,1,16,5.511692,14.465507,10.476416999999998,13.704206999999998,8.192515,16,9,15.509999999999998,4,0,1,13,3.423229,7.963083,6.062456,7.963083,4.539854,12,4,8.4618,Verona,0.1112,0.2738,0.615
