,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.09417,0.438551,1.09417,0.438551,3,9,1,0,2.0082,w,2014-08-31 19:45:00,1,0,0,3,0.6556190000000001,305,12,212,23,1,0,0,3,0.6556190000000001,1.09417,0.438551,1.09417,0.438551,1,0,2.0082,1,0,0,3,0.6556190000000001,1.09417,0.438551,1.09417,0.438551,1,0,2.0082,Parma,0.5674,0.306,0.1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.154651,1.55271,0.154651,1.55271,0,7,0,3,0.2799,l,2014-09-14 14:00:00,0,0,1,0,-1.398059,277,12,238,46,1,1,0,3,-0.7424399999999999,1.2488210000000002,1.991261,1.2488210000000002,1.991261,1,3,2.2881,1,1,0,3,-0.7424399999999999,1.2488210000000002,1.991261,1.2488210000000002,1.991261,1,3,2.2881,Lazio,0.0286,0.1941,0.7773,a,2.03815,2.01129,1.27685,1.24999,15,5,1,3,1.3898,l,2014-08-31 17:00:00,0,0,1,0,0.0268600000000001,240,35,272,23,0,1,0,0,0.0268600000000001,2.03815,2.01129,1.27685,1.24999,1,3,1.3898,0,1,0,0,0.0268600000000001,2.03815,2.01129,1.27685,1.24999,1,3,1.3898,AC Milan,0.3723,0.2729,0.3548
2,h,2.03766,2.57707,2.03766,1.81577,2,6,2,2,1.0039,d,2014-09-20 17:00:00,0,1,0,1,0.2218899999999997,342,24,169,17,1,1,1,4,-0.5205500000000002,3.286481,4.568331000000001,3.286481,3.807031,3,5,3.292,1,1,1,4,-0.5205500000000002,3.286481,4.568331000000001,3.286481,3.807031,3,5,3.292,Empoli,0.2502,0.2533,0.4965,h,0.593046,1.37321,0.593046,1.37321,7,7,0,1,0.5847,l,2014-09-13 17:00:00,0,0,1,0,-0.7801640000000001,382,32,254,29,0,2,0,0,-1.777454,1.282296,3.05975,1.282296,3.05975,0,3,1.169,0,2,0,0,-1.777454,1.282296,3.05975,1.282296,3.05975,0,3,1.169,Roma,0.1119,0.249,0.6391
3,a,0.0127481,2.23177,0.0127481,1.47047,1,18,0,3,0.0552,l,2014-09-24 19:45:00,0,0,1,0,-1.4577219,363,14,124,29,1,2,1,4,-1.9782719,3.2992291,6.800101000000001,3.2992291,5.277501,3,8,3.3472,1,2,1,4,-1.9782719,3.2992291,6.800101000000001,3.2992291,5.277501,3,8,3.3472,Juventus,0.0003,0.0543,0.9454,a,1.44109,0.281427,1.44109,0.281427,11,4,1,0,2.4194,w,2014-09-20 19:45:00,1,0,0,3,1.159663,214,30,310,29,3,0,0,9,3.938131,4.92331,0.985179,4.92331,0.985179,4,0,7.237399999999999,3,0,0,9,3.938131,4.92331,0.985179,4.92331,0.985179,4,0,7.237399999999999,AC Milan,0.7347,0.2153,0.05
4,h,1.13049,0.876708,1.13049,0.876708,1,5,1,1,1.6178,d,2014-09-28 14:00:00,0,1,0,1,0.2537819999999999,252,22,177,23,1,2,2,5,-1.7244899000000002,4.4297191,7.676809,4.4297191,6.154209,4,9,4.965,1,2,2,5,-1.7244899000000002,4.4297191,7.676809,4.4297191,6.154209,4,9,4.965,AC Milan,0.424,0.3458,0.2302,a,0.58264,2.03406,0.58264,2.03406,4,8,2,2,0.3677,d,2014-09-23 19:45:00,0,1,0,1,-1.4514200000000002,203,41,271,28,2,1,1,7,-1.0514930000000002,6.653297,6.943490000000001,5.130697,6.18219,10,8,4.822800000000001,2,1,1,7,-1.0514930000000002,6.653297,6.943490000000001,5.130697,6.18219,10,8,4.822800000000001,Empoli,0.0662,0.1691,0.7647
5,a,2.08506,0.836953,1.32376,0.836953,7,6,1,1,2.3524,d,2014-10-05 14:00:00,0,1,0,1,0.4868070000000001,300,22,289,17,1,2,3,6,-1.2376829000000005,6.5147791,8.513762,5.7534791,6.991162,5,10,7.317399999999999,0,2,3,3,-1.8933018999999995,5.4206091,8.075211,4.6593091,6.552611,4,10,5.3092,Udinese,0.724,0.1804,0.0956,h,1.05537,1.86017,1.05537,1.09887,3,8,4,2,0.7271,w,2014-09-29 18:00:00,1,0,0,3,-0.0435,284,12,166,23,4,1,0,12,0.4259129999999998,4.698603,5.03399,4.698603,4.27269,8,4,6.5457,4,1,0,12,0.4259129999999998,4.698603,5.03399,4.698603,4.27269,8,4,6.5457,Parma,0.1623,0.2402,0.5975
6,a,1.13078,0.995603,0.369483,0.995603,2,6,1,2,1.5423,l,2014-10-19 14:00:00,0,0,1,0,-0.62612,248,24,209,36,1,3,3,6,-1.8638029000000005,7.6455591,9.509365,6.1229621,7.986765,6,12,8.8597,0,2,3,3,-1.1213629000000005,6.396738099999999,7.518104,4.8741411,5.995504,5,9,6.571599999999999,Palermo,0.4014,0.3381,0.2605,a,0.319965,1.99387,0.319965,1.99387,3,5,0,3,0.2763,l,2014-10-05 11:30:00,0,0,1,0,-1.673905,332,36,183,40,0,3,3,3,-2.688936,5.899722,9.349948,5.899722,8.588658,6,14,5.665,0,3,2,2,-2.808415,4.976779,8.546484,4.976779,7.785194,5,13,4.2253,Empoli,0.0412,0.1527,0.8061
7,h,0.645724,2.06734,0.645724,1.30604,3,4,0,1,0.3537,l,2014-10-26 17:00:00,0,0,1,0,-0.6603160000000001,339,31,147,26,1,4,3,6,-2.5241189000000004,8.2912831,11.576705,6.7686861,9.292805,6,13,9.2134,0,3,2,2,-2.0035689000000003,5.004802099999999,7.008374,3.4822051000000003,5.485774,3,8,5.921399999999999,Inter,0.0634,0.1635,0.7731,h,1.55031,1.09733,1.55031,1.09733,6,4,2,2,1.7434999999999998,d,2014-10-19 19:45:00,0,1,0,1,0.4529800000000001,209,23,261,25,2,2,3,9,2.6692979999999995,11.038063,9.130068,10.276763,7.607464999999999,13,10,10.481599999999998,1,2,2,5,-1.788304,5.758613,7.546916999999999,4.997313,6.785617,6,10,6.0191,Napoli,0.4835,0.293,0.2235
8,a,0.167116,2.93622,0.167116,2.93622,2,10,0,2,0.0388,l,2014-10-29 19:45:00,0,0,1,0,-2.769104,532,21,132,17,1,5,3,6,-5.2932229,8.4583991,14.512925,6.9358021,12.229025,6,15,9.2522,0,3,2,2,-3.314951,5.15917,7.712824000000001,3.636573,6.951524000000001,3,7,5.904999999999999,Roma,0.0039,0.0271,0.969,a,1.23266,1.22488,1.23266,1.22488,5,4,0,0,1.3159,d,2014-10-25 19:45:00,0,1,0,1,0.0077800000000001,161,20,306,20,6,1,1,19,6.296178,13.04643,6.750175,11.523833,5.227655,14,4,15.9968,3,1,1,10,2.6251680000000004,7.910789999999999,5.285545,6.388192999999999,3.763025,9,4,8.8171,Sampdoria,0.3373,0.304,0.3587
9,h,0.901371,0.654003,0.901371,0.654003,7,5,1,1,1.5777,d,2014-11-03 18:00:00,0,1,0,1,0.247368,257,14,204,34,1,5,4,7,-5.0458549,9.3597701,15.166928,7.8371731,12.883028,7,16,10.8299,0,3,2,2,-3.321365,4.930051,7.490119000000001,3.4074540000000004,6.7288190000000005,3,7,5.8649,Verona,0.4051,0.3624,0.2325,h,1.74791,0.888443,0.98661,0.888443,1,4,1,1,2.1188,d,2014-10-30 19:45:00,0,1,0,1,0.098167,269,24,225,30,3,3,3,12,-7.495262,11.265963999999997,18.896436,9.743374,17.238636,10,15,8.820599999999999,1,3,1,4,-7.000616,5.3878770000000005,12.388493,4.626577,11.627193,5,12,3.7439,Lazio,0.615,0.2738,0.1112
