,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.37394,0.502227,2.37394,0.502227,12,1,1,0,2.6451,w,2014-08-30 17:00:00,1,0,0,3,1.871713,111,29,357,37,1,0,0,3,1.871713,2.37394,0.502227,2.37394,0.502227,1,0,2.6451,1,0,0,3,1.871713,2.37394,0.502227,2.37394,0.502227,1,0,2.6451,Chievo,0.8407,0.123,0.0363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.10828,0.201525,1.10828,0.201525,18,1,2,0,2.1729,w,2014-09-13 19:45:00,1,0,0,3,0.906755,251,18,288,21,2,0,0,6,2.778468,3.48222,0.7037519999999999,3.48222,0.7037519999999999,3,0,4.818,2,0,0,6,2.778468,3.48222,0.7037519999999999,3.48222,0.7037519999999999,3,0,4.818,Udinese,0.6177,0.3198,0.0625,h,1.68654,0.68925,1.68654,0.68925,5,6,2,0,2.1941,w,2014-08-31 19:45:00,1,0,0,3,0.99729,278,23,271,17,1,0,0,3,0.99729,1.68654,0.68925,1.68654,0.68925,2,0,2.1941,1,0,0,3,0.99729,1.68654,0.68925,1.68654,0.68925,2,0,2.1941,Empoli,0.6575,0.2216,0.1209
2,a,1.44109,0.281427,1.44109,0.281427,11,4,1,0,2.4194,w,2014-09-20 19:45:00,1,0,0,3,1.159663,214,30,310,29,3,0,0,9,3.938131,4.92331,0.985179,4.92331,0.985179,4,0,7.237399999999999,3,0,0,9,3.938131,4.92331,0.985179,4.92331,0.985179,4,0,7.237399999999999,AC Milan,0.7347,0.2153,0.05,a,3.77794,1.43019,3.01664,1.43019,2,8,5,4,2.7525000000000004,w,2014-09-14 19:45:00,1,0,0,3,1.58645,248,17,300,26,2,0,0,6,1.55959,5.78923,3.46834,4.26663,2.70704,8,5,4.0898,2,0,0,6,1.55959,5.78923,3.46834,4.26663,2.70704,8,5,4.0898,Parma,0.8911,0.0792,0.0297
3,h,2.23177,0.0127481,1.47047,0.0127481,18,1,3,0,2.8905,w,2014-09-24 19:45:00,1,0,0,3,1.4577219,124,29,363,14,4,0,0,12,5.3958529,7.15508,0.9979271,6.39378,0.9979271,7,0,10.1279,4,0,0,12,5.3958529,7.15508,0.9979271,6.39378,0.9979271,7,0,10.1279,Cesena,0.9454,0.0543,0.0003,h,2.03766,2.57707,2.03766,1.81577,2,6,2,2,1.0039,d,2014-09-20 17:00:00,0,1,0,1,0.2218899999999997,342,24,169,17,1,1,1,4,-0.5205500000000002,3.286481,4.568331000000001,3.286481,3.807031,3,5,3.292,1,1,1,4,-0.5205500000000002,3.286481,4.568331000000001,3.286481,3.807031,3,5,3.292,Empoli,0.2502,0.2533,0.4965
4,a,2.69489,1.01149,2.69489,0.250191,13,7,3,0,2.6264,w,2014-09-27 19:45:00,1,0,0,3,2.444699,223,30,215,32,5,0,0,15,7.8405519,9.84997,2.0094171,9.08867,1.2481181,10,0,12.7543,5,0,0,15,7.8405519,9.84997,2.0094171,9.08867,1.2481181,10,0,12.7543,Atalanta,0.8303,0.1355,0.0342,a,0.421513,1.81087,0.421513,1.04957,4,4,0,2,0.3203,l,2014-09-24 19:45:00,0,0,1,0,-0.6280569999999999,217,23,267,22,1,2,1,4,-1.986327,3.06639,6.575317,3.06639,5.052717,2,4,3.3422,1,2,1,4,-1.986327,3.06639,6.575317,3.06639,5.052717,2,4,3.3422,Inter,0.0484,0.1751,0.7765
5,h,3.04854,1.76638,1.52602,1.00508,4,3,3,2,2.2849,w,2014-10-05 17:00:00,1,0,0,3,0.52094,337,21,231,15,6,0,0,18,8.3614919,12.898509999999998,3.7757971,10.61469,2.2531981,13,2,15.0392,5,0,0,15,6.489778899999999,10.52457,3.2735701,8.240749999999998,1.7509711,12,2,12.3941,Roma,0.6995,0.1864,0.1141,h,2.69285,0.353371,2.69285,0.353371,11,2,2,0,2.7913,w,2014-09-27 17:00:00,1,0,0,3,2.339479,134,29,345,14,5,0,0,15,6.501215999999999,8.6539,2.152684,8.6539,2.152684,9,1,11.7631,5,0,0,15,6.501215999999999,8.6539,2.152684,8.6539,2.152684,9,1,11.7631,Verona,0.9055,0.0748,0.0197
6,a,1.94022,0.761956,1.94022,0.761956,15,4,1,1,2.2704,d,2014-10-18 19:45:00,0,1,0,1,1.178264,132,22,246,26,6,0,1,19,9.5397559,14.838729999999998,4.5377531,12.55491,3.0151541,14,3,17.3096,4,0,1,13,6.761287900000001,11.35651,3.8340011,9.07269,2.3114021,11,3,12.4916,Sassuolo,0.6844,0.2172,0.0984,a,1.67343,1.60341,0.912128,1.60341,6,7,2,3,1.4213,l,2014-10-05 14:00:00,0,0,1,0,-0.691282,225,25,182,26,0,3,3,3,-5.471252000000001,4.812545,9.522495,4.051243,9.522495,3,12,5.491900000000001,0,3,2,2,-5.699071,3.732265,8.670034,2.970963,8.670034,2,11,3.9681,Lazio,0.3775,0.2888,0.3337
7,h,1.59355,0.1661,1.59355,0.1661,12,1,2,0,2.5216,w,2014-10-26 14:00:00,1,0,0,3,1.42745,207,31,391,20,7,0,1,22,10.967205900000002,16.43228,4.7038531,14.14846,3.1812541,16,3,19.8312,4,0,1,13,7.029074900000001,11.50897,3.7186741,9.22515,2.1960751000000003,12,3,12.5938,Palermo,0.7766,0.1918,0.0316,h,0.995603,1.13078,0.995603,0.369483,6,2,2,1,1.1196000000000002,w,2014-10-19 14:00:00,1,0,0,3,0.62612,209,36,248,24,1,3,3,6,-2.062816,6.895325,10.480728,6.895325,8.958141000000001,8,15,6.7846,1,2,2,5,-2.225855,4.585571999999999,7.572724,4.585571999999999,6.811427,6,12,4.5474,Cesena,0.2605,0.3381,0.4014
8,a,1.1507,1.05735,1.1507,1.05735,8,4,0,1,1.3336,l,2014-10-29 19:45:00,0,0,1,0,0.09335,153,29,188,25,7,1,1,22,11.0605559,17.58298,5.7612031,15.29916,4.2386041,16,4,21.1648,3,1,1,10,5.664703,10.4279,4.763276,8.905380000000001,3.2406770000000003,9,4,11.0369,Genoa,0.3184,0.3784,0.3032,a,2.38033,1.20366,1.61903,1.20366,9,6,2,1,2.3103,w,2014-10-26 14:00:00,1,0,0,3,0.41537,133,33,281,29,3,2,3,12,-4.135023,8.548172,11.921894999999996,7.786871999999999,11.921894999999996,9,8,8.3627,2,1,2,8,-0.2109330000000001,6.611522,6.061155,5.8502220000000005,6.061155,7,6,6.9354,Chievo,0.7075,0.1878,0.1047
9,a,1.51283,0.770663,1.51283,0.770663,8,4,2,0,1.9564,w,2014-11-01 17:00:00,1,0,0,3,0.7421669999999999,218,25,352,27,8,1,1,25,11.8027229,19.09581,6.531866099999999,16.81199,5.0092671,18,4,23.1212,3,1,1,10,3.962171,9.24584,4.522449,7.72332,3.761149,8,4,10.3669,Empoli,0.5632,0.2668,0.17,a,1.83984,3.30543,1.83984,2.54413,4,5,1,3,0.5379,l,2014-10-28 19:45:00,0,0,1,0,-0.7042900000000001,268,33,297,27,1,4,4,7,1.9131560000000003,13.432025,12.280164999999998,12.670725,10.757569,10,16,13.3279,1,2,2,5,2.46108,7.538599,6.600115,7.538599,5.077519,6,9,7.952900000000001,Sassuolo,0.1223,0.171,0.7067
