,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.438551,1.09417,0.438551,1.09417,9,3,0,1,0.6858,l,2014-08-31 19:45:00,0,0,1,0,-0.6556190000000001,212,23,305,12,0,1,0,0,-0.6556190000000001,0.438551,1.09417,0.438551,1.09417,0,1,0.6858,0,1,0,0,-0.6556190000000001,0.438551,1.09417,0.438551,1.09417,0,1,0.6858,Cesena,0.1266,0.306,0.5674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.43019,3.77794,1.43019,3.01664,8,2,4,5,0.1683,l,2014-09-14 19:45:00,0,0,1,0,-1.58645,300,26,248,17,0,2,0,0,-2.2420690000000003,1.868741,4.87211,1.868741,4.110810000000001,4,6,0.8541,0,2,0,0,-2.2420690000000003,1.868741,4.87211,1.868741,4.110810000000001,4,6,0.8541,AC Milan,0.0297,0.0792,0.8911,h,2.01129,2.03815,1.24999,1.27685,5,15,3,1,1.3373,w,2014-08-31 17:00:00,1,0,0,3,-0.0268600000000001,272,23,240,35,1,0,0,3,-0.0268600000000001,2.01129,2.03815,1.24999,1.27685,3,1,1.3373,1,0,0,3,-0.0268600000000001,2.01129,2.03815,1.24999,1.27685,3,1,1.3373,Lazio,0.3548,0.2729,0.3723
2,a,0.934229,1.34921,0.934229,1.34921,5,3,3,2,0.8922000000000001,w,2014-09-21 11:30:00,1,0,0,3,-0.414981,142,28,258,21,1,2,0,3,-2.6570500000000004,2.80297,6.22132,2.80297,5.460020000000001,7,8,1.7463000000000002,1,2,0,3,-2.6570500000000004,2.80297,6.22132,2.80297,5.460020000000001,7,8,1.7463000000000002,Chievo,0.196,0.3042,0.4998,a,0.667533,2.2055,0.667533,1.4442,6,13,1,0,0.3551999999999999,w,2014-09-14 14:00:00,1,0,0,3,-0.7766669999999999,342,25,109,28,1,1,0,3,-2.64838,1.16976,4.57944,1.16976,3.81814,1,1,0.5871,1,1,0,3,-2.64838,1.16976,4.57944,1.16976,3.81814,1,1,0.5871,Napoli,0.063,0.1662,0.7708
3,h,0.334683,0.82541,0.334683,0.82541,4,13,1,2,0.8099000000000001,l,2014-09-24 19:45:00,0,0,1,0,-0.4907269999999999,401,27,174,30,1,3,0,3,-3.1477770000000005,3.137653,7.04673,3.137653,6.285430000000001,8,10,2.5562000000000005,1,3,0,3,-3.1477770000000005,3.137653,7.04673,3.137653,6.285430000000001,8,10,2.5562000000000005,Roma,0.1373,0.398,0.4647,h,1.52229,0.493968,1.52229,0.493968,6,4,2,0,2.3291,w,2014-09-21 14:00:00,1,0,0,3,1.028322,269,23,451,21,3,0,0,9,3.67101,5.13564,1.46463,5.13564,1.46463,5,0,7.1797,3,0,0,9,3.67101,5.13564,1.46463,5.13564,1.46463,5,0,7.1797,Cagliari,0.7028,0.2207,0.0765
4,a,1.86017,1.05537,1.09887,1.05537,8,3,2,4,2.0327,l,2014-09-29 18:00:00,0,0,1,0,0.0435,166,23,284,12,1,4,0,3,-3.1042770000000006,4.997823,8.1021,4.236523,7.340800000000001,10,14,4.588900000000001,1,4,0,3,-3.1042770000000006,4.997823,8.1021,4.236523,7.340800000000001,10,14,4.588900000000001,Udinese,0.5975,0.2402,0.1623,a,1.062,0.940274,1.062,0.940274,1,3,1,0,1.488,w,2014-09-25 19:45:00,1,0,0,3,0.121726,275,8,87,31,3,1,0,9,0.4694129999999999,3.643233,3.17382,3.643233,3.17382,4,2,5.8186,3,1,0,9,0.4694129999999999,3.643233,3.17382,3.643233,3.17382,4,2,5.8186,Lazio,0.3908,0.3156,0.2936
5,h,1.20463,1.77324,1.20463,1.77324,3,5,1,2,0.8862000000000001,l,2014-10-05 14:00:00,0,0,1,0,-0.5686099999999998,212,30,239,17,1,5,0,3,-3.672887,6.202453,9.87534,5.441153,9.11404,11,16,5.475100000000001,1,4,0,3,-3.017268,5.763902,8.78117,5.002602,8.01987,11,15,4.789300000000001,Genoa,0.1988,0.2898,0.5114,h,0.203654,0.252545,0.203654,0.252545,4,1,0,1,1.0984,l,2014-09-28 19:45:00,0,0,1,0,-0.048891,181,26,132,39,1,2,2,5,-4.182261,3.757004,7.939264999999999,3.757004,7.939264999999999,4,5,3.7243,1,2,2,5,-4.182261,3.757004,7.939264999999999,3.757004,7.939264999999999,4,5,3.7243,Sampdoria,0.1434,0.6682,0.1884
6,a,0.306658,1.37374,0.306658,1.37374,5,4,0,1,0.4508999999999999,l,2014-10-19 14:00:00,0,0,1,0,-1.067082,244,17,184,18,1,6,0,3,-4.739969,6.509111,11.24908,5.747811,10.48778,11,17,5.926000000000001,1,4,0,3,-2.4979,4.64037,6.37697,3.87907,6.37697,7,11,5.0719,Atalanta,0.0674,0.2487,0.6839,a,0.586952,1.31389,0.586952,1.31389,12,4,0,1,0.7362,l,2014-10-05 14:00:00,0,0,1,0,-0.726938,203,25,293,25,1,4,1,4,-5.157963999999999,4.6648320000000005,10.584097,3.903533,9.061497,2,8,4.3165,1,4,0,3,-5.311819999999999,3.783839,9.85696,3.02254,8.33436,2,8,2.8483,Sampdoria,0.15,0.2862,0.5638
7,h,0.763954,1.64283,0.763954,1.64283,4,4,1,3,0.6349,l,2014-10-25 17:00:00,0,0,1,0,-0.878876,203,22,202,17,1,7,0,3,-5.618845,7.273065,12.89191,6.511765,12.13061,12,20,6.560900000000001,0,5,0,0,-2.9617949999999995,4.470095000000001,6.67059,3.708795,6.67059,5,12,4.8146,Sassuolo,0.13,0.2449,0.6251,h,0.761956,1.94022,0.761956,1.94022,4,15,1,1,0.5124,d,2014-10-18 19:45:00,0,1,0,1,-1.178264,246,26,132,22,0,3,4,4,-6.649516,5.574501,11.462715,4.813199,11.462715,4,13,6.004300000000001,0,2,3,3,-3.395046,4.0108,6.644544000000001,3.2494980000000004,6.644544000000001,3,5,4.4526,Juventus,0.0984,0.2172,0.6844
8,a,0.694268,1.33422,0.694268,1.33422,6,7,0,1,0.7958999999999999,l,2014-10-29 19:45:00,0,0,1,0,-0.639952,294,28,252,16,1,8,0,3,-6.258797,7.967333,14.22613,7.206033,13.46483,12,21,7.356800000000001,0,5,0,0,-3.11102,4.829680000000001,7.1794,4.06838,7.1794,4,11,4.800599999999999,Torino,0.1689,0.2892,0.5419,a,0.495408,1.17164,0.495408,1.17164,4,9,1,2,0.6596,l,2014-10-26 17:00:00,0,0,1,0,-0.6762319999999999,277,23,300,44,2,4,2,8,-3.381531,8.755677,10.479405,7.097874000000002,10.479405,6,9,10.1186,2,2,1,7,-2.8810460000000004,4.642994,7.52404,4.642994,7.52404,6,6,5.3298000000000005,Lazio,0.1202,0.299,0.5808
9,h,1.67779,0.525,1.67779,0.525,5,13,2,0,2.4138,w,2014-11-01 19:45:00,1,0,0,3,1.15279,317,9,106,27,2,8,0,6,-5.106007,9.645123,14.75113,8.883823,13.98983,14,21,9.770600000000002,1,4,0,3,-2.00173,4.6473,6.649030000000001,4.6473,6.649030000000001,4,7,5.1817,Inter,0.7378,0.2004,0.0618,h,2.31775,0.529139,1.55645,0.529139,10,2,1,0,2.629,w,2014-10-29 19:45:00,1,0,0,3,1.027311,181,27,325,32,4,2,3,15,4.356925,15.423153,10.304931,13.139253,8.782328,15,10,15.593399999999995,2,2,1,7,-0.6211039999999999,7.855699,7.715502999999999,6.333099,6.954202999999999,5,9,7.4528,Sampdoria,0.8348,0.1246,0.0406
