,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.24014,0.377616,2.24014,0.377616,5,3,2,0,2.6843000000000004,w,2014-08-30 19:45:00,1,0,0,3,1.862524,240,28,297,18,1,0,0,3,1.862524,2.24014,0.377616,2.24014,0.377616,2,0,2.6843000000000004,1,0,0,3,1.862524,2.24014,0.377616,2.24014,0.377616,2,0,2.6843000000000004,Fiorentina,0.8584,0.1091,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.37321,0.593046,1.37321,0.593046,7,7,1,0,2.1663,w,2014-09-13 17:00:00,1,0,0,3,0.7801640000000001,254,29,382,32,2,0,0,6,2.642688,3.61335,0.970662,3.61335,0.970662,3,0,4.8506,2,0,0,6,2.642688,3.61335,0.970662,3.61335,0.970662,3,0,4.8506,Empoli,0.6391,0.249,0.1119,a,0.68925,1.68654,0.68925,1.68654,6,5,0,2,0.5842999999999999,l,2014-08-31 19:45:00,0,0,1,0,-0.99729,271,17,278,23,0,1,0,0,-0.99729,0.68925,1.68654,0.68925,1.68654,0,2,0.5842999999999999,0,1,0,0,-0.99729,0.68925,1.68654,0.68925,1.68654,0,2,0.5842999999999999,Udinese,0.1209,0.2216,0.6575
2,h,1.52229,0.493968,1.52229,0.493968,6,4,2,0,2.3291,w,2014-09-21 14:00:00,1,0,0,3,1.028322,269,23,451,21,3,0,0,9,3.67101,5.13564,1.46463,5.13564,1.46463,5,0,7.1797,3,0,0,9,3.67101,5.13564,1.46463,5.13564,1.46463,5,0,7.1797,Cagliari,0.7028,0.2207,0.0765,h,3.00775,0.616984,2.24645,0.616984,18,3,1,2,2.8086,l,2014-09-14 14:00:00,0,0,1,0,1.629466,140,25,288,24,0,1,1,1,1.401647,3.860211,1.697264,3.098911,1.697264,2,3,3.9553,0,1,1,1,1.401647,3.860211,1.697264,3.098911,1.697264,2,3,3.9553,Atalanta,0.9131,0.0693,0.0176
3,a,0.82541,0.334683,0.82541,0.334683,13,4,2,1,1.7921,w,2014-09-24 19:45:00,1,0,0,3,0.4907269999999999,174,30,401,27,4,0,0,12,4.161737,5.961049999999999,1.799313,5.961049999999999,1.799313,7,1,8.9718,4,0,0,12,4.161737,5.961049999999999,1.799313,5.961049999999999,1.799313,7,1,8.9718,Parma,0.4647,0.398,0.1373,a,0.934229,1.34921,0.934229,1.34921,5,3,3,2,0.8922000000000001,w,2014-09-21 11:30:00,1,0,0,3,-0.414981,142,28,258,21,1,2,0,3,-2.6570500000000004,2.80297,6.22132,2.80297,5.460020000000001,7,8,1.7463000000000002,1,2,0,3,-2.6570500000000004,2.80297,6.22132,2.80297,5.460020000000001,7,8,1.7463000000000002,Chievo,0.196,0.3042,0.4998
4,h,2.69285,0.353371,2.69285,0.353371,11,2,2,0,2.7913,w,2014-09-27 17:00:00,1,0,0,3,2.339479,134,29,345,14,5,0,0,15,6.501215999999999,8.6539,2.152684,8.6539,2.152684,9,1,11.7631,5,0,0,15,6.501215999999999,8.6539,2.152684,8.6539,2.152684,9,1,11.7631,Verona,0.9055,0.0748,0.0197,h,1.82598,1.6167,1.82598,1.6167,8,5,2,2,1.5381999999999998,d,2014-09-24 19:45:00,0,1,0,1,0.2092799999999999,182,22,219,24,2,0,2,8,-0.4946460000000001,5.878086999999999,6.507943,5.116797,5.611443,5,3,5.0767,2,0,2,8,-0.4946460000000001,5.878086999999999,6.507943,5.116797,5.611443,5,3,5.0767,Genoa,0.425,0.2632,0.3118
5,a,1.76638,3.04854,1.00508,1.52602,3,4,2,3,0.5287,l,2014-10-05 17:00:00,0,0,1,0,-0.52094,231,15,337,21,5,1,0,15,5.980276,10.42028,5.201224,9.65898,3.678704,11,4,12.2918,4,1,0,12,4.117751999999999,8.18014,4.823608,7.418839999999999,3.301088,9,4,9.6075,Juventus,0.1141,0.1864,0.6995,a,2.69489,1.01149,2.69489,0.250191,13,7,3,0,2.6264,w,2014-09-27 19:45:00,1,0,0,3,2.444699,223,30,215,32,5,0,0,15,7.8405519,9.84997,2.0094171,9.08867,1.2481181,10,0,12.7543,5,0,0,15,7.8405519,9.84997,2.0094171,9.08867,1.2481181,10,0,12.7543,Atalanta,0.8303,0.1355,0.0342
6,h,1.39349,0.324071,0.632193,0.324071,6,1,3,0,2.3891,w,2014-10-18 17:00:00,1,0,0,3,0.308122,150,21,477,28,6,1,0,18,6.288398,11.81377,5.525295,10.291173,4.002775,14,4,14.6809,4,1,0,12,3.64571,8.20042,4.554633,6.677822999999999,3.032113,11,4,9.8303,Chievo,0.7227,0.221,0.0563,a,0.552252,1.60095,0.552252,1.60095,3,6,0,2,0.5759,l,2014-10-04 19:45:00,0,0,1,0,-1.048698,291,42,113,24,1,4,1,4,-5.630858,4.179231000000001,10.571389,4.179231000000001,9.810089,5,9,3.8522,1,3,1,4,-3.759145,3.677004,8.197448999999999,3.677004,7.436148999999999,5,8,3.6203,AC Milan,0.1129,0.2372,0.6499
7,a,1.23266,1.22488,1.23266,1.22488,5,4,0,0,1.3159,d,2014-10-25 19:45:00,0,1,0,1,0.0077800000000001,161,20,306,20,6,1,1,19,6.296178,13.04643,6.750175,11.523833,5.227655,14,4,15.9968,3,1,1,10,2.6251680000000004,7.910789999999999,5.285545,6.388192999999999,3.763025,9,4,8.8171,Sampdoria,0.3373,0.304,0.3587,a,2.72172,1.51712,2.72172,0.755825,3,3,2,2,2.3491,d,2014-10-19 14:00:00,0,1,0,1,1.965895,229,18,186,27,4,0,3,15,4.164191,7.950367999999999,4.547472000000001,7.950367999999999,3.786177,9,4,11.932,3,0,2,11,4.251988,6.725709,3.235016,6.725709,2.4737210000000003,6,3,9.4531,Cagliari,0.7214,0.1849,0.0937
8,h,2.93622,0.167116,2.93622,0.167116,10,2,2,0,2.9341,w,2014-10-29 19:45:00,1,0,0,3,2.769104,132,17,532,21,7,1,1,22,9.065282,15.98265,6.917291,14.460053,5.394771,16,4,18.9309,3,1,1,10,4.903544999999999,10.0216,5.117978,8.499003,3.595458,9,3,9.9591,Cesena,0.969,0.0271,0.0039,h,0.645724,2.06734,0.645724,1.30604,3,4,0,1,0.3537,l,2014-10-26 17:00:00,0,0,1,0,-0.6603160000000001,339,31,147,26,1,4,3,6,-2.5241189000000004,8.2912831,11.576705,6.7686861,9.292805,6,13,9.2134,0,3,2,2,-2.0035689000000003,5.004802099999999,7.008374,3.4822051000000003,5.485774,3,8,5.921399999999999,Inter,0.0634,0.1635,0.7731
9,a,0.670975,2.64717,0.670975,2.64717,4,9,0,2,0.2313,l,2014-11-01 14:00:00,0,0,1,0,-1.976195,219,23,379,25,7,2,1,22,7.089086999999999,16.653625,9.564461,15.131028,8.041941,16,6,19.1622,2,2,1,7,0.5878710000000003,7.999725,7.411777,6.477128,5.889257,7,5,7.3991,Napoli,0.0367,0.1212,0.8421,a,2.55253,0.756052,1.79123,0.756052,9,0,1,1,2.7264,d,2014-10-29 19:45:00,0,1,0,1,1.0351780000000002,119,18,363,26,4,2,3,15,9.358495,18.909766,7.267371000000001,16.625866,7.267371000000001,17,12,19.012,3,0,2,11,7.1480950000000005,12.94668,4.275985,11.42408,4.275985,12,6,11.5012,Atalanta,0.8732,0.1068,0.02
