,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,2.67392,1.40755,1.91262,0.646247,2,2,2,5,2.2501,l,2015-08-23 22:45:00,0,0,1,0,1.266373,372,20,198,26,0,1,0,0,1.266373,2.67392,1.40755,1.91262,0.646247,2,5,2.2501,0,1,0,0,1.266373,2.67392,1.40755,1.91262,0.646247,2,5,2.2501,Sampdoria,0.6858,0.1927,0.1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.866071,3.03344,0.866071,2.27214,3,5,1,2,0.1261,l,2015-08-30 22:45:00,0,0,1,0,-1.4060689999999998,359,26,160,34,0,2,0,0,-0.1396959999999998,3.539991,4.44099,2.778691,2.918387,3,7,2.3762,0,2,0,0,-0.1396959999999998,3.539991,4.44099,2.778691,2.918387,3,7,2.3762,Inter,0.0169,0.0754,0.9077,h,1.03572,0.380583,1.03572,0.380583,9,4,1,0,1.9349,w,2015-08-23 22:45:00,1,0,0,3,0.655137,143,32,322,16,1,0,0,3,0.655137,1.03572,0.380583,1.03572,0.380583,1,0,1.9349,1,0,0,3,0.655137,1.03572,0.380583,1.03572,0.380583,1,0,1.9349,Atalanta,0.5337,0.3338,0.1325
2,a,0.912214,1.31893,0.912214,1.31893,6,8,2,2,0.9543,d,2015-09-13 17:00:00,0,1,0,1,-0.4067159999999999,227,21,125,29,0,2,1,1,-0.5464119999999998,4.452204999999999,5.75992,3.690905,4.237317,5,9,3.3305,0,2,1,1,-0.5464119999999998,4.452204999999999,5.75992,3.690905,4.237317,5,9,3.3305,Palermo,0.2083,0.3294,0.4623,a,0.791464,2.23566,0.791464,2.23566,0,8,1,0,0.3335,w,2015-08-30 22:45:00,1,0,0,3,-1.4441960000000005,284,20,161,41,2,0,0,6,-0.5823660000000003,2.430704,3.0130700000000004,2.430704,3.0130700000000004,2,0,2.4117,2,0,0,6,-0.5823660000000003,2.430704,3.0130700000000004,2.430704,3.0130700000000004,2,0,2.4117,Udinese,0.0498,0.1841,0.7661
3,h,1.49722,0.418407,1.49722,0.418407,3,5,0,1,2.2911,l,2015-09-20 20:00:00,0,0,1,0,1.078813,364,40,162,23,0,3,1,1,0.5324010000000002,5.949425,6.178327,5.188125,4.655724,5,10,5.621599999999999,0,3,1,1,0.5324010000000002,5.949425,6.178327,5.188125,4.655724,5,10,5.621599999999999,Fiorentina,0.6825,0.2436,0.0739,h,0.677696,0.612554,0.677696,0.612554,3,6,1,0,1.3704,w,2015-09-12 20:00:00,1,0,0,3,0.0651419999999999,227,26,235,27,2,1,0,6,0.8443009999999999,3.450955,1.845354,2.689655,1.845354,4,3,5.358700000000001,2,1,0,6,0.8443009999999999,3.450955,1.845354,2.689655,1.845354,4,3,5.358700000000001,Genoa,0.3241,0.3981,0.2778
4,h,0.362323,1.16585,0.362323,1.16585,3,7,0,0,0.6194,d,2015-09-23 22:45:00,0,1,0,1,-0.8035270000000001,387,9,121,25,0,3,2,2,-0.2711259999999998,6.311748,7.344177,5.550448,5.821574,5,10,6.240999999999999,0,3,2,2,-0.2711259999999998,6.311748,7.344177,5.550448,5.821574,5,10,6.240999999999999,Napoli,0.1027,0.3113,0.586,h,2.73209,0.971385,2.73209,0.971385,9,3,5,0,2.4987,w,2015-09-20 22:45:00,1,0,0,3,1.7607049999999995,222,23,421,30,1,1,2,5,1.5965319999999998,6.629620000000001,5.794385,6.629620000000001,5.033088,10,6,5.8569,1,1,2,5,1.5965319999999998,6.629620000000001,5.794385,6.629620000000001,5.033088,10,6,5.8569,Lazio,0.7843,0.1458,0.0699
5,a,1.51645,3.46661,0.602456,3.46661,9,11,1,5,0.2645,l,2015-09-26 20:00:00,0,0,1,0,-2.864154,364,20,172,27,0,4,2,2,-3.13528,7.828197999999999,10.810787,6.152904,9.288184,6,15,6.505499999999999,0,3,2,2,-4.401653,5.154278,9.403237,4.240284,8.641936999999999,4,10,4.2554,Roma,0.0492,0.1169,0.8339,a,1.4457,0.187797,1.4457,0.187797,16,1,1,2,2.4289000000000005,l,2015-09-23 22:45:00,0,0,1,0,1.257903,115,30,237,17,2,1,2,8,3.849798,7.156211000000001,3.306413,7.156211000000001,3.306413,8,6,9.8014,2,1,2,8,3.849798,7.156211000000001,3.306413,7.156211000000001,3.306413,8,6,9.8014,Sampdoria,0.7337,0.2278,0.0385
6,h,0.880132,1.21414,0.880132,0.452838,0,13,2,1,0.9908,w,2015-10-03 20:00:00,1,0,0,3,0.427294,324,15,208,23,1,4,2,5,-2.707986,8.70833,12.024927000000002,7.033036,9.741022,8,16,7.496299999999999,1,2,2,5,-2.56829,5.168339,7.583937000000001,4.254345,6.822635,5,9,5.1201,Torino,0.2126,0.353,0.4344,h,0.578424,0.380741,0.578424,0.380741,4,1,2,1,1.4857,w,2015-09-27 17:00:00,1,0,0,3,0.197683,246,24,329,27,4,1,1,13,2.735866,6.931628000000001,4.957065999999999,6.931628000000001,4.195762,11,6,9.0281,3,1,1,10,1.633665,4.934318,4.061957,4.934318,3.300653,9,5,6.8696,Palermo,0.3402,0.4651,0.1947
7,a,1.03029,2.23861,1.03029,1.47731,2,1,0,3,0.486,l,2015-10-18 17:00:00,0,0,1,0,-0.44702,313,19,193,35,1,5,2,5,-3.155006,9.73862,14.263537,8.063326,11.218332,8,19,7.982299999999999,1,3,1,4,-2.608594,5.286415,8.503617,4.372421,6.981015,3,10,4.6518,Atalanta,0.0986,0.1902,0.7112,a,0.479182,3.24131,0.479182,2.48001,4,13,0,3,0.0781,l,2015-10-04 22:45:00,0,0,1,0,-2.0008280000000003,349,20,183,20,3,2,2,11,0.3504599999999995,8.981627000000001,8.631162,7.459025,7.1085650000000005,8,8,9.9776,2,1,2,8,-0.5520440000000004,5.445584,6.758923,4.684282,5.236326,6,7,6.4987,Fiorentina,0.0099,0.0484,0.9417
8,h,0.820122,1.96954,0.820122,1.96954,1,1,1,2,0.4431,l,2015-10-24 20:00:00,0,0,1,0,-1.149418,314,19,208,20,1,6,2,5,-4.304424,10.558742,16.233077,8.883448,13.187872,9,21,8.425399999999998,1,3,1,4,-4.836825,4.609317,10.05475,3.695323,8.532148,4,11,2.8037999999999994,Bologna,0.0765,0.2136,0.7099,h,1.7239,1.66538,1.7239,1.66538,12,3,0,1,1.4065,l,2015-10-18 14:30:00,0,0,1,0,0.0585199999999999,237,38,294,16,1,7,0,3,-6.994918,5.782566000000001,13.538784,5.782566000000001,12.777484000000005,4,13,5.5477,1,4,0,3,-4.190882000000001,4.990878,9.94306,4.990878,9.18176,3,8,4.1177,Palermo,0.3775,0.274,0.3485
9,a,0.640609,1.00468,0.640609,1.00468,1,3,1,2,0.9266,l,2015-10-28 23:45:00,0,0,1,0,-0.364071,143,25,135,28,1,7,2,5,-4.668495,11.199351,17.237757000000002,9.524057,14.192552,10,23,9.352,1,4,0,3,-4.397369,4.887603,9.89358,3.973609,8.370978000000001,5,13,3.111,Frosinone,0.1972,0.335,0.4678,a,0.430149,2.10451,0.430149,2.10451,5,10,0,1,0.2592,l,2015-10-25 18:00:00,0,0,1,0,-1.6743609999999998,190,27,244,20,2,6,1,7,-9.681816,8.050303999999999,18.493420000000004,8.050303999999999,17.73212,6,11,6.4448,2,2,1,7,-5.752129999999999,4.479710000000001,10.23184,4.479710000000001,10.23184,5,4,3.753,Udinese,0.0409,0.1365,0.8226
