,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.895109,1.99731,0.895109,1.99731,0,10,1,2,0.6219,l,2015-08-23 22:45:00,0,0,1,0,-1.102201,183,25,186,29,0,1,0,0,-1.102201,0.895109,1.99731,0.895109,1.99731,1,2,0.6219,0,1,0,0,-1.102201,0.895109,1.99731,0.895109,1.99731,1,2,0.6219,Torino,0.1341,0.2196,0.6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.836519,3.15546,0.836519,2.39416,6,9,0,2,0.1718,l,2015-08-30 22:45:00,0,0,1,0,-1.5576409999999998,220,29,154,30,0,2,0,0,-2.659842,1.7316280000000002,5.15277,1.7316280000000002,4.39147,1,4,0.7937000000000001,0,2,0,0,-2.659842,1.7316280000000002,5.15277,1.7316280000000002,4.39147,1,4,0.7937000000000001,Atalanta,0.0304,0.0806,0.889,a,0.380583,1.03572,0.380583,1.03572,4,9,0,1,0.7313000000000001,l,2015-08-23 22:45:00,0,0,1,0,-0.655137,322,16,143,32,0,1,0,0,-0.655137,0.380583,1.03572,0.380583,1.03572,0,1,0.7313000000000001,0,1,0,0,-0.655137,0.380583,1.03572,0.380583,1.03572,0,1,0.7313000000000001,Inter,0.1325,0.3338,0.5337
2,h,0.366506,1.90653,0.366506,1.90653,2,6,0,2,0.3045,l,2015-09-12 20:00:00,0,0,1,0,-1.540024,184,29,119,20,0,3,0,0,-4.199866,2.098134,7.0593,2.098134,6.298,1,6,1.0982,0,3,0,0,-4.199866,2.098134,7.0593,2.098134,6.298,1,6,1.0982,Roma,0.0481,0.1602,0.7917,h,0.970721,0.973945,0.970721,0.973945,3,5,2,1,1.2781,w,2015-08-30 20:00:00,1,0,0,3,-0.003224,199,29,309,26,1,0,1,4,0.2948789999999999,2.133841,1.838962,2.133841,1.838962,3,2,2.8734,1,0,1,4,0.2948789999999999,2.133841,1.838962,2.133841,1.838962,3,2,2.8734,Juventus,0.3167,0.328,0.3553
3,a,1.47246,1.20228,1.47246,1.20228,7,3,0,1,1.5936,l,2015-09-20 17:00:00,0,0,1,0,0.2701800000000001,180,29,221,35,0,4,0,0,-3.929686,3.570594,8.26158,3.570594,7.50028,1,7,2.6918,0,4,0,0,-3.929686,3.570594,8.26158,3.570594,7.50028,1,7,2.6918,Bologna,0.4357,0.2865,0.2778,a,0.262969,1.29105,0.262969,1.29105,3,3,0,2,0.4215,l,2015-09-14 22:45:00,0,0,1,0,-1.028081,321,24,225,22,0,3,0,0,-2.804036,0.791688,3.5957240000000006,0.791688,3.5957240000000006,1,5,1.43,0,3,0,0,-2.804036,0.791688,3.5957240000000006,0.791688,3.5957240000000006,1,5,1.43,Sampdoria,0.0573,0.2496,0.6931
4,a,0.512593,1.99042,0.512593,1.99042,2,17,1,1,0.4117,d,2015-09-23 22:45:00,0,1,0,1,-1.477827,283,23,124,26,0,4,1,1,-5.407513,4.083187,10.252,4.083187,9.4907,2,8,3.1035,0,4,1,1,-5.407513,4.083187,10.252,4.083187,9.4907,2,8,3.1035,Juventus,0.0742,0.1891,0.7367,a,2.17908,0.382614,1.41778,0.382614,3,5,2,0,2.735,w,2015-09-20 17:00:00,1,0,0,3,1.035166,258,30,276,36,1,2,1,4,3.3457410000000003,7.724365,2.856024,6.201765,2.856024,4,4,8.9492,1,2,1,4,3.3457410000000003,7.724365,2.856024,6.201765,2.856024,4,4,8.9492,Genoa,0.8784,0.0998,0.0218
5,h,1.56653,1.10742,1.56653,1.10742,1,9,2,0,1.7529,w,2015-09-28 21:00:00,1,0,0,3,0.4591099999999999,216,34,102,24,1,4,1,4,-4.948403,5.649717,11.35942,5.649717,10.59812,4,8,4.8564,1,3,1,4,-3.846202000000001,4.754608,9.36211,4.754608,8.60081,3,6,4.234500000000001,Empoli,0.4829,0.3042,0.2129,h,0.719009,0.690699,0.719009,0.690699,4,1,0,1,1.3322,l,2015-09-24 22:45:00,0,0,1,0,0.02831,248,35,271,42,1,3,1,4,0.1117969999999998,4.955679,4.843882000000001,4.955679,4.843882000000001,6,9,6.6763,1,3,1,4,0.1117969999999998,4.955679,4.843882000000001,4.955679,4.843882000000001,6,9,6.6763,Atalanta,0.3118,0.3968,0.2914
6,a,0.738998,3.62854,0.738998,3.62854,1,13,0,2,0.1077,l,2015-10-04 20:00:00,0,0,1,0,-2.889542,237,21,110,31,1,5,1,4,-7.837944999999999,6.388715,14.98796,6.388715,14.22666,4,10,4.9641,1,3,1,4,-5.178103,4.657087000000001,9.83519,4.657087000000001,9.83519,3,6,4.170400000000001,Lazio,0.017,0.0567,0.9263,a,2.28189,1.07591,1.52067,1.07591,12,3,2,1,2.4103000000000003,w,2015-09-27 17:00:00,1,0,0,3,0.44476,156,34,283,20,4,2,0,12,0.2430510000000004,7.778993,6.774722000000001,7.017772999999999,6.774722000000001,8,11,9.6931,3,2,0,9,-0.9253269999999998,6.234953000000001,6.39906,5.473733,6.39906,6,10,7.3497,Verona,0.7374,0.1981,0.0645
7,h,1.23144,1.40095,1.23144,1.40095,6,16,2,0,1.2215,w,2015-10-18 17:00:00,1,0,0,3,-0.1695099999999998,209,17,112,22,2,5,1,7,-8.007455,7.620155,16.388910000000003,7.620155,15.62761,6,10,6.1856,2,2,1,7,-3.807589,5.522021,9.32961,5.522021,9.32961,5,4,5.087400000000001,Sampdoria,0.3144,0.2783,0.4073,h,2.38692,1.91353,2.38692,1.91353,3,11,1,1,1.7315,d,2015-10-04 17:00:00,0,1,0,1,0.47339,329,21,153,28,3,2,2,11,-5.217200999999999,8.215078,12.670979,6.692478,11.909679,13,10,6.828800000000001,2,2,1,7,-2.8361910000000004,5.446688,8.282879000000001,5.446688,8.282879000000001,6,6,5.142900000000001,Inter,0.4948,0.2471,0.2581
8,a,0.430149,2.10451,0.430149,2.10451,5,10,0,1,0.2592,l,2015-10-25 18:00:00,0,0,1,0,-1.6743609999999998,190,27,244,20,2,6,1,7,-9.681816,8.050303999999999,18.493420000000004,8.050303999999999,17.73212,6,11,6.4448,2,2,1,7,-5.752129999999999,4.479710000000001,10.23184,4.479710000000001,10.23184,5,4,3.753,Udinese,0.0409,0.1365,0.8226,a,0.839325,1.10503,0.839325,0.343733,2,3,1,1,1.0058,d,2015-10-18 17:00:00,0,1,0,1,0.495592,242,29,257,18,2,4,2,8,1.8342420000000004,9.733831,9.422189,9.733831,7.899589000000001,8,11,11.0533,1,2,2,5,2.072313,6.019398,5.469685,6.019398,3.947085,7,8,7.2414,Verona,0.2165,0.3563,0.4272
9,h,1.00468,0.640609,1.00468,0.640609,3,1,2,1,1.7384,w,2015-10-28 23:45:00,1,0,0,3,0.364071,135,28,143,25,3,6,1,10,-9.317745,9.054984,19.134029000000005,9.054984,18.372729,8,12,8.1832,3,2,0,9,-3.910232,4.9717970000000005,8.882029,4.9717970000000005,8.882029,6,4,5.0797,Carpi,0.4678,0.335,0.1972,h,0.820122,1.96954,0.820122,1.96954,1,1,1,2,0.4431,l,2015-10-24 20:00:00,0,0,1,0,-1.149418,314,19,208,20,1,6,2,5,-4.304424,10.558742,16.233077,8.883448,13.187872,9,21,8.425399999999998,1,3,1,4,-4.836825,4.609317,10.05475,3.695323,8.532148,4,11,2.8037999999999994,Bologna,0.0765,0.2136,0.7099
