,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.77741,1.63924,0.77741,1.63924,7,5,0,1,0.6811,l,2015-08-23 22:45:00,0,0,1,0,-0.86183,185,31,299,22,0,1,0,0,-0.86183,0.77741,1.63924,0.77741,1.63924,0,1,0.6811,0,1,0,0,-0.86183,0.77741,1.63924,0.77741,1.63924,0,1,0.6811,Palermo,0.1468,0.2407,0.6125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.03288,0.520796,2.03288,0.520796,7,4,2,0,2.5296,w,2015-08-30 22:45:00,1,0,0,3,1.512084,110,27,211,23,1,1,0,3,0.650254,2.81029,2.160036,2.81029,2.160036,2,1,3.2107,1,1,0,3,0.650254,2.81029,2.160036,2.81029,2.160036,2,1,3.2107,Verona,0.7922,0.153,0.0548,h,0.865017,1.16312,0.865017,1.16312,2,11,1,1,1.0943,d,2015-08-22 20:00:00,0,1,0,1,-0.2981029999999999,309,20,112,18,0,0,1,1,-0.2981029999999999,0.865017,1.16312,0.865017,1.16312,1,1,1.0943,0,0,1,1,-0.2981029999999999,0.865017,1.16312,0.865017,1.16312,1,1,1.0943,Roma,0.2613,0.3104,0.4283
2,a,0.612554,0.677696,0.612554,0.677696,6,3,0,1,1.2315,l,2015-09-12 20:00:00,0,0,1,0,-0.0651419999999999,235,27,227,26,1,2,0,3,0.5851120000000001,3.4228440000000004,2.837732,3.4228440000000004,2.837732,2,2,4.4422,1,2,0,3,0.5851120000000001,3.4228440000000004,2.837732,3.4228440000000004,2.837732,2,2,4.4422,Fiorentina,0.2778,0.3981,0.3241,a,0.839819,0.646798,0.839819,0.646798,5,4,1,3,1.5157,l,2015-08-30 22:45:00,0,0,1,0,0.193021,166,27,431,24,1,1,0,3,0.7791589999999999,2.773259,1.2328,2.011959,1.2328,3,3,3.9883000000000006,1,1,0,3,0.7791589999999999,2.773259,1.2328,2.011959,1.2328,3,3,3.9883000000000006,Torino,0.3776,0.3829,0.2395
3,h,0.382614,2.17908,0.382614,1.41778,5,3,0,2,0.1652,l,2015-09-20 17:00:00,0,0,1,0,-1.035166,276,36,258,30,1,3,0,3,-0.4500539999999999,3.8054580000000007,5.016812,3.8054580000000007,4.255512,2,4,4.6074,1,3,0,3,-0.4500539999999999,3.8054580000000007,5.016812,3.8054580000000007,4.255512,2,4,4.6074,Juventus,0.0218,0.0998,0.8784,h,2.74683,0.635511,1.98553,0.635511,10,2,1,1,2.7472000000000003,d,2015-09-12 22:45:00,0,1,0,1,1.350019,109,34,347,27,0,2,1,1,2.310575,5.545285,2.47341,4.783985,2.47341,2,4,6.2142,0,2,1,1,2.310575,5.545285,2.47341,4.783985,2.47341,2,4,6.2142,Chievo,0.885,0.0922,0.0228
4,a,0.345925,0.812854,0.345925,0.812854,2,3,0,2,0.7874,l,2015-09-23 22:45:00,0,0,1,0,-0.466929,272,19,201,34,1,4,0,3,-0.916983,4.151383000000001,5.829666,4.151383000000001,5.068365999999999,2,6,5.3948,1,4,0,3,-0.916983,4.151383000000001,5.829666,4.151383000000001,5.068365999999999,2,6,5.3948,Lazio,0.1328,0.389,0.4782,a,0.971385,2.73209,0.971385,2.73209,3,9,0,5,0.3555,l,2015-09-20 22:45:00,0,0,1,0,-1.7607049999999995,421,30,222,23,2,2,0,6,-0.6686379999999996,4.684248999999999,5.352887,4.684248999999999,5.352887,4,10,5.4592,2,2,0,6,-0.6686379999999996,4.684248999999999,5.352887,4.684248999999999,5.352887,4,10,5.4592,Napoli,0.0699,0.1458,0.7843
5,h,0.656301,0.947572,0.656301,0.947572,6,6,1,0,1.0433,w,2015-09-27 14:30:00,1,0,0,3,-0.2912709999999999,147,32,157,27,2,4,0,6,-1.2082539999999995,4.807684000000001,6.777238,4.807684000000001,6.015937999999999,3,6,6.4381,2,3,0,6,-0.346424,4.030274,5.137998,4.030274,4.376698,3,5,5.757,AC Milan,0.2313,0.3494,0.4193,a,0.650335,1.06772,0.650335,1.06772,2,6,3,2,0.9095,w,2015-09-22 22:45:00,1,0,0,3,-0.417385,163,31,227,35,3,2,0,9,-2.055997,4.411493,7.22879,4.411493,6.46749,8,8,4.528499999999999,3,2,0,9,-2.055997,4.411493,7.22879,4.411493,6.46749,8,8,4.528499999999999,Udinese,0.1911,0.3362,0.4727
6,a,1.41836,1.36533,0.657057,1.36533,5,2,1,1,1.3631,d,2015-10-04 17:00:00,0,1,0,1,-0.7082729999999999,111,32,328,28,2,4,1,7,-1.916527,6.226044000000001,8.142567999999999,5.464741000000001,7.381267999999999,4,7,7.801200000000001,1,3,1,4,-2.566781,3.415754,5.982532,2.654451,5.2212320000000005,2,6,4.5905,Udinese,0.349,0.3161,0.3349,a,1.75506,1.61378,1.75506,1.61378,7,11,2,1,1.4824,w,2015-09-27 17:00:00,1,0,0,3,0.14128,198,27,224,38,2,4,0,6,0.6303770000000003,7.529176,6.898799,7.529176,6.898799,6,9,8.7267,1,4,0,3,1.5877090000000005,6.6619980000000005,5.074289,6.6619980000000005,5.074289,5,9,8.054,Bologna,0.3999,0.2827,0.3174
7,h,1.24967,2.1399,1.24967,2.1399,4,9,3,2,0.7282,w,2015-10-18 17:00:00,1,0,0,3,-0.8902299999999999,222,17,161,36,3,4,1,10,-2.8067569999999997,7.475714000000001,10.282467999999998,6.714411000000001,9.521168,7,9,8.5294,2,2,1,7,-3.391869,4.05287,7.444736,3.291567,6.683436,5,7,4.0872,Chievo,0.1648,0.2338,0.6014,h,1.67182,1.11646,1.67182,1.11646,6,6,1,1,1.8105,d,2015-10-03 22:45:00,0,1,0,1,0.5553600000000001,197,41,233,20,3,1,3,12,-0.593939,6.925306,8.280545,6.925306,7.519245000000001,11,5,8.663,1,1,3,6,-1.230255,4.214866,6.206421000000001,4.214866,5.445121,4,4,5.4437,Verona,0.5107,0.2784,0.2109
8,a,0.550221,1.60235,0.550221,1.60235,5,1,0,2,0.4629999999999999,l,2015-10-24 17:00:00,0,0,1,0,-1.052129,193,36,217,28,3,5,1,10,-3.858885999999999,8.025935,11.884817999999996,7.264632000000001,11.123518,7,11,8.9924,2,2,1,7,-3.4088319999999994,4.220477,6.868005999999999,3.4591740000000004,6.868005999999999,5,7,4.385,Empoli,0.0812,0.2194,0.6994,a,0.552993,1.59672,0.552993,1.59672,4,5,1,3,0.526,l,2015-10-17 20:00:00,0,0,1,0,-1.043727,342,23,247,31,2,5,1,7,-0.8536150000000002,7.451555,8.30517,7.451555,8.30517,8,14,9.9753,2,3,0,6,-1.246885,3.897065,5.14395,3.897065,5.14395,4,7,5.5965,Roma,0.1009,0.2233,0.6758
9,a,1.57922,1.45703,1.57922,1.45703,7,10,3,3,1.499,d,2015-10-28 23:45:00,0,1,0,1,0.12219,212,30,258,27,3,5,2,11,-3.736696,9.605155,13.341847999999995,8.843852,12.580548,10,14,10.4914,2,1,2,8,-2.8197129999999992,5.453772,7.512181999999999,4.692469,7.512181999999999,8,8,5.0966,Torino,0.4108,0.2666,0.3226,a,0.31541,1.30999,0.31541,1.30999,8,4,0,3,0.4845,l,2015-10-25 21:00:00,0,0,1,0,-0.99458,307,40,267,31,4,3,2,14,0.8559160000000003,8.797594,7.941679999999999,8.036292000000001,7.180376,13,12,11.972600000000002,1,3,1,4,-1.957001,2.595652,3.791351,1.83435,3.791351,4,8,5.313599999999999,Lazio,0.0714,0.2703,0.6583
10,h,0.477536,1.28075,0.477536,1.28075,6,10,0,0,0.6486000000000001,d,2015-11-01 18:00:00,0,1,0,1,-0.8032140000000001,286,31,142,22,3,5,3,12,-4.539909999999999,10.082691,14.622597999999996,9.321388,13.861297999999998,10,14,11.14,1,1,3,6,-3.331656,5.275007,7.84536,4.513704,7.84536,7,8,4.7019,Napoli,0.1203,0.2877,0.592,h,1.10143,0.26471,1.10143,0.26471,12,3,2,0,2.0718,w,2015-10-28 23:45:00,1,0,0,3,0.8367199999999999,219,32,429,16,6,1,3,21,6.894984999999999,14.950273000000005,8.816585,14.950273000000005,8.055288000000001,21,8,18.1869,5,0,0,15,4.494926,7.154803,2.659877,7.154803,2.659877,11,2,10.2607,Palermo,0.5805,0.3303,0.0892
11,a,1.78652,1.26946,1.78652,1.26946,4,8,2,2,1.8123,d,2015-11-08 18:00:00,0,1,0,1,0.5170600000000001,147,26,171,29,3,5,4,13,-4.022849999999999,11.869211,15.892057999999995,11.107908,15.130757999999998,12,16,12.9523,1,1,3,6,-2.106323,5.643167,7.74949,5.643167,7.74949,8,9,5.1511,Frosinone,0.5062,0.2937,0.2001,a,0.253216,2.48691,0.253216,1.72561,3,13,1,4,0.1154,l,2015-11-01 15:30:00,0,0,1,0,-1.472394,376,27,159,34,3,7,1,10,-10.790138999999998,9.3082,21.620939000000007,9.3082,20.098339,9,16,8.298599999999999,2,3,0,6,-5.841735999999999,3.658483,10.261519,3.658483,9.500219,5,8,3.4422,Fiorentina,0.0123,0.0785,0.9092
12,h,0.93114,1.06319,0.93114,1.06319,5,3,2,1,1.1515,w,2015-11-22 18:00:00,1,0,0,3,-0.1320500000000001,265,32,164,23,4,5,4,16,-4.1549,12.800351,16.955247999999997,12.039048,16.193948,14,17,14.1038,1,1,3,6,-1.348143,5.324637,6.672780000000001,5.324637,6.672780000000001,7,8,5.574400000000001,Sassuolo,0.2728,0.3331,0.3941,h,1.37733,0.271335,1.37733,0.271335,5,4,1,0,2.4067,w,2015-11-08 18:00:00,1,0,0,3,1.105995,179,29,303,40,6,2,4,22,-0.2296729999999998,10.800353,11.030031,9.277756,9.507429,14,10,16.316100000000002,3,1,1,10,-0.9988739999999998,3.8438,4.842674,3.0825,4.081374,5,3,6.217499999999999,Carpi,0.7272,0.2251,0.0477
13,h,0.666263,2.06166,0.666263,2.06166,5,9,1,2,0.4056999999999999,l,2015-11-29 18:00:00,0,0,1,0,-1.3953969999999998,188,36,171,44,4,6,4,16,-5.550297,13.466614,19.016908,12.705311,18.255608,15,19,14.5095,1,1,3,6,-1.691411,5.440679,7.13209,5.440679,7.13209,8,8,5.517099999999999,Carpi,0.0755,0.1792,0.7453,h,0.949266,0.535478,0.949266,0.535478,7,0,1,2,1.6855,l,2015-11-22 18:00:00,0,0,1,0,0.413788,186,33,172,23,1,9,3,6,-4.640575,13.665232,19.675718000000003,11.989938,16.630513,11,26,13.4334,0,4,1,1,-1.485569,3.926612,5.412181,3.926612,5.412181,3,7,5.4511,Chievo,0.4431,0.3562,0.2007
14,a,0.0962433,1.02596,0.0962433,1.02596,2,7,0,1,0.4314,l,2015-12-05 23:45:00,0,0,1,0,-0.9297167,353,36,193,36,4,7,4,16,-6.4800137,13.5628573,20.042868,12.8015543,19.281568,15,20,14.9409,1,2,2,5,-2.7433176999999995,3.9577023,6.70102,3.9577023,6.70102,5,6,4.4495000000000005,Inter,0.0328,0.333,0.6342,a,0.515146,0.669598,0.515146,0.669598,1,2,1,2,1.1178,l,2015-12-01 00:00:00,0,0,1,0,-0.154452,464,20,261,36,9,2,3,30,3.999774,19.730471,15.730697,18.969171000000003,14.969397,17,9,21.773699999999995,4,1,0,12,1.17843,6.219929,5.041499,6.219929,5.041499,8,2,7.1125,Napoli,0.2321,0.4215,0.3464
