,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.54404,0.375662,1.54404,0.375662,3,3,2,1,2.3434,w,2015-08-22 22:45:00,1,0,0,3,1.168378,247,31,330,18,1,0,0,3,1.168378,1.54404,0.375662,1.54404,0.375662,2,1,2.3434,1,0,0,3,1.168378,1.54404,0.375662,1.54404,0.375662,2,1,2.3434,Bologna,0.7077,0.2203,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.832294,1.63354,0.832294,1.63354,8,8,0,4,0.7037,l,2015-08-30 22:45:00,0,0,1,0,-0.801246,212,23,327,30,1,1,0,3,0.3671320000000001,2.376334,2.009202,2.376334,2.009202,2,5,3.0471,1,1,0,3,0.3671320000000001,2.376334,2.009202,2.376334,2.009202,2,5,3.0471,Chievo,0.1486,0.2579,0.5935,a,1.0769,1.24183,1.0769,1.24183,4,8,3,1,1.1809,w,2015-08-23 22:45:00,1,0,0,3,-0.16493,264,37,204,23,1,0,0,3,-0.16493,1.0769,1.24183,1.0769,1.24183,3,1,1.1809,1,0,0,3,-0.16493,1.0769,1.24183,1.0769,1.24183,3,1,1.1809,Empoli,0.2913,0.307,0.4017
2,h,1.33653,0.611595,1.33653,0.611595,3,5,2,0,2.0566,w,2015-09-13 20:00:00,1,0,0,3,0.724935,191,21,285,24,2,1,0,6,1.092067,3.712864,2.620797,3.712864,2.620797,4,5,5.1037,2,1,0,6,1.092067,3.712864,2.620797,3.712864,2.620797,4,5,5.1037,Udinese,0.59,0.2866,0.1234,h,2.23566,0.791464,2.23566,0.791464,8,0,0,1,2.4824,l,2015-08-30 22:45:00,0,0,1,0,1.4441960000000005,161,41,284,20,1,1,0,3,0.4868640000000002,3.102838,2.615974,3.102838,2.615974,1,1,3.1551,1,1,0,3,0.4868640000000002,3.102838,2.615974,3.102838,2.615974,1,1,3.1551,Palermo,0.7661,0.1841,0.0498
3,a,0.971385,2.73209,0.971385,2.73209,3,9,0,5,0.3555,l,2015-09-20 22:45:00,0,0,1,0,-1.7607049999999995,421,30,222,23,2,2,0,6,-0.6686379999999996,4.684248999999999,5.352887,4.684248999999999,5.352887,4,10,5.4592,2,2,0,6,-0.6686379999999996,4.684248999999999,5.352887,4.684248999999999,5.352887,4,10,5.4592,Napoli,0.0699,0.1458,0.7843,a,1.03333,1.29389,1.03333,1.29389,5,5,2,2,1.1228,d,2015-09-13 17:00:00,0,1,0,1,-0.2605599999999999,228,38,355,23,0,1,2,2,-0.1641729999999999,3.8975300000000006,4.823,3.8975300000000006,4.0617030000000005,5,6,3.3582,0,1,2,2,-0.1641729999999999,3.8975300000000006,4.823,3.8975300000000006,4.0617030000000005,5,6,3.3582,Empoli,0.2762,0.2942,0.4296
4,h,0.812854,0.345925,0.812854,0.345925,3,2,2,0,1.8236,w,2015-09-23 22:45:00,1,0,0,3,0.466929,201,34,272,19,3,2,0,9,-0.2017089999999996,5.497102999999999,5.698812,5.497102999999999,5.698812,6,10,7.2828,3,2,0,9,-0.2017089999999996,5.497102999999999,5.698812,5.497102999999999,5.698812,6,10,7.2828,Genoa,0.4782,0.389,0.1328,h,0.382614,2.17908,0.382614,1.41778,5,3,0,2,0.1652,l,2015-09-20 17:00:00,0,0,1,0,-1.035166,276,36,258,30,1,3,0,3,-0.4500539999999999,3.8054580000000007,5.016812,3.8054580000000007,4.255512,2,4,4.6074,1,3,0,3,-0.4500539999999999,3.8054580000000007,5.016812,3.8054580000000007,4.255512,2,4,4.6074,Juventus,0.0218,0.0998,0.8784
5,a,2.28189,1.07591,1.52067,1.07591,12,3,2,1,2.4103000000000003,w,2015-09-27 17:00:00,1,0,0,3,0.44476,156,34,283,20,4,2,0,12,0.2430510000000004,7.778993,6.774722000000001,7.017772999999999,6.774722000000001,8,11,9.6931,3,2,0,9,-0.9253269999999998,6.234953000000001,6.39906,5.473733,6.39906,6,10,7.3497,Verona,0.7374,0.1981,0.0645,a,0.240971,0.838775,0.240971,0.838775,6,8,0,1,0.7021,l,2015-09-23 22:45:00,0,0,1,0,-0.597804,296,19,188,27,0,2,3,3,-2.646798,3.997698,5.883191999999999,3.236394,5.883191999999999,4,7,5.2376000000000005,0,2,3,3,-2.646798,3.997698,5.883191999999999,3.236394,5.883191999999999,4,7,5.2376000000000005,Inter,0.1013,0.3982,0.5005
6,h,3.62854,0.738998,3.62854,0.738998,13,1,2,0,2.8356000000000003,w,2015-10-04 20:00:00,1,0,0,3,2.889542,110,31,237,21,5,2,0,15,3.1325930000000004,11.407533,7.513720000000001,10.646313,7.513720000000001,10,11,12.5287,4,1,0,12,2.765461,9.031199,5.504517999999999,8.269979,5.504517999999999,8,6,9.4816,Frosinone,0.9263,0.0567,0.017,h,1.56653,1.10742,1.56653,1.10742,1,9,2,0,1.7529,w,2015-09-28 21:00:00,1,0,0,3,0.4591099999999999,216,34,102,24,1,4,1,4,-4.948403,5.649717,11.35942,5.649717,10.59812,4,8,4.8564,1,3,1,4,-3.846202000000001,4.754608,9.36211,4.754608,8.60081,3,6,4.234500000000001,Empoli,0.4829,0.3042,0.2129
7,a,0.719194,1.78618,0.719194,1.02488,2,6,1,2,0.5126,l,2015-10-18 17:00:00,0,0,1,0,-0.305686,172,31,251,34,5,3,0,15,2.8269070000000003,12.126727,9.2999,11.365507,8.5386,11,13,13.0413,3,2,0,9,1.7348400000000002,8.413863000000001,6.679103,7.652642999999999,5.917802999999999,7,8,7.937600000000001,Sassuolo,0.0985,0.2171,0.6844,a,0.298038,0.835463,0.298038,0.835463,4,2,0,1,0.7738,l,2015-10-04 14:30:00,0,0,1,0,-0.5374249999999999,240,37,160,27,3,1,3,12,0.7692010000000001,6.956553,6.187357,6.1952560000000005,5.426055,9,7,10.0986,1,1,3,6,-0.856626,4.027649,4.88428,3.266352,4.122978,6,6,5.925799999999999,Empoli,0.1259,0.3961,0.478
8,h,1.30999,0.31541,1.30999,0.31541,4,8,3,0,2.2452,w,2015-10-25 21:00:00,1,0,0,3,0.99458,267,31,307,40,6,3,0,18,3.821487,13.436717000000002,9.61531,12.675497,8.85401,14,13,15.2865,4,1,0,12,4.490125,8.752468,4.262423,7.991248,3.501123,10,3,9.8273,Torino,0.6583,0.2703,0.0714,h,0.336416,0.794492,0.336416,0.794492,5,8,1,1,0.8038000000000001,d,2015-10-17 22:45:00,0,1,0,1,-0.458076,271,27,218,22,4,2,2,14,1.8504960000000004,8.482184,6.631689999999999,7.720882,5.870386,13,9,11.4881,2,2,1,7,0.8703780000000001,4.911432,3.279752,4.15013,3.279752,6,5,7.474200000000001,AC Milan,0.138,0.3898,0.4722
9,a,0.189085,0.40769,0.189085,0.40769,4,4,1,2,0.952,l,2015-10-28 23:45:00,0,0,1,0,-0.218605,225,23,230,39,6,4,0,18,3.602882,13.625802000000002,10.023,12.864582,9.2617,15,15,16.238500000000002,3,2,0,9,3.804591,8.128699,4.324188,7.367479,3.562888,9,5,8.9557,Atalanta,0.1219,0.5863,0.2918,a,0.112853,3.13825,0.112853,2.37696,1,12,0,2,0.0194,l,2015-10-25 18:00:00,0,0,1,0,-2.264107,457,28,169,24,4,3,2,14,-1.4666270000000006,11.33309,12.799702,9.049188,10.515815,11,10,12.320799999999998,3,2,0,9,-2.5992650000000004,5.550834000000001,8.911389,4.789534000000001,7.388799000000001,6,6,5.985500000000001,Juventus,0.0011,0.0161,0.9828
