,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.63924,0.77741,1.63924,0.77741,5,7,1,0,2.0782000000000003,w,2015-08-23 22:45:00,1,0,0,3,0.86183,299,22,185,31,1,0,0,3,0.86183,1.63924,0.77741,1.63924,0.77741,1,0,2.0782000000000003,1,0,0,3,0.86183,1.63924,0.77741,1.63924,0.77741,1,0,2.0782000000000003,Genoa,0.6125,0.2407,0.1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.791464,2.23566,0.791464,2.23566,0,8,1,0,0.3335,w,2015-08-30 22:45:00,1,0,0,3,-1.4441960000000005,284,20,161,41,2,0,0,6,-0.5823660000000003,2.430704,3.0130700000000004,2.430704,3.0130700000000004,2,0,2.4117,2,0,0,6,-0.5823660000000003,2.430704,3.0130700000000004,2.430704,3.0130700000000004,2,0,2.4117,Udinese,0.0498,0.1841,0.7661,a,0.867178,1.82451,0.867178,1.82451,1,13,1,0,0.6727000000000001,w,2015-08-23 20:00:00,1,0,0,3,-0.957332,243,27,122,30,1,0,0,3,-0.957332,0.867178,1.82451,0.867178,1.82451,1,0,0.6727000000000001,1,0,0,3,-0.957332,0.867178,1.82451,0.867178,1.82451,1,0,0.6727000000000001,Juventus,0.1395,0.2542,0.6063
2,h,1.31893,0.912214,1.31893,0.912214,8,6,2,2,1.7163,d,2015-09-13 17:00:00,0,1,0,1,0.4067159999999999,125,29,227,21,2,0,1,7,-0.1756500000000003,3.749634,3.925284,3.749634,3.925284,4,2,4.128,2,0,1,7,-0.1756500000000003,3.749634,3.925284,3.749634,3.925284,4,2,4.128,Carpi,0.4623,0.3294,0.2083,h,0.866071,3.03344,0.866071,2.27214,3,5,1,2,0.1261,l,2015-08-30 22:45:00,0,0,1,0,-1.4060689999999998,359,26,160,34,0,2,0,0,-0.1396959999999998,3.539991,4.44099,2.778691,2.918387,3,7,2.3762,0,2,0,0,-0.1396959999999998,3.539991,4.44099,2.778691,2.918387,3,7,2.3762,Inter,0.0169,0.0754,0.9077
3,a,1.34984,1.29857,1.34984,1.29857,4,5,2,3,1.4388,l,2015-09-19 22:45:00,0,0,1,0,0.0512699999999999,204,24,191,38,2,1,1,7,-0.1243800000000003,5.099474,5.223854,5.099474,5.223854,6,5,5.566800000000001,2,1,1,7,-0.1243800000000003,5.099474,5.223854,5.099474,5.223854,6,5,5.566800000000001,AC Milan,0.3804,0.2976,0.322,a,0.825596,1.85902,0.825596,1.85902,5,3,0,1,0.6085,l,2015-09-13 22:45:00,0,0,1,0,-1.033424,195,25,162,19,1,2,0,3,-1.5873419999999996,2.462588,4.81123,2.462588,4.04993,2,4,2.3554,1,2,0,3,-1.5873419999999996,2.462588,4.81123,2.462588,4.04993,2,4,2.3554,Inter,0.1276,0.2257,0.6467
4,h,0.458442,0.731694,0.458442,0.731694,4,11,0,1,1.0114,l,2015-09-23 22:45:00,0,0,1,0,-0.2732519999999999,244,36,225,29,2,2,1,7,-0.3976320000000003,5.557916,5.955548,5.557916,5.955548,6,6,6.578200000000001,2,2,1,7,-0.3976320000000003,5.557916,5.955548,5.557916,5.955548,6,6,6.578200000000001,Sassuolo,0.2008,0.409,0.3902,a,0.913148,1.67014,0.913148,1.67014,2,7,2,2,0.7857000000000001,d,2015-09-20 17:00:00,0,1,0,1,-0.756992,297,21,133,29,2,0,2,8,0.8065700000000001,5.104222,4.297657,4.342925,3.536355,7,5,6.215200000000001,2,0,2,8,0.8065700000000001,5.104222,4.297657,4.342925,3.536355,7,5,6.215200000000001,Roma,0.1784,0.2505,0.5711
5,a,0.380741,0.578424,0.380741,0.578424,1,4,1,2,1.0492,l,2015-09-27 17:00:00,0,0,1,0,-0.197683,329,27,246,24,2,3,1,7,-0.5953150000000004,5.938656999999999,6.533972,5.938656999999999,6.533972,7,8,7.627400000000001,1,3,1,4,-1.4571450000000006,4.299417,5.756562000000001,4.299417,5.756562000000001,6,8,5.5492,Torino,0.1947,0.4651,0.3402,a,0.151262,0.425996,0.151262,0.425996,0,1,0,1,0.8834,l,2015-09-23 22:45:00,0,0,1,0,-0.274734,247,20,376,29,3,1,1,10,2.538183,6.353204000000001,4.576325,6.353204000000001,3.815021,9,5,7.5424,3,1,1,10,2.538183,6.353204000000001,4.576325,6.353204000000001,3.815021,9,5,7.5424,Chievo,0.0966,0.5936,0.3098
6,h,1.27132,2.02203,1.27132,2.02203,6,12,2,4,0.8591,l,2015-10-04 17:00:00,0,0,1,0,-0.75071,410,38,185,16,2,4,1,7,-1.3460250000000005,7.209976999999999,8.556002,7.209976999999999,8.556002,9,12,8.486500000000001,0,4,1,1,-0.7636590000000001,4.779273,5.542932,4.779273,5.542932,7,12,6.0748,Roma,0.2111,0.2258,0.5631,h,3.46661,1.51645,3.46661,0.602456,11,9,5,1,2.6186,w,2015-09-26 20:00:00,1,0,0,3,2.864154,172,27,364,20,3,1,2,11,6.713952,10.622821000000002,4.822863,10.622821000000002,3.908869,13,7,12.420000000000002,3,1,1,10,6.415849,9.459701,3.957846,9.459701,3.043852,12,6,10.8247,Carpi,0.8339,0.1169,0.0492
7,a,1.66538,1.7239,1.66538,1.7239,3,12,1,0,1.3195,w,2015-10-18 14:30:00,1,0,0,3,-0.0585199999999999,294,16,237,38,3,4,1,10,-1.4045450000000004,8.875357,10.279902,8.875357,10.279902,10,12,9.806,1,4,0,3,-1.2288949999999998,5.125723,6.354618,5.125723,6.354618,6,10,5.678,Bologna,0.3485,0.274,0.3775,a,0.139356,3.4019,0.139356,2.6406,0,6,1,3,0.0206,l,2015-10-04 20:00:00,0,0,1,0,-2.501244,472,27,205,19,1,6,0,3,-7.053438,4.0586660000000006,11.873404,4.0586660000000006,11.112104000000002,4,12,4.1412,1,4,0,3,-5.277483,3.5299469999999995,9.56873,3.5299469999999995,8.80743,3,9,3.1327,Juventus,0.0014,0.0164,0.9822
8,h,1.06069,2.04874,1.06069,2.04874,2,10,1,1,0.5536,d,2015-10-24 22:45:00,0,1,0,1,-0.98805,259,19,222,26,3,4,2,11,-2.3925950000000005,9.936047,12.328642,9.936047,12.328642,11,13,10.3596,1,3,1,4,-2.268215,4.8365730000000005,7.104788000000001,4.8365730000000005,7.104788000000001,5,8,4.7928,Inter,0.103,0.2446,0.6524,h,0.360147,0.900473,0.360147,0.900473,3,5,0,0,0.747,d,2015-10-18 22:45:00,0,1,0,1,-0.540326,273,27,254,16,5,1,2,17,1.833294,11.461802,9.628508,10.700502,8.867208,8,6,12.4594,2,1,2,8,-1.261336,5.533621999999999,7.556258,5.533621999999999,6.794957999999999,4,5,5.5602,Juventus,0.1273,0.3651,0.5076
9,a,0.26471,1.10143,0.26471,1.10143,3,12,0,2,0.5979,l,2015-10-28 23:45:00,0,0,1,0,-0.8367199999999999,429,16,219,32,3,5,2,11,-3.2293150000000006,10.200757,13.430072,10.200757,13.430072,11,15,10.9575,1,3,1,4,-2.831683,4.642841,7.474524,4.642841,7.474524,5,9,4.3793,Napoli,0.0892,0.3303,0.5805,a,1.27216,0.652747,1.27216,0.652747,12,4,1,0,1.8588,w,2015-10-25 23:45:00,1,0,0,3,0.619413,198,26,370,32,5,1,3,18,6.058265,13.848843000000002,8.551875,13.848843000000002,7.790578,19,8,16.115099999999998,4,0,1,13,4.461733,7.219222999999999,2.75749,7.219222999999999,2.75749,9,2,10.2582,Chievo,0.5203,0.2979,0.1818
