,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.865017,1.16312,0.865017,1.16312,2,11,1,1,1.0943,d,2015-08-22 20:00:00,0,1,0,1,-0.2981029999999999,309,20,112,18,0,0,1,1,-0.2981029999999999,0.865017,1.16312,0.865017,1.16312,1,1,1.0943,0,0,1,1,-0.2981029999999999,0.865017,1.16312,0.865017,1.16312,1,1,1.0943,Roma,0.2613,0.3104,0.4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.520796,2.03288,0.520796,2.03288,4,7,0,2,0.3174,l,2015-08-30 22:45:00,0,0,1,0,-1.512084,211,23,110,27,0,1,1,1,-1.810187,1.3858130000000002,3.196,1.3858130000000002,3.196,1,3,1.4117000000000002,0,1,1,1,-1.810187,1.3858130000000002,3.196,1.3858130000000002,3.196,1,3,1.4117000000000002,Genoa,0.0548,0.153,0.7922,a,0.77741,1.63924,0.77741,1.63924,7,5,0,1,0.6811,l,2015-08-23 22:45:00,0,0,1,0,-0.86183,185,31,299,22,0,1,0,0,-0.86183,0.77741,1.63924,0.77741,1.63924,0,1,0.6811,0,1,0,0,-0.86183,0.77741,1.63924,0.77741,1.63924,0,1,0.6811,Palermo,0.1468,0.2407,0.6125
2,h,1.61701,0.926644,0.855706,0.926644,2,7,2,2,1.957,d,2015-09-13 14:30:00,0,1,0,1,-0.070938,256,21,231,26,0,1,2,2,-1.881125,3.002823,4.122643999999999,2.2415190000000003,4.122643999999999,3,5,3.3687000000000005,0,1,2,2,-1.881125,3.002823,4.122643999999999,2.2415190000000003,4.122643999999999,3,5,3.3687000000000005,Torino,0.556,0.289,0.155,h,0.646798,0.839819,0.646798,0.839819,4,5,3,1,1.1014,w,2015-08-30 22:45:00,1,0,0,3,-0.193021,431,24,166,27,2,0,0,6,0.90918,2.644108,1.734928,2.644108,1.734928,5,2,3.2599,2,0,0,6,0.90918,2.644108,1.734928,2.644108,1.734928,5,2,3.2599,Fiorentina,0.2395,0.3829,0.3776
3,a,0.753904,0.921773,0.753904,0.921773,2,7,1,1,1.1668,d,2015-09-20 17:00:00,0,1,0,1,-0.1678689999999999,176,23,148,21,0,1,3,3,-2.048994,3.756727,5.044416999999999,2.995423,5.044416999999999,4,6,4.535500000000001,0,1,3,3,-2.048994,3.756727,5.044416999999999,2.995423,5.044416999999999,4,6,4.535500000000001,Atalanta,0.2715,0.3523,0.3762,a,1.32444,1.26217,0.563138,0.500873,2,3,2,2,1.3754999999999995,d,2015-09-13 17:00:00,0,1,0,1,0.062265,280,27,175,31,1,1,1,4,0.964769,4.860483,3.134409,3.337881,2.373112,4,3,4.8544,1,1,1,4,0.964769,4.860483,3.134409,3.337881,2.373112,4,3,4.8544,Sassuolo,0.3359,0.3678,0.2963
4,a,0.240971,0.838775,0.240971,0.838775,6,8,0,1,0.7021,l,2015-09-23 22:45:00,0,0,1,0,-0.597804,296,19,188,27,0,2,3,3,-2.646798,3.997698,5.883191999999999,3.236394,5.883191999999999,4,7,5.2376000000000005,0,2,3,3,-2.646798,3.997698,5.883191999999999,3.236394,5.883191999999999,4,7,5.2376000000000005,Inter,0.1013,0.3982,0.5005,a,1.36927,0.885744,1.36927,0.885744,5,9,1,0,1.8248,w,2015-09-20 14:30:00,1,0,0,3,0.483526,172,9,252,44,4,0,0,12,3.5781559999999994,7.29745,2.957994,6.53615,2.957994,5,1,8.724,4,0,0,12,3.5781559999999994,7.29745,2.957994,6.53615,2.957994,5,1,8.724,Chievo,0.5018,0.3194,0.1788
5,h,1.07591,2.28189,1.07591,1.52067,3,12,1,2,0.3916,l,2015-09-27 17:00:00,0,0,1,0,-0.44476,283,20,156,34,0,3,3,3,-3.091558,5.073608,8.165082,4.312304,7.403861999999999,5,9,5.629200000000001,0,3,2,2,-2.793455,4.208591,7.001962000000001,3.447287,6.240742,4,8,4.5349,Lazio,0.0645,0.1981,0.7374,h,0.812854,0.345925,0.812854,0.345925,3,2,2,0,1.8236,w,2015-09-23 22:45:00,1,0,0,3,0.466929,201,34,272,19,3,2,0,9,-0.2017089999999996,5.497102999999999,5.698812,5.497102999999999,5.698812,6,10,7.2828,3,2,0,9,-0.2017089999999996,5.497102999999999,5.698812,5.497102999999999,5.698812,6,10,7.2828,Genoa,0.4782,0.389,0.1328
6,a,1.11646,1.67182,1.11646,1.67182,6,6,1,1,0.9111,d,2015-10-03 22:45:00,0,1,0,1,-0.5553600000000001,233,20,197,41,0,3,4,4,-3.646918,6.190068,9.836902,5.428764,9.075682,6,10,6.540300000000001,0,2,3,3,-1.836731,4.804255,6.6409020000000005,4.042951,5.879682000000001,5,7,5.1286000000000005,Chievo,0.2109,0.2784,0.5107,a,0.595795,0.822599,0.595795,0.822599,4,5,1,1,1.0938,d,2015-09-27 17:00:00,0,1,0,1,-0.226804,234,41,191,21,3,1,2,11,-1.149299,5.253486,7.164085000000001,5.253486,6.402785000000001,10,4,6.852500000000001,2,1,2,8,-0.984369,4.176586,5.922255000000001,4.176586,5.160955,7,3,5.6716,Sassuolo,0.2392,0.3762,0.3846
7,h,1.10503,0.839325,0.343733,0.839325,3,2,1,1,1.6379,d,2015-10-18 17:00:00,0,1,0,1,-0.495592,257,18,242,29,0,3,5,5,-4.142510000000001,7.295098,10.676227,5.772497,9.915007,7,11,8.1782,0,2,3,3,-2.261385,4.292275,6.553583000000001,3.530978,5.792363,4,6,4.8095,Udinese,0.4272,0.3563,0.2165,h,1.36533,1.41836,1.36533,0.657057,2,5,1,1,1.3208,d,2015-10-04 17:00:00,0,1,0,1,0.7082729999999999,328,28,111,32,2,4,1,7,1.3386500000000003,8.894506,8.317159,8.894506,7.555856,7,10,10.0475,1,3,1,4,0.851786,5.7916680000000005,5.701185,5.7916680000000005,4.939882,6,9,6.8924,Genoa,0.3349,0.3161,0.349
8,a,0.629179,2.84874,0.629179,2.84874,9,9,1,4,0.1669,l,2015-10-25 15:30:00,0,0,1,0,-2.219561,229,16,272,23,0,4,5,5,-6.362071,7.924277,13.524967,6.401676,12.763747,8,15,8.3451,0,3,2,2,-4.313077,4.167549999999999,8.48055,3.406253,7.719329999999999,4,9,3.8096,Sampdoria,0.0293,0.079,0.8917,a,1.40095,1.23144,1.40095,1.23144,16,6,0,2,1.5002,l,2015-10-18 17:00:00,0,0,1,0,0.1695099999999998,112,22,209,17,3,3,2,11,-5.047691,9.616028,13.902419000000002,8.093428,13.141119,13,12,8.329,1,3,1,4,-3.694762,5.556588,9.251350000000002,5.556588,9.251350000000002,4,8,4.3142,Frosinone,0.4073,0.2783,0.3144
9,h,0.0829689,1.97422,0.0829689,1.97422,2,5,0,2,0.074,l,2015-10-28 23:45:00,0,0,1,0,-1.8912511,411,35,201,19,0,5,5,5,-8.2533221,8.0072459,15.499187,6.4846449,14.737967,8,17,8.4191,0,3,2,2,-5.6065241,4.009547899999999,9.615995,3.2482509,8.854775,4,10,3.1815,Fiorentina,0.0039,0.0623,0.9338,h,1.27493,0.955907,1.27493,0.955907,8,0,1,2,1.5658000000000003,l,2015-10-25 21:00:00,0,0,1,0,0.3190229999999999,126,24,394,39,6,3,0,18,3.1712100000000008,13.858365,8.403255,11.574465000000002,8.403255,16,8,15.964,3,2,0,9,3.4057220000000004,9.989003,5.060681,8.466403,5.060681,11,5,10.14,Roma,0.4181,0.3115,0.2704
10,a,0.525153,1.24528,0.525153,1.24528,7,5,0,0,0.6918,d,2015-11-01 18:00:00,0,1,0,1,-0.720127,113,28,246,28,0,5,6,6,-8.9734491,8.532398899999999,16.744467,7.009797900000001,15.983247,8,17,9.1109,0,2,3,3,-5.8818911,3.4587909000000003,8.579385,2.6974939,8.579385,3,8,3.4817,Carpi,0.1371,0.2805,0.5824,a,0.640609,1.00468,0.640609,1.00468,1,3,1,2,0.9266,l,2015-10-28 23:45:00,0,0,1,0,-0.364071,143,25,135,28,1,7,2,5,-4.668495,11.199351,17.237757000000002,9.524057,14.192552,10,23,9.352,1,4,0,3,-4.397369,4.887603,9.89358,3.973609,8.370978000000001,5,13,3.111,Frosinone,0.1972,0.335,0.4678
11,h,0.238936,1.29364,0.238936,1.29364,7,3,0,2,0.3967,l,2015-11-07 21:00:00,0,0,1,0,-1.054704,239,32,243,12,0,6,6,6,-10.0281531,8.7713349,18.038107,7.2487339,17.276887,8,19,9.5076,0,3,2,2,-6.3812351,2.5812669,8.201205,1.8199699,8.201205,2,9,2.9673000000000003,Bologna,0.0507,0.2446,0.7047,h,1.37773,1.25378,1.37773,1.25378,5,4,3,0,1.4514,w,2015-11-01 18:00:00,1,0,0,3,0.12395,268,26,180,30,3,8,0,9,-6.3265780000000005,9.792418,16.880296,9.792418,16.118996000000003,9,15,10.1133,2,3,0,6,-1.774384,5.873108,8.408791999999998,5.873108,7.647491999999999,6,6,5.992699999999999,Atalanta,0.3816,0.3066,0.3118
12,h,0.169838,2.39349,0.169838,2.39349,0,19,0,2,0.0891,l,2015-11-22 15:30:00,0,0,1,0,-2.223652,433,16,157,30,0,7,6,6,-12.2518051,8.9411729,20.431597,7.418571900000001,19.670377,8,21,9.5967,0,4,1,1,-8.109295099999999,1.6460749,9.75537,1.6460749,9.75537,1,10,1.4185,Napoli,0.0086,0.0633,0.9281,h,1.1988,0.298595,1.1988,0.298595,7,3,1,0,2.1564,w,2015-11-08 21:00:00,1,0,0,3,0.9002050000000001,190,23,292,17,7,1,4,25,8.598403999999999,17.429823000000003,9.592716,17.429823000000003,8.831419000000002,22,8,22.407,4,0,1,13,4.739329,7.115270000000001,2.375941,7.115270000000001,2.375941,6,1,10.634,Udinese,0.6192,0.2988,0.082
13,a,0.811855,2.46758,0.811855,1.70628,5,6,2,3,0.3178999999999999,l,2015-11-29 18:00:00,0,0,1,0,-0.894425,187,25,157,31,0,8,6,6,-13.1462301,9.7530279,22.899177,8.230426900000001,21.376657,10,24,9.9146,0,4,1,1,-6.7841591,1.8287509,9.37421,1.8287509,8.61291,2,9,1.5695,Frosinone,0.059,0.1409,0.8001,a,0.473179,3.15518,0.473179,3.15518,1,14,0,4,0.0759,l,2015-11-22 23:45:00,0,0,1,0,-2.682001,259,35,111,21,3,8,2,11,-13.9892,11.050839,26.562639000000008,11.050839,25.040039,11,22,9.2685,1,3,1,4,-5.981745,3.4306840000000003,10.173729,3.4306840000000003,9.412429,5,12,3.0829,Inter,0.0111,0.0426,0.9463
