,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.08269,1.41716,1.08269,1.41716,2,8,2,2,1.0818,d,2016-08-21 22:45:00,0,1,0,1,-0.33447,316,13,293,34,0,0,1,1,-0.33447,1.08269,1.41716,1.08269,1.41716,2,2,1.0818,0,0,1,1,-0.33447,1.08269,1.41716,1.08269,1.41716,2,2,1.0818,Napoli,0.261,0.2988,0.4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.45854,0.54343,1.45854,0.54343,9,6,1,2,2.2875,l,2016-08-28 22:45:00,0,0,1,0,0.91511,186,22,329,28,0,1,1,1,0.5806399999999999,2.54123,1.96059,2.54123,1.96059,3,4,3.3693,0,1,1,1,0.5806399999999999,2.54123,1.96059,2.54123,1.96059,3,4,3.3693,Sassuolo,0.6834,0.2373,0.0793,a,1.67953,0.351218,0.918235,0.351218,8,5,1,0,2.4876,w,2016-08-21 22:45:00,1,0,0,3,0.5670170000000001,213,26,316,29,1,0,0,3,0.5670170000000001,1.67953,0.351218,0.918235,0.351218,1,0,2.4876,1,0,0,3,0.5670170000000001,1.67953,0.351218,0.918235,0.351218,1,0,2.4876,Palermo,0.7688,0.1812,0.05
2,h,1.52585,1.70313,1.52585,1.70313,3,8,1,2,1.2731,l,2016-09-11 22:45:00,0,0,1,0,-0.1772800000000001,332,25,218,35,0,2,1,1,0.4033599999999998,4.06708,3.66372,4.06708,3.66372,4,6,4.6424,0,2,1,1,0.4033599999999998,4.06708,3.66372,4.06708,3.66372,4,6,4.6424,Inter,0.3417,0.248,0.4103,h,1.94441,0.544244,1.94441,0.544244,7,1,1,1,2.4089,d,2016-08-28 20:00:00,0,1,0,1,1.400166,122,28,354,32,0,1,1,1,1.639233,2.96156,1.322327,2.96156,1.322327,1,3,3.9614,0,1,1,1,1.639233,2.96156,1.322327,2.96156,1.322327,1,3,3.9614,Palermo,0.7401,0.1886,0.0713
3,a,1.21293,3.04807,0.451632,3.04807,1,12,0,3,0.3263,l,2016-09-17 20:00:00,0,0,1,0,-2.596438,258,20,182,25,0,3,1,1,-2.1930780000000003,5.28001,6.71179,4.518712,6.71179,4,9,4.9687,0,3,1,1,-2.1930780000000003,5.28001,6.71179,4.518712,6.71179,4,9,4.9687,Lazio,0.0639,0.1346,0.8015,a,0.74614,2.00749,0.74614,2.00749,3,2,1,1,0.4595,d,2016-09-11 17:00:00,0,1,0,1,-1.2613500000000002,304,18,256,25,1,1,1,4,-1.448828,2.71944,4.168267999999999,2.71944,4.168267999999999,5,5,2.8283000000000005,1,1,1,4,-1.448828,2.71944,4.168267999999999,2.71944,4.168267999999999,5,5,2.8283000000000005,Chievo,0.0919,0.1838,0.7243
4,h,0.988465,0.628442,0.988465,0.628442,6,2,0,0,1.6391,d,2016-09-21 22:45:00,0,1,0,1,0.3600230000000001,169,21,266,22,0,3,2,2,-1.8330550000000003,6.268475,7.340231999999999,5.507177,7.340231999999999,4,9,6.6078,0,3,2,2,-1.8330550000000003,6.268475,7.340231999999999,5.507177,7.340231999999999,4,9,6.6078,Torino,0.4285,0.3536,0.2179,h,0.718392,0.184549,0.718392,0.184549,5,4,0,0,1.8865,d,2016-09-18 17:00:00,0,1,0,1,0.5338430000000001,289,39,207,20,1,2,1,4,1.5385709999999997,7.341097999999999,5.7891,5.805070999999999,4.2665,8,6,5.8866,1,2,1,4,1.5385709999999997,7.341097999999999,5.7891,5.805070999999999,4.2665,8,6,5.8866,Empoli,0.4829,0.4378,0.0793
5,a,1.09165,0.507435,1.09165,0.507435,5,3,1,1,1.9646,d,2016-09-25 17:00:00,0,1,0,1,0.584215,181,25,241,32,0,3,3,3,-1.2488400000000004,7.360125,7.847666999999999,6.598827,7.847666999999999,5,10,8.5724,0,3,2,2,-0.9143700000000002,6.277434999999999,6.430507,5.5161370000000005,6.430507,3,8,7.4906,Genoa,0.5515,0.3101,0.1384,h,0.507435,1.09165,0.507435,1.09165,3,5,1,1,0.7253000000000001,d,2016-09-25 17:00:00,0,1,0,1,-0.584215,241,32,181,25,2,1,2,8,1.1801020000000002,6.673524,6.254722000000001,6.673524,5.493422000000001,7,5,6.8131,2,1,2,8,1.1801020000000002,6.673524,6.254722000000001,6.673524,5.493422000000001,7,5,6.8131,Pescara,0.1384,0.3101,0.5515
6,h,0.518031,1.81437,0.518031,1.81437,4,6,0,2,0.4253,l,2016-10-01 20:00:00,0,0,1,0,-1.296339,248,19,327,29,0,4,3,3,-2.5451790000000005,7.878156,9.662037,7.116858,9.662037,5,12,8.9977,0,3,2,2,-3.1258190000000003,5.336926,7.701447,4.575627999999999,7.701447,2,8,5.6284,Chievo,0.0775,0.1928,0.7297,a,0.41855,0.644091,0.41855,0.644091,4,12,0,2,1.0589,l,2016-09-24 22:45:00,0,0,1,0,-0.225541,400,24,358,22,3,2,1,10,2.335985,6.6960880000000005,4.3601030000000005,6.6960880000000005,4.3601030000000005,7,6,9.4205,2,2,1,7,2.5750520000000003,5.918005,3.342953,5.918005,3.342953,5,6,8.3096,Napoli,0.2023,0.452,0.3457
7,h,1.69154,1.6457,0.930238,1.6457,2,6,1,1,1.4456,d,2016-10-15 20:00:00,0,1,0,1,-0.7154619999999999,316,10,153,21,0,4,4,4,-3.260641000000001,9.569696,11.307737,8.047096,11.307737,6,13,10.4433,0,2,3,3,-3.664001,5.502616000000001,7.644017,3.980016,7.644017,2,7,5.8009,Sampdoria,0.3932,0.266,0.3408,h,1.44665,0.514686,1.44665,0.514686,11,3,1,1,2.1135,d,2016-10-02 17:00:00,0,1,0,1,0.931964,245,32,218,13,2,4,1,7,-1.2495620000000005,7.290753,8.540315999999999,6.529453999999999,7.779016,7,10,9.3277,0,4,1,1,-1.2195030000000002,5.310389,7.291192000000001,5.310389,6.529892,4,9,5.7918,Palermo,0.6136,0.2727,0.1137
8,a,0.694512,2.33345,0.694512,0.810854,10,5,1,3,0.2561,l,2016-10-23 14:30:00,0,0,1,0,-0.1163419999999999,218,25,353,18,0,5,4,4,-3.3769830000000005,10.264208,13.641187,8.741608,12.118591,7,16,10.6994,0,2,3,3,-1.1839049999999998,4.984198000000001,6.929397,4.222896,5.406801,3,7,5.7307,Udinese,0.043,0.1271,0.8299,a,0.257762,2.46977,0.257762,1.70847,2,6,1,2,0.0906,l,2016-10-15 22:45:00,0,0,1,0,-1.450708,297,14,283,29,2,5,1,7,-7.1978420000000005,6.509640999999999,16.752678,6.509640999999999,13.707483000000002,7,14,6.0769,0,4,1,1,-2.765808,4.572616999999999,8.861020000000002,4.572616999999999,7.338425000000001,4,10,4.1235,Juventus,0.0107,0.0585,0.9308
9,h,0.22903,0.665026,0.22903,0.665026,2,1,0,1,0.7813,l,2016-10-26 22:45:00,0,0,1,0,-0.435996,314,25,285,28,0,6,4,4,-3.812979,10.493238,14.306212999999998,8.970638,12.783616999999998,7,17,11.4807,0,3,2,2,-1.979924,4.224763,6.965981,3.463461,5.443385,3,8,4.8729,Atalanta,0.1093,0.4534,0.4373,h,2.3909,0.235632,1.6296,0.235632,5,2,2,1,2.8788,w,2016-10-23 17:00:00,1,0,0,3,1.393968,279,33,248,27,4,4,1,13,4.215224999999999,14.027693,8.289868,11.743794,7.528569,12,13,16.142000000000003,3,1,1,10,4.046361999999999,8.6697,3.862038,7.9084,3.862038,6,3,10.4647,Inter,0.9422,0.0522,0.0056
