,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.74508,2.5953,0.983783,1.834,12,6,2,3,0.7712000000000001,l,2016-08-21 20:00:00,0,0,1,0,-0.8502170000000001,202,32,167,19,0,1,0,0,-0.8502170000000001,1.74508,2.5953,0.983783,1.834,2,3,0.7712000000000001,0,1,0,0,-0.8502170000000001,1.74508,2.5953,0.983783,1.834,2,3,0.7712000000000001,AC Milan,0.1887,0.2051,0.6062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,4.22894,0.532401,3.45421,0.532401,9,4,5,1,2.9509000000000003,w,2016-08-28 22:45:00,1,0,0,3,2.921809,271,30,221,23,1,1,0,3,2.0715919999999994,5.974019999999999,3.127701,4.437993,2.366401,7,4,3.7221,1,1,0,3,2.0715919999999994,5.974019999999999,3.127701,4.437993,2.366401,7,4,3.7221,Bologna,0.9775,0.0184,0.0041,h,1.73535,0.38438,1.73535,0.38438,9,3,1,0,2.4250000000000003,w,2016-08-21 22:45:00,1,0,0,3,1.35097,292,24,248,27,1,0,0,3,1.35097,1.73535,0.38438,1.73535,0.38438,1,0,2.4250000000000003,1,0,0,3,1.35097,1.73535,0.38438,1.73535,0.38438,1,0,2.4250000000000003,Crotone,0.7436,0.1942,0.0622
2,a,0.648686,2.47685,0.648686,1.71555,5,5,1,2,0.278,l,2016-09-11 17:00:00,0,0,1,0,-1.0668639999999998,159,25,185,22,1,2,0,3,1.0047279999999996,6.622705999999999,5.604551000000001,5.086678999999999,4.081951,8,6,4.0001,1,2,0,3,1.0047279999999996,6.622705999999999,5.604551000000001,5.086678999999999,4.081951,8,6,4.0001,Atalanta,0.0527,0.1199,0.8274,a,0.314303,0.933904,0.314303,0.172605,1,1,1,2,0.558,l,2016-08-28 22:45:00,0,0,1,0,0.141698,329,28,246,32,0,2,0,0,-0.1181920000000001,1.860993,2.740484,1.860993,1.979185,4,6,1.6779,0,2,0,0,-0.1181920000000001,1.860993,2.740484,1.860993,1.979185,4,6,1.6779,Sampdoria,0.0797,0.3189,0.6014
3,h,0.718392,0.184549,0.718392,0.184549,5,4,0,0,1.8865,d,2016-09-18 17:00:00,0,1,0,1,0.5338430000000001,289,39,207,20,1,2,1,4,1.5385709999999997,7.341097999999999,5.7891,5.805070999999999,4.2665,8,6,5.8866,1,2,1,4,1.5385709999999997,7.341097999999999,5.7891,5.805070999999999,4.2665,8,6,5.8866,Empoli,0.4829,0.4378,0.0793,h,0.636904,0.521587,0.636904,0.521587,2,4,2,1,1.3904,w,2016-09-12 22:45:00,1,0,0,3,0.115317,225,32,254,24,1,2,0,3,0.274601,2.754745,2.480144,2.754745,2.480144,2,4,4.2276,1,2,0,3,0.274601,2.754745,2.480144,2.754745,2.480144,2,4,4.2276,Crotone,0.3243,0.4175,0.2582
4,a,0.628442,0.988465,0.628442,0.988465,2,6,0,0,1.0073,d,2016-09-21 22:45:00,0,1,0,1,-0.3600230000000001,266,22,169,21,1,2,2,5,1.1785479999999997,7.9695399999999985,6.777565,6.433512999999999,5.254964999999999,8,6,6.8939,1,2,2,5,1.1785479999999997,7.9695399999999985,6.777565,6.433512999999999,5.254964999999999,8,6,6.8939,Pescara,0.2179,0.3536,0.4285,a,1.21293,3.04807,0.451632,3.04807,1,12,0,3,0.3263,l,2016-09-17 20:00:00,0,0,1,0,-2.596438,258,20,182,25,0,3,1,1,-2.1930780000000003,5.28001,6.71179,4.518712,6.71179,4,9,4.9687,0,3,1,1,-2.1930780000000003,5.28001,6.71179,4.518712,6.71179,4,9,4.9687,Lazio,0.0639,0.1346,0.8015
5,h,2.48231,2.97512,1.72101,2.21382,9,17,3,1,1.097,w,2016-09-25 14:30:00,1,0,0,3,-0.4928100000000002,303,26,121,32,2,2,2,8,0.6857379999999995,10.45185,9.752685,8.154523,7.468785,11,7,7.9909,2,1,2,8,1.5359549999999995,8.706769999999999,7.157385,7.170739999999999,5.634785000000001,9,4,7.2197,Roma,0.2922,0.2204,0.4874,h,2.21659,1.20964,2.21659,0.448467,6,4,4,0,2.0951,w,2016-09-21 22:45:00,1,0,0,3,1.768123,129,27,474,16,3,1,1,10,7.780660000000001,15.52858,5.463893,12.48338,4.702719999999999,13,5,11.4927,3,1,1,10,7.780660000000001,15.52858,5.463893,12.48338,4.702719999999999,13,5,11.4927,Crotone,0.6222,0.2285,0.1493
6,h,0.934719,1.4493,0.934719,1.4493,4,6,2,1,0.9292,w,2016-10-02 20:00:00,1,0,0,3,-0.5145810000000001,300,22,135,23,3,2,2,11,0.1711569999999994,11.386568999999998,11.201985,9.089242,8.918085,13,8,8.9201,2,1,2,8,-1.9004350000000003,5.412549,8.074284,4.651249,6.551684000000001,6,4,5.198,Fiorentina,0.2177,0.2761,0.5062,a,1.4493,0.934719,1.4493,0.934719,6,4,1,2,1.7947,l,2016-10-02 20:00:00,0,0,1,0,0.5145810000000001,135,23,300,22,2,2,2,8,-2.624617,5.817267,6.9192860000000005,4.294669000000001,6.9192860000000005,6,6,7.266,2,1,2,8,-1.308515,5.573069,5.358986000000001,4.050471,5.358986000000001,5,4,6.9346000000000005,Torino,0.5062,0.2761,0.2177
7,a,1.20703,0.865751,1.20703,0.865751,7,7,4,1,1.6511,w,2016-10-17 22:45:00,1,0,0,3,0.341279,313,46,200,26,4,2,2,14,0.5124359999999994,12.593598999999998,12.067736,10.296271999999998,9.783836,17,9,10.5712,3,0,2,11,-0.4922920000000003,5.970893,6.463185,5.209593,5.701885000000001,9,3,6.5711,Palermo,0.4517,0.296,0.2523,a,0.514686,1.44665,0.514686,1.44665,3,11,1,1,0.6137999999999999,d,2016-10-02 17:00:00,0,1,0,1,-0.931964,218,13,245,32,1,3,3,6,-6.427464,3.769491,10.95825,3.769491,10.196955,4,8,3.8546,1,2,2,5,-4.460281,2.874029,7.334309999999999,2.874029,7.334309999999999,3,6,3.1209,Sampdoria,0.1137,0.2727,0.6136
8,h,1.66152,1.31796,0.900223,1.31796,3,7,2,2,1.6597,d,2016-10-23 17:00:00,0,1,0,1,-0.417737,212,24,261,26,4,2,3,15,0.0946989999999994,14.255118999999995,13.385696,11.196495,11.101795999999998,19,11,12.230899999999998,3,0,2,11,-1.4438720000000005,6.914021000000001,7.596596000000001,5.391424000000001,6.835296000000001,11,5,6.3443,Lazio,0.4609,0.277,0.2621,h,2.91842,1.04123,2.15712,1.04123,14,3,1,1,2.5626,d,2016-10-16 17:00:00,0,1,0,1,1.1158899999999998,177,32,273,19,4,2,2,14,2.2218089999999995,12.599059,11.138548,11.837758999999998,9.61595,14,8,11.7581,3,1,1,10,3.670637,9.879619,6.970280000000001,9.118319,5.447682,9,3,8.9298,Bologna,0.81,0.1326,0.0574
9,a,0.547634,2.39829,0.547634,2.39829,3,12,1,2,0.1946999999999999,l,2016-10-26 22:45:00,0,0,1,0,-1.850656,257,22,301,31,4,3,3,15,-1.7559570000000004,14.802752999999996,15.783986,11.744129,13.500085999999998,20,13,12.425599999999998,3,1,1,10,-2.934505,6.833213000000001,9.006421,5.310616,8.245121000000001,12,7,5.5317,Inter,0.0254,0.1185,0.8561,a,0.235632,2.3909,0.235632,1.6296,2,5,1,2,0.069,l,2016-10-23 17:00:00,0,0,1,0,-1.393968,248,27,279,33,3,4,2,11,1.382212000000001,12.704689,11.322477,11.943389000000002,10.561177,11,12,13.7856,1,3,1,4,0.0606620000000004,7.293422,7.232760000000001,6.532122,6.47146,6,7,7.473399999999999,Atalanta,0.0056,0.0522,0.9422
