,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.84573,1.05409,2.84573,1.05409,11,3,2,1,2.6209,w,2017-08-20 19:45:00,1,0,0,3,1.79164,198,30,402,22,1,0,0,3,1.79164,2.84573,1.05409,2.84573,1.05409,2,1,2.6209,1,0,0,3,1.79164,2.84573,1.05409,2.84573,1.05409,2,1,2.6209,Benevento,0.8343,0.118,0.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.14547,1.86088,1.38417,1.86088,4,11,2,1,1.6279,w,2017-08-27 19:45:00,1,0,0,3,-0.4767100000000002,265,18,191,27,2,0,0,6,1.31493,4.9912,2.9149700000000003,4.2299,2.9149700000000003,4,2,4.2488,2,0,0,6,1.31493,4.9912,2.9149700000000003,4.2299,2.9149700000000003,4,2,4.2488,Fiorentina,0.4578,0.2545,0.2877,a,0.411971,2.71454,0.411971,1.95324,3,12,0,3,0.1243,l,2017-08-20 19:45:00,0,0,1,0,-1.5412690000000002,335,25,295,16,0,1,0,0,-1.5412690000000002,0.411971,2.71454,0.411971,1.95324,0,3,0.1243,0,1,0,0,-1.5412690000000002,0.411971,2.71454,0.411971,1.95324,0,3,0.1243,Inter,0.0185,0.0688,0.9127
2,a,0.910733,1.32766,0.910733,1.32766,2,8,2,2,0.97,d,2017-09-17 14:00:00,0,1,0,1,-0.416927,240,32,263,18,2,0,1,7,0.8980029999999999,5.901933,4.24263,5.140632999999999,4.24263,6,4,5.2188,2,0,1,7,0.8980029999999999,5.901933,4.24263,5.140632999999999,4.24263,6,4,5.2188,Torino,0.2193,0.3121,0.4686,h,1.24379,0.823815,1.24379,0.823815,4,3,3,0,1.7145,w,2017-08-27 17:00:00,1,0,0,3,0.419975,173,18,156,19,1,0,1,4,0.1660199999999999,1.558262,1.392242,1.558262,1.392242,4,1,2.7041,1,0,1,4,0.1660199999999999,1.558262,1.392242,1.558262,1.392242,4,1,2.7041,Sassuolo,0.472,0.2985,0.2295
3,a,1.58432,0.989514,1.58432,0.989514,8,2,0,0,1.809,d,2017-09-20 19:45:00,0,1,0,1,0.594806,175,21,353,27,2,0,2,8,1.4928089999999998,7.486253,5.232144,6.724952999999999,5.232144,6,4,7.027799999999999,2,0,2,8,1.4928089999999998,7.486253,5.232144,6.724952999999999,5.232144,6,4,7.027799999999999,Verona,0.5135,0.2685,0.218,h,0.953786,2.89134,0.953786,2.13004,5,4,0,5,0.2805999999999999,l,2017-09-10 14:00:00,0,0,1,0,-1.176254,366,21,249,20,0,2,1,1,-3.68586,2.5761450000000004,6.26201,1.81485,5.50071,1,8,1.6039,0,2,1,1,-3.68586,2.5761450000000004,6.26201,1.81485,5.50071,1,8,1.6039,Fiorentina,0.0537,0.1195,0.8268
4,h,1.73266,0.270138,1.73266,0.270138,3,4,2,0,2.595,w,2017-09-24 11:30:00,1,0,0,3,1.462522,277,21,212,22,3,0,2,11,2.955331,9.218913,5.502282,8.457612999999998,5.502282,8,4,9.6228,3,0,2,11,2.955331,9.218913,5.502282,8.457612999999998,5.502282,8,4,9.6228,AC Milan,0.8137,0.1539,0.0324,h,2.77644,0.221787,2.77644,0.221787,11,1,2,1,2.8871,w,2017-09-17 14:00:00,1,0,0,3,2.554653,243,24,337,19,3,1,0,9,4.0517330000000005,7.49526,3.443527,6.733960000000001,2.682227,8,6,8.2947,3,1,0,9,4.0517330000000005,7.49526,3.443527,6.733960000000001,2.682227,8,6,8.2947,Udinese,0.9466,0.0473,0.0061
5,a,0.521379,3.62989,0.521379,1.34603,10,7,0,4,0.0383,l,2017-09-30 17:00:00,0,0,1,0,-0.824651,219,17,371,15,3,1,2,11,2.13068,9.740292,9.132172,8.978991999999998,6.848312,8,8,9.6611,2,1,2,8,0.3390399999999998,6.8945620000000005,8.078082,6.133262,5.794222,6,7,7.0402000000000005,Udinese,0.0043,0.0254,0.9703,h,2.52674,1.48506,1.76544,1.48506,9,5,2,3,2.1226,l,2017-09-20 19:45:00,0,0,1,0,0.2803799999999998,244,26,217,19,1,4,0,3,-2.3036570000000003,6.071129,6.852186,4.548529,6.852186,7,10,6.884600000000001,1,4,0,3,-2.3036570000000003,6.071129,6.852186,4.548529,6.852186,7,10,6.884600000000001,Torino,0.6423,0.1957,0.162
6,h,1.52162,3.12444,1.52162,3.12444,7,18,3,1,0.4871,w,2017-10-15 14:00:00,1,0,0,3,-1.60282,273,26,254,25,4,1,2,14,0.52786,11.261912,12.256612,10.500612,9.972752,11,9,10.1482,2,1,2,8,-0.7870699999999999,6.270712,9.341642,6.270712,7.057782,7,7,5.8994,Atalanta,0.1079,0.1634,0.7287,a,2.53446,0.346227,1.77317,0.346227,5,6,1,1,2.806,d,2017-09-24 19:45:00,0,1,0,1,1.426943,144,24,257,27,2,2,2,8,2.6640479999999997,9.66215,4.714215,7.378263,4.714215,10,8,11.3657,2,1,2,8,1.543164,8.17891,4.351859,5.895023,4.351859,10,7,8.974799999999998,Fiorentina,0.9101,0.0757,0.0142
7,h,2.28786,0.589592,1.52656,0.589592,5,7,5,0,2.6546,w,2017-10-21 17:00:00,1,0,0,3,0.936968,196,26,577,37,5,1,2,17,1.4648279999999998,13.549772,12.846204,12.027171999999998,10.562344,16,9,12.8028,3,1,1,10,0.566825,7.647838999999999,8.603574,6.886539,6.319713999999999,10,5,7.584,Crotone,0.8451,0.1193,0.0356,a,0.539744,2.51356,0.539744,2.51356,4,11,1,1,0.1108,d,2017-10-01 14:00:00,0,1,0,1,-1.973816,290,24,145,26,1,4,2,5,-4.5373730000000005,4.738057,11.55933,4.738057,9.27543,4,12,5.2894,1,3,1,4,-4.030691,3.68686,9.240151,3.68686,7.717551,4,9,3.2876000000000003,SPAL 2013,0.0154,0.0646,0.92
8,a,1.06402,3.08506,1.06402,3.08506,4,7,2,3,0.2629,l,2017-10-24 19:45:00,0,0,1,0,-2.02104,295,26,272,26,5,2,2,17,-0.5562120000000004,14.613792,15.931264,13.091191999999998,13.647404,18,12,13.0657,3,2,0,9,-2.049021,7.127539,10.69912,6.366239,8.41526,12,8,6.0379000000000005,Inter,0.049,0.1159,0.8351,h,2.24514,0.839877,1.48384,0.839877,4,6,3,2,2.4154,w,2017-10-15 19:45:00,1,0,0,3,0.6439630000000001,271,25,180,17,7,0,1,22,3.835530000000001,13.868472,6.987739,10.823269000000002,6.987739,17,5,15.6177,4,0,1,13,0.2380200000000001,6.621212000000001,4.860588999999999,5.098609000000001,4.860588999999999,9,4,7.958500000000001,AC Milan,0.7489,0.1687,0.0824
9,h,1.98109,2.02467,1.98109,2.02467,13,8,4,1,1.3371,w,2017-10-29 14:00:00,1,0,0,3,-0.0435799999999999,232,23,230,16,6,2,2,20,-0.5997920000000003,16.594882,17.955934,15.072281999999998,15.672074,22,13,14.4028,3,2,0,9,-3.555123,7.375969,12.453652,6.614669,10.169792,14,9,4.779999999999999,Chievo,0.3564,0.2679,0.3757,h,2.90477,1.33058,2.14347,0.569281,6,6,3,2,2.4308,w,2017-10-22 19:30:00,1,0,0,3,1.574189,214,20,304,9,4,2,3,15,0.3608030000000002,10.608191,11.008684,9.846891,9.486088,12,11,11.6114,3,0,2,11,1.217793,7.272116,6.054322,6.510816,5.293023,8,4,7.702400000000001,Verona,0.7547,0.1667,0.0786
10,a,1.68517,1.03708,1.68517,1.03708,6,2,2,0,1.9205,w,2017-11-04 19:45:00,1,0,0,3,0.64809,222,22,224,22,7,2,2,23,0.0482979999999997,18.280052,18.993014,16.757451999999997,16.709154,24,13,16.3233,4,1,0,12,-2.082382,8.53976,9.860842,7.77846,9.860842,16,5,6.6622,Genoa,0.556,0.2525,0.1915,h,1.28272,1.19271,1.28272,1.19271,4,7,2,3,1.4662,l,2017-10-25 19:45:00,0,0,1,0,0.0900100000000001,584,6,215,17,1,6,3,6,-2.5148270000000004,9.840993,13.117126,9.079696,11.594523,10,16,11.723,1,3,1,4,2.131055000000001,6.011012,4.641259999999999,6.011012,3.879957,5,7,7.798900000000001,Napoli,0.378,0.3322,0.2898
11,h,1.83799,1.88477,1.83799,1.12347,7,9,3,2,1.3316,w,2017-11-19 14:00:00,1,0,0,3,0.71452,377,32,240,26,8,2,2,26,0.7628179999999998,20.118042,20.877784,18.595442,17.832624000000003,27,15,17.6549,4,1,0,12,0.2349579999999997,8.85613,8.621172,8.09483,7.859872,16,6,7.5067,Juventus,0.348,0.2876,0.3644,a,0.463087,1.18528,0.463087,1.18528,5,5,2,0,0.6415,w,2017-10-28 17:00:00,1,0,0,3,-0.7221929999999999,287,20,250,40,9,1,1,28,5.788088999999999,18.313267,12.52518,16.029376999999997,10.241288,33,10,18.5343,3,1,1,10,1.6049089999999997,8.784987,6.418785,7.262396999999999,5.657488,15,7,8.3193,AC Milan,0.1146,0.2977,0.5877
12,a,0.734063,1.2325,0.734063,1.2325,10,5,0,3,0.8500000000000001,l,2017-11-25 14:00:00,0,0,1,0,-0.4984369999999999,154,21,352,8,8,3,2,26,0.2643809999999998,20.852105,22.110284,19.329505,19.065124000000004,27,18,18.504900000000003,3,2,0,9,-1.200447,7.302333,9.26408,7.302333,8.502780000000001,11,9,5.7021,Bologna,0.1836,0.2992,0.5172,h,0.953537,2.02039,0.953537,1.25909,9,5,2,3,0.524,l,2017-11-04 17:00:00,0,0,1,0,-0.3055530000000001,129,23,313,15,4,6,2,14,-0.9007730000000004,11.073228000000002,14.257904,11.073228000000002,11.974001,11,15,14.1961,1,4,0,3,-1.874728,4.584715999999999,7.982044,4.584715999999999,6.459444,5,8,4.6771,Crotone,0.1068,0.2036,0.6896
13,h,1.19278,2.13576,1.19278,2.13576,14,7,1,2,0.7007000000000001,l,2017-12-03 19:45:00,0,0,1,0,-0.94298,252,33,183,20,8,4,2,26,-0.6785990000000001,22.044885,24.246044,20.522285,21.20088400000001,28,20,19.205600000000004,3,2,0,9,-0.1223869999999996,7.431093000000001,8.314779999999999,7.431093000000001,7.55348,10,8,6.1399,Lazio,0.1622,0.2141,0.6237,h,1.74404,1.28061,1.74404,0.519312,6,7,1,1,1.7454,d,2017-11-26 17:00:00,0,1,0,1,1.224728,262,28,277,17,9,2,2,29,9.763265,26.462034000000003,15.176277,21.133066,11.369801,33,15,25.409099999999995,3,1,1,10,4.923414,10.66046,4.975868,8.376688999999999,3.453275,12,5,10.6741,Fiorentina,0.4905,0.2739,0.2356
14,a,1.65409,1.24898,1.65409,1.24898,8,7,2,2,1.6831,d,2017-12-09 17:00:00,0,1,0,1,0.4051100000000001,220,22,222,20,8,4,3,27,-0.273489,23.698975,25.495024,22.176375,22.449864000000005,30,22,20.888700000000004,2,2,1,7,0.3263030000000003,7.104093,7.53909,7.104093,6.77779,8,9,6.485900000000001,Cagliari,0.4722,0.2665,0.2613,h,1.1677,1.21177,1.1677,1.21177,3,7,1,3,1.2798,l,2017-11-25 19:45:00,0,0,1,0,-0.04407,330,32,227,25,5,9,0,15,-3.667489,16.812474,21.241289,13.767433,17.434922,13,24,17.159600000000005,3,2,0,9,-0.1031389999999998,7.272592999999999,6.6145890000000005,5.750153,5.853292,7,7,7.640499999999999,Inter,0.3192,0.3222,0.3586
15,h,1.10661,1.71299,1.10661,0.951767,6,2,0,1,0.8660000000000001,l,2017-12-17 14:00:00,0,0,1,0,0.154843,112,20,250,17,8,5,3,27,-0.1186459999999999,24.805585,27.208014,23.282985,23.401631000000005,30,23,21.754700000000003,1,3,1,4,-0.1669439999999996,6.525532999999999,8.215,6.525532999999999,6.692477,6,10,5.4314,Sassuolo,0.1955,0.2795,0.525,a,0.42042,2.45812,0.42042,2.45812,4,4,0,3,0.2044,l,2017-12-03 14:00:00,0,0,1,0,-2.0377,352,20,132,15,3,10,2,11,-7.957219999999999,18.861131,23.773148,15.054628,23.011848,8,27,17.9768,1,4,0,3,-5.642607999999999,4.924992,9.8063,4.163692,9.8063,3,11,3.997500000000001,Fiorentina,0.0307,0.1123,0.857
16,a,0.941485,2.47201,0.180186,2.47201,3,7,2,3,0.2406,l,2017-12-23 14:00:00,0,0,1,0,-2.291824,285,34,382,26,8,6,3,27,-2.41047,25.74707,29.680024000000003,23.463171,25.873641000000006,32,26,21.995300000000004,0,4,1,1,-3.173288,5.629028,8.802240000000001,4.867729,8.041017,5,11,4.3404,Napoli,0.033,0.1416,0.8254,h,0.985555,0.205609,0.985555,0.205609,10,6,0,0,2.1034,d,2017-12-10 14:00:00,0,1,0,1,0.779946,253,27,379,16,12,1,3,39,19.760254,30.988674000000003,8.009764,27.008723000000003,7.248468999999999,35,10,36.020399999999995,2,1,2,8,2.286867,5.702294,2.480656,4.767523,2.480656,3,2,9.5197,Fiorentina,0.5859,0.3457,0.0684
17,h,2.56298,0.568105,1.80172,0.568105,14,4,2,0,2.6965,w,2017-12-30 14:00:00,1,0,0,3,1.233615,164,27,272,17,9,6,3,30,-1.1768550000000002,28.31005,30.248129,25.264890999999995,26.44174600000001,34,26,24.691800000000004,1,3,1,4,-1.441236,7.457945,8.137845,5.935385999999999,7.376622,7,8,6.1869,SPAL 2013,0.8639,0.1048,0.0313,a,2.32753,1.08334,2.32753,1.08334,11,5,2,1,2.3261,w,2017-12-17 17:00:00,1,0,0,3,1.24419,262,26,252,23,3,9,5,14,-8.805212999999998,16.795749,28.510696,15.13769,23.942903,17,29,15.985600000000002,1,2,2,5,-4.26274,7.662008999999999,11.02799,6.00395,10.26669,7,9,5.5075,Benevento,0.711,0.1931,0.0959
18,a,1.02149,1.64696,1.02149,1.64696,6,5,2,3,0.8861000000000001,l,2018-01-06 14:00:00,0,0,1,0,-0.62547,214,27,204,18,9,7,3,30,-1.802325,29.33154,31.895089,26.286380999999995,28.08870600000001,36,29,25.577900000000003,1,3,1,4,-1.123726,7.286655,7.649045,5.764096,6.887822,8,9,6.3723,Benevento,0.2015,0.2816,0.5169,a,0.861192,3.28348,0.861192,2.52222,4,13,0,1,0.1499,l,2017-12-23 14:00:00,0,0,1,0,-1.661028,213,22,146,22,0,17,1,1,-21.450250000000004,15.997319999999998,40.492723000000005,14.474722999999996,35.924972999999994,9,41,11.640800000000002,0,4,1,1,-3.441577,5.171984999999999,9.374822,5.171984999999999,8.613562,3,8,4.335500000000001,Genoa,0.0231,0.0806,0.8963
19,h,2.22125,1.91041,2.22125,1.91041,11,2,3,1,1.6004,w,2018-01-21 14:00:00,1,0,0,3,0.31084,216,30,221,27,10,7,3,33,-1.4914850000000002,31.55279,33.805499000000005,28.507631,29.999116000000004,39,30,27.178300000000004,2,3,0,6,-1.217996,7.853814999999999,8.310475,6.331256,7.549252,9,8,6.2896,Fiorentina,0.449,0.2534,0.2976,h,1.9202,0.936294,1.9202,0.936294,5,3,1,1,2.1357,d,2017-12-30 11:30:00,0,1,0,1,0.983906,217,27,321,18,7,6,6,27,4.741715,26.592576,21.089551,23.547376000000003,18.805661000000008,28,20,29.6932,2,0,3,9,4.67973,7.474219999999999,2.79449,7.474219999999999,2.79449,5,1,10.0272,AC Milan,0.6346,0.2319,0.1335
