,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.725552,0.422866,0.725552,0.422866,4,4,1,2,1.5871000000000002,l,2017-08-20 19:45:00,0,0,1,0,0.3026859999999999,246,20,277,20,0,1,0,0,0.3026859999999999,0.725552,0.422866,0.725552,0.422866,1,2,1.5871000000000002,0,1,0,0,0.3026859999999999,0.725552,0.422866,0.725552,0.422866,1,2,1.5871000000000002,Chievo,0.3895,0.4186,0.1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.11091,1.63964,0.34961,1.63964,3,6,2,3,0.8955,l,2017-08-27 19:45:00,0,0,1,0,-1.29003,250,23,253,20,0,2,0,0,-0.987344,1.836462,2.062506,1.075162,2.062506,3,5,2.4826,0,2,0,0,-0.987344,1.836462,2.062506,1.075162,2.062506,3,5,2.4826,SPAL 2013,0.1969,0.3048,0.4983,a,0.625722,0.757926,0.625722,0.757926,2,6,0,0,1.1805,d,2017-08-20 19:45:00,0,1,0,1,-0.132204,251,11,270,39,0,0,1,1,-0.132204,0.625722,0.757926,0.625722,0.757926,0,0,1.1805,0,0,1,1,-0.132204,0.625722,0.757926,0.625722,0.757926,0,0,1.1805,Lazio,0.2629,0.3918,0.3453
2,h,1.48614,0.52818,1.48614,0.52818,2,6,1,0,2.2138,w,2017-09-10 14:00:00,1,0,0,3,0.95796,338,20,216,27,1,2,0,3,-0.0293839999999999,3.322602,2.590686,2.561302,2.590686,4,5,4.696400000000001,1,2,0,3,-0.0293839999999999,3.322602,2.590686,2.561302,2.590686,4,5,4.696400000000001,Genoa,0.6586,0.238,0.1034,h,1.21323,2.13228,0.451933,1.37098,8,9,2,4,0.6806,l,2017-08-26 17:00:00,0,0,1,0,-0.9190470000000002,440,17,254,15,0,1,1,1,-0.3945100000000001,2.186603,2.581116,1.425306,1.819816,2,4,2.5629,0,1,1,1,-0.3945100000000001,2.186603,2.581116,1.425306,1.819816,2,4,2.5629,Juventus,0.1445,0.2471,0.6084
3,a,0.221787,2.77644,0.221787,2.77644,1,11,1,2,0.0656,l,2017-09-17 14:00:00,0,0,1,0,-2.554653,337,19,243,24,1,3,0,3,-2.584037,3.544389,5.367126,2.783089,5.367126,5,7,4.7620000000000005,1,3,0,3,-2.584037,3.544389,5.367126,2.783089,5.367126,5,7,4.7620000000000005,AC Milan,0.0061,0.0473,0.9466,a,1.20558,2.35955,1.20558,1.59825,6,10,1,4,0.5742,l,2017-09-10 15:00:00,0,0,1,0,-0.3926699999999998,243,18,320,20,2,1,0,6,1.4970800000000002,4.71882,3.22174,3.9575200000000006,2.46044,6,5,5.4076,2,1,0,6,1.4970800000000002,4.71882,3.22174,3.9575200000000006,2.46044,6,5,5.4076,Lazio,0.1259,0.1965,0.6776
4,h,2.52674,1.48506,1.76544,1.48506,9,5,2,3,2.1226,l,2017-09-20 19:45:00,0,0,1,0,0.2803799999999998,244,26,217,19,1,4,0,3,-2.3036570000000003,6.071129,6.852186,4.548529,6.852186,7,10,6.884600000000001,1,4,0,3,-2.3036570000000003,6.071129,6.852186,4.548529,6.852186,7,10,6.884600000000001,Torino,0.6423,0.1957,0.162,h,1.32766,0.910733,1.32766,0.910733,8,2,2,2,1.7179000000000002,d,2017-09-17 14:00:00,0,1,0,1,0.416927,263,18,240,32,2,0,2,8,0.3819479999999998,3.885453,3.503505,3.885453,3.503505,7,3,5.5932,2,0,2,8,0.3819479999999998,3.885453,3.503505,3.885453,3.503505,7,3,5.5932,Sampdoria,0.4686,0.3121,0.2193
5,a,1.28539,2.98551,1.28539,2.22421,4,5,1,3,0.396,l,2017-09-23 14:00:00,0,0,1,0,-0.9388199999999998,332,13,213,19,1,5,0,3,-3.242477,7.356519,9.837696,5.833919,9.076396,8,13,7.280600000000001,1,4,0,3,-3.545163,6.630967,9.41483,5.108366999999999,8.65353,7,11,5.693499999999999,Roma,0.0842,0.1434,0.7724,h,2.98551,1.28539,2.22421,1.28539,5,4,3,1,2.4606,w,2017-09-23 14:00:00,1,0,0,3,0.9388199999999998,213,19,332,13,4,1,0,12,3.701267,10.598536,6.135969000000001,9.837236,6.135969000000001,12,4,8.8813,4,1,0,12,3.701267,10.598536,6.135969000000001,9.837236,6.135969000000001,12,4,8.8813,Udinese,0.7724,0.1434,0.0842
6,h,3.62989,0.521379,1.34603,0.521379,7,10,4,0,2.9363,w,2017-09-30 17:00:00,1,0,0,3,0.824651,371,15,219,17,2,5,0,6,-2.417826,10.986409,10.359075,7.179949,9.597775,12,13,10.2169,2,3,0,6,-1.4304819999999998,9.149947,8.296569,6.104786999999999,7.535268999999999,9,8,7.734299999999999,Sampdoria,0.9703,0.0254,0.0043,a,0.521379,3.62989,0.521379,1.34603,10,7,0,4,0.0383,l,2017-09-30 17:00:00,0,0,1,0,-0.824651,219,17,371,15,3,1,2,11,2.13068,9.740292,9.132172,8.978991999999998,6.848312,8,8,9.6611,2,1,2,8,0.3390399999999998,6.8945620000000005,8.078082,6.133262,5.794222,6,7,7.0402000000000005,Udinese,0.0043,0.0254,0.9703
7,a,0.333391,2.78325,0.333391,2.78325,4,8,1,2,0.0839,l,2017-10-15 11:30:00,0,0,1,0,-2.449859,381,29,203,23,2,6,0,6,-4.867685,11.3198,13.142325,7.513339999999999,12.381024999999998,13,15,10.3008,1,4,0,3,-4.838301,7.997198,10.551638999999998,4.952038,9.790339,9,10,5.6044,Fiorentina,0.009,0.0569,0.9341,a,1.44549,1.14303,1.44549,1.14303,6,3,1,2,1.5781,l,2017-10-01 14:00:00,0,0,1,0,0.3024599999999999,208,19,293,13,2,4,1,7,-1.2440859999999998,8.040141,10.806817,7.278841,8.522927000000001,10,10,7.9352,2,2,1,7,-0.1795269999999997,5.767289999999999,5.946807,5.005990000000001,5.185516999999999,9,5,6.6933,Chievo,0.4361,0.2698,0.2941
8,h,1.28225,1.58883,1.28225,1.58883,4,3,2,6,1.1437,l,2017-10-22 17:00:00,0,0,1,0,-0.3065800000000001,191,30,248,18,2,7,0,6,-5.174265,12.60205,14.731155,8.795589999999999,13.969854999999995,15,21,11.4445,1,4,0,3,-2.590228,9.057661,9.364029,6.012501,8.602729,10,14,6.6825,Juventus,0.2919,0.268,0.4401,h,2.32779,1.68134,1.5665,0.920043,8,4,1,2,1.8852,l,2017-10-14 17:00:00,0,0,1,0,0.646457,260,29,319,22,6,1,1,19,5.862216999999999,15.00984,9.147625,12.725949999999996,6.863733,21,7,14.713499999999998,3,1,1,10,3.967697,10.35443,5.62544,8.83184,4.864143,11,5,9.8575,Lazio,0.5432,0.2556,0.2012
9,a,0.909645,0.574034,0.909645,0.574034,1,3,1,0,1.6726,w,2017-10-25 19:45:00,1,0,0,3,0.335611,344,24,137,22,3,7,0,9,-4.838654,13.511695,15.305189,9.705234999999998,14.543888999999997,16,21,13.1171,2,3,0,6,-2.534997,7.440566,8.453002999999999,5.156706000000001,7.691702999999999,9,11,6.2325,Sassuolo,0.4364,0.3634,0.2002,a,2.52212,0.481741,1.76082,0.481741,10,5,1,0,2.7602,w,2017-10-22 14:00:00,1,0,0,3,1.279079,186,21,169,16,2,5,2,8,-1.9790009999999991,13.362105,13.057203,10.316902,12.295903,5,15,13.0153,2,2,1,7,-2.5071559999999997,8.926664,9.149917,5.881461,8.388617,3,7,7.2494,SPAL 2013,0.8923,0.0833,0.0244
