,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.906945,0.526925,0.906945,0.526925,3,3,0,1,1.7178,l,2018-08-19 21:30:00,0,0,1,0,0.38002,296,33,168,21,0,1,0,0,0.38002,0.906945,0.526925,0.906945,0.526925,0,1,1.7178,0,1,0,0,0.38002,0.906945,0.526925,0.906945,0.526925,0,1,1.7178,SPAL 2013,0.451,0.3648,0.1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.924593,1.77944,0.924593,1.77944,6,3,0,0,0.6728000000000001,d,2018-08-26 21:30:00,0,1,0,1,-0.8548469999999999,293,30,211,23,0,1,1,1,-0.4748269999999999,1.831538,2.306365,1.831538,2.306365,0,1,2.3906,0,1,1,1,-0.4748269999999999,1.831538,2.306365,1.831538,2.306365,0,1,2.3906,Frosinone,0.1468,0.2324,0.6208,a,0.348766,2.66879,0.348766,2.66879,5,10,0,4,0.1224,l,2018-08-20 21:30:00,0,0,1,0,-2.320024,282,12,238,28,0,1,0,0,-2.320024,0.348766,2.66879,0.348766,2.66879,0,4,0.1224,0,1,0,0,-2.320024,0.348766,2.66879,0.348766,2.66879,0,4,0.1224,Atalanta,0.0153,0.0765,0.9082
2,h,0.494365,2.45978,0.494365,2.45978,1,8,0,3,0.2066,l,2018-09-01 16:00:00,0,0,1,0,-1.965415,466,14,159,17,0,2,1,1,-2.440242,2.3259030000000003,4.766145,2.3259030000000003,4.766145,0,4,2.5972,0,2,1,1,-2.440242,2.3259030000000003,4.766145,2.3259030000000003,4.766145,0,4,2.5972,Inter,0.0324,0.1094,0.8582,h,0.789096,0.921797,0.789096,0.921797,5,6,2,2,1.1959000000000002,d,2018-08-26 21:30:00,0,1,0,1,-0.1327009999999999,268,27,327,19,0,1,1,1,0.428746,1.993756,2.326307,1.993756,1.56501,2,3,2.362,0,1,1,1,0.428746,1.993756,2.326307,1.993756,1.56501,2,3,2.362,Torino,0.2886,0.3301,0.3813
3,a,0.667504,0.488376,0.667504,0.488376,2,3,0,1,1.4734,l,2018-09-16 13:00:00,0,0,1,0,0.179128,208,20,216,15,0,3,1,1,-2.261114,2.9934070000000004,5.254521,2.9934070000000004,5.254521,0,5,4.0706,0,3,1,1,-2.261114,2.9934070000000004,5.254521,2.9934070000000004,5.254521,0,5,4.0706,Genoa,0.3509,0.4207,0.2284,h,0.488376,0.667504,0.488376,0.667504,3,2,1,0,1.1059,w,2018-09-16 13:00:00,1,0,0,3,-0.179128,216,15,208,20,2,1,0,6,-0.6542190000000001,3.327525,3.981744,3.327525,3.981744,6,6,3.4028,2,1,0,6,-0.6542190000000001,3.327525,3.981744,3.327525,3.981744,6,6,3.4028,Bologna,0.2284,0.4207,0.3509
4,h,0.885381,3.20497,0.885381,3.20497,2,7,2,0,0.1732,w,2018-09-23 13:00:00,1,0,0,3,-2.319589,295,8,126,19,1,3,1,4,-4.580703,3.878788,8.459491,3.878788,8.459491,2,5,4.243799999999999,1,3,1,4,-4.580703,3.878788,8.459491,3.878788,8.459491,2,5,4.243799999999999,Roma,0.0297,0.0841,0.8862,h,2.72023,1.17626,2.72023,1.17626,6,5,2,2,2.3994,d,2018-09-16 10:30:00,0,1,0,1,1.5439699999999998,334,21,344,14,1,1,2,5,0.7236080000000003,6.442399,5.718791,6.442399,5.718791,7,7,6.0125,1,1,2,5,0.7236080000000003,6.442399,5.718791,6.442399,5.718791,7,7,6.0125,Chievo,0.7444,0.1662,0.0894
5,a,0.325971,0.851257,0.325971,0.851257,1,9,0,2,0.7918000000000001,l,2018-09-26 19:00:00,0,0,1,0,-0.525286,497,16,126,26,1,4,1,4,-5.105989,4.204759,9.310748,4.204759,9.310748,2,7,5.0356,1,3,1,4,-5.486009,3.297814,8.783823,3.297814,8.783823,2,6,3.3178,Juventus,0.1361,0.3835,0.4804,a,2.91794,0.0629851,2.91794,0.0629851,16,1,2,0,2.9303000000000003,w,2018-09-23 18:30:00,1,0,0,3,2.8549549,130,18,250,17,5,0,0,15,8.4039639,11.71957,4.0769071,11.71957,3.3156061,11,4,11.8904,5,0,0,15,8.4039639,11.71957,4.0769071,11.71957,3.3156061,11,4,11.8904,Frosinone,0.9658,0.0329,0.0013
6,h,1.36167,0.997014,1.36167,0.997014,10,6,2,1,1.6503,w,2018-09-30 10:30:00,1,0,0,3,0.364656,260,23,221,17,2,4,1,7,-4.741333,5.566429,10.307762,5.566429,10.307762,4,8,6.685899999999999,2,3,0,6,-4.266506,3.734891,8.001397,3.734891,8.001397,4,7,4.2953,Udinese,0.4518,0.2949,0.2533,h,0.842878,1.50332,0.842878,1.50332,9,1,1,2,0.7844,l,2018-09-26 17:00:00,0,0,1,0,-0.660442,269,17,284,29,2,2,2,8,-1.5705510000000005,6.183509,6.9927600000000005,5.422209,6.9927600000000005,7,6,7.1286,2,2,1,7,-1.249851,4.188359,5.43821,4.188359,5.43821,5,4,5.4128,Lazio,0.1712,0.2708,0.558
7,a,0.381595,1.90878,0.381595,1.90878,4,3,0,2,0.2598,l,2018-10-06 13:00:00,0,0,1,0,-1.5271849999999998,228,21,223,14,2,5,1,7,-6.268518,5.948024,12.216542,5.948024,12.216542,4,10,6.9457,2,3,0,6,-3.8282759999999993,3.622121,7.450397000000001,3.622121,7.450397000000001,4,6,4.3485000000000005,Cagliari,0.0395,0.1413,0.8192,a,0.144417,1.05314,0.144417,1.05314,7,4,0,2,0.4432,l,2018-09-29 18:30:00,0,0,1,0,-0.908723,285,16,313,27,1,3,3,6,-5.282154,4.596352,11.401106,4.596352,9.878506000000002,4,9,4.4324,1,2,2,5,-4.89558,2.499966,8.156846,2.499966,7.395546,2,5,2.6709,Inter,0.0411,0.3199,0.639
8,h,1.49515,0.697863,1.49515,0.697863,3,6,2,2,2.1741,d,2018-10-21 13:00:00,0,1,0,1,0.797287,231,20,202,24,2,5,2,8,-5.471231,7.443174,12.914405,7.443174,12.914405,6,12,9.1198,2,2,1,7,-3.2101169999999994,4.449767,7.659884,4.449767,7.659884,6,7,5.049199999999999,Torino,0.6383,0.2592,0.1025,h,1.91949,1.94032,1.91949,1.94032,4,3,3,2,1.3352,w,2018-10-05 18:30:00,1,0,0,3,-0.0208300000000001,142,33,328,30,3,2,3,12,-0.116384,8.823693,8.178780000000001,8.062396,8.178780000000001,9,9,11.2484,2,1,2,8,-0.92768,5.385925,5.552308,4.624628,5.552308,6,6,6.6241,Frosinone,0.3479,0.2915,0.3606
9,a,1.50755,1.93718,1.50755,1.17588,4,9,2,2,0.9953,d,2018-10-28 10:30:00,0,1,0,1,0.3316699999999999,339,25,97,24,2,5,3,9,-5.1395610000000005,8.950724,14.851585,8.950724,14.090285,8,14,10.1151,1,2,2,5,-0.558858,5.071936,6.392093999999999,5.071936,5.630794,6,9,5.8713,Sassuolo,0.2406,0.2735,0.4859,a,0.642053,1.2844,0.642053,1.2844,5,8,0,0,0.7804,d,2018-10-22 18:30:00,0,1,0,1,-0.642347,284,26,261,44,4,3,2,14,-2.96588,12.443467,13.886749999999996,10.92087,13.886749999999996,15,14,11.630200000000002,2,2,1,7,0.0357549999999994,6.456545,6.42079,6.456545,6.42079,6,7,6.8382,Sampdoria,0.1637,0.2893,0.547
