,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.05146,2.25963,0.290159,2.25963,1,9,2,3,0.5152,l,2018-08-18 19:00:00,0,0,1,0,-1.969471,441,20,143,21,0,1,0,0,-1.969471,1.05146,2.25963,0.290159,2.25963,2,3,0.5152,0,1,0,0,-1.969471,1.05146,2.25963,0.290159,2.25963,2,3,0.5152,Juventus,0.0998,0.2158,0.6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.637013,3.33338,0.637013,3.33338,3,10,1,6,0.1096,l,2018-08-26 21:30:00,0,0,1,0,-2.696367,322,23,341,21,0,2,0,0,-4.665838,1.688473,5.59301,0.927172,5.59301,3,9,0.6248,0,2,0,0,-4.665838,1.688473,5.59301,0.927172,5.59301,3,9,0.6248,Fiorentina,0.0169,0.0589,0.9242,h,3.33338,0.637013,3.33338,0.637013,10,3,6,1,2.8315,w,2018-08-26 21:30:00,1,0,0,3,2.696367,341,21,322,23,1,0,0,3,2.696367,3.33338,0.637013,3.33338,0.637013,6,1,2.8315,1,0,0,3,2.696367,3.33338,0.637013,3.33338,0.637013,6,1,2.8315,Chievo,0.9242,0.0589,0.0169
2,h,1.26902,1.35877,1.26902,1.35877,4,5,0,0,1.2631,d,2018-09-02 18:30:00,0,1,0,1,-0.08975,395,16,189,18,0,2,1,1,-4.755588,2.9574930000000004,6.951779999999999,2.196192,6.951779999999999,3,9,1.8879,0,2,1,1,-4.755588,2.9574930000000004,6.951779999999999,2.196192,6.951779999999999,3,9,1.8879,Empoli,0.3188,0.3067,0.3745,a,1.25776,0.950879,1.25776,0.950879,12,5,1,2,1.6442,l,2018-08-26 21:30:00,0,0,1,0,0.3068809999999999,112,23,296,19,1,1,0,3,1.191895,2.71683,1.5249350000000002,2.71683,1.5249350000000002,3,2,3.7834,1,1,0,3,1.191895,2.71683,1.5249350000000002,2.71683,1.5249350000000002,3,2,3.7834,Genoa,0.4508,0.2918,0.2574
3,a,1.17626,2.72023,1.17626,2.72023,5,6,2,2,0.4344,d,2018-09-16 10:30:00,0,1,0,1,-1.5439699999999998,344,14,334,21,0,2,2,2,-6.299557999999999,4.1337530000000005,9.67201,3.372452,9.67201,5,11,2.3223,0,2,2,2,-6.299557999999999,4.1337530000000005,9.67201,3.372452,9.67201,5,11,2.3223,Roma,0.0894,0.1662,0.7444,a,0.311589,1.69218,0.311589,1.69218,7,9,1,2,0.3365,l,2018-08-31 21:30:00,0,0,1,0,-1.380591,308,14,306,20,1,1,1,4,-0.8203619999999996,3.722169000000001,4.542531,3.722169000000001,4.542531,5,5,3.6131,1,1,1,4,-0.8203619999999996,3.722169000000001,4.542531,3.722169000000001,4.542531,5,5,3.6131,AC Milan,0.048,0.1925,0.7595
4,h,1.57505,1.11577,1.57505,1.11577,6,8,0,2,1.7282000000000002,l,2018-09-23 13:00:00,0,0,1,0,0.4592800000000001,204,28,330,7,0,3,2,2,-5.840278,5.7088030000000005,10.78778,4.947502,10.78778,5,13,4.0505,0,3,2,2,-5.840278,5.7088030000000005,10.78778,4.947502,10.78778,5,13,4.0505,Udinese,0.4884,0.263,0.2486,h,0.265642,0.671125,0.265642,0.671125,4,4,1,1,0.8523,d,2018-09-16 13:00:00,0,1,0,1,-0.405483,329,21,159,26,1,1,2,5,-0.4508290000000002,4.224861,3.91439,3.463561,3.91439,4,4,5.3354,1,1,2,5,-0.4508290000000002,4.224861,3.91439,3.463561,3.91439,4,4,5.3354,Torino,0.1298,0.4629,0.4073
5,a,1.60245,1.61873,1.60245,1.61873,5,3,0,2,1.3267,l,2018-09-26 19:00:00,0,0,1,0,-0.01628,265,27,246,25,0,4,2,2,-5.856558,7.311253000000001,12.40651,6.549952,12.40651,5,15,5.377199999999999,0,3,2,2,-3.887087,6.259793,10.14688,6.259793,10.14688,3,12,4.862,Genoa,0.3533,0.2668,0.3799,h,1.61873,1.60245,1.61873,1.60245,3,5,2,0,1.4065,w,2018-09-26 19:00:00,1,0,0,3,0.01628,246,25,265,27,3,2,0,9,-2.778485,5.6166990000000006,8.395183999999999,5.6166990000000006,8.395183999999999,9,10,5.0057,3,2,0,9,-2.778485,5.6166990000000006,8.395183999999999,5.6166990000000006,8.395183999999999,9,10,5.0057,Chievo,0.3799,0.2668,0.3533
6,h,0.315367,1.48485,0.315367,1.48485,5,11,0,1,0.4144,l,2018-09-30 13:00:00,0,0,1,0,-1.169483,330,30,128,26,0,5,2,2,-7.026040999999999,7.626620000000001,13.89136,6.865319,13.89136,5,16,5.791599999999999,0,3,2,2,-2.360203,5.938147000000001,8.298350000000001,5.938147000000001,8.298350000000001,2,7,5.166799999999999,Torino,0.0606,0.2326,0.7068,a,0.22405,0.672669,0.22405,0.672669,1,4,0,0,0.7928999999999999,d,2018-09-26 19:00:00,0,1,0,1,-0.448619,242,23,162,28,1,2,3,6,-1.265037,5.419353,5.923093000000001,4.658056,5.923093000000001,5,7,7.5602,1,1,3,6,-0.580928,4.922832,4.742463,4.161535,4.742463,5,6,6.8225,Atalanta,0.1077,0.4698,0.4225
7,a,0.412204,2.55099,0.412204,2.55099,3,13,1,3,0.1722,l,2018-10-07 13:00:00,0,0,1,0,-2.138786,482,15,193,19,0,6,2,2,-9.164827,8.038824000000002,16.442349999999998,7.277523,16.442349999999998,6,19,5.963799999999999,0,4,1,1,-4.409239,5.0813310000000005,9.49057,5.0813310000000005,9.49057,3,10,4.0759,AC Milan,0.0268,0.0918,0.8814,h,2.55099,0.412204,2.55099,0.412204,13,3,3,1,2.736,w,2018-10-07 13:00:00,1,0,0,3,2.138786,193,19,482,15,3,1,3,12,6.037216000000001,12.438062000000002,7.162148999999999,12.438062000000002,6.400846,15,10,13.322,2,0,3,9,6.172693000000001,10.22475,4.813359999999999,10.22475,4.052057,11,6,10.4743,Chievo,0.8814,0.0918,0.0268
8,h,0.856479,2.17454,0.09518,2.17454,0,16,1,5,0.3136,l,2018-10-21 13:00:00,0,0,1,0,-2.07936,343,24,271,24,0,7,2,2,-11.244186999999998,8.895303000000002,18.61689,7.372703,18.61689,7,24,6.277399999999999,0,5,0,0,-4.944629,4.761550000000001,8.94488,4.000251,8.94488,2,13,3.9551,Atalanta,0.029,0.2266,0.7444,h,2.18092,0.438067,2.18092,0.438067,9,4,0,1,2.6324,l,2018-10-07 13:00:00,0,0,1,0,1.742853,250,36,313,21,1,4,3,6,3.862364,11.756277,8.655209000000001,11.756277,7.893913000000001,9,11,12.5905,0,3,2,2,1.3450999999999995,6.409851,5.826047000000001,6.409851,5.064751000000001,2,7,7.042,Sampdoria,0.8353,0.1265,0.0382
9,a,1.18971,1.47705,1.18971,1.47705,5,6,1,2,1.1419,l,2018-10-28 13:00:00,0,0,1,0,-0.2873399999999999,285,25,350,22,0,8,2,2,-11.531527,10.085013000000002,20.09394,8.562413000000001,20.09394,8,26,7.4193,0,5,0,0,-5.691249000000001,4.37621,9.30616,3.614911,9.30616,3,13,3.3688,Cagliari,0.2886,0.2761,0.4353,a,0.92271,1.40099,0.92271,0.639695,6,5,1,1,0.9093,d,2018-10-21 16:00:00,0,1,0,1,0.283015,264,22,153,21,2,3,4,10,-3.471954,7.427842,13.183691,7.427842,10.899796000000002,7,10,7.940600000000001,1,2,2,5,-0.9578919999999996,4.647628,7.128114999999999,4.647628,5.605519999999999,3,5,4.894400000000001,Fiorentina,0.1979,0.3156,0.4865
