,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.45907,0.574056,1.45907,0.574056,7,6,2,0,2.1392,w,2018-08-19 21:30:00,1,0,0,3,0.8850140000000001,220,21,202,33,1,0,0,3,0.8850140000000001,1.45907,0.574056,1.45907,0.574056,2,0,2.1392,1,0,0,3,0.8850140000000001,1.45907,0.574056,1.45907,0.574056,2,0,2.1392,Cagliari,0.6305,0.2477,0.1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.25776,0.950879,1.25776,0.950879,12,5,1,2,1.6442,l,2018-08-26 21:30:00,0,0,1,0,0.3068809999999999,112,23,296,19,1,1,0,3,1.191895,2.71683,1.5249350000000002,2.71683,1.5249350000000002,3,2,3.7834,1,1,0,3,1.191895,2.71683,1.5249350000000002,2.71683,1.5249350000000002,3,2,3.7834,Genoa,0.4508,0.2918,0.2574,h,0.950879,1.25776,0.950879,1.25776,5,12,2,1,1.064,w,2018-08-26 21:30:00,1,0,0,3,-0.3068809999999999,296,19,112,23,1,0,0,3,-0.3068809999999999,0.950879,1.25776,0.950879,1.25776,2,1,1.064,1,0,0,3,-0.3068809999999999,0.950879,1.25776,0.950879,1.25776,2,1,1.064,Empoli,0.2574,0.2918,0.4508
2,a,1.35877,1.26902,1.35877,1.26902,5,4,0,0,1.4302,d,2018-09-02 18:30:00,0,1,0,1,0.08975,189,18,395,16,1,1,1,4,1.281645,4.0756,2.7939550000000004,4.0756,2.7939550000000004,3,2,5.2136,1,1,1,4,1.281645,4.0756,2.7939550000000004,4.0756,2.7939550000000004,3,2,5.2136,Chievo,0.3745,0.3067,0.3188,a,0.637013,3.33338,0.637013,3.33338,3,10,1,6,0.1096,l,2018-08-26 21:30:00,0,0,1,0,-2.696367,322,23,341,21,0,2,0,0,-4.665838,1.688473,5.59301,0.927172,5.59301,3,9,0.6248,0,2,0,0,-4.665838,1.688473,5.59301,0.927172,5.59301,3,9,0.6248,Fiorentina,0.0169,0.0589,0.9242
3,h,1.4909,2.74301,1.4909,2.74301,5,9,0,1,0.5907,l,2018-09-16 16:00:00,0,0,1,0,-1.25211,228,17,320,16,1,2,1,4,0.029535,5.5665,5.536965,5.5665,5.536965,3,3,5.8043,1,2,1,4,0.029535,5.5665,5.536965,5.5665,5.536965,3,3,5.8043,Lazio,0.133,0.1917,0.6753,h,2.8529,0.491729,2.8529,0.491729,13,1,1,0,2.7871,w,2018-09-02 18:30:00,1,0,0,3,2.361171,190,25,331,18,1,2,0,3,0.7324610000000003,4.25078,3.5183189999999995,4.25078,3.5183189999999995,2,4,4.115399999999999,1,2,0,3,0.7324610000000003,4.25078,3.5183189999999995,4.25078,3.5183189999999995,2,4,4.115399999999999,Frosinone,0.9036,0.0763,0.0201
4,a,1.03797,2.09666,1.03797,2.09666,10,9,1,3,0.6022,l,2018-09-21 18:30:00,0,0,1,0,-1.05869,382,18,196,22,1,3,1,4,-1.0291549999999998,6.604469999999999,7.633625,6.604469999999999,7.633625,4,6,6.406499999999999,1,3,1,4,-1.0291549999999998,6.604469999999999,7.633625,6.604469999999999,7.633625,4,6,6.406499999999999,Sassuolo,0.1328,0.2038,0.6634,a,0.740742,2.8507,0.740742,2.8507,1,9,1,2,0.1829,l,2018-09-16 13:00:00,0,0,1,0,-2.109958,224,27,322,26,2,1,1,7,-3.0016349999999994,5.986922000000001,7.465959999999999,4.4643250000000005,7.465959999999999,9,7,4.792000000000001,2,1,1,7,-3.0016349999999994,5.986922000000001,7.465959999999999,4.4643250000000005,7.465959999999999,9,7,4.792000000000001,Juventus,0.0314,0.0887,0.8799
5,h,1.1773,1.52902,0.415997,1.52902,4,7,1,1,1.1255000000000002,d,2018-09-27 19:00:00,0,1,0,1,-1.113023,264,27,261,25,1,3,2,5,-2.142178,7.781769999999999,9.162645,7.020466999999999,9.162645,5,7,7.532,0,3,2,2,-3.0271920000000003,6.3227,8.588588999999999,5.561397,8.588588999999999,3,7,5.392799999999999,AC Milan,0.2745,0.302,0.4235,a,1.52902,1.1773,1.52902,0.415997,7,4,1,1,1.5725,d,2018-09-27 19:00:00,0,1,0,1,1.113023,261,25,264,27,1,1,3,6,3.297184000000001,8.581082000000002,6.045201,8.581082000000002,5.283898,8,8,8.6964,1,1,3,6,3.297184000000001,8.581082000000002,6.045201,8.581082000000002,5.283898,8,8,8.6964,Empoli,0.4235,0.302,0.2745
6,a,1.44541,0.645086,1.44541,0.645086,14,4,0,1,1.9975,l,2018-09-30 16:00:00,0,0,1,0,0.800324,149,30,334,17,1,4,2,5,-1.341854,9.22718,9.807731,8.465876999999999,9.807731,5,8,9.5295,0,3,2,2,-2.5337490000000003,6.51035,8.282796000000001,5.749047,8.282796000000001,2,6,5.7461,Parma Calcio 1913,0.5745,0.274,0.1515,a,0.0851875,2.8594,0.0851875,2.8594,0,15,0,3,0.0414,l,2018-09-26 19:00:00,0,0,1,0,-2.7742125,401,21,249,25,2,3,1,7,-3.7524325,6.037876499999999,10.551609,6.037876499999999,9.790309,6,8,5.358300000000001,2,3,0,6,-4.0731325,4.4833265,8.556459,4.4833265,8.556459,4,6,4.3733,Napoli,0.0023,0.0345,0.9632
7,h,1.99899,0.863839,1.23773,0.863839,6,7,0,2,2.2547,l,2018-10-06 18:30:00,0,0,1,0,0.373891,313,20,241,15,1,5,2,5,-0.967963,11.22617,10.67157,9.703606999999998,10.67157,5,10,11.7842,0,4,1,1,-2.249608,7.15057,7.877615,5.628007,7.877615,2,8,6.570600000000001,Roma,0.6786,0.2189,0.1025,h,2.45713,0.885573,2.45713,0.885573,5,12,3,1,2.431,w,2018-09-29 13:00:00,1,0,0,3,1.571557,258,13,210,21,3,2,2,11,6.658174000000001,14.636879,7.978705,14.636879,7.978705,14,10,13.9662,2,2,1,7,6.097944999999999,11.226299,5.128354,11.226299,5.128354,10,7,10.689600000000002,Lazio,0.7581,0.1567,0.0852
8,a,1.19042,1.04742,1.19042,0.286119,12,3,3,3,1.4201,d,2018-10-21 10:30:00,0,1,0,1,0.904301,167,32,206,26,1,5,3,6,-0.0636619999999998,12.41659,11.718990000000002,10.894026999999998,10.957689,8,13,13.2043,0,3,2,2,-0.0931969999999999,6.85009,6.182025,5.327527,5.420724000000001,5,10,7.4,Frosinone,0.3607,0.338,0.3013,a,1.94032,1.91949,1.94032,1.91949,3,4,2,3,1.3733,l,2018-10-05 18:30:00,0,0,1,0,0.0208300000000001,328,30,142,33,0,7,1,1,-10.6303439,6.8148991,17.445123,6.0535991,16.683943,3,21,5.5482,0,5,0,0,-6.8039959,4.1949641,10.99884,3.4336641,10.23766,3,16,3.1944,Torino,0.3606,0.2915,0.3479
9,h,0.272576,1.48572,0.272576,0.724419,7,6,1,2,0.307,l,2018-10-27 16:00:00,0,0,1,0,-0.451843,253,21,231,37,1,6,3,6,-0.5155049999999999,12.689166,13.204710000000002,11.166603,11.682108,9,15,13.5113,0,3,2,2,0.5136499999999999,6.084696,5.571085,4.562133,4.048483,5,9,7.104800000000001,Juventus,0.0386,0.1912,0.7702,h,1.84684,0.853192,1.84684,0.853192,6,1,1,1,2.1568,d,2018-10-20 16:00:00,0,1,0,1,0.993648,195,31,320,30,8,0,1,25,13.6152909,20.277377,7.4233871,20.277377,6.662086100000001,19,6,21.0364,4,0,1,13,8.0662819,11.475747000000002,3.4094651,11.475747000000002,3.4094651,10,2,12.076300000000002,Genoa,0.6393,0.2389,0.1218
