,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.20466,1.40451,1.20466,0.643213,7,5,0,1,1.1661,l,2018-08-19 21:30:00,0,0,1,0,0.561447,210,26,341,24,0,1,0,0,0.561447,1.20466,1.40451,1.20466,0.643213,0,1,1.1661,0,1,0,0,0.561447,1.20466,1.40451,1.20466,0.643213,0,1,1.1661,Sassuolo,0.2847,0.312,0.4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.789096,0.921797,0.789096,0.921797,5,6,2,2,1.1959000000000002,d,2018-08-26 21:30:00,0,1,0,1,-0.1327009999999999,268,27,327,19,0,1,1,1,0.428746,1.993756,2.326307,1.993756,1.56501,2,3,2.362,0,1,1,1,0.428746,1.993756,2.326307,1.993756,1.56501,2,3,2.362,Torino,0.2886,0.3301,0.3813,h,0.496521,1.18063,0.496521,1.18063,4,10,0,1,0.7377,l,2018-08-19 19:00:00,0,0,1,0,-0.6841090000000001,263,17,155,24,0,1,0,0,-0.6841090000000001,0.496521,1.18063,0.496521,1.18063,0,1,0.7377,0,1,0,0,-0.6841090000000001,0.496521,1.18063,0.496521,1.18063,0,1,0.7377,Roma,0.1447,0.3036,0.5517
2,a,2.45978,0.494365,2.45978,0.494365,8,1,3,0,2.684,w,2018-09-01 16:00:00,1,0,0,3,1.965415,159,17,466,14,1,1,1,4,2.394161,4.453536,2.820672,4.453536,2.059375,5,3,5.045999999999999,1,1,1,4,2.394161,4.453536,2.820672,4.453536,2.059375,5,3,5.045999999999999,Bologna,0.8582,0.1094,0.0324,a,0.924593,1.77944,0.924593,1.77944,6,3,0,0,0.6728000000000001,d,2018-08-26 21:30:00,0,1,0,1,-0.8548469999999999,293,30,211,23,0,1,1,1,-0.4748269999999999,1.831538,2.306365,1.831538,2.306365,0,1,2.3906,0,1,1,1,-0.4748269999999999,1.831538,2.306365,1.831538,2.306365,0,1,2.3906,Frosinone,0.1468,0.2324,0.6208
3,h,1.38542,0.297443,1.38542,0.297443,11,2,0,1,2.2373,l,2018-09-15 13:00:00,0,0,1,0,1.087977,143,18,340,17,1,2,1,4,3.482138,5.838956,3.118115,5.838956,2.356818,5,4,7.283299999999999,1,2,1,4,3.482138,5.838956,3.118115,5.838956,2.356818,5,4,7.283299999999999,Parma Calcio 1913,0.6583,0.2624,0.0793,h,1.9062,2.18413,1.9062,2.18413,4,13,1,2,1.1787,l,2018-09-01 18:30:00,0,0,1,0,-0.2779300000000002,314,17,156,26,0,2,1,1,-1.211494,3.614666,5.58746,3.614666,4.82616,3,5,2.4828,0,2,1,1,-1.211494,3.614666,5.58746,3.614666,4.82616,3,5,2.4828,Juventus,0.3013,0.2748,0.4239
4,a,0.802538,0.399584,0.802538,0.399584,6,7,1,0,1.6872,w,2018-09-22 18:30:00,1,0,0,3,0.402954,266,22,251,18,2,2,1,7,3.885092,6.641494,3.517699,6.641494,2.756402,6,4,8.9705,2,2,1,7,3.885092,6.641494,3.517699,6.641494,2.756402,6,4,8.9705,Sampdoria,0.428,0.4032,0.1688,h,0.456027,1.70735,0.456027,1.70735,6,4,1,1,0.4463,d,2018-09-19 17:00:00,0,1,0,1,-1.251323,185,24,263,19,2,1,1,7,-1.3842959999999995,4.413713,5.036829,3.652533000000001,5.036829,9,2,4.8227,2,1,1,7,-1.3842959999999995,4.413713,5.036829,3.652533000000001,5.036829,9,2,4.8227,Fiorentina,0.0802,0.2057,0.7141
5,h,1.85911,1.78872,1.09789,1.78872,7,11,2,1,1.4151,w,2018-09-25 19:00:00,1,0,0,3,-0.69083,223,29,217,43,3,2,1,10,3.194262,8.500604,5.306419,7.739383999999999,4.545122,8,5,10.3856,3,1,1,10,2.6328149999999995,7.295944,3.901909,6.534724000000001,3.901909,8,4,9.2195,Fiorentina,0.3781,0.2808,0.3411,h,1.71696,0.722731,1.71696,0.722731,6,4,3,0,2.1485,w,2018-09-22 16:00:00,1,0,0,3,0.994229,267,17,261,21,3,1,1,10,4.909769,8.207509,3.29774,8.207509,3.29774,11,3,10.1165,3,1,1,10,4.909769,8.207509,3.29774,8.207509,3.29774,11,3,10.1165,SPAL 2013,0.6331,0.2492,0.1177
6,h,1.05314,0.144417,1.05314,0.144417,4,7,2,0,2.2369,w,2018-09-29 18:30:00,1,0,0,3,0.908723,313,27,285,16,4,2,1,13,4.102984999999999,9.553743999999998,5.450836,8.792524,4.689539,10,5,12.6225,4,1,0,12,3.674238999999999,7.559988000000001,3.124529,6.798768,3.124529,8,2,10.2605,Cagliari,0.639,0.3199,0.0411,h,0.952392,2.25181,0.952392,1.49051,5,3,0,0,0.4566,d,2018-09-26 19:00:00,0,1,0,1,-0.538118,283,39,247,28,1,2,3,6,-4.373431,4.451935,10.347966,4.451935,8.825366,4,7,3.9892,1,1,3,6,-3.488417,3.877879,8.888895999999999,3.877879,7.366296,4,5,3.3761,Sampdoria,0.0921,0.1803,0.7276
7,a,1.34105,3.07945,1.34105,2.31816,10,2,2,1,0.3476,w,2018-10-07 18:30:00,1,0,0,3,-0.97711,294,34,221,25,5,2,1,16,3.1258749999999997,10.894793999999996,8.530286,10.133574,7.007699000000001,12,6,12.9701,4,1,0,12,0.7317139999999998,6.441258,5.709614,5.680038000000001,4.948324,7,3,7.924099999999999,SPAL 2013,0.0734,0.1274,0.7992,a,1.16928,1.66754,1.16928,1.66754,3,12,1,2,0.9773,l,2018-10-01 18:30:00,0,0,1,0,-0.4982599999999999,196,26,285,36,3,4,0,9,-2.0399319999999994,7.300202,9.340134,7.300202,9.340134,5,8,8.082199999999998,1,4,0,3,-2.9141759999999994,5.365097,8.279273,5.365097,8.279273,3,8,4.7067,Sampdoria,0.2261,0.299,0.4749
8,h,2.09049,0.64662,2.09049,0.64662,3,2,1,0,2.3917,w,2018-10-21 18:30:00,1,0,0,3,1.44387,272,25,343,22,6,2,1,19,4.569744999999999,12.985283999999996,9.176906,12.224063999999998,7.654319000000001,13,6,15.3618,5,0,0,15,1.0876069999999998,7.146328,6.058790999999999,6.385108,5.2975010000000005,8,2,8.0785,AC Milan,0.7376,0.1789,0.0835,a,0.64662,2.09049,0.64662,2.09049,2,3,0,1,0.4294,l,2018-10-21 18:30:00,0,0,1,0,-1.44387,343,22,272,25,3,2,3,12,4.593346,13.084682000000004,9.252639,13.084682000000004,8.491336,15,11,13.7514,2,1,2,8,2.6746950000000003,8.38386,6.470467999999999,8.38386,5.709165,10,6,8.1889,Inter,0.0835,0.1789,0.7376
9,a,1.61907,1.23598,1.61907,1.23598,8,8,3,0,1.6711,w,2018-10-29 18:30:00,1,0,0,3,0.3830899999999999,209,18,440,29,7,2,1,22,4.952834999999999,14.604353999999995,10.412886,13.843134,8.890299,16,6,17.0329,5,0,0,15,1.0677429999999997,7.96286,6.895187,7.20164,6.133896999999999,10,2,8.0624,Lazio,0.4672,0.2695,0.2633,a,2.86321,0.251094,2.10191,0.251094,9,3,2,0,2.8978,w,2018-10-21 13:00:00,1,0,0,3,1.850816,161,23,285,14,6,3,0,18,5.443887999999999,16.442963,10.237775,15.681663,10.237775,13,9,16.0319,4,1,0,12,3.4593169999999995,9.449173,5.228556,8.687873,5.228556,10,5,9.6989,Parma Calcio 1913,0.952,0.0418,0.0062
