,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.51942,1.08236,1.51942,1.08236,8,6,2,1,1.7531,w,2018-08-18 21:30:00,1,0,0,3,0.43706,232,16,460,18,1,0,0,3,0.43706,1.51942,1.08236,1.51942,1.08236,2,1,1.7531,1,0,0,3,0.43706,1.51942,1.08236,1.51942,1.08236,2,1,1.7531,Lazio,0.4874,0.2909,0.2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,2.0372,0.521132,2.0372,0.521132,11,7,3,2,2.4503,w,2018-08-25 21:30:00,1,0,0,3,1.5160679999999995,431,43,305,17,2,0,0,6,1.953128,3.55662,1.603492,3.55662,1.603492,5,3,4.2034,2,0,0,6,1.953128,3.55662,1.603492,3.55662,1.603492,5,3,4.2034,AC Milan,0.7591,0.173,0.0679,a,0.521132,2.0372,0.521132,2.0372,7,11,2,3,0.3767,l,2018-08-25 21:30:00,0,0,1,0,-1.5160679999999995,305,17,431,43,0,1,0,0,-1.5160679999999995,0.521132,2.0372,0.521132,2.0372,2,3,0.3767,0,1,0,0,-1.5160679999999995,0.521132,2.0372,0.521132,2.0372,2,3,0.3767,Napoli,0.0679,0.173,0.7591
2,a,1.11682,0.829691,1.11682,0.829691,8,4,0,3,1.6024,l,2018-09-02 18:30:00,0,0,1,0,0.2871289999999999,314,34,299,33,2,1,0,6,2.240257,4.673439999999999,2.433183,4.673439999999999,2.433183,5,6,5.8058000000000005,2,1,0,6,2.240257,4.673439999999999,2.433183,4.673439999999999,2.433183,5,6,5.8058000000000005,Sampdoria,0.4258,0.325,0.2492,h,0.829691,1.11682,0.829691,1.11682,4,8,3,0,1.0726,w,2018-09-02 18:30:00,1,0,0,3,-0.2871289999999999,299,33,314,34,1,1,0,3,-1.500214,1.415276,2.91549,1.415276,2.91549,3,1,1.5456,1,1,0,3,-1.500214,1.415276,2.91549,1.415276,2.91549,3,1,1.5456,Napoli,0.2492,0.325,0.4258
3,h,1.31657,0.346689,1.31657,0.346689,8,1,1,0,2.185,w,2018-09-15 16:00:00,1,0,0,3,0.969881,279,27,329,24,3,1,0,9,3.210138,5.99001,2.779872,5.99001,2.779872,6,6,7.9908,3,1,0,9,3.210138,5.99001,2.779872,5.99001,2.779872,6,6,7.9908,Fiorentina,0.6372,0.2734,0.0894,a,0.346689,1.31657,0.346689,1.31657,1,8,0,1,0.5416,l,2018-09-15 16:00:00,0,0,1,0,-0.969881,329,24,279,27,2,1,0,6,2.664217,4.783199,2.118982,4.783199,2.118982,7,2,5.62,2,1,0,6,2.664217,4.783199,2.118982,4.783199,2.118982,7,2,5.62,Napoli,0.0894,0.2734,0.6372
4,a,2.35831,1.08641,2.35831,0.325113,6,6,3,1,2.3511999999999995,w,2018-09-23 10:30:00,1,0,0,3,2.033197,283,21,309,22,4,1,0,12,5.243335,8.34832,3.866282,8.34832,3.104985,9,7,10.342,4,1,0,12,5.243335,8.34832,3.866282,8.34832,3.104985,9,7,10.342,Torino,0.7202,0.1906,0.0892,a,0.671125,0.265642,0.671125,0.265642,4,4,1,1,1.6848,d,2018-09-16 13:00:00,0,1,0,1,0.405483,159,26,329,21,1,1,2,5,1.2167789999999998,4.108893,2.8921140000000003,4.108893,2.8921140000000003,4,4,6.3091,1,1,2,5,1.2167789999999998,4.108893,2.8921140000000003,4.108893,2.8921140000000003,4,4,6.3091,Udinese,0.4073,0.4629,0.1298
5,h,2.8594,0.0851875,2.8594,0.0851875,15,0,3,0,2.9241,w,2018-09-26 19:00:00,1,0,0,3,2.7742125,249,25,401,21,5,1,0,15,8.0175475,11.207719999999998,3.9514695,11.207719999999998,3.1901725,12,7,13.266099999999998,4,1,0,12,7.580487499999999,9.688299999999998,2.8691095000000004,9.688299999999998,2.1078125,10,6,11.512999999999998,Parma Calcio 1913,0.9632,0.0345,0.0023,h,2.04058,0.719329,2.04058,0.719329,12,19,2,0,2.3338,w,2018-09-22 13:00:00,1,0,0,3,1.3212509999999995,276,15,134,19,2,2,1,7,-0.9782200000000004,5.952689,7.692209,5.952689,6.930909,6,5,5.3169,2,2,1,7,-0.9782200000000004,5.952689,7.692209,5.952689,6.930909,6,5,5.3169,Cagliari,0.718,0.1798,0.1022
6,a,1.42452,3.04531,1.42452,3.04531,4,3,1,3,0.3965,l,2018-09-29 16:00:00,0,0,1,0,-1.6207900000000002,344,24,287,25,5,2,0,15,6.396757499999999,12.632239999999998,6.996779500000001,12.632239999999998,6.2354825,13,10,13.662599999999998,3,2,0,9,4.443629499999999,9.07562,5.3932875,9.07562,4.631990500000001,8,7,9.4592,Juventus,0.0823,0.1496,0.7681,h,0.851257,0.325971,0.851257,0.325971,9,1,2,0,1.8247,w,2018-09-26 19:00:00,1,0,0,3,0.525286,126,26,497,16,6,0,0,18,8.9292499,12.570827,4.4028781,12.570827,3.6415771,13,4,13.7151,5,0,0,15,6.959778900000001,10.311197,3.3514181,10.311197,3.3514181,10,2,11.4461,Bologna,0.4804,0.3835,0.1361
7,h,1.76818,0.926808,1.76818,0.926808,6,3,2,0,1.9985,w,2018-10-07 16:00:00,1,0,0,3,0.8413720000000001,435,30,342,25,6,2,0,18,7.2381294999999986,14.400419999999995,7.923587500000001,14.400419999999995,7.1622905,15,10,15.661099999999998,4,1,0,12,4.997872499999999,9.72698,5.4904045,9.72698,4.7291075000000005,10,4,9.855299999999998,Sassuolo,0.5853,0.2426,0.1721,h,0.704744,1.30599,0.704744,1.30599,8,4,1,4,0.8159000000000001,l,2018-09-30 18:30:00,0,0,1,0,-0.601246,199,20,342,21,4,2,1,13,-1.4821609999999996,10.874606,10.83417,9.352009,10.83417,15,12,10.0909,3,2,0,9,-0.4222739999999998,7.684906,8.10718,7.684906,8.10718,12,10,6.9889,AC Milan,0.1738,0.2945,0.5317
8,a,2.00576,1.72187,1.24446,1.72187,7,3,3,0,1.5560999999999998,w,2018-10-20 18:30:00,1,0,0,3,-0.4774100000000001,250,33,389,18,7,2,0,21,6.760719499999999,16.406179999999996,9.6454575,15.644879999999995,8.8841605,18,10,17.2172,4,1,0,12,3.5505815,10.41617,6.865585500000001,9.65487,6.1042885,12,4,9.226399999999998,Udinese,0.4224,0.2889,0.2887,h,0.742797,2.8144,0.742797,2.8144,0,18,0,2,0.1903,l,2018-10-06 16:00:00,0,0,1,0,-2.071603,381,18,263,32,2,4,2,8,-4.00681,7.92332,11.16883,7.16202,11.16883,8,10,8.3737,1,3,1,4,-3.961464,3.964101,7.925565,3.964101,7.925565,5,7,3.890600000000001,Juventus,0.0304,0.0991,0.8705
9,h,2.03999,0.784661,2.03999,0.784661,11,3,1,1,2.2906,d,2018-10-28 18:30:00,0,1,0,1,1.255329,241,33,320,10,7,2,1,22,8.016048499999998,18.446169999999995,10.4301185,17.684869999999997,9.6688215,19,11,19.5078,3,1,1,10,2.7727135,10.09785,6.5638365,9.33655,6.5638365,10,4,9.1658,Roma,0.6953,0.2047,0.1,h,1.6265,1.89155,1.6265,1.13025,13,4,0,2,1.1483,l,2018-10-20 13:00:00,0,0,1,0,0.4962500000000001,184,25,320,17,4,3,2,14,6.780533,17.127218,11.869245,17.127218,10.346685,16,12,15.640900000000002,3,2,0,9,6.056925,10.684819,6.150454,10.684819,4.627894,9,5,9.6284,SPAL 2013,0.2938,0.2669,0.4393
10,h,2.45171,0.76592,2.45171,0.76592,8,9,5,1,2.4972000000000003,w,2018-11-02 19:30:00,1,0,0,3,1.68579,395,26,342,27,8,2,1,25,9.701838499999996,20.897879999999997,11.1960385,20.136579999999995,10.4347415,24,12,22.005,3,1,1,10,1.6842909999999998,9.69016,7.244569,8.92886,7.244569,12,5,8.738900000000001,Empoli,0.7832,0.1476,0.0692,h,0.272576,1.48572,0.272576,0.724419,7,6,1,2,0.307,l,2018-10-27 16:00:00,0,0,1,0,-0.451843,253,21,231,37,1,6,3,6,-0.5155049999999999,12.689166,13.204710000000002,11.166603,11.682108,9,15,13.5113,0,3,2,2,0.5136499999999999,6.084696,5.571085,4.562133,4.048483,5,9,7.104800000000001,Juventus,0.0386,0.1912,0.7702
11,a,1.78935,0.876348,1.78935,0.876348,16,6,2,1,2.0631,w,2018-11-10 19:30:00,1,0,0,3,0.913002,120,20,285,24,9,2,1,28,10.614840499999998,22.687229999999992,12.0723865,21.925929999999997,11.3110895,26,13,24.0681,4,0,1,13,4.218083,10.05499,5.075607000000001,9.293690000000002,5.075607000000001,13,3,10.405500000000002,Genoa,0.6107,0.231,0.1583,a,0.257795,3.36518,0.257795,3.36518,4,5,0,5,0.0358,l,2018-11-03 14:00:00,0,0,1,0,-3.107385,371,22,160,18,4,5,2,14,-6.71928,11.500452999999998,18.219773,10.739192999999998,17.458472999999998,16,24,11.1685,0,3,2,2,-4.500005,4.797134,8.535879000000001,4.035874,8.535879000000001,5,13,5.0414,Inter,0.0031,0.0265,0.9704
12,h,1.30715,0.340731,1.30715,0.340731,12,4,0,0,2.2045,d,2018-11-25 14:00:00,0,1,0,1,0.966419,172,27,354,25,9,2,2,29,11.581259499999998,23.994379999999992,12.4131175,23.233079999999998,11.6518205,26,13,26.2726,3,0,2,11,4.34313,9.59396,4.489529999999999,8.83266,4.489529999999999,11,3,10.6115,Chievo,0.6445,0.271,0.0845,h,2.24645,1.84423,1.48515,1.84423,8,1,2,2,1.6835999999999998,d,2018-11-11 14:00:00,0,1,0,1,-0.35908,221,17,233,33,0,9,3,3,-12.500267,12.866933,23.0833,10.583033,23.0833,10,30,9.8646,0,4,1,1,-5.474226,5.240313,9.19194,3.717714,9.19194,5,14,4.073,Bologna,0.4755,0.2571,0.2674
