,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.633654,0.777545,0.633654,0.777545,3,2,0,1,1.1898,l,2019-08-25 17:00:00,0,0,1,0,-0.143891,210,21,350,18,0,1,0,0,-0.143891,0.633654,0.777545,0.633654,0.777545,0,1,1.1898,0,1,0,0,-0.143891,0.633654,0.777545,0.633654,0.777545,0,1,1.1898,Udinese,0.2706,0.378,0.3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.9308,0.860645,1.9308,0.860645,6,1,1,0,2.2007000000000003,w,2019-08-31 17:00:00,1,0,0,3,1.0701550000000002,169,30,306,27,1,1,0,3,0.9262640000000002,2.564454,1.63819,2.564454,1.63819,1,1,3.3905000000000003,1,1,0,3,0.9262640000000002,2.564454,1.63819,2.564454,1.63819,1,1,3.3905000000000003,Brescia,0.6548,0.2363,0.1089,a,1.32688,0.998907,0.565578,0.998907,5,6,1,0,1.6983,w,2019-08-25 19:45:00,1,0,0,3,-0.4333289999999999,264,18,153,27,1,0,0,3,-0.4333289999999999,1.32688,0.998907,0.565578,0.998907,1,0,1.6983,1,0,0,3,-0.4333289999999999,1.32688,0.998907,0.565578,0.998907,1,0,1.6983,Cagliari,0.4644,0.3051,0.2305
2,a,1.47177,0.465316,0.710513,0.465316,11,2,1,0,2.3105,w,2019-09-15 18:45:00,1,0,0,3,0.2451969999999999,132,31,283,24,2,1,0,6,1.171461,4.036224,2.103506,3.274967,2.103506,2,1,5.7010000000000005,2,1,0,6,1.171461,4.036224,2.103506,3.274967,2.103506,2,1,5.7010000000000005,Verona,0.694,0.2285,0.0775,a,1.824,0.994717,1.824,0.994717,14,9,1,0,2.0013,w,2019-09-01 19:45:00,1,0,0,3,0.8292830000000001,241,19,275,20,1,0,1,4,-0.4096719999999999,1.933745,3.104717,1.933745,2.343417,2,1,2.0931,1,0,1,4,-0.4096719999999999,1.933745,3.104717,1.933745,2.343417,2,1,2.0931,Lecce,0.5871,0.24,0.1729
3,h,1.09144,2.49224,1.09144,2.49224,5,9,0,2,0.4312,l,2019-09-21 18:45:00,0,0,1,0,-1.4007999999999998,244,21,251,29,2,2,0,6,-0.2293389999999997,5.127663999999999,4.595746,4.366407000000001,4.595746,2,3,6.132200000000001,2,2,0,6,-0.2293389999999997,5.127663999999999,4.595746,4.366407000000001,4.595746,2,3,6.132200000000001,Inter,0.0842,0.1786,0.7372,h,1.56746,0.250925,1.56746,0.250925,6,2,1,0,2.4965,w,2019-09-14 18:45:00,1,0,0,3,1.316535,217,22,387,14,3,0,0,9,3.589401,5.49029,1.139589,4.72899,1.139589,7,1,7.5853,3,0,0,9,3.589401,5.49029,1.139589,4.72899,1.139589,7,1,7.5853,Udinese,0.7696,0.1877,0.0427
4,a,2.29514,1.0873,1.53384,1.0873,8,3,1,2,2.322,l,2019-09-26 19:00:00,0,0,1,0,0.4465400000000001,179,26,214,29,2,3,0,6,0.2172010000000004,7.422803999999999,5.683046,5.900247,5.683046,3,5,8.4542,2,3,0,6,0.2172010000000004,7.422803999999999,5.683046,5.900247,5.683046,3,5,8.4542,Torino,0.7058,0.2046,0.0896,a,0.216688,1.8371,0.216688,1.8371,2,3,0,1,0.2388,l,2019-09-22 13:00:00,0,0,1,0,-1.620412,116,27,272,31,2,2,0,6,-2.712336,4.324871999999999,6.27591,3.563574,6.27591,6,6,4.214300000000001,2,2,0,6,-2.712336,4.324871999999999,6.27591,3.563574,6.27591,6,6,4.214300000000001,Sampdoria,0.0277,0.1557,0.8166
5,h,0.593975,3.00943,0.593975,1.48683,3,5,1,3,0.1137,l,2019-09-29 18:45:00,0,0,1,0,-0.8928550000000001,281,29,314,22,2,4,0,6,-0.6756539999999996,8.016779,8.692476,6.494222000000001,7.169876,4,8,8.5679,2,3,0,6,-0.5317629999999997,7.383125,7.914930999999999,5.860568000000001,6.392331,4,7,7.378100000000001,Fiorentina,0.0172,0.0621,0.9207,h,1.94827,0.642879,1.94827,0.642879,3,3,2,1,2.3302,w,2019-09-25 19:00:00,1,0,0,3,1.305391,208,30,326,15,1,2,2,5,1.047023,8.58213,6.773806999999999,7.05953,6.012507,8,9,8.3692,1,2,2,5,1.047023,8.58213,6.773806999999999,7.05953,6.012507,8,9,8.3692,Sampdoria,0.7071,0.2089,0.084
6,a,1.20462,1.65802,0.443323,0.896721,4,8,2,1,0.9505,w,2019-10-05 19:45:00,1,0,0,3,-0.4533979999999999,256,19,243,23,3,4,0,9,-1.1290519999999995,9.221399,10.350496,6.937545000000001,8.066597,6,9,9.5184,2,3,0,6,-2.055316,6.656945,8.712306,4.373091,6.428407,5,8,6.1279,Genoa,0.2137,0.3094,0.4769,a,1.0028,1.61693,1.0028,1.61693,5,17,0,4,0.8648,l,2019-09-29 13:00:00,0,0,1,0,-0.6141300000000001,340,14,252,21,1,3,2,5,-2.8299390000000004,7.722744,11.31399,6.200188,9.030127,7,13,5.554099999999999,1,3,1,4,-0.5689780000000001,6.596844,8.68839,5.835548999999999,6.404527,4,10,5.1369,Lazio,0.1958,0.2774,0.5268
7,h,1.7835,1.29111,1.7835,0.353509,11,3,2,2,1.697,d,2019-10-20 19:45:00,0,1,0,1,1.429991,184,27,323,23,3,4,1,10,0.3009390000000003,11.004899,11.641606,8.721045,8.420106,8,11,11.2154,1,3,1,4,-0.8705219999999996,6.968675,9.5381,5.446078,6.3166,6,10,5.5144,Lecce,0.4697,0.2879,0.2424,a,0.999184,4.39219,0.999184,4.39219,6,12,1,3,0.0939,l,2019-10-06 14:00:00,0,0,1,0,-3.393006,291,14,205,32,2,5,0,6,-9.179782,7.721467,16.901249,5.437568999999999,14.617351,7,15,4.9533,2,3,0,6,-6.615607000000001,6.317982,12.933589,4.034084,10.649691,7,10,3.9164,Atalanta,0.016,0.0459,0.9381
8,a,0.545215,1.66688,0.545215,1.66688,6,4,1,2,0.4929,l,2019-10-27 17:00:00,0,0,1,0,-1.121665,194,21,301,31,3,5,1,10,-0.8207259999999996,11.550114,13.308485999999998,9.26626,10.086986,9,13,11.7083,1,3,1,4,-0.5913869999999998,6.42245,8.71274,4.899852999999999,5.49124,7,10,5.576099999999999,Roma,0.0923,0.216,0.6917,a,0.443611,0.628013,0.443611,0.628013,5,6,0,0,1.0955,d,2019-10-20 14:00:00,0,1,0,1,-0.184402,129,17,317,23,3,1,4,13,5.995879,15.315821,10.081321,13.793340000000002,7.797461,12,10,13.940499999999998,2,1,2,8,3.262749,8.534831,6.033381,7.773531,4.510782,4,4,8.1695,Sampdoria,0.2183,0.4406,0.3411
9,h,1.90677,0.335973,1.90677,0.335973,8,1,1,0,2.6426,w,2019-10-31 20:00:00,1,0,0,3,1.570797,152,24,249,32,4,5,1,13,0.7500710000000004,13.456884,13.644458999999998,11.17303,10.422959,10,13,14.3509,2,2,1,7,0.5328700000000002,6.03408,7.961413,5.272783,4.7399130000000005,7,8,5.8967,SPAL 2013,0.8367,0.1325,0.0308,h,0.470344,0.898916,0.470344,0.898916,2,8,1,1,0.8665,d,2019-10-27 14:00:00,0,1,0,1,-0.428572,323,22,165,21,2,6,1,7,-5.056247999999999,8.144943999999999,15.485088,8.144943999999999,13.201192,7,16,7.990299999999999,1,3,1,4,-1.2410709999999998,3.781388,6.545057999999999,3.781388,5.022459,3,8,5.0157,Napoli,0.1676,0.3637,0.4687
