,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.70129,1.48495,1.70129,1.48495,5,4,3,2,1.5071,w,2019-08-25 19:45:00,1,0,0,3,0.2163399999999999,182,30,283,22,1,0,0,3,0.2163399999999999,1.70129,1.48495,1.70129,1.48495,3,2,1.5071,1,0,0,3,0.2163399999999999,1.70129,1.48495,1.70129,1.48495,3,2,1.5071,SPAL 2013,0.4105,0.2756,0.3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.83194,0.684714,1.83194,0.684714,9,3,2,3,2.2121,l,2019-09-01 19:45:00,0,0,1,0,1.147226,125,27,202,33,1,1,0,3,1.3635659999999998,3.53323,2.169664,3.53323,2.169664,5,5,3.7192,1,1,0,3,1.3635659999999998,3.53323,2.169664,3.53323,2.169664,5,5,3.7192,Torino,0.6645,0.2186,0.1169,h,1.87227,1.35208,1.87227,1.35208,5,5,2,1,1.7742,w,2019-08-25 19:45:00,1,0,0,3,0.5201900000000002,252,30,95,28,1,0,0,3,0.5201900000000002,1.87227,1.35208,1.87227,1.35208,2,1,1.7742,1,0,0,3,0.5201900000000002,1.87227,1.35208,1.87227,1.35208,2,1,1.7742,Sassuolo,0.5104,0.243,0.2466
2,a,2.43373,1.35423,1.67243,0.592935,10,3,2,1,2.1564,w,2019-09-15 10:30:00,1,0,0,3,1.079495,196,16,170,22,2,1,0,6,2.443061,5.96696,3.5238940000000003,5.20566,2.762599,7,6,5.8756,2,1,0,6,2.443061,5.96696,3.5238940000000003,5.20566,2.762599,7,6,5.8756,Genoa,0.6446,0.2226,0.1328,h,2.41153,1.80442,2.41153,1.04312,7,3,2,1,1.7754,w,2019-09-01 19:45:00,1,0,0,3,1.36841,157,26,184,20,1,0,1,4,-0.8925510000000001,3.53743,4.43002,2.776169,3.66872,5,4,2.1926,1,0,1,4,-0.8925510000000001,3.53743,4.43002,2.776169,3.66872,5,4,2.1926,Fiorentina,0.5171,0.2241,0.2588
3,h,1.44964,1.40952,1.44964,1.40952,7,2,2,2,1.3674999999999995,d,2019-09-22 16:00:00,0,1,0,1,0.0401199999999999,172,37,283,18,2,1,1,7,2.483181,7.416600000000001,4.933414000000001,6.6553,4.172119,9,8,7.243099999999999,2,1,1,7,2.483181,7.416600000000001,4.933414000000001,6.6553,4.172119,9,8,7.243099999999999,Fiorentina,0.3641,0.2752,0.3607,h,1.47787,0.324648,1.47787,0.324648,6,5,0,0,2.3429,d,2019-09-14 13:00:00,0,1,0,1,1.153222,283,21,193,33,0,2,1,1,-0.218248,5.22434,4.681288,3.70174,3.919988,4,6,4.681699999999999,0,2,1,1,-0.218248,5.22434,4.681288,3.70174,3.919988,4,6,4.681699999999999,Juventus,0.7041,0.2306,0.0653
4,a,2.23314,2.21614,2.23314,2.21614,6,8,2,0,1.4045,w,2019-09-25 17:00:00,1,0,0,3,0.0169999999999999,292,28,309,29,3,1,1,10,2.500181,9.64974,7.149554000000001,8.888440000000001,6.388259000000001,11,8,8.647599999999999,3,1,1,10,2.500181,9.64974,7.149554000000001,8.888440000000001,6.388259000000001,11,8,8.647599999999999,Roma,0.3915,0.23,0.3785,a,1.45512,1.34513,1.45512,0.583833,16,7,2,1,1.3976,w,2019-09-22 13:00:00,1,0,0,3,0.8712869999999999,203,24,257,15,2,0,2,8,3.604417,8.23611,5.39307,7.474929,3.870512,10,7,7.1686,2,0,2,8,3.604417,8.23611,5.39307,7.474929,3.870512,10,7,7.1686,Bologna,0.3623,0.3107,0.327
5,a,2.42758,0.442236,2.42758,0.442236,7,5,4,1,2.7139,w,2019-09-28 18:45:00,1,0,0,3,1.985344,366,25,325,20,4,1,1,13,4.485525,12.07732,7.591790000000001,11.316020000000002,6.830495000000001,15,9,11.3615,3,1,1,10,4.269184999999999,10.37603,6.106840000000001,9.614730000000002,5.345545,12,7,9.8544,Sassuolo,0.8715,0.0994,0.0291,a,0.505463,1.50602,0.505463,0.744723,3,4,0,1,0.4736,l,2019-09-25 19:00:00,0,0,1,0,-0.23926,135,27,333,47,2,3,0,6,0.4015329999999997,7.383833,8.504890999999999,7.383833,6.9823,10,8,6.2208000000000006,2,3,0,6,0.4015329999999997,7.383833,8.504890999999999,7.383833,6.9823,10,8,6.2208000000000006,Parma Calcio 1913,0.0815,0.2291,0.6894
6,h,4.39219,0.999184,4.39219,0.999184,12,6,3,1,2.8602000000000003,w,2019-10-06 14:00:00,1,0,0,3,3.393006,205,32,291,14,5,1,1,16,7.878531000000001,16.46951,8.590974000000001,15.70821,7.829679,18,10,14.2217,4,0,1,13,6.514965,12.93628,6.42131,12.17498,5.6600150000000005,13,5,10.5025,Lecce,0.9381,0.0459,0.016,h,0.793718,2.99876,0.793718,2.23746,4,15,0,1,0.2131,l,2019-09-29 13:00:00,0,0,1,0,-1.443742,307,15,228,34,2,4,0,6,-5.786776,6.722283,12.509059,4.438384999999999,10.225161,6,12,4.8594,2,3,0,6,-4.051883999999999,6.313515,10.365399,4.029617,8.081501000000001,6,8,4.5812,Roma,0.0395,0.0946,0.8659
7,a,2.56796,2.70407,2.56796,1.18147,7,6,3,3,1.2971,d,2019-10-19 14:00:00,0,1,0,1,1.3864899999999998,240,28,268,26,5,1,2,17,9.265021,19.03747,11.295044,18.27617,9.011149,21,13,15.5188,3,0,2,11,6.821960000000001,13.07051,7.77115,13.07051,6.24855,14,7,9.6432,Lazio,0.3579,0.2234,0.4187,a,1.59819,3.37988,0.836888,3.37988,10,6,2,2,0.3053,d,2019-10-06 14:00:00,0,1,0,1,-2.542992,235,22,183,27,3,2,2,11,1.3410770000000003,11.65877,9.556275,10.136171,8.795093999999999,13,6,11.5166,2,2,1,7,-1.2134379999999998,8.04295,7.733789,6.520351,7.733789,9,5,7.341699999999999,Bologna,0.0588,0.1289,0.8123
8,h,5.83297,0.477769,4.31038,0.477769,16,2,7,1,2.9967,w,2019-10-27 14:00:00,1,0,0,3,3.832611,198,31,262,11,6,1,2,20,13.097632,24.87044,11.772813,22.586550000000003,9.488918,28,14,18.5155,4,0,1,13,10.614451,17.45384,6.839399,15.93125,5.3167990000000005,19,6,11.2724,Udinese,0.9984,0.0015,0.0001,h,1.87593,0.603538,1.87593,0.603538,8,3,1,0,2.4748,w,2019-10-20 14:00:00,1,0,0,3,1.272392,294,23,146,36,3,4,1,10,-0.189942,7.532330000000001,7.722272000000001,7.532330000000001,7.722272000000001,4,6,10.4364,2,2,1,7,0.499922,4.806590000000001,4.306668,4.806590000000001,4.306668,2,2,6.994800000000001,Torino,0.7672,0.1732,0.0596
9,a,1.33873,3.19908,1.33873,3.19908,9,8,2,2,0.3292,d,2019-10-30 18:00:00,0,1,0,1,-1.86035,307,27,307,23,6,1,3,21,11.237282,26.20917,14.971893,23.92528,12.687998,30,16,18.8447,3,0,2,11,8.737101,16.55943,7.822339000000001,15.03684,6.299739,19,8,10.1971,Napoli,0.0687,0.1231,0.8082,a,0.898916,0.470344,0.898916,0.470344,8,2,1,1,1.7698,d,2019-10-27 14:00:00,0,1,0,1,0.428572,165,21,323,22,5,2,2,17,5.350454000000001,16.745344000000003,11.394889,15.222744,9.87229,18,11,16.25,2,1,2,8,4.045505,8.416874,4.371369,8.416874,4.371369,5,3,9.9207,SPAL 2013,0.4687,0.3637,0.1676
10,h,0.75623,1.10665,0.75623,1.10665,7,4,0,2,1.0086,l,2019-11-03 11:30:00,0,0,1,0,-0.3504199999999999,248,24,264,26,6,2,3,21,10.886862,26.9654,16.078543,24.68151,13.794648,30,18,19.8533,2,1,2,8,6.401337,14.888080000000002,8.486753,13.36549,6.964153,15,9,8.4918,Cagliari,0.2297,0.3195,0.4508,h,1.35196,1.18024,1.35196,0.41894,8,5,3,2,1.4393000000000002,w,2019-10-30 20:00:00,1,0,0,3,0.93302,254,30,192,34,5,2,3,18,-3.3222780000000007,10.126958,14.971836,9.365656,12.687934,16,10,9.713099999999995,2,0,3,9,-0.8418640000000001,6.182264,7.024125999999999,5.420962,6.262826,8,5,6.048000000000001,Bologna,0.3739,0.3176,0.3085
11,a,0.517338,0.887813,0.517338,0.887813,4,2,0,0,0.9341,d,2019-11-10 14:00:00,0,1,0,1,-0.370475,172,22,359,28,6,2,4,22,10.516387,27.482738,16.966356,25.198848,14.682461,30,18,20.7874,1,1,3,6,2.637856,11.013228000000002,8.375382,9.490638,6.852782,12,8,6.5657000000000005,Sampdoria,0.187,0.3731,0.4399,a,0.857291,0.501251,0.857291,0.501251,3,1,1,0,1.7201,w,2019-11-04 19:45:00,1,0,0,3,0.35604,216,23,125,17,2,7,2,8,-4.229365000000001,11.722361,15.190432,10.961067,15.190432,7,19,12.8636,1,2,2,5,-0.5607479999999999,4.363416,4.924164,4.363416,4.924164,3,5,6.5664,SPAL 2013,0.4514,0.3659,0.1827
12,h,2.78945,1.20522,1.99374,1.20522,7,8,1,3,2.4261,l,2019-11-23 14:00:00,0,0,1,0,0.7885200000000001,287,38,195,22,6,3,4,22,11.304907,30.272188,18.171576,27.192588,15.887681,31,21,23.213500000000003,1,2,2,5,2.0398860000000005,11.234718,6.876532,8.916418,6.876532,10,8,7.6947,Juventus,0.756,0.1581,0.0859,h,1.11956,0.517282,1.11956,0.517282,4,8,1,0,1.8747,w,2019-11-10 19:45:00,1,0,0,3,0.6022780000000001,216,37,266,26,10,0,2,32,11.888135,22.545988,10.717216999999998,20.262088,8.373953,20,9,24.2816,4,0,1,13,7.070566,10.99279,3.1609190000000007,9.47019,2.399624,7,3,12.0925,AC Milan,0.5182,0.3201,0.1617
13,a,2.66863,1.2071,2.66863,1.2071,12,4,3,0,2.2991,w,2019-11-30 14:00:00,1,0,0,3,1.4615299999999998,139,27,282,24,7,3,4,25,12.766437,32.94081799999999,19.378676,29.861218,17.094781,34,21,25.512600000000003,1,2,2,5,-0.3311950000000001,8.070378,7.605862999999999,7.274668,7.605862999999999,6,7,6.9971,Brescia,0.7085,0.1736,0.1179,h,1.2071,2.66863,1.2071,2.66863,4,12,0,3,0.5273,l,2019-11-30 14:00:00,0,0,1,0,-1.4615299999999998,282,24,139,27,2,10,1,7,-10.490866999999998,12.405458,23.657613,11.644156,22.135023,10,26,11.7204,0,5,0,0,-3.960698,4.722393,10.205680999999998,4.722393,8.683091,2,14,4.1226,Atalanta,0.1179,0.1736,0.7085
14,h,2.5171,1.19011,1.7558,1.19011,15,4,3,2,2.3151,w,2019-12-07 14:00:00,1,0,0,3,0.56569,186,24,239,22,8,3,4,28,13.332127,35.45791799999999,20.568786000000003,31.617018,18.284891,37,23,27.827700000000004,2,2,1,7,2.094845,9.248748,5.596893,7.691738,5.596893,7,7,8.983,Verona,0.7098,0.1857,0.1045,h,1.21801,2.10824,1.21801,1.34694,1,5,1,3,0.6636,l,2019-12-01 19:45:00,0,0,1,0,-0.12893,157,15,293,15,5,6,3,18,-3.2183070000000003,16.123115999999996,20.804614,14.541149999999996,17.759457,12,14,15.635,3,2,0,9,-1.8229550000000003,5.522918000000001,7.345877,4.761622000000001,6.584577,6,6,5.4753,Roma,0.144,0.2316,0.6244
15,a,2.16001,1.34375,2.16001,1.34375,12,3,1,2,1.9785,l,2019-12-15 14:00:00,0,0,1,0,0.8162600000000002,152,28,256,29,8,4,4,28,14.148387,37.61792799999999,21.912536000000003,33.777028,19.628641,38,25,29.806200000000004,2,2,1,7,3.261525,10.652528,5.833993,9.095518,5.833993,8,7,9.9529,Bologna,0.5825,0.231,0.1865,h,1.24829,2.41751,0.487031,1.65621,2,6,2,3,0.5082,l,2019-12-08 19:45:00,0,0,1,0,-1.169179,173,29,196,26,4,7,4,16,3.667050999999997,25.364539000000004,20.174971,21.55812,17.891069,22,26,23.71939999999999,1,3,1,4,-5.145357999999999,4.342101,10.2488,3.580842,8.7262,8,11,2.9529,AC Milan,0.0994,0.21,0.6906
16,h,2.3426,0.334827,2.3426,0.334827,7,1,5,0,2.7603,w,2019-12-22 11:30:00,1,0,0,3,2.0077730000000003,222,19,292,19,9,4,4,31,16.15616,39.96052799999999,22.247363000000004,36.119628,19.963468,43,25,32.566500000000005,3,2,0,9,5.639773,12.47779,5.281007,10.92078,5.281007,13,7,11.7791,AC Milan,0.8901,0.09,0.0199,h,2.17858,0.84977,2.17858,0.84977,8,6,0,0,2.2742000000000004,d,2019-12-15 14:00:00,0,1,0,1,1.3288100000000005,229,24,198,33,6,7,3,21,3.750577000000001,22.2186,19.405628,19.173446,15.422869,16,19,24.3494,2,1,2,8,3.395381,8.044011000000001,4.648589,7.282711,3.88733,5,4,9.0002,Sassuolo,0.6952,0.1886,0.1162
17,h,2.40246,0.127344,2.40246,0.127344,4,0,5,0,2.8164,w,2020-01-06 14:00:00,1,0,0,3,2.275116,197,26,334,24,10,4,4,34,18.431276,42.36298799999999,22.374707000000004,38.522088,20.090812000000003,48,25,35.38290000000001,4,1,0,12,7.126369,12.0908,4.203131,11.3295,4.203131,17,4,12.1694,Parma Calcio 1913,0.912,0.0804,0.0076,h,0.820014,1.9905,0.820014,1.9905,2,5,1,1,0.5083,d,2019-12-22 14:00:00,0,1,0,1,-1.170486,194,29,228,30,7,6,4,25,-6.206606000000001,19.264606,24.709909,17.742009,23.948615,24,20,19.8964,2,1,2,8,-3.685583,4.210829,7.896412,4.210829,7.896412,6,5,4.3894,Brescia,0.1059,0.1906,0.7035
18,a,2.54235,0.728607,1.78105,0.728607,7,2,1,1,2.6614,d,2020-01-11 19:45:00,0,1,0,1,1.052443,216,27,360,25,10,4,5,35,19.483719,44.90533799999999,23.103314000000005,40.303138,20.819419000000003,49,26,38.04430000000001,3,1,1,10,6.717282000000001,11.96452,3.724638,10.44192,3.724638,15,5,12.5317,Inter,0.85,0.1114,0.0386,a,1.24209,1.69175,1.24209,1.69175,4,10,3,1,1.0095999999999998,w,2020-01-06 19:45:00,1,0,0,3,-0.4496600000000001,326,34,343,20,14,1,3,45,14.892172999999998,34.303481,15.604804999999995,29.735682,14.843508999999996,39,15,38.2971,3,0,2,11,4.143028000000001,8.828890000000001,3.924562,8.067590000000001,3.924562,10,3,10.357399999999998,Napoli,0.2394,0.2914,0.4692
