,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.32688,0.998907,0.565578,0.998907,5,6,1,0,1.6983,w,2019-08-25 19:45:00,1,0,0,3,-0.4333289999999999,264,18,153,27,1,0,0,3,-0.4333289999999999,1.32688,0.998907,0.565578,0.998907,1,0,1.6983,1,0,0,3,-0.4333289999999999,1.32688,0.998907,0.565578,0.998907,1,0,1.6983,Cagliari,0.4644,0.3051,0.2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.860645,1.9308,0.860645,1.9308,1,6,0,1,0.563,l,2019-08-31 17:00:00,0,0,1,0,-1.0701550000000002,306,27,169,30,1,1,0,3,-1.5034840000000005,2.187525,2.929707,1.426223,2.929707,1,1,2.2613,1,1,0,3,-1.5034840000000005,2.187525,2.929707,1.426223,2.929707,1,1,2.2613,AC Milan,0.1089,0.2363,0.6548,a,0.633654,0.777545,0.633654,0.777545,3,2,0,1,1.1898,l,2019-08-25 17:00:00,0,0,1,0,-0.143891,210,21,350,18,0,1,0,0,-0.143891,0.633654,0.777545,0.633654,0.777545,0,1,1.1898,0,1,0,0,-0.143891,0.633654,0.777545,0.633654,0.777545,0,1,1.1898,Udinese,0.2706,0.378,0.3514
2,h,1.14311,3.68503,1.14311,3.68503,5,10,3,4,0.1345,l,2019-09-15 13:00:00,0,0,1,0,-2.54192,311,21,101,24,1,2,0,3,-4.045404,3.330635,6.614737,2.5693330000000003,6.614737,4,5,2.3958,1,2,0,3,-4.045404,3.330635,6.614737,2.5693330000000003,6.614737,4,5,2.3958,Bologna,0.0196,0.0757,0.9047,h,3.76497,0.850525,3.76497,0.850525,5,6,1,0,2.8465000000000003,w,2019-08-30 19:45:00,1,0,0,3,2.914445,134,26,217,26,1,0,1,4,4.1534,5.874969999999999,0.96027,5.11367,0.96027,2,1,5.6803,1,0,1,4,4.1534,5.874969999999999,0.96027,5.11367,0.96027,2,1,5.6803,SPAL 2013,0.9312,0.0529,0.0159
3,a,0.810849,0.505205,0.810849,0.505205,6,3,1,0,1.6722,w,2019-09-21 13:00:00,1,0,0,3,0.305644,238,28,165,38,2,2,0,6,-3.73976,4.141484,7.119942,3.3801820000000005,7.119942,5,5,4.068,2,2,0,6,-3.73976,4.141484,7.119942,3.3801820000000005,7.119942,5,5,4.068,Udinese,0.4291,0.3849,0.186,a,0.250925,1.56746,0.250925,1.56746,2,6,0,1,0.3157999999999999,l,2019-09-14 18:45:00,0,0,1,0,-1.316535,387,14,217,22,1,2,0,3,-0.689864,2.72574,3.415604,2.72574,3.415604,2,4,3.4416,1,2,0,3,-0.689864,2.72574,3.415604,2.72574,3.415604,2,4,3.4416,Inter,0.0427,0.1877,0.7696
4,h,0.686153,1.88191,0.686153,1.88191,4,11,1,2,0.5177,l,2019-09-24 19:00:00,0,0,1,0,-1.195757,403,20,162,28,2,3,0,6,-4.935516999999999,4.827637,9.001852,4.0663350000000005,9.001852,6,7,4.585699999999999,2,3,0,6,-4.935516999999999,4.827637,9.001852,4.0663350000000005,9.001852,6,7,4.585699999999999,Juventus,0.1043,0.2048,0.6909,h,1.86372,1.8415,1.10242,1.02083,10,7,2,1,1.3105,w,2019-09-21 16:00:00,1,0,0,3,0.08159,173,18,309,31,3,0,1,10,0.9727119999999998,6.084358,5.171016,5.323058,4.350346,7,4,6.068,3,0,1,10,0.9727119999999998,6.084358,5.171016,5.323058,4.350346,7,4,6.068,Verona,0.3379,0.2968,0.3653
5,a,1.14541,2.50124,1.14541,2.50124,5,14,1,2,0.4903,l,2019-09-29 10:30:00,0,0,1,0,-1.35583,339,18,247,28,2,4,0,6,-6.291346999999999,5.973047,11.503092,5.2117450000000005,11.503092,7,9,5.076,1,4,0,3,-5.858018,4.646167,10.504185,4.646167,10.504185,6,9,3.3777,Napoli,0.1053,0.1744,0.7203,h,1.89418,0.534885,1.89418,0.534885,7,0,0,1,2.3591,l,2019-09-25 19:00:00,0,0,1,0,1.359295,167,24,360,18,3,2,0,9,2.6642440000000005,10.22265,7.558405,8.700050000000001,6.035806,13,9,8.6884,3,2,0,9,2.6642440000000005,10.22265,7.558405,8.700050000000001,6.035806,13,9,8.6884,Cagliari,0.7163,0.2102,0.0735
6,h,0.543738,0.82628,0.543738,0.82628,3,7,0,0,1.0858,d,2019-10-21 20:00:00,0,1,0,1,-0.2825419999999999,244,17,191,22,2,4,1,7,-6.573888999999999,6.5167850000000005,12.329372,5.755483000000001,12.329372,7,9,6.1618,1,3,1,4,-5.070405,4.3292600000000006,9.399665,4.3292600000000006,9.399665,6,8,3.9005,Fiorentina,0.2303,0.3949,0.3748,a,3.00943,0.593975,1.48683,0.593975,5,3,3,1,2.8242,w,2019-09-29 18:45:00,1,0,0,3,0.8928550000000001,314,22,281,29,2,2,2,8,1.939878,11.59156,7.367781999999999,8.54636,6.606482000000001,11,10,11.1934,2,1,2,8,1.9429380000000005,9.64951,5.422672,7.365610000000001,5.422672,8,6,9.855099999999998,AC Milan,0.9207,0.0621,0.0172
7,a,1.16628,1.12256,1.16628,1.12256,4,8,1,3,1.436,l,2019-10-26 19:45:00,0,0,1,0,0.0437199999999999,353,25,144,31,2,5,1,7,-6.530168999999999,7.683065000000001,13.451932,6.921763,13.451932,8,12,7.597799999999999,1,3,1,4,-2.484765,4.35243,6.837195,4.35243,6.837195,4,7,5.202,Genoa,0.3728,0.3176,0.3096,h,1.65802,1.20462,0.896721,0.443323,8,4,1,2,1.7401,l,2019-10-05 19:45:00,0,0,1,0,0.4533979999999999,243,23,256,19,1,4,2,5,-2.3765410000000005,9.380764,12.51861,7.096909,9.47345,8,15,7.294199999999999,0,4,1,1,-1.48399,5.8433340000000005,8.08859,4.320740000000001,5.80473,3,11,5.1016,AC Milan,0.4769,0.3094,0.2137
8,h,1.63039,0.769551,1.63039,0.769551,8,7,1,2,2.1602,l,2019-10-29 20:00:00,0,0,1,0,0.860839,295,18,162,24,2,6,1,7,-5.669329999999999,9.313455,14.221483,8.552153,14.221483,9,14,9.758,0,4,1,1,-1.92957,5.171971,7.101541,5.171971,7.101541,4,9,5.69,Inter,0.6404,0.239,0.1206,a,3.04913,0.885577,1.52653,0.885577,6,6,4,3,2.7146000000000003,w,2019-10-20 11:30:00,1,0,0,3,0.640953,261,31,249,21,7,1,0,21,6.419125,16.47773,7.013406,13.432531,7.013406,18,7,18.0307,4,1,0,12,2.829724,10.98744,5.873817,8.703541,5.873817,11,6,10.4454,Sassuolo,0.8756,0.0878,0.0366
9,a,0.975463,1.14031,0.975463,1.14031,11,5,1,2,1.1947,l,2019-11-03 14:00:00,0,0,1,0,-0.1648469999999999,228,20,188,24,2,7,1,7,-5.834176999999999,10.288918,15.361793,9.527616,15.361793,10,16,10.9527,0,4,1,1,-0.8986599999999999,5.461281,6.359940999999999,5.461281,6.359940999999999,4,9,6.367,Verona,0.2943,0.3118,0.3939,h,0.782917,1.05439,0.782917,1.05439,7,6,0,1,1.0994,l,2019-10-25 19:45:00,0,0,1,0,-0.2714729999999999,159,18,208,21,2,4,3,9,-1.395352,10.600198,13.458737,9.779528,11.17488,6,8,10.1597,1,2,2,5,-0.6588930000000002,6.359637,7.01853,6.359637,7.01853,3,4,6.2129,Sassuolo,0.2541,0.3371,0.4088
