,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,0.408768,2.14366,0.408768,2.14366,5,11,0,4,0.2782,l,2019-08-26 19:45:00,0,0,1,0,-1.734892,332,16,197,26,0,1,0,0,-1.734892,0.408768,2.14366,0.408768,2.14366,0,4,0.2782,0,1,0,0,-1.734892,0.408768,2.14366,0.408768,2.14366,0,4,0.2782,Inter,0.0463,0.1393,0.8144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.994717,1.824,0.994717,1.824,9,14,0,1,0.7586999999999999,l,2019-09-01 19:45:00,0,0,1,0,-0.8292830000000001,275,20,241,19,0,2,0,0,-2.564175,1.403485,3.96766,1.403485,3.96766,0,5,1.0369,0,2,0,0,-2.564175,1.403485,3.96766,1.403485,3.96766,0,5,1.0369,Verona,0.1729,0.24,0.5871,h,0.109745,2.11,0.109745,1.3487,0,14,1,1,0.0917999999999999,d,2019-08-25 19:45:00,0,1,0,1,-1.238955,271,17,76,17,0,0,1,1,-1.238955,0.109745,2.11,0.109745,1.3487,1,1,0.0917999999999999,0,0,1,1,-1.238955,0.109745,2.11,0.109745,1.3487,1,1,0.0917999999999999,Bologna,0.0058,0.0744,0.9198
2,a,1.25479,1.5512,1.25479,0.789902,6,4,2,1,1.0872,w,2019-09-16 18:45:00,1,0,0,3,0.4648880000000001,291,28,155,24,1,2,0,3,-2.099287,2.658275,5.51886,2.658275,4.757562,2,6,2.1241,1,2,0,3,-2.099287,2.658275,5.51886,2.658275,4.757562,2,6,2.1241,Torino,0.2688,0.2808,0.4504,a,0.684714,1.83194,0.684714,1.83194,3,9,3,2,0.5693,w,2019-09-01 19:45:00,1,0,0,3,-1.147226,202,33,125,27,2,0,0,6,-0.6270359999999997,2.556984,3.18402,2.556984,3.18402,5,3,2.3435,2,0,0,6,-0.6270359999999997,2.556984,3.18402,2.556984,3.18402,5,3,2.3435,Atalanta,0.1169,0.2186,0.6645
3,h,1.37591,3.0665,0.614611,2.3052,6,7,1,4,0.2882,l,2019-09-22 13:00:00,0,0,1,0,-1.690589,395,18,243,20,1,3,0,3,-3.789876,4.034185,8.58536,3.272886,7.062762,3,10,2.4123,1,3,0,3,-3.789876,4.034185,8.58536,3.272886,7.062762,3,10,2.4123,Napoli,0.0506,0.1364,0.813,h,1.72924,1.69786,1.72924,1.69786,9,7,2,0,1.3342999999999998,w,2019-09-14 16:00:00,1,0,0,3,0.0313800000000001,186,22,455,20,2,1,0,6,-0.3856399999999995,5.26197,5.64761,4.50067,4.88631,9,7,3.7539,2,1,0,6,-0.3856399999999995,5.26197,5.64761,4.50067,4.88631,9,7,3.7539,Sampdoria,0.3525,0.2768,0.3707
4,a,1.89438,0.924939,0.371781,0.924939,3,5,3,1,2.234,w,2019-09-25 19:00:00,1,0,0,3,-0.553158,251,10,207,19,2,3,0,6,-4.343034,5.928565,9.510299,3.644667,7.987701,6,11,4.6463,2,3,0,6,-4.343034,5.928565,9.510299,3.644667,7.987701,6,11,4.6463,SPAL 2013,0.6734,0.2138,0.1128,a,0.923321,2.01353,0.923321,2.01353,7,9,0,3,0.6223,l,2019-09-22 10:30:00,0,0,1,0,-1.0902089999999998,295,23,271,24,1,3,0,3,-3.815177,4.363555999999999,8.94003,4.363555999999999,8.178733,4,8,2.9746,1,3,0,3,-3.815177,4.363555999999999,8.94003,4.363555999999999,8.178733,4,8,2.9746,Sassuolo,0.1331,0.223,0.6439
5,h,0.793718,2.99876,0.793718,2.23746,4,15,0,1,0.2131,l,2019-09-29 13:00:00,0,0,1,0,-1.443742,307,15,228,34,2,4,0,6,-5.786776,6.722283,12.509059,4.438384999999999,10.225161,6,12,4.8594,2,3,0,6,-4.051883999999999,6.313515,10.365399,4.029617,8.081501000000001,6,8,4.5812,Roma,0.0395,0.0946,0.8659,h,2.21614,2.23314,2.21614,2.23314,8,6,0,2,1.3655,l,2019-09-25 17:00:00,0,0,1,0,-0.0169999999999999,309,29,292,28,2,1,2,8,3.587417,10.45225,7.62621,9.691069,6.103652,10,9,8.534099999999999,2,1,2,8,3.587417,10.45225,7.62621,9.691069,6.103652,10,9,8.534099999999999,Atalanta,0.3785,0.23,0.3915
6,a,0.999184,4.39219,0.999184,4.39219,6,12,1,3,0.0939,l,2019-10-06 14:00:00,0,0,1,0,-3.393006,291,14,205,32,2,5,0,6,-9.179782,7.721467,16.901249,5.437568999999999,14.617351,7,15,4.9533,2,3,0,6,-6.615607000000001,6.317982,12.933589,4.034084,10.649691,7,10,3.9164,Atalanta,0.016,0.0459,0.9381,a,2.42758,0.442236,2.42758,0.442236,7,5,4,1,2.7139,w,2019-09-28 18:45:00,1,0,0,3,1.985344,366,25,325,20,4,1,1,13,4.485525,12.07732,7.591790000000001,11.316020000000002,6.830495000000001,15,9,11.3615,3,1,1,10,4.269184999999999,10.37603,6.106840000000001,9.614730000000002,5.345545,12,7,9.8544,Sassuolo,0.8715,0.0994,0.0291
7,a,1.29111,1.7835,0.353509,1.7835,3,11,2,2,1.0151,d,2019-10-20 19:45:00,0,1,0,1,-1.429991,323,23,184,27,2,5,1,7,-10.609773,9.012577,18.684749,5.791077999999999,16.400851,9,17,5.9684,1,3,1,4,-8.510486,6.354302,13.165889,3.132803,11.643289,7,11,3.8443,AC Milan,0.2424,0.2879,0.4697,a,1.20462,1.65802,0.443323,0.896721,4,8,2,1,0.9505,w,2019-10-05 19:45:00,1,0,0,3,-0.4533979999999999,256,19,243,23,3,4,0,9,-1.1290519999999995,9.221399,10.350496,6.937545000000001,8.066597,6,9,9.5184,2,3,0,6,-2.055316,6.656945,8.712306,4.373091,6.428407,5,8,6.1279,Genoa,0.2137,0.3094,0.4769
8,h,1.05543,3.57172,0.294135,2.81042,3,14,1,1,0.1394,d,2019-10-26 14:00:00,0,1,0,1,-2.5162850000000003,299,18,113,22,2,5,2,8,-13.126058,10.068007,22.256469,6.085212999999999,19.211271,10,18,6.1078,1,2,2,5,-9.336182,6.033822000000001,13.671109,2.812327,12.148509,7,8,3.6955,Juventus,0.0222,0.0728,0.905,h,1.85733,0.959285,1.85733,0.959285,13,1,2,1,2.0767,w,2019-10-19 19:45:00,1,0,0,3,0.8980449999999999,168,28,317,27,7,0,1,22,5.715614,13.410528,8.515583,12.649228,6.933614,15,7,14.2658,5,0,0,15,4.824492,9.18989,5.186067,8.42859,3.604098,10,4,9.5083,Bologna,0.6098,0.2473,0.1429
9,a,1.06001,1.64236,1.06001,1.64236,9,6,1,1,0.9109,d,2019-10-30 20:00:00,0,1,0,1,-0.5823500000000001,215,21,260,39,2,5,3,9,-13.708408,11.128017,23.898829,7.145222999999999,20.853631,11,19,7.0187,0,2,3,3,-9.365374,5.199452,14.38853,3.500556,12.86593,5,8,2.3724000000000003,Sampdoria,0.2148,0.2665,0.5187,a,0.507876,2.25191,0.507876,2.25191,5,13,1,2,0.2261999999999999,l,2019-10-27 11:30:00,0,0,1,0,-1.744034,235,25,152,33,1,7,1,4,-5.167755000000001,9.22271,13.629171,8.461416,13.629171,5,18,9.3209,0,4,1,1,-3.659329000000001,3.817374,7.476702999999999,3.817374,7.476702999999999,3,9,4.248200000000001,Bologna,0.0355,0.1197,0.8448
