,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.48495,1.70129,1.48495,1.70129,4,5,2,3,1.2173,l,2019-08-25 19:45:00,0,0,1,0,-0.2163399999999999,283,22,182,30,0,1,0,0,-0.2163399999999999,1.48495,1.70129,1.48495,1.70129,2,3,1.2173,0,1,0,0,-0.2163399999999999,1.48495,1.70129,1.48495,1.70129,2,3,1.2173,Atalanta,0.3139,0.2756,0.4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.850525,3.76497,0.850525,3.76497,6,5,0,1,0.1006,l,2019-08-30 19:45:00,0,0,1,0,-2.914445,217,26,134,26,0,2,0,0,-3.1307849999999995,2.335475,5.46626,2.335475,5.46626,2,4,1.3179,0,2,0,0,-3.1307849999999995,2.335475,5.46626,2.335475,5.46626,2,4,1.3179,Bologna,0.0159,0.0529,0.9312,a,2.11,0.109745,1.3487,0.109745,14,0,1,1,2.8338,d,2019-08-25 19:45:00,0,1,0,1,1.238955,76,17,271,17,0,0,1,1,1.238955,2.11,0.109745,1.3487,0.109745,1,1,2.8338,0,0,1,1,1.238955,2.11,0.109745,1.3487,0.109745,1,1,2.8338,Verona,0.9198,0.0744,0.0058
2,h,1.10476,1.46024,1.10476,0.698943,8,12,2,1,1.0344,w,2019-09-15 13:00:00,1,0,0,3,0.405817,262,12,239,17,1,2,0,3,-2.724968,3.4402349999999995,6.9265,3.4402349999999995,6.165203,4,5,2.3523,1,2,0,3,-2.724968,3.4402349999999995,6.9265,3.4402349999999995,6.165203,4,5,2.3523,Lazio,0.2466,0.2946,0.4588,h,2.07207,1.19504,2.07207,0.433859,8,1,1,1,2.0319,d,2019-09-01 17:00:00,0,1,0,1,1.638211,193,31,191,13,1,0,1,4,2.5545150000000003,3.61582,1.822486,3.61582,1.061305,4,1,4.174899999999999,1,0,1,4,2.5545150000000003,3.61582,1.822486,3.61582,1.061305,4,1,4.174899999999999,Roma,0.5956,0.2451,0.1593
3,a,0.923321,2.01353,0.923321,2.01353,7,9,0,3,0.6223,l,2019-09-22 10:30:00,0,0,1,0,-1.0902089999999998,295,23,271,24,1,3,0,3,-3.815177,4.363555999999999,8.94003,4.363555999999999,8.178733,4,8,2.9746,1,3,0,3,-3.815177,4.363555999999999,8.94003,4.363555999999999,8.178733,4,8,2.9746,Sassuolo,0.1331,0.223,0.6439,a,0.84997,2.96035,0.84997,2.96035,6,7,2,4,0.2541,l,2019-09-15 16:00:00,0,0,1,0,-2.11038,269,18,338,24,1,2,0,3,-0.449416,4.86484,6.07555,4.86484,5.314256,7,7,3.5925,1,2,0,3,-0.449416,4.86484,6.07555,4.86484,5.314256,7,7,3.5925,Roma,0.0493,0.1062,0.8445
4,h,0.924939,1.89438,0.924939,0.371781,5,3,1,3,0.5522,l,2019-09-25 19:00:00,0,0,1,0,0.553158,207,19,251,10,1,4,0,3,-3.262019,5.288494999999999,10.83441,5.288494999999999,8.550514,5,11,3.5268,1,4,0,3,-3.262019,5.288494999999999,10.83441,5.288494999999999,8.550514,5,11,3.5268,Lecce,0.1128,0.2138,0.6734,h,1.37591,3.0665,0.614611,2.3052,6,7,1,4,0.2882,l,2019-09-22 13:00:00,0,0,1,0,-1.690589,395,18,243,20,1,3,0,3,-3.789876,4.034185,8.58536,3.272886,7.062762,3,10,2.4123,1,3,0,3,-3.789876,4.034185,8.58536,3.272886,7.062762,3,10,2.4123,Napoli,0.0506,0.1364,0.813
5,a,0.160279,2.36566,0.160279,2.36566,2,8,0,2,0.1148,l,2019-09-28 13:00:00,0,0,1,0,-2.205381,352,16,190,34,1,5,0,3,-5.4674,5.448773999999999,13.20007,5.448773999999999,10.916174,5,13,3.6416,1,4,0,3,-5.25106,3.963824,11.49878,3.963824,9.214884,3,10,2.4243,Juventus,0.0095,0.0863,0.9042,a,1.88191,0.686153,1.88191,0.686153,11,4,2,1,2.2775,w,2019-09-24 19:00:00,1,0,0,3,1.195757,162,28,403,20,4,0,1,13,2.168469,7.966267999999999,5.857169,7.204967999999999,5.036499,9,5,8.3455,4,0,1,13,2.168469,7.966267999999999,5.857169,7.204967999999999,5.036499,9,5,8.3455,Brescia,0.6909,0.2048,0.1043
6,h,1.30807,0.238942,1.30807,0.238942,4,0,1,0,2.3405,w,2019-10-05 14:00:00,1,0,0,3,1.069128,217,18,157,15,2,5,0,6,-4.398272,6.756843999999999,13.439012,6.756843999999999,11.155116,6,13,5.982099999999999,2,3,0,6,-1.2674869999999996,4.421368999999999,7.972752,4.421368999999999,5.688856,4,9,4.664199999999999,Parma Calcio 1913,0.6977,0.2474,0.0549,h,3.27038,1.69923,2.50908,0.937936,6,7,3,2,2.4809,w,2019-09-30 18:45:00,1,0,0,3,1.571144,204,18,165,15,3,3,0,9,-1.146157,8.092445,8.477299,6.569848,7.716005,8,9,8.308,3,2,0,9,0.4781069999999998,7.828419,6.589009,6.305822000000001,5.827715,8,8,8.076600000000001,Torino,0.7772,0.1493,0.0735
7,a,0.917756,1.14716,0.917756,1.14716,4,3,0,2,1.1417,l,2019-10-20 14:00:00,0,0,1,0,-0.2294039999999999,168,17,250,25,2,6,0,6,-4.627675999999999,7.674599999999999,14.586172,7.674599999999999,12.302276,6,15,7.123799999999999,1,4,0,3,-1.902708,4.234365,7.659671999999999,4.234365,6.137072999999999,2,10,4.7715,Cagliari,0.2762,0.3131,0.4107,a,1.03338,1.4212,0.272078,1.4212,4,15,1,1,1.0714,d,2019-10-06 14:00:00,0,1,0,1,-1.149122,347,8,152,39,3,2,2,11,-3.685786,7.118384,11.56547,6.357081999999999,10.042868,10,7,6.084899999999999,3,0,2,11,-3.581141,5.639581000000001,8.45942,4.878279,8.45942,9,4,4.7708,Roma,0.2538,0.31,0.4362
8,h,0.470344,0.898916,0.470344,0.898916,2,8,1,1,0.8665,d,2019-10-27 14:00:00,0,1,0,1,-0.428572,323,22,165,21,2,6,1,7,-5.056247999999999,8.144943999999999,15.485088,8.144943999999999,13.201192,7,16,7.990299999999999,1,3,1,4,-1.2410709999999998,3.781388,6.545057999999999,3.781388,5.022459,3,8,5.0157,Napoli,0.1676,0.3637,0.4687,h,2.28168,1.73959,2.28168,1.73959,7,4,2,0,1.784,w,2019-10-19 17:00:00,1,0,0,3,0.5420900000000002,207,19,264,30,5,2,1,16,4.921882000000001,15.846428,10.924545,14.323828,9.401946,17,10,14.4802,3,1,1,10,5.307522,10.584458,5.276935,9.823158,4.515636,8,3,10.7263,Verona,0.5099,0.2543,0.2358
9,a,0.335973,1.90677,0.335973,1.90677,1,8,0,1,0.2249,l,2019-10-31 20:00:00,0,0,1,0,-1.570797,249,32,152,24,2,7,1,7,-6.627044999999999,8.480916999999998,17.391858,8.480916999999998,15.107962,7,17,8.2152,1,3,1,4,-3.3650260000000003,3.192422,6.557448,3.192422,6.557448,2,6,4.6884,AC Milan,0.0308,0.1325,0.8367,a,0.545215,1.66688,0.545215,1.66688,6,4,1,2,0.4929,l,2019-10-27 17:00:00,0,0,1,0,-1.121665,194,21,301,31,3,5,1,10,-0.8207259999999996,11.550114,13.308485999999998,9.26626,10.086986,9,13,11.7083,1,3,1,4,-0.5913869999999998,6.42245,8.71274,4.899852999999999,5.49124,7,10,5.576099999999999,Roma,0.0923,0.216,0.6917
