,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.27481,1.36058,1.27481,1.36058,5,2,3,2,1.2491,w,2020-09-26 16:00:00,1,0,0,3,-0.0857699999999999,133,16,303,21,1,0,0,3,-0.0857699999999999,1.27481,1.36058,1.27481,1.36058,3,2,1.2491,1,0,0,3,-0.0857699999999999,1.27481,1.36058,1.27481,1.36058,3,2,1.2491,Sampdoria,0.3094,0.3209,0.3697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,1.2507,4.53244,1.2507,4.53244,2,12,2,5,0.0633,l,2020-09-30 16:00:00,0,0,1,0,-3.28174,427,20,183,25,1,1,0,3,-3.36751,2.52551,5.89302,2.52551,5.89302,5,7,1.3124,1,1,0,3,-3.36751,2.52551,5.89302,2.52551,5.89302,5,7,1.3124,Inter,0.0095,0.0348,0.9557,h,1.69563,2.25332,1.69563,2.25332,17,9,4,3,0.9906,w,2020-09-26 18:45:00,1,0,0,3,-0.55769,193,37,339,14,1,0,0,3,-0.55769,1.69563,2.25332,1.69563,2.25332,4,3,0.9906,1,0,0,3,-0.55769,1.69563,2.25332,1.69563,2.25332,4,3,0.9906,Fiorentina,0.2558,0.2232,0.521
2,h,0.8907,1.82239,0.8907,1.82239,6,5,1,0,0.6577,w,2020-10-04 13:00:00,1,0,0,3,-0.93169,224,25,146,24,2,1,0,6,-4.2992,3.4162099999999995,7.71541,3.4162099999999995,7.71541,6,7,1.9701,2,1,0,6,-4.2992,3.4162099999999995,7.71541,3.4162099999999995,7.71541,6,7,1.9701,Bologna,0.1397,0.2386,0.6217,h,2.04715,1.2448,2.04715,1.2448,7,3,4,1,1.9584,w,2020-09-28 18:45:00,1,0,0,3,0.8023499999999999,206,28,296,28,1,1,0,3,-0.5532370000000002,2.8726329999999995,4.18704,2.8726329999999995,3.42587,4,3,2.1834,1,1,0,3,-0.5532370000000002,2.8726329999999995,4.18704,2.8726329999999995,3.42587,4,3,2.1834,Parma Calcio 1913,0.5758,0.231,0.1932
3,a,1.55972,4.18819,0.650065,3.42693,4,13,2,5,0.1279,l,2020-10-18 18:45:00,0,0,1,0,-2.776865,285,22,263,35,2,2,0,6,-7.076065,4.97593,11.9036,4.066274999999999,11.14234,8,12,2.098,2,2,0,6,-7.076065,4.97593,11.9036,4.066274999999999,11.14234,8,12,2.098,Roma,0.0202,0.0673,0.9125,a,0.762958,1.66689,0.762958,1.66689,4,2,1,0,0.6487,w,2020-10-03 18:45:00,1,0,0,3,-0.903932,251,31,290,18,1,0,2,5,0.875775,5.360718,4.484943,4.599418,3.723643,3,2,4.7279,1,0,2,5,0.875775,5.360718,4.484943,4.599418,3.723643,3,2,4.7279,Udinese,0.1373,0.2368,0.6259
4,h,0.650046,2.26936,0.650046,2.26936,4,11,1,2,0.3498,l,2020-10-25 14:00:00,0,0,1,0,-1.6193139999999997,346,20,164,26,2,3,0,6,-8.695378999999999,5.625976,14.17296,4.716320999999999,13.4117,9,14,2.4478,2,3,0,6,-8.695378999999999,5.625976,14.17296,4.716320999999999,13.4117,9,14,2.4478,Napoli,0.0633,0.1599,0.7768,a,2.26936,0.650046,2.26936,0.650046,11,4,2,1,2.4903,w,2020-10-25 14:00:00,1,0,0,3,1.6193139999999997,164,26,346,20,4,0,0,12,5.60615,7.32318,1.7170299999999998,7.32318,1.7170299999999998,14,2,9.7322,4,0,0,12,5.60615,7.32318,1.7170299999999998,7.32318,1.7170299999999998,14,2,9.7322,Benevento,0.7768,0.1599,0.0633
5,a,1.60386,2.51742,1.60386,2.51742,5,8,1,3,0.7637,l,2020-11-02 19:45:00,0,0,1,0,-0.91356,202,33,224,32,2,4,0,6,-9.608939,7.229836,16.69038,6.320180999999999,15.92912,10,17,3.2115,1,4,0,3,-9.523169,5.955026,15.329799999999995,5.045371,14.56854,7,15,1.9624,Verona,0.1857,0.2066,0.6077,a,0.599908,2.17723,0.599908,2.17723,7,14,1,1,0.3673,d,2020-10-25 19:45:00,0,1,0,1,-1.577322,317,26,176,21,1,1,3,6,-3.341373,4.379737,7.721110000000001,4.379737,7.721110000000001,2,2,4.483,1,1,3,6,-3.341373,4.379737,7.721110000000001,4.379737,7.721110000000001,2,2,4.483,Juventus,0.067,0.1663,0.7667
6,h,0.251291,1.45194,0.251291,1.45194,4,4,0,3,0.38,l,2020-11-07 17:00:00,0,0,1,0,-1.200649,342,24,211,27,2,5,0,6,-10.809588,7.481127,18.14232,6.571471999999999,17.381059999999998,10,20,3.5915,1,4,0,3,-7.442078,4.955617,12.2493,4.045962,11.48804,5,13,2.2791,Spezia,0.0528,0.2216,0.7256,h,0.546346,2.88171,0.546346,2.12041,4,11,1,4,0.1237,l,2020-11-01 14:00:00,0,0,1,0,-1.574064,392,26,253,22,1,3,2,5,-7.824029,4.693491,14.80142,4.693491,12.51752,8,15,2.6112999999999995,1,2,2,5,-7.226789,3.402331,12.15172,3.402331,10.62912,7,11,2.0776,Juventus,0.0198,0.0643,0.9159
7,a,0.565303,1.21172,0.565303,1.21172,5,8,1,0,0.7211000000000001,w,2020-11-22 11:30:00,1,0,0,3,-0.6464169999999999,306,29,170,35,3,5,0,9,-11.456005,8.046429999999999,19.35404,7.136774999999999,18.59278,11,20,4.3126,1,4,0,3,-7.156805,4.63022,11.63863,3.720565000000001,10.87737,5,13,2.3425,Fiorentina,0.1423,0.2942,0.5635,a,0.814627,0.131692,0.814627,0.131692,3,3,0,0,2.0498000000000003,d,2020-11-07 19:45:00,0,1,0,1,0.682935,259,31,429,26,2,3,2,8,-0.99345,10.111597,11.866307,10.111597,11.105047,10,12,9.5973,1,2,2,5,-3.287882,5.503657,9.552799,5.503657,8.791539,6,8,5.1914,Parma Calcio 1913,0.5521,0.3935,0.0544
8,h,0.439998,1.64625,0.439998,1.64625,3,16,1,1,0.4369,d,2020-11-28 17:00:00,0,1,0,1,-1.206252,357,12,196,26,3,5,1,10,-12.662257,8.486427999999998,21.00029,7.576772999999999,20.23903,12,21,4.749499999999999,1,3,1,4,-5.586192,3.510498000000001,9.09669,3.510498000000001,9.09669,4,9,2.6515,Juventus,0.0728,0.2185,0.7087,a,1.64625,0.439998,1.64625,0.439998,16,3,1,1,2.3446,d,2020-11-28 17:00:00,0,1,0,1,1.206252,196,26,357,12,3,0,5,14,8.5938326,16.16029,7.566453399999999,14.63769,6.043857400000001,15,7,16.8267,2,0,3,9,7.017349600000001,10.52519,2.7465404,9.76389,2.7465404,9,4,12.043,Benevento,0.7087,0.2185,0.0728
9,a,0.340508,0.501198,0.340508,0.501198,3,5,0,0,1.0863,d,2020-12-06 14:00:00,0,1,0,1,-0.16069,327,12,248,24,3,5,2,11,-12.822947,8.826935999999998,21.501488,7.917280999999999,20.740227999999995,12,21,5.835799999999999,1,2,2,5,-4.127568,3.20096,7.328528,3.20096,7.328528,3,7,3.388,Parma Calcio 1913,0.198,0.4923,0.3097,a,1.40499,1.58372,1.40499,1.58372,6,3,2,1,1.1981000000000002,w,2020-11-30 19:45:00,1,0,0,3,-0.17873,259,30,244,28,2,4,3,9,-6.7187588,9.6049402,15.562399,8.8436402,15.562399,10,17,8.421800000000001,1,1,3,6,-4.3860778,5.9995952,9.624373,5.2382952000000005,9.624373,6,8,4.7483,Genoa,0.3052,0.2825,0.4123
10,a,2.09826,1.08927,2.09826,0.328134,10,5,0,1,2.1288,l,2020-12-11 19:45:00,0,0,1,0,1.770126,260,27,235,18,3,6,2,11,-11.052821000000002,10.925195999999998,22.590758,10.015541,21.068361999999997,12,22,7.964599999999999,1,2,2,5,-1.4438820000000003,3.69536,5.900378000000001,3.69536,5.139242000000001,2,5,4.7531,Sassuolo,0.6285,0.2433,0.1282,a,0.209882,1.27993,0.209882,1.27993,6,3,0,0,0.3651,d,2020-12-06 14:00:00,0,1,0,1,-1.070048,266,25,326,11,5,1,4,19,-0.7732695000000004,14.5427564,13.793423900000002,12.258857400000002,13.032126900000002,20,12,13.2319,2,1,2,8,-4.0886265,3.0813164,6.4086439,2.3200174,6.4086439,4,3,3.7078,Roma,0.042,0.2391,0.7189
11,h,1.43093,0.416738,1.43093,0.416738,5,5,1,1,2.2789,d,2020-12-15 19:45:00,0,1,0,1,1.014192,313,10,230,33,3,6,3,12,-10.038629000000002,12.356125999999998,23.007496,11.446471,21.485099999999992,13,23,10.2435,1,1,3,6,0.7709589999999995,4.874999,4.865175999999999,4.874999,4.10404,3,3,6.652,Lazio,0.6793,0.241,0.0797,h,0.647828,0.955041,0.647828,0.955041,8,3,1,2,1.0097,l,2020-12-12 19:45:00,0,0,1,0,-0.307213,203,27,320,28,5,4,2,17,-2.3397050000000004,13.829683000000005,15.40805,12.307085,14.64679,17,19,13.7628,2,2,1,7,-1.39487,5.184184,5.817758,4.422888,5.817758,7,7,6.141599999999999,Verona,0.2207,0.3476,0.4317
12,h,1.55436,0.245022,0.793146,0.245022,6,3,2,0,2.5631000000000004,w,2020-12-20 14:00:00,1,0,0,3,0.5481240000000001,259,18,171,31,4,6,3,15,-9.490505000000002,13.910486,23.252517999999995,12.239617,21.73012199999999,15,23,12.8066,1,1,3,6,1.9655,5.864056,3.898478,5.102842,3.137342,4,3,8.494,Genoa,0.7969,0.1724,0.0307,h,1.22979,2.05417,1.22979,2.05417,3,8,2,2,0.7193999999999999,d,2020-12-16 19:45:00,0,1,0,1,-0.8243800000000001,295,23,221,29,1,7,4,7,-8.4047452,11.3163988,21.243664,11.3163988,19.721144,12,24,11.2532,0,3,2,2,-3.3368230000000003,5.405913999999999,10.265256999999998,5.405913999999999,8.742737000000002,5,9,4.3781,AC Milan,0.1609,0.2367,0.6024
13,a,0.338064,2.4683,0.338064,2.4683,3,8,2,0,0.1397,w,2020-12-23 19:45:00,1,0,0,3,-2.130236,250,15,177,43,5,6,3,18,-11.620741000000002,14.248549999999998,25.720817999999998,12.577680999999998,24.19842199999999,17,23,12.9463,2,1,2,8,1.041516,5.762122,4.720528,5.000908,3.959392,5,2,8.1968,Udinese,0.0184,0.0845,0.8971,h,2.4683,0.338064,2.4683,0.338064,8,3,0,2,2.7758,l,2020-12-23 19:45:00,0,0,1,0,2.130236,177,43,250,15,4,6,3,15,9.1243395,19.4557279,10.3313864,18.6944299,9.5700904,14,17,24.3513,2,1,2,8,5.278712,7.911309999999999,3.393894,7.911309999999999,2.632598,7,6,10.32,Benevento,0.8971,0.0845,0.0184
14,h,2.34965,1.53692,1.58835,0.77566,13,5,0,2,1.9915,l,2021-01-03 17:00:00,0,0,1,0,0.8126899999999999,196,20,277,22,5,7,3,18,-10.808051000000004,16.5982,27.257737999999996,14.166030999999998,24.97408199999999,17,25,14.9378,2,2,1,7,2.014896,7.771264,5.7562500000000005,6.24875,4.233854,5,4,9.102,AC Milan,0.5825,0.244,0.1735,h,1.88103,1.45797,1.11973,0.685695,8,7,3,2,1.6974,w,2020-12-23 19:45:00,1,0,0,3,0.4340349999999998,302,21,167,32,10,0,4,34,10.47539,32.14586,16.969283,25.149840000000005,14.674449999999998,32,16,29.248000000000005,3,0,2,11,3.794334,9.86958,5.324921,8.34698,4.552646,11,8,10.2738,Lazio,0.4692,0.2898,0.241
15,a,1.23401,1.16751,1.23401,1.16751,6,9,2,1,1.3852,w,2021-01-06 11:30:00,1,0,0,3,0.0665,302,25,173,14,6,7,3,21,-10.741551000000005,17.83221,28.425247999999996,15.400040999999998,26.14159199999999,19,26,16.323,3,1,1,10,0.3112699999999999,6.907014,5.834490000000001,5.384500000000001,5.073230000000001,7,4,8.358400000000001,Cagliari,0.3597,0.3061,0.3342,h,0.860583,5.2489,0.860583,4.4876,3,25,1,4,0.0137,l,2021-01-03 14:00:00,0,0,1,0,-3.627017,346,18,260,20,3,7,5,14,-15.7531826,17.341573399999998,33.856059,15.8189744,31.572157000000004,22,31,12.400799999999998,0,3,2,2,-9.101607,4.561666,13.663273999999998,3.800367,12.901974,5,11,2.1869,Napoli,0.0014,0.0095,0.9891
