,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,a,1.32278,2.23283,1.32278,2.23283,4,4,1,4,0.7501,l,2020-09-20 13:00:00,0,0,1,0,-0.9100499999999998,311,33,286,32,0,1,0,0,-0.9100499999999998,1.32278,2.23283,1.32278,2.23283,1,4,0.7501,0,1,0,0,-0.9100499999999998,1.32278,2.23283,1.32278,2.23283,1,4,0.7501,Genoa,0.179,0.2131,0.6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,h,0.107055,2.43073,0.107055,1.66943,5,6,0,2,0.0487999999999999,l,2020-09-27 16:00:00,0,0,1,0,-1.562375,272,29,253,26,0,2,0,0,-2.472425,1.429835,4.66356,1.429835,3.90226,1,6,0.7988999999999999,0,2,0,0,-2.472425,1.429835,4.66356,1.429835,3.90226,1,6,0.7988999999999999,AC Milan,0.0028,0.0404,0.9568,h,2.94224,0.825483,2.18107,0.825483,6,3,2,0,2.6748,w,2020-09-21 18:45:00,1,0,0,3,1.355587,213,23,297,22,1,0,0,3,1.355587,2.94224,0.825483,2.18107,0.825483,2,0,2.6748,1,0,0,3,1.355587,2.94224,0.825483,2.18107,0.825483,2,0,2.6748,Bologna,0.8582,0.1002,0.0416
2,a,1.5945,1.85563,0.833203,1.09433,13,4,1,4,1.1088,l,2020-10-03 13:00:00,0,0,1,0,-0.261127,302,31,217,26,0,3,0,0,-2.733552,3.024335,6.51919,2.263038,4.99659,2,10,1.9077,0,3,0,0,-2.733552,3.024335,6.51919,2.263038,4.99659,2,10,1.9077,Sassuolo,0.2711,0.2955,0.4334,a,2.6497,1.29116,1.8884,1.29116,16,6,4,1,2.2827,w,2020-09-27 10:30:00,1,0,0,3,0.59724,196,27,447,16,1,0,1,4,1.6660100000000002,4.6782,2.25089,3.9169,2.25089,5,2,4.4083000000000006,1,0,1,4,1.6660100000000002,4.6782,2.25089,3.9169,2.25089,5,2,4.4083000000000006,Spezia,0.6997,0.1836,0.1167
3,h,1.39522,1.58494,0.633924,1.58494,7,5,1,1,1.1384,d,2020-10-17 18:45:00,0,1,0,1,-0.951016,337,28,246,22,0,3,1,1,-3.684568,4.419555,8.10413,2.896962,6.581530000000001,3,11,3.0461,0,3,1,1,-3.684568,4.419555,8.10413,2.896962,6.581530000000001,3,11,3.0461,Juventus,0.2584,0.3632,0.3784,a,1.58494,1.39522,1.58494,0.633924,5,7,1,1,1.4984,d,2020-10-17 18:45:00,0,1,0,1,0.951016,246,22,337,28,1,0,2,5,1.5764829999999996,5.6351,4.819913,4.873799999999999,3.297317,6,3,4.7837,1,0,2,5,1.5764829999999996,5.6351,4.819913,4.873799999999999,3.297317,6,3,4.7837,Crotone,0.3784,0.3632,0.2584
4,a,1.40714,2.08322,1.40714,2.08322,6,9,2,4,0.8804000000000001,l,2020-10-25 11:30:00,0,0,1,0,-0.6760799999999998,209,16,373,27,0,4,1,1,-4.360647999999999,5.826695,10.18735,4.304102,8.664750000000002,5,15,3.9265,0,4,1,1,-4.360647999999999,5.826695,10.18735,4.304102,8.664750000000002,5,15,3.9265,Cagliari,0.2141,0.2381,0.5478,a,1.79136,1.24172,1.79136,0.480418,3,4,3,2,1.8918,w,2020-10-18 13:00:00,1,0,0,3,1.310942,329,21,203,25,1,2,1,4,-3.7885490000000006,4.322309,8.872160000000001,4.322309,8.110858,6,10,3.1415999999999995,1,2,1,4,-3.7885490000000006,4.322309,8.872160000000001,4.322309,8.110858,6,10,3.1415999999999995,Torino,0.5297,0.3027,0.1676
5,h,0.524608,3.49595,0.524608,3.49595,0,16,1,2,0.0718999999999999,l,2020-10-31 14:00:00,0,0,1,0,-2.971342,287,21,257,49,0,5,1,1,-7.331989999999999,6.351303,13.6833,4.82871,12.160700000000002,6,17,3.9984,0,4,1,1,-6.421939999999999,5.028523,11.45047,3.50593,9.92787,5,13,3.2483,Atalanta,0.01,0.0419,0.9481,h,2.09742,2.49916,1.33612,1.7379,12,3,1,3,1.0537999999999998,l,2020-10-24 13:00:00,0,0,1,0,-0.40178,189,26,304,30,3,2,0,9,3.8087020000000007,10.713135,6.904393,9.951835,6.143133,15,12,8.7752,3,2,0,9,3.8087020000000007,10.713135,6.904393,9.951835,6.143133,15,12,8.7752,Sampdoria,0.2696,0.245,0.4854
6,a,0.300792,0.235946,0.300792,0.235946,2,2,0,0,1.263,d,2020-11-08 14:00:00,0,1,0,1,0.064846,253,28,283,30,0,5,2,2,-7.267143999999999,6.652095,13.919246,5.1295020000000005,12.396646000000002,6,17,5.2614,0,3,2,2,-4.794719,5.22226,9.255686,3.699667,8.494386,5,11,4.4625,Torino,0.2118,0.6276,0.1606,a,0.444269,1.18572,0.444269,1.18572,3,9,2,1,0.701,w,2020-11-04 18:00:00,1,0,0,3,-0.7414510000000001,293,28,292,37,1,4,1,4,-4.378989000000001,7.631751,11.249480000000002,6.109189000000001,10.488178,12,16,5.7064,1,3,1,4,-2.642247,7.013873,8.894860000000001,5.4913110000000005,8.133558,12,15,5.458199999999999,Genoa,0.1306,0.3092,0.5602
7,h,0.432377,1.79345,0.432377,1.79345,7,4,0,2,0.3994,l,2020-11-21 14:00:00,0,0,1,0,-1.361073,191,28,216,20,0,6,2,2,-8.628217,7.084472,15.712696,5.561879,14.190096000000002,6,19,5.6608,0,3,2,2,-5.894665,4.060137,9.193506,3.2988410000000004,9.193506,4,9,3.7531,Lazio,0.0684,0.1942,0.7374,h,1.07713,1.27201,1.07713,1.27201,7,6,1,1,1.1661,d,2020-11-08 11:30:00,0,1,0,1,-0.1948800000000001,318,34,275,17,3,2,2,11,-1.1397150000000005,9.722629,10.862302,8.961327,10.101042,11,13,8.7873,2,1,2,8,-2.1253050000000004,5.924709,8.049972,5.163406999999999,7.288711999999999,8,9,5.2311000000000005,Juventus,0.29,0.2961,0.4139
8,a,0.401219,1.80058,0.401219,1.80058,4,7,0,1,0.2244,l,2020-11-29 14:00:00,0,0,1,0,-1.399361,191,35,212,28,0,7,2,2,-10.027578,7.485691,17.513275999999998,5.9630980000000005,15.990676000000002,6,20,5.8852,0,4,1,1,-6.34301,3.066136,9.409146,3.066136,9.409146,3,9,2.8391,Bologna,0.0272,0.1428,0.83,a,1.73409,0.817944,1.73409,0.817944,4,2,2,1,2.1283,w,2020-11-22 14:00:00,1,0,0,3,0.916146,182,22,272,28,3,5,0,9,-0.639173,11.834451,13.234794,11.834451,12.473624,13,14,10.7303,2,3,0,6,-1.0176259999999997,7.139428,8.157053999999999,7.139428,8.157053999999999,9,10,6.443199999999999,Sampdoria,0.6301,0.238,0.1319
9,h,0.508882,1.93801,0.508882,1.93801,0,7,0,4,0.3538,l,2020-12-06 17:00:00,0,0,1,0,-1.429128,455,17,312,30,0,8,2,2,-11.456706,7.994573,19.451286,6.47198,17.928686000000003,6,24,6.239,0,4,1,1,-7.096057999999999,2.167878,9.263936,2.167878,9.263936,1,9,2.3125,Napoli,0.0596,0.175,0.7654,a,1.93801,0.508882,1.93801,0.508882,7,0,4,0,2.4712,w,2020-12-06 17:00:00,1,0,0,3,1.429128,312,30,455,17,7,2,0,21,10.884396,16.75426,6.631163,16.75426,5.869863999999999,24,7,20.1078,3,2,0,9,5.278246000000001,9.43108,4.914133,9.43108,4.152834,10,5,10.3756,Crotone,0.7654,0.175,0.0596
