,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.35462,0.617878,2.35462,0.617878,9,2,1,0,2.6197,w,2020-09-19 16:00:00,1,0,0,3,1.736742,322,34,192,28,1,0,0,3,1.736742,2.35462,0.617878,2.35462,0.617878,1,0,2.6197,1,0,0,3,1.736742,2.35462,0.617878,2.35462,0.617878,1,0,2.6197,Torino,0.8292,0.1321,0.0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.25332,1.69563,2.25332,1.69563,9,17,3,4,1.7862000000000002,l,2020-09-26 18:45:00,0,0,1,0,0.55769,339,14,193,37,1,1,0,3,2.294432,4.60794,2.313508,4.60794,2.313508,4,4,4.4059,1,1,0,3,2.294432,4.60794,2.313508,4.60794,2.313508,4,4,4.4059,Inter,0.521,0.2232,0.2558,h,1.69563,2.25332,1.69563,2.25332,17,9,4,3,0.9906,w,2020-09-26 18:45:00,1,0,0,3,-0.55769,193,37,339,14,1,0,0,3,-0.55769,1.69563,2.25332,1.69563,2.25332,4,3,0.9906,1,0,0,3,-0.55769,1.69563,2.25332,1.69563,2.25332,4,3,0.9906,Fiorentina,0.2558,0.2232,0.521
2,h,2.02799,2.18148,2.02799,1.42022,5,6,1,2,1.2767,l,2020-10-02 18:45:00,0,0,1,0,0.6077699999999999,156,19,287,23,1,2,0,3,2.902202,6.63593,4.494988,6.63593,3.733728,5,6,5.6826,1,2,0,3,2.902202,6.63593,4.494988,6.63593,3.733728,5,6,5.6826,Sampdoria,0.3459,0.239,0.4151,h,1.36058,1.27481,1.36058,1.27481,2,5,2,3,1.43,l,2020-09-26 16:00:00,0,0,1,0,0.0857699999999999,303,21,133,16,0,2,0,0,-1.4505869999999998,1.967103,3.41769,1.967103,3.41769,2,6,1.7277,0,2,0,0,-1.4505869999999998,1.967103,3.41769,1.967103,3.41769,2,6,1.7277,Benevento,0.3697,0.3209,0.3094
3,a,1.08362,0.925627,1.08362,0.925627,6,2,2,2,1.4691999999999998,d,2020-10-18 13:00:00,0,1,0,1,0.157993,251,31,289,37,1,2,1,4,3.060195,7.71955,5.420615,7.71955,4.659355,7,8,7.1518,1,2,1,4,3.060195,7.71955,5.420615,7.71955,4.659355,7,8,7.1518,Spezia,0.3839,0.3175,0.2986,a,0.152433,2.64977,0.152433,2.64977,1,11,0,3,0.0363,l,2020-10-04 16:00:00,0,0,1,0,-2.4973370000000004,366,25,196,31,1,2,0,3,-4.148208,2.256442,7.1659500000000005,2.256442,6.40465,3,7,1.1279,1,2,0,3,-4.148208,2.256442,7.1659500000000005,2.256442,6.40465,3,7,1.1279,AC Milan,0.0022,0.0297,0.9681
4,h,1.20434,2.6861,1.20434,2.6861,5,8,3,2,0.3608,w,2020-10-25 17:00:00,1,0,0,3,-1.4817600000000002,248,20,192,30,2,2,1,7,1.578435,8.92389,8.106715,8.92389,7.345454999999999,10,10,7.5126,2,2,1,7,1.578435,8.92389,8.106715,8.92389,7.345454999999999,10,10,7.5126,Udinese,0.0645,0.1673,0.7682,h,1.71631,0.96514,1.71631,0.96514,9,3,3,2,1.9542,w,2020-10-18 16:00:00,1,0,0,3,0.75117,329,29,196,18,1,3,0,3,3.502453,7.39724,3.894787,7.39724,3.894787,3,6,8.2335,1,3,0,3,3.502453,7.39724,3.894787,7.39724,3.894787,3,6,8.2335,Parma Calcio 1913,0.566,0.2562,0.1778
5,a,0.37308,3.6279,0.37308,3.6279,3,9,0,2,0.0349,l,2020-11-01 17:00:00,0,0,1,0,-3.25482,201,28,339,35,2,3,1,7,-1.676385,9.29697,11.734615,9.29697,10.973355,10,12,7.5475,1,3,1,4,-3.413127,6.942349999999999,11.116737,6.942349999999999,10.355477,9,12,4.9278,Roma,0.0039,0.0232,0.9729,a,2.35903,2.81817,1.59777,2.05687,7,11,3,3,1.0807,d,2020-10-26 19:45:00,0,1,0,1,-0.4591,340,20,255,19,2,0,3,9,3.19354,11.907938,8.862833,9.624118,6.430578,11,7,8.6134,2,0,3,9,3.19354,11.907938,8.862833,9.624118,6.430578,11,7,8.6134,AC Milan,0.2814,0.2365,0.4821
6,a,0.814627,0.131692,0.814627,0.131692,3,3,0,0,2.0498000000000003,d,2020-11-07 19:45:00,0,1,0,1,0.682935,259,31,429,26,2,3,2,8,-0.99345,10.111597,11.866307,10.111597,11.105047,10,12,9.5973,1,2,2,5,-3.287882,5.503657,9.552799,5.503657,8.791539,6,8,5.1914,Parma Calcio 1913,0.5521,0.3935,0.0544,a,0.760875,3.0518,0.760875,3.0518,2,10,2,2,0.185,d,2020-10-31 17:00:00,0,1,0,1,-2.290925,253,9,145,36,1,3,2,5,-2.679842,8.03636,9.954902,7.27506,9.954902,8,13,6.6506,1,2,2,5,-1.300037,7.875375,8.414112,7.114075,8.414112,8,11,6.4895,Inter,0.0309,0.0923,0.8768
7,h,1.21172,0.565303,1.21172,0.565303,8,5,0,1,1.9847,l,2020-11-22 11:30:00,0,0,1,0,0.6464169999999999,170,35,306,29,2,4,2,8,-0.3470330000000001,11.323317,12.43161,11.323317,11.67035,10,13,11.582,1,2,2,5,-3.2492350000000005,4.687386999999999,7.936622000000001,4.687386999999999,7.936622000000001,5,7,5.8994,Benevento,0.5635,0.2942,0.1423,h,0.251291,1.45194,0.251291,1.45194,4,4,0,3,0.38,l,2020-11-07 17:00:00,0,0,1,0,-1.200649,342,24,211,27,2,5,0,6,-10.809588,7.481127,18.14232,6.571471999999999,17.381059999999998,10,20,3.5915,1,4,0,3,-7.442078,4.955617,12.2493,4.045962,11.48804,5,13,2.2791,Spezia,0.0528,0.2216,0.7256
8,a,0.602734,2.85768,0.602734,1.33517,4,7,0,2,0.1239,l,2020-11-29 14:00:00,0,0,1,0,-0.732436,190,24,267,28,2,5,2,8,-1.079469,11.926051,15.28929,11.926051,13.00552,10,15,11.705900000000002,1,3,1,4,-4.139664000000001,4.206500999999999,9.868675,4.206500999999999,8.346165000000001,3,7,4.554100000000001,AC Milan,0.0185,0.0684,0.9131,a,1.83664,1.8847,1.83664,1.8847,9,14,3,1,1.3401999999999998,w,2020-11-22 19:45:00,1,0,0,3,-0.0480599999999999,325,33,205,24,6,0,2,20,5.948620000000002,19.4186,11.041628,15.46769,9.51907,19,8,16.166500000000003,3,0,2,11,0.5333209999999999,11.39586,9.956657000000002,8.96742,8.434099,12,8,7.646899999999999,Napoli,0.3606,0.2584,0.381
9,h,2.79212,1.37691,2.79212,1.37691,9,4,1,1,2.3721,d,2020-12-07 19:45:00,0,1,0,1,1.41521,222,15,322,32,2,5,3,9,0.335741,14.718171,16.6662,14.718171,14.38243,11,16,14.078,0,3,2,2,-1.2426939999999995,5.794281,8.559485,5.794281,7.036975,1,6,6.5654,Genoa,0.7336,0.1713,0.0951,h,1.58372,1.40499,1.58372,1.40499,3,6,1,2,1.5194,l,2020-11-30 19:45:00,0,0,1,0,0.17873,244,28,259,30,1,6,2,5,-4.5711432,8.2253208,12.796464,8.2253208,12.796464,8,18,10.045,0,4,1,1,-1.2810479999999995,5.331736,6.612784,5.331736,6.612784,4,9,6.9028,Parma Calcio 1913,0.4123,0.2825,0.3052
