,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,0.160985,1.54079,0.160985,1.54079,7,7,0,2,0.1611,l,2020-09-20 10:30:00,0,0,1,0,-1.3798050000000002,369,19,280,23,0,1,0,0,-1.3798050000000002,0.160985,1.54079,0.160985,1.54079,0,2,0.1611,0,1,0,0,-1.3798050000000002,0.160985,1.54079,0.160985,1.54079,0,2,0.1611,Napoli,0.013,0.1221,0.8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,1.2448,2.04715,1.2448,2.04715,3,7,1,4,0.8106,l,2020-09-28 18:45:00,0,0,1,0,-0.8023499999999999,296,28,206,28,0,2,0,0,-2.182155,1.4057849999999998,3.58794,1.4057849999999998,3.58794,1,6,0.9717,0,2,0,0,-2.182155,1.4057849999999998,3.58794,1.4057849999999998,3.58794,1,6,0.9717,Bologna,0.1932,0.231,0.5758,a,0.825483,2.94224,0.825483,2.18107,3,6,0,2,0.2249999999999999,l,2020-09-21 18:45:00,0,0,1,0,-1.355587,297,22,213,23,0,1,0,0,-1.355587,0.825483,2.94224,0.825483,2.18107,0,2,0.2249999999999999,0,1,0,0,-1.355587,0.825483,2.94224,0.825483,2.18107,0,2,0.2249999999999999,AC Milan,0.0416,0.1002,0.8582
2,h,1.23442,0.633776,1.23442,0.633776,3,10,1,0,1.9122,w,2020-10-04 13:00:00,1,0,0,3,0.6006440000000001,292,12,150,22,1,2,0,3,-1.581511,2.640205,4.221716,2.640205,4.221716,2,6,2.8839,1,2,0,3,-1.581511,2.640205,4.221716,2.640205,4.221716,2,6,2.8839,Verona,0.535,0.3072,0.1578,h,1.35384,2.14756,1.35384,2.14756,5,5,1,0,0.8192999999999999,w,2020-09-27 13:00:00,1,0,0,3,-0.79372,209,36,197,27,1,0,1,4,-1.662537,2.264613,3.92715,2.264613,3.92715,1,0,1.5389,1,0,1,4,-1.662537,2.264613,3.92715,2.264613,3.92715,1,0,1.5389,Udinese,0.197,0.2283,0.5747
3,a,0.96514,1.71631,0.96514,1.71631,3,9,2,3,0.7896000000000001,l,2020-10-18 16:00:00,0,0,1,0,-0.75117,196,18,329,29,1,3,0,3,-2.332681,3.605345,5.938026,3.605345,5.938026,4,9,3.6735,1,3,0,3,-2.332681,3.605345,5.938026,3.605345,5.938026,4,9,3.6735,Udinese,0.1778,0.2562,0.566,h,1.66689,0.762958,1.66689,0.762958,2,4,0,1,2.1145,l,2020-10-03 18:45:00,0,0,1,0,0.903932,290,18,251,31,0,3,0,0,2.751283,5.68093,2.929647,5.68093,2.929647,0,4,6.279299999999999,0,3,0,0,2.751283,5.68093,2.929647,5.68093,2.929647,0,4,6.279299999999999,Roma,0.6259,0.2368,0.1373
4,h,3.67014,0.965076,2.90884,0.965076,6,6,2,2,2.7921,d,2020-10-25 14:00:00,0,1,0,1,1.943764,284,22,221,25,1,3,1,4,-0.3889169999999999,7.275485,6.903102,6.514185,6.903102,6,11,6.4656,1,3,1,4,-0.3889169999999999,7.275485,6.903102,6.514185,6.903102,6,11,6.4656,Spezia,0.9102,0.0615,0.0283,h,0.925627,1.08362,0.925627,1.08362,2,6,2,2,1.2132999999999998,d,2020-10-18 13:00:00,0,1,0,1,-0.157993,289,37,251,31,1,2,1,4,-4.306201000000001,3.182069,8.24957,3.182069,7.48827,5,9,2.3412,1,2,1,4,-4.306201000000001,3.182069,8.24957,3.182069,7.48827,5,9,2.3412,Fiorentina,0.2986,0.3175,0.3839
5,a,0.760875,3.0518,0.760875,3.0518,2,10,2,2,0.185,d,2020-10-31 17:00:00,0,1,0,1,-2.290925,253,9,145,36,1,3,2,5,-2.679842,8.03636,9.954902,7.27506,9.954902,8,13,6.6506,1,2,2,5,-1.300037,7.875375,8.414112,7.114075,8.414112,8,11,6.4895,Inter,0.0309,0.0923,0.8768,a,1.63844,0.0128508,1.63844,0.0128508,8,0,2,0,2.7624,w,2020-10-24 16:00:00,1,0,0,3,1.6255891999999998,284,42,366,22,3,1,1,10,5.2518612000000005,11.132432,6.7864108,11.132432,5.8805708,13,8,9.2937,3,1,1,10,5.2518612000000005,11.132432,6.7864108,11.132432,5.8805708,13,8,9.2937,Genoa,0.8821,0.1161,0.0018
6,h,0.131692,0.814627,0.131692,0.814627,3,3,0,0,0.5567,d,2020-11-07 19:45:00,0,1,0,1,-0.682935,429,26,259,31,1,3,3,6,-3.362777,8.168052,10.769529,7.406752,10.769529,8,13,7.2073,1,1,3,6,-1.180622,6.7622670000000005,7.181589,6.000967,7.181589,7,7,6.2356,Fiorentina,0.0544,0.3935,0.5521,a,0.37308,3.6279,0.37308,3.6279,3,9,0,2,0.0349,l,2020-11-01 17:00:00,0,0,1,0,-3.25482,201,28,339,35,2,3,1,7,-1.676385,9.29697,11.734615,9.29697,10.973355,10,12,7.5475,1,3,1,4,-3.413127,6.942349999999999,11.116737,6.942349999999999,10.355477,9,12,4.9278,Roma,0.0039,0.0232,0.9729
7,a,0.0318982,3.20915,0.0318982,3.20915,1,20,0,3,0.0164,l,2020-11-22 14:00:00,0,0,1,0,-3.1772518,438,16,371,30,1,4,3,6,-6.5400288,8.1999502,13.978679,7.4386502,13.978679,8,16,7.2237,0,2,3,3,-4.9585178,5.5597452,9.756963,4.7984452,9.756963,6,10,4.3398,Roma,0.0006,0.0146,0.9848,a,3.49225,0.64745,3.49225,0.64745,10,5,3,1,2.8449,w,2020-11-08 14:00:00,1,0,0,3,2.8448,345,33,308,17,4,0,3,15,9.29316,19.028088,9.883363,16.744268,7.451108,16,8,14.400200000000002,4,0,1,13,7.513453,14.430328,7.065309999999999,12.907808,5.394355,14,6,10.321000000000002,Genoa,0.9302,0.0543,0.0155
8,a,1.40499,1.58372,1.40499,1.58372,6,3,2,1,1.1981000000000002,w,2020-11-30 19:45:00,1,0,0,3,-0.17873,259,30,244,28,2,4,3,9,-6.7187588,9.6049402,15.562399,8.8436402,15.562399,10,17,8.421800000000001,1,1,3,6,-4.3860778,5.9995952,9.624373,5.2382952000000005,9.624373,6,8,4.7483,Genoa,0.3052,0.2825,0.4123,a,0.731116,0.413067,0.731116,0.413067,11,5,0,1,1.6505,l,2020-11-22 17:00:00,0,0,1,0,0.3180489999999999,255,27,252,29,1,5,2,5,-4.7498732,6.6416008,11.391474,6.6416008,11.391474,7,16,8.5256,0,4,1,1,-3.0853672,3.760866800000001,6.846233999999999,3.760866800000001,6.846233999999999,3,9,5.5049,Udinese,0.4127,0.4124,0.1749
9,h,0.501198,0.340508,0.501198,0.340508,5,3,0,0,1.4214,d,2020-12-06 14:00:00,0,1,0,1,0.16069,248,24,327,12,2,4,4,10,-6.5580688,10.1061382,15.902907,9.3448382,15.902907,10,17,9.8432,1,1,3,6,-6.169151800000001,2.8306532,8.999805,2.8306532,8.999805,4,6,3.3776,Benevento,0.3097,0.4923,0.198,h,0.439998,1.64625,0.439998,1.64625,3,16,1,1,0.4369,d,2020-11-28 17:00:00,0,1,0,1,-1.206252,357,12,196,26,3,5,1,10,-12.662257,8.486427999999998,21.00029,7.576772999999999,20.23903,12,21,4.749499999999999,1,3,1,4,-5.586192,3.510498000000001,9.09669,3.510498000000001,9.09669,4,9,2.6515,Juventus,0.0728,0.2185,0.7087
10,a,0.603434,1.8515,0.603434,1.8515,2,8,2,2,0.4529,d,2020-12-13 19:45:00,0,1,0,1,-1.248066,308,18,182,23,2,4,5,11,-7.8061348,10.7095722,17.754407,9.9482722,17.754407,12,19,10.2961,1,1,3,6,-5.1262928,2.6732122,7.799505,2.6732122,7.799505,4,6,3.6455,AC Milan,0.0811,0.2096,0.7093,a,2.66831,0.986547,1.90701,0.986547,12,3,2,1,2.4988,w,2020-12-06 19:45:00,1,0,0,3,0.920463,129,26,324,19,8,0,2,26,7.6015190000000015,24.94459,12.630909,18.70987,11.108351,23,9,21.473000000000003,4,0,1,13,3.11747,12.04136,6.640078,8.99625,5.87878,11,5,10.2237,Sampdoria,0.7845,0.1453,0.0702
11,h,0.870374,0.265316,0.870374,0.265316,7,3,0,0,1.9555,d,2020-12-16 19:45:00,0,1,0,1,0.605058,213,25,296,22,2,4,6,12,-7.2010768,11.5799462,18.019723,10.8186462,18.019723,12,19,12.2516,1,1,3,6,-3.8382998,3.4118942,7.250194,3.4118942,7.250194,4,6,5.0443,Cagliari,0.5255,0.379,0.0955,h,1.61081,2.74594,1.61081,2.74594,5,7,1,3,0.6032,l,2020-12-13 11:30:00,0,0,1,0,-1.13513,355,13,232,33,3,5,3,12,-7.786705600000001,14.3907174,22.938725,13.6294174,21.416123,18,23,10.817099999999998,1,2,2,5,-4.4749266,6.7183584000000005,11.193285,5.9570584,10.431985,6,8,4.5569,Inter,0.1291,0.2159,0.655
