,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,2.0285,0.95973,2.0285,0.95973,15,4,1,1,2.1256,d,2020-09-20 16:00:00,0,1,0,1,1.0687700000000002,176,19,410,22,0,0,1,1,1.0687700000000002,2.0285,0.95973,2.0285,0.95973,1,1,2.1256,0,0,1,1,1.0687700000000002,2.0285,0.95973,2.0285,0.95973,1,1,2.1256,Cagliari,0.6318,0.2302,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,2.6497,1.29116,1.8884,1.29116,16,6,4,1,2.2827,w,2020-09-27 10:30:00,1,0,0,3,0.59724,196,27,447,16,1,0,1,4,1.6660100000000002,4.6782,2.25089,3.9169,2.25089,5,2,4.4083000000000006,1,0,1,4,1.6660100000000002,4.6782,2.25089,3.9169,2.25089,5,2,4.4083000000000006,Spezia,0.6997,0.1836,0.1167,h,1.29116,2.6497,1.29116,1.8884,6,16,1,4,0.5337,l,2020-09-27 10:30:00,0,0,1,0,-0.59724,447,16,196,27,0,1,0,0,-0.59724,1.29116,2.6497,1.29116,1.8884,1,4,0.5337,0,1,0,0,-0.59724,1.29116,2.6497,1.29116,1.8884,1,4,0.5337,Sassuolo,0.1167,0.1836,0.6997
2,h,1.85563,1.5945,1.09433,0.833203,4,13,4,1,1.5957,w,2020-10-03 13:00:00,1,0,0,3,0.261127,217,26,302,31,2,0,1,7,1.927137,6.53383,3.84539,5.01123,3.084093,9,3,6.004,2,0,1,7,1.927137,6.53383,3.84539,5.01123,3.084093,9,3,6.004,Crotone,0.4334,0.2955,0.2711,h,0.107055,2.43073,0.107055,1.66943,5,6,0,2,0.0487999999999999,l,2020-09-27 16:00:00,0,0,1,0,-1.562375,272,29,253,26,0,2,0,0,-2.472425,1.429835,4.66356,1.429835,3.90226,1,6,0.7988999999999999,0,2,0,0,-2.472425,1.429835,4.66356,1.429835,3.90226,1,6,0.7988999999999999,AC Milan,0.0028,0.0404,0.9568
3,a,3.23668,1.45422,3.23668,1.45422,10,6,4,3,2.4268,w,2020-10-18 10:30:00,1,0,0,3,1.7824599999999995,152,20,195,31,3,0,1,10,3.709597,9.77051,5.29961,8.247910000000001,4.5383130000000005,13,6,8.430800000000001,3,0,1,10,3.709597,9.77051,5.29961,8.247910000000001,4.5383130000000005,13,6,8.430800000000001,Bologna,0.7652,0.1312,0.1036,a,1.82239,0.8907,1.82239,0.8907,5,6,0,1,2.1037,l,2020-10-04 13:00:00,0,0,1,0,0.93169,146,24,224,25,1,2,0,3,0.3784529999999997,4.695022999999999,5.07774,4.695022999999999,4.31657,4,4,4.2871,1,2,0,3,0.3784529999999997,4.695022999999999,5.07774,4.695022999999999,4.31657,4,4,4.2871,Benevento,0.6217,0.2386,0.1397
4,h,1.69093,2.08517,1.69093,2.08517,13,7,3,3,1.0933,d,2020-10-23 18:45:00,0,1,0,1,-0.3942400000000001,115,23,431,21,3,0,2,11,3.315357,11.46144,7.384780000000001,9.93884,6.623483,16,9,9.5241,3,0,2,11,3.315357,11.46144,7.384780000000001,9.93884,6.623483,16,9,9.5241,Torino,0.2849,0.2386,0.4765,a,2.08517,1.69093,2.08517,1.69093,7,13,3,3,1.6681,d,2020-10-23 18:45:00,0,1,0,1,0.3942400000000001,431,21,115,23,0,3,1,1,-4.3504000000000005,4.718682,8.307780000000001,3.957380000000001,8.307780000000001,7,11,3.076,0,3,1,1,-4.3504000000000005,4.718682,8.307780000000001,3.957380000000001,8.307780000000001,7,11,3.076,Sassuolo,0.4765,0.2386,0.2849
5,a,1.52493,2.14387,0.763631,2.14387,2,9,2,0,0.9415,w,2020-11-01 17:00:00,1,0,0,3,-1.3802390000000002,227,9,453,28,4,0,2,14,1.9351179999999997,12.98637,9.52865,10.702471,8.767353,18,9,10.4656,4,0,1,13,0.8663479999999997,10.95787,8.56892,8.673971,7.807622999999999,17,8,8.34,Napoli,0.2267,0.2614,0.5119,h,2.14387,1.52493,2.14387,0.763631,9,2,0,2,1.7971,l,2020-11-01 17:00:00,0,0,1,0,1.3802390000000002,453,28,227,9,4,1,0,12,6.986389,9.46705,3.24196,9.46705,2.480661,14,4,11.5293,4,1,0,12,6.986389,9.46705,3.24196,9.46705,2.480661,14,4,11.5293,Sassuolo,0.5119,0.2614,0.2267
6,h,0.0834694,0.0917939,0.0834694,0.0917939,2,2,0,0,1.065,d,2020-11-06 19:45:00,0,1,0,1,-0.0083244999999999,216,20,333,18,4,0,3,15,1.9267934999999996,13.0698394,9.6204439,10.7859404,8.8591469,18,9,11.5306,3,0,2,11,0.2607834999999992,8.391639399999999,7.3695539,6.8690404,6.6082569,13,7,7.122299999999999,Udinese,0.0737,0.8439,0.0824,h,0.956217,1.02378,0.194919,1.02378,4,9,1,2,1.2977,l,2020-11-01 11:30:00,0,0,1,0,-0.8288609999999998,341,24,194,23,1,5,0,3,4.155352000000001,11.039557,6.122907,10.278259,6.122907,6,11,12.0031,1,4,0,3,3.361632,8.891997,4.769067,8.130699,4.769067,6,10,10.0507,AC Milan,0.309,0.3707,0.3203
7,a,0.51,1.3932,0.51,1.3932,1,6,2,0,0.6165,w,2020-11-22 14:00:00,1,0,0,3,-0.8832,178,17,206,33,5,0,3,18,1.0435934999999994,13.5798394,11.013643900000002,11.2959404,10.2523469,20,9,12.1471,3,0,2,11,-0.8835435000000006,7.046009399999999,7.168253900000001,6.2847104,7.168253900000001,11,6,6.1431,Verona,0.1195,0.258,0.6225,a,2.20988,3.65495,2.20988,2.89365,3,16,2,2,0.5789,d,2020-11-08 19:45:00,0,1,0,1,-0.68377,272,22,109,18,2,1,4,10,-3.111583,9.107037,12.97992,9.107037,12.21862,7,5,7.0916,1,1,3,6,-1.4490460000000005,6.842424,9.05277,6.842424,8.29147,6,5,5.552700000000001,AC Milan,0.1344,0.1757,0.6899
8,h,0.753035,1.49985,0.753035,1.49985,13,10,0,3,0.7197,l,2020-11-28 14:00:00,0,0,1,0,-0.7468149999999999,226,30,365,19,5,1,3,18,0.2967784999999995,14.3328744,12.513493900000002,12.048975400000002,11.7521969,20,12,12.8668,2,1,2,8,-3.4128185,4.5623644,7.213883900000001,3.8010654,7.213883900000001,7,6,4.436,Inter,0.1525,0.2622,0.5853,h,3.74566,1.97826,2.98436,1.21696,15,8,4,2,2.4856,w,2020-11-22 14:00:00,1,0,0,3,1.7674,273,43,318,22,4,1,3,15,9.1698572,18.745036,10.4810188,17.983736,8.8138788,20,13,15.6848,2,1,2,8,6.9339352,11.797874,5.7697788,11.036574,4.1026388,10,7,10.8658,Torino,0.7835,0.1351,0.0814
9,a,0.209882,1.27993,0.209882,1.27993,6,3,0,0,0.3651,d,2020-12-06 14:00:00,0,1,0,1,-1.070048,266,25,326,11,5,1,4,19,-0.7732695000000004,14.5427564,13.793423900000002,12.258857400000002,13.032126900000002,20,12,13.2319,2,1,2,8,-4.0886265,3.0813164,6.4086439,2.3200174,6.4086439,4,3,3.7078,Roma,0.042,0.2391,0.7189,a,0.314633,2.05867,0.314633,2.05867,5,4,0,4,0.1326999999999999,l,2020-11-29 19:45:00,0,0,1,0,-1.7440370000000005,359,21,302,16,5,1,3,18,10.7263748,22.551871,11.9739312,20.268051000000003,9.5416762,19,12,17.501900000000003,3,1,1,10,7.0737348,13.002963,5.9292682,12.241703,5.167968200000001,11,8,9.9692,Napoli,0.0139,0.091,0.8951
