,Home/Away,xG,xGA,non-penalty xG,non-penalty xG Against,Deep,Deep Allowed,scored,conceded,Expected Points,Result,date,Wins,Draws,Loses,Points,Non-penalty xG difference,ppda attack,ppda defence,ppda allowed att,ppda allowed def,Wins cum,Loses cum,Draws cum,Points cum,npxG difference cum,xG cum,xGA cum,npxG cum,npxGA cum,scored cum,conceded cum,Expected Points cum,Wins in last 5,Loses in last 5,Draws in last 5,Points in last 5,npxG difference last 5,xG last 5,xGA last 5,npxG last 5,npxGA last 5,scored last 5,conceded last 5,Expected Points last 5,Opponent,Prob Win,Prob Draw,Prob Lose,Opp Home/Away,Opp xG,Opp xGA,Opp non-penalty xG,Opp non-penalty xG Against,Opp Deep,Opp Deep Allowed,Opp scored,Opp conceded,Opp Expected Points,Opp Result,Opp date,Opp Wins,Opp Draws,Opp Loses,Opp Points,Opp Non-penalty xG difference,Opp ppda attack,Opp ppda defence,Opp ppda allowed att,Opp ppda allowed def,Opp Wins cum,Opp Loses cum,Opp Draws cum,Opp Points cum,Opp npxG difference cum,Opp xG cum,Opp xGA cum,Opp npxG cum,Opp npxGA cum,Opp scored cum,Opp conceded cum,Opp Expected Points cum,Opp Wins in last 5,Opp Loses in last 5,Opp Draws in last 5,Opp Points in last 5,Opp npxG difference last 5,Opp xG last 5,Opp xGA last 5,Opp npxG last 5,Opp npxGA last 5,Opp scored last 5,Opp conceded last 5,Opp Expected Points last 5,Opp Opponent,Opp Prob Win,Opp Prob Draw,Opp Prob Lose
0,h,1.29116,2.6497,1.29116,1.8884,6,16,1,4,0.5337,l,2020-09-27 10:30:00,0,0,1,0,-0.59724,447,16,196,27,0,1,0,0,-0.59724,1.29116,2.6497,1.29116,1.8884,1,4,0.5337,0,1,0,0,-0.59724,1.29116,2.6497,1.29116,1.8884,1,4,0.5337,Sassuolo,0.1167,0.1836,0.6997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,a,0.812849,1.86648,0.812849,1.86648,0,11,2,0,0.5579,w,2020-09-30 16:00:00,1,0,0,3,-1.0536309999999998,233,18,325,23,1,1,0,3,-1.6508709999999998,2.104009,4.51618,2.104009,3.75488,3,4,1.0916,1,1,0,3,-1.6508709999999998,2.104009,4.51618,2.104009,3.75488,3,4,1.0916,Udinese,0.1094,0.2297,0.6609,a,2.14756,1.35384,2.14756,1.35384,5,5,0,1,1.9524,l,2020-09-27 13:00:00,0,0,1,0,0.79372,197,27,209,36,0,1,0,0,0.79372,2.14756,1.35384,2.14756,1.35384,0,1,1.9524,0,1,0,0,0.79372,2.14756,1.35384,2.14756,1.35384,0,1,1.9524,Verona,0.5747,0.2283,0.197
2,a,0.152433,2.64977,0.152433,2.64977,1,11,0,3,0.0363,l,2020-10-04 16:00:00,0,0,1,0,-2.4973370000000004,366,25,196,31,1,2,0,3,-4.148208,2.256442,7.1659500000000005,2.256442,6.40465,3,7,1.1279,1,2,0,3,-4.148208,2.256442,7.1659500000000005,2.256442,6.40465,3,7,1.1279,AC Milan,0.0022,0.0297,0.9681,a,2.43073,0.107055,1.66943,0.107055,6,5,2,0,2.9108,w,2020-09-27 16:00:00,1,0,0,3,1.562375,253,26,272,29,2,0,0,6,2.917962,5.3729700000000005,0.932538,3.8505,0.932538,4,0,5.5856,2,0,0,6,2.917962,5.3729700000000005,0.932538,3.8505,0.932538,4,0,5.5856,Crotone,0.9568,0.0404,0.0028
3,h,0.925627,1.08362,0.925627,1.08362,2,6,2,2,1.2132999999999998,d,2020-10-18 13:00:00,0,1,0,1,-0.157993,289,37,251,31,1,2,1,4,-4.306201000000001,3.182069,8.24957,3.182069,7.48827,5,9,2.3412,1,2,1,4,-4.306201000000001,3.182069,8.24957,3.182069,7.48827,5,9,2.3412,Fiorentina,0.2986,0.3175,0.3839,h,2.02799,2.18148,2.02799,1.42022,5,6,1,2,1.2767,l,2020-10-02 18:45:00,0,0,1,0,0.6077699999999999,156,19,287,23,1,2,0,3,2.902202,6.63593,4.494988,6.63593,3.733728,5,6,5.6826,1,2,0,3,2.902202,6.63593,4.494988,6.63593,3.733728,5,6,5.6826,Sampdoria,0.3459,0.239,0.4151
4,a,0.965076,3.67014,0.965076,2.90884,6,6,2,2,0.1464,d,2020-10-25 14:00:00,0,1,0,1,-1.943764,221,25,284,22,1,2,2,5,-6.249965,4.147145,11.91971,4.147145,10.39711,7,11,2.4876,1,2,2,5,-6.249965,4.147145,11.91971,4.147145,10.39711,7,11,2.4876,Parma Calcio 1913,0.0283,0.0615,0.9102,a,0.96514,1.71631,0.96514,1.71631,3,9,2,3,0.7896000000000001,l,2020-10-18 16:00:00,0,0,1,0,-0.75117,196,18,329,29,1,3,0,3,-2.332681,3.605345,5.938026,3.605345,5.938026,4,9,3.6735,1,3,0,3,-2.332681,3.605345,5.938026,3.605345,5.938026,4,9,3.6735,Udinese,0.1778,0.2562,0.566
5,h,0.546346,2.88171,0.546346,2.12041,4,11,1,4,0.1237,l,2020-11-01 14:00:00,0,0,1,0,-1.574064,392,26,253,22,1,3,2,5,-7.824029,4.693491,14.80142,4.693491,12.51752,8,15,2.6112999999999995,1,2,2,5,-7.226789,3.402331,12.15172,3.402331,10.62912,7,11,2.0776,Juventus,0.0198,0.0643,0.9159,a,2.88171,0.546346,2.12041,0.546346,11,4,4,1,2.812,w,2020-11-01 14:00:00,1,0,0,3,1.574064,253,22,392,26,2,0,3,9,4.727869,10.69404,5.966167,9.17144,4.443571,11,5,10.0621,2,0,3,9,4.727869,10.69404,5.966167,9.17144,4.443571,11,5,10.0621,Spezia,0.9159,0.0643,0.0198
6,a,1.45194,0.251291,1.45194,0.251291,4,4,3,0,2.3984,w,2020-11-07 17:00:00,1,0,0,3,1.200649,211,27,342,24,2,3,2,8,-6.62338,6.145431,15.052711,6.145431,12.768811,11,15,5.0097,1,2,2,5,-4.972509,4.041422000000001,10.536531,4.041422000000001,9.013931,8,11,3.9181,Benevento,0.7256,0.2216,0.0528,a,1.60386,2.51742,1.60386,2.51742,5,8,1,3,0.7637,l,2020-11-02 19:45:00,0,0,1,0,-0.91356,202,33,224,32,2,4,0,6,-9.608939,7.229836,16.69038,6.320180999999999,15.92912,10,17,3.2115,1,4,0,3,-9.523169,5.955026,15.329799999999995,5.045371,14.56854,7,15,1.9624,Verona,0.1857,0.2066,0.6077
7,h,0.594898,2.20038,0.594898,2.20038,10,8,0,0,0.3147999999999999,d,2020-11-21 17:00:00,0,1,0,1,-1.605482,225,28,325,38,2,3,3,9,-8.228862,6.740329,17.253091,6.740329,14.969191,11,15,5.3245,1,1,3,6,-4.080653999999999,4.483887,10.087141,4.483887,8.564541000000002,8,8,4.1966,Atalanta,0.0567,0.1447,0.7986,h,0.955473,0.815144,0.955473,0.815144,7,7,1,1,1.4498,d,2020-11-08 14:00:00,0,1,0,1,0.140329,334,21,259,22,4,2,1,13,6.9203730000000006,15.164558,8.244145,14.403258,7.482885,18,14,13.1112,2,2,1,7,5.130497000000001,10.797018,5.666481,10.035718,4.905221,10,11,9.1766,Inter,0.3608,0.3674,0.2718
8,a,2.7383,1.44548,1.977,1.44548,8,8,2,2,2.2911,d,2020-11-29 17:00:00,0,1,0,1,0.53152,158,32,289,28,2,3,4,10,-7.697341999999999,9.478629,18.698571,8.717329,16.414671,13,17,7.615599999999999,1,1,3,6,-3.391141,6.29656,10.449001,5.53526,8.926401,8,8,5.2744,Cagliari,0.7038,0.1797,0.1165,a,0.0831584,2.54799,0.0831584,2.54799,8,15,0,2,0.0645999999999999,l,2020-11-21 19:45:00,0,0,1,0,-2.4648316,458,22,190,42,3,4,1,10,-4.772585600000001,9.6551874,14.427775,8.893887399999999,13.666473,14,17,9.0909,3,2,0,9,0.3269053999999998,7.124238399999999,6.797335,6.3629384,6.036033,11,9,7.841100000000001,Juventus,0.0038,0.0532,0.943
9,h,1.7297,0.437896,1.7297,0.437896,6,1,1,2,2.3852999999999995,l,2020-12-05 14:00:00,0,0,1,0,1.291804,198,28,388,16,2,4,4,10,-6.405537999999999,11.208329,19.136467,10.447029,16.852566999999997,14,19,10.000899999999998,1,2,2,5,-0.1555729999999999,7.061184,7.216757,6.2998840000000005,6.455457000000001,7,8,7.513299999999999,Lazio,0.7263,0.2064,0.0673,h,1.22788,1.42863,0.466584,1.42863,6,3,1,3,1.1511,l,2020-11-29 11:30:00,0,0,1,0,-0.962046,255,30,275,12,4,3,2,14,-0.7406880000000006,12.743959000000002,12.723309000000002,11.221361,11.962049000000002,14,16,12.3448,3,1,1,10,-0.8348750000000004,7.28421,7.357747,5.761612,6.596487,10,8,6.677299999999999,Udinese,0.2748,0.3267,0.3985
